LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1735118209.427891,743146,52884,1,BI,1,100,520
1735118210.067891,743786,53001,1,BI,1,100,640
1735118210.840891,744559,53138,1,BI,1,100,760
1735118211.640891,745359,53271,1,BI,1,100,800
1735118212.360891,746079,53391,1,BI,1,100,720
1735118213.120891,746839,53506,1,BI,1,100,760
1735118213.920892,747639,53640,1,BI,1,100,800
1735118214.693892,748412,53773,1,BI,1,100,760
1735118215.413892,749132,53894,1,BI,1,100,720
1735118216.253892,749972,54026,1,BI,1,100,840
1735118216.893892,750612,54125,1,BI,1,100,640
1735118217.853892,751572,54276,1,BI,1,100,960
1735118218.226892,751945,54343,1,BI,1,100,360
1735118218.946892,752665,54461,1,BI,1,100,720
1735118219.146892,752865,54495,1,BI,1,100,200
1735118219.866893,753585,54611,1,BI,1,100,720
1735118220.466892,754185,54711,1,BI,1,100,600
1735118221.426893,755145,54866,1,BI,1,100,960
1735118222.279893,755998,55017,1,BI,1,100,840
1735118223.759893,757478,55248,1,BI,1,100,1480
1735118225.452893,759171,55530,1,BI,1,100,1680
1735118226.172894,759891,55648,1,BI,1,100,720
1735118226.892894,760611,55766,1,BI,1,100,720
1735118227.612894,761331,55883,1,BI,1,100,720
1735118229.105894,762824,56115,1,BI,1,100,1480
1735118229.985894,763704,56263,1,BI,1,100,880
1735118230.865894,764584,56406,1,BI,1,100,880
1735118231.465894,765184,56507,1,BI,1,100,600
1735118233.118895,766837,56772,1,BI,1,100,1640
1735118233.878895,767597,56889,1,BI,1,100,760
1735118233.998895,767717,56906,1,BI,1,100,120
1735118234.638895,768357,57024,1,BI,1,100,640
1735118236.078895,769797,57244,1,BI,1,100,1440
1735118236.331895,770050,57294,1,BI,1,100,240
1735118236.771895,770490,57361,1,BI,1,100,440
1735118237.451895,771170,57481,1,BI,1,100,680
1735118238.211895,771930,57596,1,BI,1,100,760
1735118238.971895,772690,57714,1,BI,1,100,760
1735118239.704895,773423,57847,1,BI,1,100,720
1735118240.384896,774103,57946,1,BI,1,100,680
1735118241.064896,774783,58049,1,BI,1,100,680
1735118241.824896,775543,58168,1,BI,1,100,760
1735118242.384896,776103,58271,1,BI,1,100,560
1735118243.144896,776863,58388,1,BI,1,100,760
1735118243.837896,777556,58506,1,BI,1,100,680
1735118244.597896,778316,58621,1,BI,1,100,760
1735118245.517896,779236,58771,1,BI,1,100,920
1735118246.517897,780236,58927,1,BI,1,100,1000
1735118247.170897,780889,59047,1,BI,1,100,640
1735118248.090897,781809,59196,1,BI,1,100,920
1735118248.530897,782249,59263,1,BI,1,100,440
1735118249.170897,782889,59363,1,BI,1,100,640
1735118250.503897,784222,59530,1,BI,1,100,1320
1735118251.023897,784742,59614,1,BI,1,100,520
1735118251.623897,785342,59705,1,BI,1,100,600
1735118252.503898,786222,59855,1,BI,1,100,880
1735118252.863898,786582,59923,1,BI,1,100,360
1735118253.423898,787142,60006,1,BI,1,100,560
1735118253.943898,787662,60090,1,BI,1,100,520
1735118254.636898,788355,60205,1,BI,1,100,680
1735118255.316898,789035,60324,1,BI,1,100,680
1735118255.836898,789555,60407,1,BI,1,100,520
1735118256.516898,790235,60513,1,BI,1,100,680
1735118258.369899,792088,60811,1,BI,1,100,1840
1735118259.049899,792768,60929,1,BI,1,100,680
1735118259.609899,793328,61028,1,BI,1,100,560
1735118260.769899,794488,61209,1,BI,1,100,1160
1735118261.382899,795101,61309,1,BI,1,100,600
1735118261.982899,795701,61400,1,BI,1,100,600
1735118262.702899,796421,61520,1,BI,1,100,720
1735118264.382899,798101,61800,1,BI,1,100,1680
1735118264.902900,798621,61881,1,BI,1,100,520
1735118265.755900,799474,62015,1,BI,1,100,840
1735118267.155900,800874,62252,1,BI,1,100,1400
1735118267.834900,801553,62351,1,BI,1,100,680
1735118268.435900,802154,62452,1,BI,1,100,600
1735118270.008900,803727,62703,1,BI,1,100,1560
1735118270.368900,804087,62770,1,BI,1,100,360
1735118271.607901,805326,62967,1,BI,1,100,1240
1735118272.261901,805980,63075,1,BI,1,100,640
1735118273.701901,807420,63305,1,BI,1,100,1440
1735118275.620901,809339,63617,1,BI,1,100,1920
1735118276.913901,810632,63821,1,BI,1,100,1280
1735118277.914901,811633,63989,1,BI,1,100,1000
1735118278.354902,812073,64056,1,BI,1,100,440
1735118279.233902,812952,64205,1,BI,1,100,880
1735118279.647902,813366,64272,1,BI,1,100,400
1735118280.407902,814126,64407,1,BI,1,100,760
1735118280.847902,814566,64474,1,BI,1,100,440
1735118281.566902,815285,64590,1,BI,1,100,720
1735118282.087902,815806,64681,1,BI,1,100,520
1735118282.646902,816365,64763,1,BI,1,100,560
1735118283.006902,816725,64833,1,BI,1,100,360
1735118283.900903,817619,64967,1,BI,1,100,880
1735118284.500902,818219,65066,1,BI,1,100,600
1735118285.180903,818899,65181,1,BI,1,100,680
1735118286.179903,819898,65347,1,BI,1,100,1000
1735118287.673903,821392,50,1,BI,1,100,1480
1735118288.232903,821951,150,1,BI,1,100,560
1735118289.512903,823231,350,1,BI,1,100,1280
1735118290.032903,823751,435,1,BI,1,100,520
1735118290.846904,824565,567,1,BI,1,100,800
1735118291.166903,824885,634,1,BI,1,100,320
1735118291.765904,825484,733,1,BI,1,100,600
1735118292.485904,826204,857,1,BI,1,100,720
1735118293.085904,826804,956,1,BI,1,100,600
1735118295.098904,828817,1270,1,BI,1,100,2000
1735118295.818904,829537,1385,1,BI,1,100,720
1735118296.258904,829977,1469,1,BI,1,100,440
1735118296.978904,830697,1587,1,BI,1,100,720
1735118298.232905,831951,1789,1,BI,1,100,1240
1735118298.991905,832710,1922,1,BI,1,100,760
1735118299.431905,833150,1990,1,BI,1,100,440
1735118300.351905,834070,2139,1,BI,1,100,920
1735118301.711905,835430,2355,1,BI,1,100,1360
1735118302.364905,836083,2480,1,BI,1,100,640
1735118304.164906,837883,2759,1,BI,1,100,1800
1735118304.804906,838523,2858,1,BI,1,100,640
1735118306.897906,840616,3203,1,BI,1,100,2080
1735118308.657906,842376,3489,1,BI,1,100,1760
1735118309.257906,842976,3590,1,BI,1,100,600
1735118309.750906,843469,3675,1,BI,1,100,480
1735118311.310907,845029,3938,1,BI,1,100,1560
1735118312.350907,846069,4106,1,BI,1,100,1040
1735118313.243907,846962,4257,1,BI,1,100,880
1735118313.803907,847522,4342,1,BI,1,100,560
1735118314.683907,848402,4493,1,BI,1,100,880
1735118315.564907,849283,4625,1,BI,1,100,880
1735118316.483907,850202,4775,1,BI,1,100,920
1735118318.056908,851775,5045,1,BI,1,100,1560
1735118318.696908,852415,5146,1,BI,1,100,640
1735118319.696908,853415,5310,1,BI,1,100,1000
1735118320.549908,854268,5458,1,BI,1,100,840
1735118321.349908,855068,5577,1,BI,1,100,800
1735118322.189908,855908,5725,1,BI,1,100,840
1735118323.109909,856828,5880,1,BI,1,100,920
1735118323.989909,857708,6012,1,BI,1,100,880
1735118325.162909,858881,6212,1,BI,1,100,1160
1735118326.682909,860401,6458,1,BI,1,100,1520
1735118327.082909,860801,6527,1,BI,1,100,400
1735118327.802909,861521,6643,1,BI,1,100,720
1735118328.375909,862094,6732,1,BI,1,100,560
1735118328.895909,862614,6834,1,BI,1,100,520
1735118329.255909,862974,6885,1,BI,1,100,360
1735118330.375910,864094,7066,1,BI,1,100,1120
1735118331.255910,864974,7215,1,BI,1,100,880
1735118334.348910,868067,7715,1,BI,1,100,3080
1735118335.148910,868867,7847,1,BI,1,100,800
1735118336.641911,870360,8097,1,BI,1,100,1480
1735118338.121911,871840,8352,1,BI,1,100,1480
1735118338.881911,872600,8469,1,BI,1,100,760
1735118339.494911,873213,8568,1,BI,1,100,600
1735118341.294911,875013,8848,1,BI,1,100,1800
1735118343.347912,877066,9186,1,BI,1,100,2040
1735118344.107912,877826,9318,1,BI,1,100,760
1735118345.547912,879266,9547,1,BI,1,100,1440
1735118346.400912,880119,9681,1,BI,1,100,840
1735118349.840913,883559,10230,1,BI,1,100,3440
1735118351.333913,885052,10479,1,BI,1,100,1480
1735118351.973913,885692,10579,1,BI,1,100,640
1735118352.653913,886372,10697,1,BI,1,100,680
1735118359.679914,893398,11841,1,BI,1,100,7000
1735118361.332914,895051,12106,1,BI,1,100,1640
1735118362.572915,896291,12305,1,BI,1,100,1240
1735118363.012915,896731,12388,1,BI,1,100,440
1735118364.052915,897771,12558,1,BI,1,100,1040
1735118365.825915,899544,12854,1,BI,1,100,1760
1735118366.625915,900344,12970,1,BI,1,100,800
1735118368.144916,901863,13220,1,BI,1,100,1520
1735118368.958916,902677,13357,1,BI,1,100,800
1735118369.318916,903037,13425,1,BI,1,100,360
1735118374.891917,908610,14317,1,BI,1,100,5560
1735118376.104917,909823,14515,1,BI,1,100,1200
1735118376.824917,910543,14647,1,BI,1,100,720
1735118378.343917,912062,14880,1,BI,1,100,1520
1735118379.343917,913062,15052,1,BI,1,100,1000
1735118380.357917,914076,15216,1,BI,1,100,1000
1735118381.357918,915076,15382,1,BI,1,100,1000
1735118381.836918,915555,15466,1,BI,1,100,480
1735118383.450918,917169,15731,1,BI,1,100,1600
1735118383.890918,917609,15798,1,BI,1,100,440
1735118385.009918,918728,15984,1,BI,1,100,1120
1735118385.289918,919008,16035,1,BI,1,100,280
1735118385.609918,919328,16086,1,BI,1,100,320
1735118385.969918,919688,16154,1,BI,1,100,360
1735118386.649918,920368,16252,1,BI,1,100,680
1735118388.143919,921862,16503,1,BI,1,100,1480
1735118389.102919,922821,16654,1,BI,1,100,960
1735118389.542919,923261,16742,1,BI,1,100,440
1735118390.716919,924435,16924,1,BI,1,100,1160
1735118391.875919,925594,17121,1,BI,1,100,1160
1735118392.315919,926034,17190,1,BI,1,100,440
1735118392.875919,926594,17291,1,BI,1,100,560
1735118394.035919,927754,17473,1,BI,1,100,1160
1735118396.288920,930007,17822,1,BI,1,100,2240
1735118397.728920,931447,18070,1,BI,1,100,1440
1735118398.981920,932700,18268,1,BI,1,100,1240
1735118399.541920,933260,18352,1,BI,1,100,560
1735118400.701921,934420,18557,1,BI,1,100,1160
1735118402.154921,935873,18790,1,BI,1,100,1440
1735118403.034921,936753,18939,1,BI,1,100,880
1735118403.554921,937273,19022,1,BI,1,100,520
1735118404.394921,938113,19156,1,BI,1,100,840
1735118405.074921,938793,19276,1,BI,1,100,680
1735118405.728921,939447,19376,1,BI,1,100,640
1735118406.647922,940366,19524,1,BI,1,100,920
1735118409.327922,943046,19972,1,BI,1,100,2680
1735118409.900922,943619,20061,1,BI,1,100,560
1735118410.060922,943779,20080,1,BI,1,100,160
1735118411.340922,945059,20295,1,BI,1,100,1280
1735118412.020922,945739,20414,1,BI,1,100,680
1735118413.513922,947232,20663,1,BI,1,100,1480
1735118414.873923,948592,20881,1,BI,1,100,1360
1735118415.393923,949112,20966,1,BI,1,100,520
1735118416.113923,949832,21085,1,BI,1,100,720
1735118416.593923,950312,21167,1,BI,1,100,480
1735118417.526923,951245,21320,1,BI,1,100,920
1735118418.246923,951965,21440,1,BI,1,100,720
1735118419.726923,953445,21688,1,BI,1,100,1480
1735118420.406924,954125,21794,1,BI,1,100,680
1735118422.219924,955938,22092,1,BI,1,100,1800
1735118423.019924,956738,22227,1,BI,1,100,800
1735118424.512924,958231,22475,1,BI,1,100,1480
1735118425.032924,958751,22559,1,BI,1,100,520
1735118426.992925,960711,22877,1,BI,1,100,1960
1735118427.592925,961311,22978,1,BI,1,100,600
1735118429.445925,963164,23276,1,BI,1,100,1840
1735118430.085925,963804,23375,1,BI,1,100,640
1735118431.085925,964804,23548,1,BI,1,100,1000
1735118433.058926,966777,23862,1,BI,1,100,1960
1735118434.098926,967817,24044,1,BI,1,100,1040
1735118435.058926,968777,24194,1,BI,1,100,960
1735118435.471926,969190,24266,1,BI,1,100,400
1735118437.511926,971230,24596,1,BI,1,100,2040
1735118438.671926,972390,24794,1,BI,1,100,1160
1735118439.604927,973323,24944,1,BI,1,100,920
1735118440.084927,973803,25031,1,BI,1,100,480
1735118440.724927,974443,25139,1,BI,1,100,640
1735118442.617927,976336,25458,1,BI,1,100,1880
1735118443.457927,977176,25590,1,BI,1,100,840
1735118444.657928,978376,25776,1,BI,1,100,1200
1735118446.390928,980109,26061,1,BI,1,100,1720
1735118447.190928,980909,26196,1,BI,1,100,800
1735118448.070928,981789,26344,1,BI,1,100,880
1735118448.470928,982189,26412,1,BI,1,100,400
1735118449.310928,983029,26546,1,BI,1,100,840
1735118450.323928,984042,26710,1,BI,1,100,1000
1735118450.923928,984642,26815,1,BI,1,100,600
1735118451.323928,985042,26883,1,BI,1,100,400
1735118451.763928,985482,26950,1,BI,1,100,440
1735118452.363929,986082,27051,1,BI,1,100,600
1735118454.056929,987775,27332,1,BI,1,100,1680
1735118454.536929,988255,27418,1,BI,1,100,480
1735118454.816929,988535,27454,1,BI,1,100,280
1735118455.696929,989415,27602,1,BI,1,100,880
1735118456.056929,989775,27675,1,BI,1,100,360
1735118456.536929,990255,27742,1,BI,1,100,480
1735118457.869930,991588,27960,1,BI,1,100,1320
1735118458.389930,992108,28062,1,BI,1,100,520
1735118459.229930,992948,28196,1,BI,1,100,840
1735118460.349930,994068,28378,1,BI,1,100,1120
1735118461.722930,995441,28597,1,BI,1,100,1360
1735118462.482930,996201,28732,1,BI,1,100,760
1735118463.882930,997601,28964,1,BI,1,100,1400
1735118465.655931,999374,29246,1,BI,1,100,1760
1735118466.695931,1000414,29417,1,BI,1,100,1040
1735118467.575931,1001294,29568,1,BI,1,100,880
1735118468.468931,1002187,29715,1,BI,1,100,880
1735118469.068931,1002787,29816,1,BI,1,100,600
1735118469.988931,1003707,29966,1,BI,1,100,920
1735118471.107932,1004826,30146,1,BI,1,100,1120
1735118471.961932,1005680,30285,1,BI,1,100,840
1735118472.761932,1006480,30420,1,BI,1,100,800
1735118475.254932,1008973,30831,1,BI,1,100,2480
1735118476.614932,1010333,31047,1,BI,1,100,1360
1735118477.094933,1010813,31134,1,BI,1,100,480
1735118478.134933,1011853,31300,1,BI,1,100,1040
1735118480.227933,1013946,31629,1,BI,1,100,2080
1735118480.787933,1014506,31714,1,BI,1,100,560
1735118482.640933,1016359,32015,1,BI,1,100,1840
1735118483.880934,1017599,32215,1,BI,1,100,1240
1735118484.200933,1017919,32265,1,BI,1,100,320
1735118485.400934,1019119,32463,1,BI,1,100,1200
1735118485.840934,1019559,32530,1,BI,1,100,440
1735118486.293934,1020012,32615,1,BI,1,100,440
1735118488.132934,1021851,32918,1,BI,1,100,1840
1735118489.093934,1022812,33067,1,BI,1,100,960
1735118489.492934,1023211,33134,1,BI,1,100,400
1735118489.906934,1023625,33201,1,BI,1,100,400
1735118491.305935,1025024,33433,1,BI,1,100,1400
1735118492.065935,1025784,33560,1,BI,1,100,760
1735118493.105935,1026824,33724,1,BI,1,100,1040
1735118493.519935,1027238,33791,1,BI,1,100,400
1735118493.878935,1027597,33858,1,BI,1,100,360
1735118495.039935,1028758,33994,1,BI,1,100,1160
1735118495.478935,1029197,34061,1,BI,1,100,440
1735118495.838935,1029557,34128,1,BI,1,100,360
1735118496.812936,1030531,34278,1,BI,1,100,960
1735118497.652936,1031371,34416,1,BI,1,100,840
1735118498.451936,1032170,34548,1,BI,1,100,800
