LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1735118211.898891,745617.000,53321,1,BV,1,100,3.93
1735118216.898892,750617.000,54144,1,BV,1,100,3.93
1735118221.897893,755616.000,54966,1,BV,1,100,3.93
1735118226.897894,760616.000,55783,1,BV,1,100,3.92
1735118231.896894,765615.000,56588,1,BV,1,100,3.92
1735118236.896895,770615.000,57396,1,BV,1,100,3.92
1735118241.895896,775614.000,58201,1,BV,1,100,3.92
1735118246.895897,780614.000,59011,1,BV,1,100,3.92
1735118251.894897,785613.000,59773,1,BV,1,100,3.92
1735118256.894898,790613.000,60596,1,BV,1,100,3.92
1735118261.893899,795612.000,61397,1,BV,1,100,3.93
1735118266.893900,800612.000,62217,1,BV,1,100,3.92
1735118271.892900,805611.000,63023,1,BV,1,100,3.92
1735118276.892901,810611.000,63840,1,BV,1,100,3.92
1735118281.891902,815610.000,64656,1,BV,1,100,3.92
1735118286.891903,820610.000,65480,1,BV,1,100,3.92
1735118291.890904,825609.000,768,1,BV,1,100,3.92
1735118296.890904,830609.000,1585,1,BV,1,100,3.92
1735118301.889905,835608.000,2407,1,BV,1,100,3.92
1735118306.889906,840608.000,3222,1,BV,1,100,3.92
1735118311.888907,845607.000,4036,1,BV,1,100,3.92
1735118316.888908,850607.000,4858,1,BV,1,100,3.93
1735118321.887908,855606.000,5692,1,BV,1,100,3.92
1735118326.887909,860606.000,6508,1,BV,1,100,3.92
1735118331.886910,865605.000,7333,1,BV,1,100,3.92
1735118336.886911,870605.000,8146,1,BV,1,100,3.92
1735118341.885911,875604.000,8966,1,BV,1,100,3.92
1735118346.885912,880604.000,9781,1,BV,1,100,3.92
1735118351.884913,885603.000,10576,1,BV,1,100,3.92
1735118356.884914,890603.000,11393,1,BV,1,100,3.91
1735118361.883914,895602.000,12221,1,BV,1,100,3.91
1735118366.883915,900602.000,13037,1,BV,1,100,3.92
1735118371.882916,905601.000,13854,1,BV,1,100,3.92
1735118376.882917,910601.000,14666,1,BV,1,100,3.91
1735118381.881918,915600.000,15482,1,BV,1,100,3.91
1735118386.881918,920600.000,16320,1,BV,1,100,3.92
1735118391.880919,925599.000,17140,1,BV,1,100,3.92
1735118396.880920,930599.000,17937,1,BV,1,100,3.92
1735118401.879921,935598.000,18753,1,BV,1,100,3.91
1735118406.879921,940598.000,19591,1,BV,1,100,3.91
1735118411.878922,945597.000,20394,1,BV,1,100,3.92
1735118416.878923,950597.000,21234,1,BV,1,100,3.91
1735118421.877924,955596.000,22059,1,BV,1,100,3.92
1735118426.877925,960596.000,22875,1,BV,1,100,3.91
1735118431.876925,965595.000,23697,1,BV,1,100,3.91
1735118436.876926,970595.000,24512,1,BV,1,100,3.91
1735118441.875927,975594.000,25337,1,BV,1,100,3.91
1735118446.875928,980594.000,26161,1,BV,1,100,3.91
1735118451.874928,985593.000,26982,1,BV,1,100,3.91
1735118456.874929,990593.000,27824,1,BV,1,100,3.91
1735118461.873930,995592.000,28649,1,BV,1,100,3.91
1735118466.873931,1000592.000,29466,1,BV,1,100,3.92
1735118471.872932,1005591.000,30283,1,BV,1,100,3.91
1735118476.872932,1010591.000,31116,1,BV,1,100,3.91
1735118481.871933,1015590.000,31916,1,BV,1,100,3.91
1735118486.871934,1020590.000,32719,1,BV,1,100,3.91
1735118491.870935,1025589.000,33541,1,BV,1,100,3.91
1735118496.870935,1030589.000,34316,1,BV,1,100,3.91
1735118501.869936,1035588.000,35130,1,BV,1,100,3.91
1735118506.869937,1040588.000,35951,1,BV,1,100,3.90
