LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735118209.399891,743118.000,52890,5,EA,1,100,2.784983
1735118209.399891,743118.000,52890,5,EA,1,100,2.780541
1735118209.399891,743118.000,52890,5,EA,1,100,2.779438
1735118209.399891,743118.000,52890,5,EA,1,100,2.779438
1735118209.399891,743118.000,52890,5,EA,1,100,2.773914
1735118209.466891,743185.000,52906,1,EA,1,100,2.770612
1735118209.532891,743251.000,52922,1,EA,1,100,2.769506
1735118209.599891,743318.000,52939,1,EA,1,100,2.767319
1735118209.666391,743384.500,52955,2,EA,1,100,2.765124
1735118209.732891,743451.000,52955,2,EA,1,100,2.761843
1735118209.799891,743518.000,52970,2,EA,1,100,2.756389
1735118209.866891,743585.000,52970,2,EA,1,100,2.749866
1735118209.932891,743651.000,52988,1,EA,1,100,2.746622
1735118209.999891,743718.000,53006,2,EA,1,100,2.743385
1735118210.066891,743785.000,53006,2,EA,1,100,2.741228
1735118210.132891,743851.000,53023,1,EA,1,100,2.738003
1735118210.199891,743918.000,53038,2,EA,1,100,2.735855
1735118210.266891,743985.000,53038,2,EA,1,100,2.730503
1735118210.333391,744051.500,53060,2,EA,1,100,2.730503
1735118210.399891,744118.000,53060,2,EA,1,100,2.729439
1735118210.466891,744185.000,53076,1,EA,1,100,2.726232
1735118210.533391,744251.500,53094,2,EA,1,100,2.725172
1735118210.599891,744318.000,53094,2,EA,1,100,2.723043
1735118210.666891,744385.000,53110,1,EA,1,100,2.719861
1735118210.733391,744451.500,53125,2,EA,1,100,2.718806
1735118210.799891,744518.000,53125,2,EA,1,100,2.715624
1735118210.866891,744585.000,53143,1,EA,1,100,2.714572
1735118210.933391,744651.500,53161,2,EA,1,100,2.710351
1735118210.999891,744718.000,53161,2,EA,1,100,2.709302
1735118211.066891,744785.000,53177,1,EA,1,100,2.705098
1735118211.133391,744851.500,53192,2,EA,1,100,2.704054
1735118211.199891,744918.000,53192,2,EA,1,100,2.700916
1735118211.266891,744985.000,53209,1,EA,1,100,2.697786
1735118211.333391,745051.500,53226,2,EA,1,100,2.693617
1735118211.399891,745118.000,53226,2,EA,1,100,2.691537
1735118211.466891,745185.000,53242,1,EA,1,100,2.688429
1735118211.533391,745251.500,53259,2,EA,1,100,2.684289
1735118211.599891,745318.000,53259,2,EA,1,100,2.681197
1735118211.666891,745385.000,53276,1,EA,1,100,2.678113
1735118211.733391,745451.500,53293,2,EA,1,100,2.676056
1735118211.799891,745518.000,53293,2,EA,1,100,2.672984
1735118211.866891,745585.000,53309,1,EA,1,100,2.669918
1735118211.933391,745651.500,53328,2,EA,1,100,2.667875
1735118211.999891,745718.000,53328,2,EA,1,100,2.666859
1735118212.066391,745784.500,53343,2,EA,1,100,2.662785
1735118212.132891,745851.000,53343,2,EA,1,100,2.659743
1735118212.199891,745918.000,53360,1,EA,1,100,2.657715
1735118212.266391,745984.500,53377,2,EA,1,100,2.658724
1735118212.332891,746051.000,53377,2,EA,1,100,2.661774
1735118212.399891,746118.000,53396,1,EA,1,100,2.663798
1735118212.466391,746184.500,53410,2,EA,1,100,2.668891
1735118212.532891,746251.000,53410,2,EA,1,100,2.678113
1735118212.599891,746318.000,53428,1,EA,1,100,2.686357
1735118212.666391,746384.500,53444,2,EA,1,100,2.697786
1735118212.732891,746451.000,53444,2,EA,1,100,2.709302
1735118212.799891,746518.000,53461,1,EA,1,100,2.719861
1735118212.866391,746584.500,53476,2,EA,1,100,2.732643
1735118212.932891,746651.000,53476,2,EA,1,100,2.743385
1735118212.999892,746718.000,53493,1,EA,1,100,2.754211
1735118213.066391,746784.500,53511,2,EA,1,100,2.762932
1735118213.132891,746851.000,53511,2,EA,1,100,2.772816
1735118213.199891,746918.000,53528,1,EA,1,100,2.783877
1735118213.266392,746984.500,53543,2,EA,1,100,2.789440
1735118213.332891,747051.000,53543,2,EA,1,100,2.799504
1735118213.399891,747118.000,53560,1,EA,1,100,2.804008
1735118213.466392,747184.500,53578,2,EA,1,100,2.811918
1735118213.532892,747251.000,53578,2,EA,1,100,2.813047
1735118213.599891,747318.000,53596,1,EA,1,100,2.818728
1735118213.666392,747384.500,53610,2,EA,1,100,2.821009
1735118213.732892,747451.000,53610,2,EA,1,100,2.824432
1735118213.799891,747518.000,53627,1,EA,1,100,2.827863
1735118213.866392,747584.500,53646,2,EA,1,100,2.833604
1735118213.932892,747651.000,53646,2,EA,1,100,2.834761
1735118213.999392,747717.500,53663,2,EA,1,100,2.833604
1735118214.065892,747784.000,53663,2,EA,1,100,2.830158
1735118214.132892,747851.000,53679,1,EA,1,100,2.827863
1735118214.199392,747917.500,53695,2,EA,1,100,2.824432
1735118214.265892,747984.000,53695,2,EA,1,100,2.818728
1735118214.332892,748051.000,53711,1,EA,1,100,2.815319
1735118214.399392,748117.500,53728,2,EA,1,100,2.808515
1735118214.465892,748184.000,53728,2,EA,1,100,2.805130
1735118214.532892,748251.000,53744,1,EA,1,100,2.798386
1735118214.599392,748317.500,53760,2,EA,1,100,2.792787
1735118214.665892,748384.000,53760,2,EA,1,100,2.788319
1735118214.732892,748451.000,53778,1,EA,1,100,2.783877
1735118214.799392,748517.500,53795,2,EA,1,100,2.777223
1735118214.865892,748584.000,53795,2,EA,1,100,2.770612
1735118214.932892,748651.000,53812,1,EA,1,100,2.765124
1735118214.999392,748717.500,53827,2,EA,1,100,2.760744
1735118215.065892,748784.000,53827,2,EA,1,100,2.755294
1735118215.132892,748851.000,53843,1,EA,1,100,2.749866
1735118215.199392,748917.500,53861,2,EA,1,100,2.743385
1735118215.265892,748984.000,53861,2,EA,1,100,2.740155
1735118215.332892,749051.000,53877,1,EA,1,100,2.735855
1735118215.399559,749117.667,53899,3,EA,1,100,2.731567
1735118215.466225,749184.333,53899,3,EA,1,100,2.727304
1735118215.532892,749251.000,53899,3,EA,1,100,2.723043
1735118215.599892,749318.000,53916,1,EA,1,100,2.718806
1735118215.666392,749384.500,53931,2,EA,1,100,2.713520
1735118215.732892,749451.000,53931,2,EA,1,100,2.711410
1735118215.798892,749517.000,53947,1,EA,1,100,2.708255
1735118215.865892,749584.000,53965,2,EA,1,100,2.704054
