LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1735118209.399891,743118.000,52891,5,EL,1,100,-19108.000000
1735118209.399891,743118.000,52891,5,EL,1,100,-19107.199219
1735118209.399891,743118.000,52891,5,EL,1,100,-19107.000000
1735118209.399891,743118.000,52891,5,EL,1,100,-19107.000000
1735118209.399891,743118.000,52891,5,EL,1,100,-19106.000000
1735118209.466891,743185.000,52907,1,EL,1,100,-19105.400391
1735118209.532891,743251.000,52923,1,EL,1,100,-19105.199219
1735118209.599891,743318.000,52940,1,EL,1,100,-19104.800781
1735118209.666391,743384.500,52956,2,EL,1,100,-19104.400391
1735118209.732891,743451.000,52956,2,EL,1,100,-19103.800781
1735118209.799891,743518.000,52971,2,EL,1,100,-19102.800781
1735118209.866891,743585.000,52971,2,EL,1,100,-19101.599609
1735118209.932891,743651.000,52989,1,EL,1,100,-19101.000000
1735118209.999891,743718.000,53007,2,EL,1,100,-19100.400391
1735118210.066891,743785.000,53007,2,EL,1,100,-19100.000000
1735118210.132891,743851.000,53024,1,EL,1,100,-19099.400391
1735118210.199891,743918.000,53039,2,EL,1,100,-19099.000000
1735118210.266891,743985.000,53039,2,EL,1,100,-19098.000000
1735118210.333391,744051.500,53061,2,EL,1,100,-19098.000000
1735118210.399891,744118.000,53061,2,EL,1,100,-19097.800781
1735118210.466891,744185.000,53077,1,EL,1,100,-19097.199219
1735118210.533391,744251.500,53095,2,EL,1,100,-19097.000000
1735118210.599891,744318.000,53095,2,EL,1,100,-19096.599609
1735118210.666891,744385.000,53111,1,EL,1,100,-19096.000000
1735118210.733391,744451.500,53126,2,EL,1,100,-19095.800781
1735118210.799891,744518.000,53126,2,EL,1,100,-19095.199219
1735118210.866891,744585.000,53144,1,EL,1,100,-19095.000000
1735118210.933391,744651.500,53162,2,EL,1,100,-19094.199219
1735118210.999891,744718.000,53162,2,EL,1,100,-19094.000000
1735118211.066891,744785.000,53178,1,EL,1,100,-19093.199219
1735118211.133391,744851.500,53193,2,EL,1,100,-19093.000000
1735118211.199891,744918.000,53193,2,EL,1,100,-19092.400391
1735118211.266891,744985.000,53210,1,EL,1,100,-19091.800781
1735118211.333391,745051.500,53227,2,EL,1,100,-19091.000000
1735118211.399891,745118.000,53227,2,EL,1,100,-19090.599609
1735118211.466891,745185.000,53243,1,EL,1,100,-19090.000000
1735118211.533391,745251.500,53260,2,EL,1,100,-19089.199219
1735118211.599891,745318.000,53260,2,EL,1,100,-19088.599609
1735118211.666891,745385.000,53277,1,EL,1,100,-19088.000000
1735118211.733391,745451.500,53294,2,EL,1,100,-19087.599609
1735118211.799891,745518.000,53294,2,EL,1,100,-19087.000000
1735118211.866891,745585.000,53310,1,EL,1,100,-19086.400391
1735118211.933391,745651.500,53329,2,EL,1,100,-19086.000000
1735118211.999891,745718.000,53329,2,EL,1,100,-19085.800781
1735118212.066391,745784.500,53344,2,EL,1,100,-19085.000000
1735118212.132891,745851.000,53344,2,EL,1,100,-19084.400391
1735118212.199891,745918.000,53361,1,EL,1,100,-19084.000000
1735118212.266391,745984.500,53378,2,EL,1,100,-19084.199219
1735118212.332891,746051.000,53378,2,EL,1,100,-19084.800781
1735118212.399891,746118.000,53397,1,EL,1,100,-19085.199219
1735118212.466391,746184.500,53411,2,EL,1,100,-19086.199219
1735118212.532891,746251.000,53411,2,EL,1,100,-19088.000000
1735118212.599891,746318.000,53429,1,EL,1,100,-19089.599609
1735118212.666391,746384.500,53445,2,EL,1,100,-19091.800781
1735118212.732891,746451.000,53445,2,EL,1,100,-19094.000000
1735118212.799891,746518.000,53462,1,EL,1,100,-19096.000000
1735118212.866391,746584.500,53477,2,EL,1,100,-19098.400391
1735118212.932891,746651.000,53477,2,EL,1,100,-19100.400391
1735118212.999892,746718.000,53494,1,EL,1,100,-19102.400391
1735118213.066391,746784.500,53512,2,EL,1,100,-19104.000000
1735118213.132891,746851.000,53512,2,EL,1,100,-19105.800781
1735118213.199891,746918.000,53529,1,EL,1,100,-19107.800781
1735118213.266392,746984.500,53544,2,EL,1,100,-19108.800781
1735118213.332891,747051.000,53544,2,EL,1,100,-19110.599609
1735118213.399891,747118.000,53561,1,EL,1,100,-19111.400391
1735118213.466392,747184.500,53579,2,EL,1,100,-19112.800781
1735118213.532892,747251.000,53579,2,EL,1,100,-19113.000000
1735118213.599891,747318.000,53597,1,EL,1,100,-19114.000000
1735118213.666392,747384.500,53611,2,EL,1,100,-19114.400391
1735118213.732892,747451.000,53611,2,EL,1,100,-19115.000000
1735118213.799891,747518.000,53628,1,EL,1,100,-19115.599609
1735118213.866392,747584.500,53647,2,EL,1,100,-19116.599609
1735118213.932892,747651.000,53647,2,EL,1,100,-19116.800781
1735118213.999392,747717.500,53664,2,EL,1,100,-19116.599609
1735118214.065892,747784.000,53664,2,EL,1,100,-19116.000000
1735118214.132892,747851.000,53680,1,EL,1,100,-19115.599609
1735118214.199392,747917.500,53696,2,EL,1,100,-19115.000000
1735118214.265892,747984.000,53696,2,EL,1,100,-19114.000000
1735118214.332892,748051.000,53712,1,EL,1,100,-19113.400391
1735118214.399392,748117.500,53729,2,EL,1,100,-19112.199219
1735118214.465892,748184.000,53729,2,EL,1,100,-19111.599609
1735118214.532892,748251.000,53745,1,EL,1,100,-19110.400391
1735118214.599392,748317.500,53761,2,EL,1,100,-19109.400391
1735118214.665892,748384.000,53761,2,EL,1,100,-19108.599609
1735118214.732892,748451.000,53779,1,EL,1,100,-19107.800781
1735118214.799392,748517.500,53796,2,EL,1,100,-19106.599609
1735118214.865892,748584.000,53796,2,EL,1,100,-19105.400391
1735118214.932892,748651.000,53813,1,EL,1,100,-19104.400391
1735118214.999392,748717.500,53828,2,EL,1,100,-19103.599609
1735118215.065892,748784.000,53828,2,EL,1,100,-19102.599609
1735118215.132892,748851.000,53844,1,EL,1,100,-19101.599609
1735118215.199392,748917.500,53862,2,EL,1,100,-19100.400391
1735118215.265892,748984.000,53862,2,EL,1,100,-19099.800781
1735118215.332892,749051.000,53878,1,EL,1,100,-19099.000000
1735118215.399559,749117.667,53900,3,EL,1,100,-19098.199219
1735118215.466225,749184.333,53900,3,EL,1,100,-19097.400391
1735118215.532892,749251.000,53900,3,EL,1,100,-19096.599609
1735118215.599892,749318.000,53917,1,EL,1,100,-19095.800781
1735118215.666392,749384.500,53932,2,EL,1,100,-19094.800781
1735118215.732892,749451.000,53932,2,EL,1,100,-19094.400391
1735118215.798892,749517.000,53948,1,EL,1,100,-19093.800781
1735118215.865892,749584.000,53966,2,EL,1,100,-19093.000000
1735118215.932892,749651.000,53966,2,EL,1,100,-19092.199219
1735118215.998892,749717.000,53982,1,EL,1,100,-19091.000000
1735118216.065892,749784.000,53997,2,EL,1,100,-19091.000000
1735118216.132892,749851.000,53997,2,EL,1,100,-19090.599609
1735118216.198892,749917.000,54013,1,EL,1,100,-19090.199219
1735118216.265892,749984.000,54033,2,EL,1,100,-19090.000000
1735118216.332892,750051.000,54033,2,EL,1,100,-19089.400391
1735118216.398892,750117.000,54049,1,EL,1,100,-19089.599609
1735118216.465892,750184.000,54064,2,EL,1,100,-19089.400391
1735118216.532892,750251.000,54064,2,EL,1,100,-19090.000000
1735118216.598892,750317.000,54081,1,EL,1,100,-19090.199219
1735118216.665892,750384.000,54098,2,EL,1,100,-19091.199219
1735118216.732892,750451.000,54098,2,EL,1,100,-19092.199219
1735118216.798892,750517.000,54114,1,EL,1,100,-19093.599609
1735118216.865892,750584.000,54132,2,EL,1,100,-19094.599609
1735118216.932892,750651.000,54132,2,EL,1,100,-19095.199219
1735118216.998892,750717.000,54150,1,EL,1,100,-19096.400391
1735118217.065892,750784.000,54167,2,EL,1,100,-19097.800781
1735118217.132892,750851.000,54167,2,EL,1,100,-19098.599609
1735118217.198892,750917.000,54183,1,EL,1,100,-19099.400391
1735118217.265892,750984.000,54200,2,EL,1,100,-19100.000000
1735118217.332892,751051.000,54200,2,EL,1,100,-19100.800781
1735118217.398892,751117.000,54215,1,EL,1,100,-19101.599609
1735118217.465892,751184.000,54232,2,EL,1,100,-19102.000000
1735118217.532892,751251.000,54232,2,EL,1,100,-19102.199219
1735118217.598892,751317.000,54249,1,EL,1,100,-19102.599609
1735118217.665892,751384.000,54265,2,EL,1,100,-19103.000000
1735118217.732892,751451.000,54265,2,EL,1,100,-19103.000000
1735118217.799392,751517.500,54282,2,EL,1,100,-19103.199219
1735118217.865892,751584.000,54282,2,EL,1,100,-19103.000000
1735118217.931892,751650.000,54300,1,EL,1,100,-19103.000000
1735118217.998892,751717.000,54316,2,EL,1,100,-19103.000000
1735118218.065892,751784.000,54316,2,EL,1,100,-19103.000000
1735118218.132892,751851.000,54333,1,EL,1,100,-19102.800781
1735118218.199392,751917.500,54350,2,EL,1,100,-19102.800781
1735118218.265892,751984.000,54350,2,EL,1,100,-19102.599609
1735118218.331892,752050.000,54367,1,EL,1,100,-19102.199219
1735118218.398892,752117.000,54383,2,EL,1,100,-19102.199219
1735118218.465892,752184.000,54383,2,EL,1,100,-19102.000000
1735118218.531892,752250.000,54400,1,EL,1,100,-19102.000000
1735118218.598892,752317.000,54415,2,EL,1,100,-19101.800781
1735118218.665892,752384.000,54415,2,EL,1,100,-19101.000000
1735118218.731892,752450.000,54432,1,EL,1,100,-19101.000000
1735118218.798892,752517.000,54448,2,EL,1,100,-19100.400391
1735118218.865892,752584.000,54448,2,EL,1,100,-19100.000000
1735118218.931892,752650.000,54468,1,EL,1,100,-19099.400391
1735118218.998892,752717.000,54482,2,EL,1,100,-19099.000000
1735118219.065892,752784.000,54482,2,EL,1,100,-19098.199219
1735118219.131892,752850.000,54501,1,EL,1,100,-19097.599609
1735118219.198892,752917.000,54518,2,EL,1,100,-19097.000000
1735118219.265893,752984.000,54518,2,EL,1,100,-19096.599609
1735118219.331892,753050.000,54535,1,EL,1,100,-19095.800781
1735118219.398892,753117.000,54549,2,EL,1,100,-19094.800781
1735118219.465892,753184.000,54549,2,EL,1,100,-19094.199219
1735118219.531893,753250.000,54566,1,EL,1,100,-19094.000000
1735118219.598892,753317.000,54583,2,EL,1,100,-19093.000000
1735118219.665892,753384.000,54583,2,EL,1,100,-19092.199219
1735118219.732893,753451.000,54600,1,EL,1,100,-19091.800781
1735118219.799392,753517.500,54617,2,EL,1,100,-19091.000000
1735118219.865892,753584.000,54617,2,EL,1,100,-19090.199219
1735118219.931892,753650.000,54634,1,EL,1,100,-19089.800781
