LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1735118209.557891,743276.000,52918,4,EM,1,100,RS
1735118209.557891,743276.000,52918,4,EM,1,100,RB
1735118209.557891,743276.000,52918,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118209.557891,743276.000,52918,4,EM,1,100,PS
1735118209.609141,743327.250,52951,4,EM,1,100,RS
1735118209.660391,743378.500,52951,4,EM,1,100,RB
1735118209.711641,743429.750,52951,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118209.762891,743481.000,52951,4,EM,1,100,PS
1735118209.812891,743531.000,52983,4,EM,1,100,RS
1735118209.862891,743581.000,52983,4,EM,1,100,RB
1735118209.912891,743631.000,52983,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118209.962891,743681.000,52983,4,EM,1,100,PS
1735118210.013141,743731.250,53019,4,EM,1,100,RS
1735118210.063391,743781.500,53019,4,EM,1,100,RB
1735118210.113641,743831.750,53019,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118210.163891,743882.000,53019,4,EM,1,100,PS
1735118210.223891,743942.000,53056,4,EM,1,100,RS
1735118210.283891,744002.000,53056,4,EM,1,100,RB
1735118210.343891,744062.000,53056,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118210.403891,744122.000,53056,4,EM,1,100,PS
1735118210.454141,744172.250,53089,4,EM,1,100,RS
1735118210.504391,744222.500,53089,4,EM,1,100,RB
1735118210.554641,744272.750,53089,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118210.604891,744323.000,53089,4,EM,1,100,PS
1735118210.655141,744373.250,53121,4,EM,1,100,RS
1735118210.705391,744423.500,53121,4,EM,1,100,RB
1735118210.755641,744473.750,53121,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118210.805891,744524.000,53121,4,EM,1,100,PS
1735118210.856891,744575.000,53156,4,EM,1,100,RS
1735118210.907891,744626.000,53156,4,EM,1,100,RB
1735118210.958891,744677.000,53156,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118211.009891,744728.000,53156,4,EM,1,100,PS
1735118211.060141,744778.250,53188,4,EM,1,100,RS
1735118211.110391,744828.500,53188,4,EM,1,100,RB
1735118211.160641,744878.750,53188,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118211.210891,744929.000,53188,4,EM,1,100,PS
1735118211.261141,744979.250,53222,4,EM,1,100,RS
1735118211.311391,745029.500,53222,4,EM,1,100,RB
1735118211.361641,745079.750,53222,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118211.411891,745130.000,53222,4,EM,1,100,PS
1735118211.462891,745181.000,53254,4,EM,1,100,RS
1735118211.513891,745232.000,53254,4,EM,1,100,RB
1735118211.564891,745283.000,53254,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118211.615891,745334.000,53254,4,EM,1,100,PS
1735118211.665891,745384.000,53289,4,EM,1,100,RS
1735118211.715891,745434.000,53289,4,EM,1,100,RB
1735118211.765891,745484.000,53289,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118211.815891,745534.000,53289,4,EM,1,100,PS
1735118211.866141,745584.250,53323,4,EM,1,100,RS
1735118211.916391,745634.500,53323,4,EM,1,100,RB
1735118211.966641,745684.750,53323,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118212.016891,745735.000,53323,4,EM,1,100,PS
1735118212.067141,745785.250,53356,4,EM,1,100,RS
1735118212.117391,745835.500,53356,4,EM,1,100,RB
1735118212.167641,745885.750,53356,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118212.217891,745936.000,53356,4,EM,1,100,PS
1735118212.268141,745986.250,53390,4,EM,1,100,RS
1735118212.318391,746036.500,53390,4,EM,1,100,RB
1735118212.368641,746086.750,53390,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118212.418891,746137.000,53390,4,EM,1,100,PS
1735118212.469141,746187.250,53423,4,EM,1,100,RS
1735118212.519391,746237.500,53423,4,EM,1,100,RB
1735118212.569641,746287.750,53423,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118212.619891,746338.000,53423,4,EM,1,100,PS
1735118212.670141,746388.250,53457,4,EM,1,100,RS
1735118212.720391,746438.500,53457,4,EM,1,100,RB
1735118212.770641,746488.750,53457,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118212.820891,746539.000,53457,4,EM,1,100,PS
1735118212.871141,746589.250,53489,4,EM,1,100,RS
1735118212.921391,746639.500,53489,4,EM,1,100,RB
1735118212.971641,746689.750,53489,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118213.021891,746740.000,53489,4,EM,1,100,PS
1735118213.072141,746790.250,53524,4,EM,1,100,RS
1735118213.122391,746840.500,53524,4,EM,1,100,RB
1735118213.172642,746890.750,53524,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118213.222892,746941.000,53524,4,EM,1,100,PS
1735118213.273141,746991.250,53556,4,EM,1,100,RS
1735118213.323391,747041.500,53556,4,EM,1,100,RB
1735118213.373641,747091.750,53556,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118213.423892,747142.000,53556,4,EM,1,100,PS
1735118213.474142,747192.250,53591,4,EM,1,100,RS
1735118213.524391,747242.500,53591,4,EM,1,100,RB
1735118213.574641,747292.750,53591,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118213.624892,747343.000,53591,4,EM,1,100,PS
1735118213.675892,747394.000,53623,4,EM,1,100,RS
1735118213.726892,747445.000,53623,4,EM,1,100,RB
1735118213.777892,747496.000,53623,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118213.828892,747547.000,53623,4,EM,1,100,PS
1735118213.878891,747597.000,53659,4,EM,1,100,RS
1735118213.928892,747647.000,53659,4,EM,1,100,RB
1735118213.978892,747697.000,53659,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118214.028892,747747.000,53659,4,EM,1,100,PS
1735118214.079892,747798.000,53690,4,EM,1,100,RS
1735118214.130892,747849.000,53690,4,EM,1,100,RB
1735118214.181892,747900.000,53690,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118214.232892,747951.000,53690,4,EM,1,100,PS
1735118214.283142,748001.250,53724,4,EM,1,100,RS
1735118214.333392,748051.500,53724,4,EM,1,100,RB
1735118214.383642,748101.750,53724,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118214.433892,748152.000,53724,4,EM,1,100,PS
1735118214.484142,748202.250,53755,4,EM,1,100,RS
1735118214.534392,748252.500,53755,4,EM,1,100,RB
1735118214.584642,748302.750,53755,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118214.634892,748353.000,53755,4,EM,1,100,PS
1735118214.685142,748403.250,53791,4,EM,1,100,RS
1735118214.735392,748453.500,53791,4,EM,1,100,RB
1735118214.785642,748503.750,53791,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118214.835892,748554.000,53791,4,EM,1,100,PS
1735118214.886142,748604.250,53823,4,EM,1,100,RS
1735118214.936392,748654.500,53823,4,EM,1,100,RB
1735118214.986642,748704.750,53823,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118215.036892,748755.000,53823,4,EM,1,100,PS
1735118215.087142,748805.250,53856,4,EM,1,100,RS
1735118215.137392,748855.500,53856,4,EM,1,100,RB
1735118215.187642,748905.750,53856,4,EM,1,100,2024-12-25_16-16-48-747040.csv
1735118215.237892,748956.000,53856,4,EM,1,100,PS
1735118215.310892,749029.000,53893,4,EM,1,100,RS
1735118215.383892,749102.000,53893,4,EM,1,100,RB
