LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.214
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.244
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.122
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.458
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.519
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.244
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.244
1735118209.400891,743119.000,52899,8,GZ,1,100,-0.397
1735118209.440891,743159.000,52913,3,GZ,1,100,-0.519
1735118209.480891,743199.000,52913,3,GZ,1,100,-0.244
1735118209.520891,743239.000,52913,3,GZ,1,100,-0.122
1735118209.560891,743279.000,52931,1,GZ,1,100,0.000
1735118209.600891,743319.000,52947,2,GZ,1,100,-0.397
1735118209.640891,743359.000,52947,2,GZ,1,100,-0.519
1735118209.680891,743399.000,52963,3,GZ,1,100,-0.061
1735118209.720891,743439.000,52963,3,GZ,1,100,0.214
1735118209.760891,743479.000,52963,3,GZ,1,100,0.031
1735118209.800891,743519.000,52979,2,GZ,1,100,0.031
1735118209.840891,743559.000,52979,2,GZ,1,100,-0.336
1735118209.876558,743594.667,52997,3,GZ,1,100,-0.336
1735118209.912224,743630.333,52997,3,GZ,1,100,-0.061
1735118209.947891,743666.000,52997,3,GZ,1,100,-0.458
1735118209.987891,743706.000,53015,3,GZ,1,100,-0.671
1735118210.027891,743746.000,53015,3,GZ,1,100,-0.641
1735118210.067891,743786.000,53015,3,GZ,1,100,-0.366
1735118210.107891,743826.000,53030,2,GZ,1,100,-0.397
1735118210.147891,743866.000,53030,2,GZ,1,100,-0.580
1735118210.187891,743906.000,53047,3,GZ,1,100,-0.336
1735118210.227891,743946.000,53047,3,GZ,1,100,-0.305
1735118210.267891,743986.000,53047,3,GZ,1,100,-0.580
1735118210.307891,744026.000,53069,3,GZ,1,100,-0.610
1735118210.347891,744066.000,53069,3,GZ,1,100,-0.580
1735118210.387891,744106.000,53069,3,GZ,1,100,-0.549
1735118210.427891,744146.000,53085,3,GZ,1,100,-0.244
1735118210.467891,744186.000,53085,3,GZ,1,100,0.153
1735118210.507891,744226.000,53085,3,GZ,1,100,0.153
