LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1735118209.427891,743146,52885,1,HR,1,100,148
1735118210.067891,743786,53002,1,HR,1,100,136
1735118210.840891,744559,53139,1,HR,1,100,123
1735118211.640891,745359,53272,1,HR,1,100,113
1735118212.360891,746079,53392,1,HR,1,100,106
1735118213.120891,746839,53507,1,HR,1,100,100
1735118213.920892,747639,53641,1,HR,1,100,94
1735118214.693892,748412,53774,1,HR,1,100,91
1735118215.413892,749132,53895,1,HR,1,100,89
1735118216.253892,749972,54027,1,HR,1,100,85
1735118216.893892,750612,54126,1,HR,1,100,87
1735118217.853892,751572,54277,1,HR,1,100,82
1735118218.226892,751945,54344,1,HR,1,100,101
1735118218.946892,752665,54462,1,HR,1,100,97
1735118219.146892,752865,54496,1,HR,1,100,142
1735118219.866893,753585,54612,1,HR,1,100,129
1735118220.466892,754185,54712,1,HR,1,100,122
1735118221.426893,755145,54867,1,HR,1,100,109
1735118222.279893,755998,55018,1,HR,1,100,101
1735118223.759893,757478,55249,1,HR,1,100,87
1735118225.452893,759171,55531,1,HR,1,100,76
1735118226.172894,759891,55649,1,HR,1,100,78
1735118226.892894,760611,55767,1,HR,1,100,79
1735118227.612894,761331,55884,1,HR,1,100,80
1735118229.105894,762824,56116,1,HR,1,100,71
1735118229.985894,763704,56264,1,HR,1,100,70
1735118230.865894,764584,56407,1,HR,1,100,70
1735118231.465894,765184,56508,1,HR,1,100,77
1735118233.118895,766837,56773,1,HR,1,100,68
1735118233.878895,767597,56890,1,HR,1,100,70
1735118233.998895,767717,56907,1,HR,1,100,166
1735118234.638895,768357,57025,1,HR,1,100,150
1735118236.078895,769797,57245,1,HR,1,100,126
1735118236.331895,770050,57295,1,HR,1,100,153
1735118236.771895,770490,57362,1,HR,1,100,150
1735118237.451895,771170,57482,1,HR,1,100,136
1735118238.211895,771930,57597,1,HR,1,100,123
1735118238.971895,772690,57715,1,HR,1,100,113
1735118239.704895,773423,57848,1,HR,1,100,107
1735118240.384896,774103,57947,1,HR,1,100,103
1735118241.064896,774783,58050,1,HR,1,100,99
1735118241.824896,775543,58169,1,HR,1,100,95
1735118242.384896,776103,58272,1,HR,1,100,98
1735118243.144896,776863,58389,1,HR,1,100,93
