LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.400891,743119.000,52900,8,MX,1,100,-37
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.400891,743119.000,52900,8,MX,1,100,-37
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.400891,743119.000,52900,8,MX,1,100,-36
1735118209.440891,743159.000,52914,3,MX,1,100,-35
1735118209.480891,743199.000,52914,3,MX,1,100,-36
1735118209.520891,743239.000,52914,3,MX,1,100,-36
1735118209.560891,743279.000,52932,1,MX,1,100,-36
1735118209.600891,743319.000,52948,2,MX,1,100,-36
1735118209.640891,743359.000,52948,2,MX,1,100,-36
1735118209.680891,743399.000,52964,3,MX,1,100,-35
1735118209.720891,743439.000,52964,3,MX,1,100,-36
1735118209.760891,743479.000,52964,3,MX,1,100,-37
1735118209.800891,743519.000,52980,2,MX,1,100,-36
1735118209.840891,743559.000,52980,2,MX,1,100,-36
1735118209.876558,743594.667,52998,3,MX,1,100,-36
1735118209.912224,743630.333,52998,3,MX,1,100,-36
1735118209.947891,743666.000,52998,3,MX,1,100,-35
1735118209.987891,743706.000,53016,3,MX,1,100,-35
1735118210.027891,743746.000,53016,3,MX,1,100,-37
1735118210.067891,743786.000,53016,3,MX,1,100,-36
1735118210.107891,743826.000,53031,2,MX,1,100,-36
1735118210.147891,743866.000,53031,2,MX,1,100,-36
1735118210.187891,743906.000,53048,3,MX,1,100,-36
1735118210.227891,743946.000,53048,3,MX,1,100,-35
1735118210.267891,743986.000,53048,3,MX,1,100,-36
1735118210.307891,744026.000,53070,3,MX,1,100,-36
1735118210.347891,744066.000,53070,3,MX,1,100,-36
1735118210.387891,744106.000,53070,3,MX,1,100,-36
1735118210.427891,744146.000,53086,3,MX,1,100,-36
1735118210.467891,744186.000,53086,3,MX,1,100,-36
1735118210.507891,744226.000,53086,3,MX,1,100,-36
1735118210.547891,744266.000,53104,2,MX,1,100,-36
1735118210.587891,744306.000,53104,2,MX,1,100,-36
1735118210.627891,744346.000,53118,3,MX,1,100,-36
1735118210.667891,744386.000,53118,3,MX,1,100,-38
1735118210.707891,744426.000,53118,3,MX,1,100,-36
1735118210.747891,744466.000,53135,2,MX,1,100,-36
1735118210.787891,744506.000,53135,2,MX,1,100,-36
1735118210.827558,744545.667,53153,3,MX,1,100,-36
1735118210.867224,744585.333,53153,3,MX,1,100,-36
1735118210.906891,744625.000,53153,3,MX,1,100,-35
1735118210.946891,744665.000,53171,2,MX,1,100,-37
1735118210.986891,744705.000,53171,2,MX,1,100,-36
1735118211.026891,744745.000,53185,3,MX,1,100,-37
1735118211.066891,744785.000,53185,3,MX,1,100,-36
1735118211.106891,744825.000,53185,3,MX,1,100,-36
1735118211.142558,744860.667,53202,3,MX,1,100,-36
1735118211.178225,744896.333,53202,3,MX,1,100,-36
1735118211.213891,744932.000,53202,3,MX,1,100,-35
1735118211.253891,744972.000,53219,2,MX,1,100,-36
1735118211.293891,745012.000,53219,2,MX,1,100,-36
1735118211.333891,745052.000,53236,3,MX,1,100,-36
1735118211.373891,745092.000,53236,3,MX,1,100,-36
1735118211.413891,745132.000,53236,3,MX,1,100,-36
1735118211.453891,745172.000,53251,2,MX,1,100,-36
1735118211.493891,745212.000,53251,2,MX,1,100,-36
1735118211.533891,745252.000,53268,3,MX,1,100,-36
1735118211.573891,745292.000,53268,3,MX,1,100,-37
1735118211.613891,745332.000,53268,3,MX,1,100,-36
1735118211.653891,745372.000,53286,2,MX,1,100,-35
1735118211.693891,745412.000,53286,2,MX,1,100,-35
1735118211.733891,745452.000,53303,3,MX,1,100,-36
1735118211.773891,745492.000,53303,3,MX,1,100,-36
1735118211.813891,745532.000,53303,3,MX,1,100,-36
1735118211.853891,745572.000,53318,2,MX,1,100,-35
1735118211.893891,745612.000,53318,2,MX,1,100,-35
1735118211.933891,745652.000,53337,3,MX,1,100,-36
1735118211.973891,745692.000,53337,3,MX,1,100,-37
1735118212.013891,745732.000,53337,3,MX,1,100,-36
1735118212.053891,745772.000,53353,3,MX,1,100,-36
1735118212.093891,745812.000,53353,3,MX,1,100,-37
1735118212.133891,745852.000,53353,3,MX,1,100,-36
1735118212.173891,745892.000,53370,2,MX,1,100,-37
1735118212.213891,745932.000,53370,2,MX,1,100,-36
1735118212.249558,745967.667,53387,3,MX,1,100,-36
1735118212.285225,746003.333,53387,3,MX,1,100,-37
1735118212.320891,746039.000,53387,3,MX,1,100,-37
1735118212.360891,746079.000,53404,2,MX,1,100,-36
1735118212.400891,746119.000,53404,2,MX,1,100,-37
1735118212.440891,746159.000,53420,3,MX,1,100,-36
1735118212.480891,746199.000,53420,3,MX,1,100,-36
1735118212.520891,746239.000,53420,3,MX,1,100,-36
1735118212.560891,746279.000,53438,3,MX,1,100,-36
1735118212.600891,746319.000,53438,3,MX,1,100,-36
1735118212.640891,746359.000,53438,3,MX,1,100,-36
1735118212.680891,746399.000,53454,2,MX,1,100,-36
1735118212.720891,746439.000,53454,2,MX,1,100,-35
1735118212.760891,746479.000,53469,3,MX,1,100,-36
1735118212.800891,746519.000,53469,3,MX,1,100,-36
1735118212.840891,746559.000,53469,3,MX,1,100,-36
1735118212.880891,746599.000,53486,2,MX,1,100,-36
1735118212.920891,746639.000,53486,2,MX,1,100,-35
1735118212.960891,746679.000,53503,3,MX,1,100,-36
1735118213.000891,746719.000,53503,3,MX,1,100,-36
1735118213.040891,746759.000,53503,3,MX,1,100,-37
1735118213.080891,746799.000,53521,2,MX,1,100,-35
1735118213.120891,746839.000,53521,2,MX,1,100,-35
1735118213.160892,746879.000,53536,3,MX,1,100,-35
1735118213.200891,746919.000,53536,3,MX,1,100,-37
1735118213.240891,746959.000,53536,3,MX,1,100,-36
1735118213.280891,746999.000,53553,2,MX,1,100,-37
1735118213.320891,747039.000,53553,2,MX,1,100,-36
1735118213.360892,747079.000,53570,3,MX,1,100,-37
1735118213.400892,747119.000,53570,3,MX,1,100,-36
1735118213.440892,747159.000,53570,3,MX,1,100,-37
1735118213.476225,747194.333,53588,3,MX,1,100,-36
1735118213.511558,747229.667,53588,3,MX,1,100,-36
1735118213.546891,747265.000,53588,3,MX,1,100,-36
1735118213.586891,747305.000,53604,2,MX,1,100,-36
1735118213.626892,747345.000,53604,2,MX,1,100,-35
1735118213.666892,747385.000,53620,3,MX,1,100,-36
1735118213.706892,747425.000,53620,3,MX,1,100,-36
1735118213.746891,747465.000,53620,3,MX,1,100,-37
1735118213.786891,747505.000,53637,2,MX,1,100,-36
1735118213.826892,747545.000,53637,2,MX,1,100,-36
1735118213.866892,747585.000,53656,3,MX,1,100,-35
1735118213.906892,747625.000,53656,3,MX,1,100,-37
1735118213.946892,747665.000,53656,3,MX,1,100,-36
1735118213.986892,747705.000,53673,3,MX,1,100,-36
1735118214.026891,747745.000,53673,3,MX,1,100,-37
1735118214.066892,747785.000,53673,3,MX,1,100,-36
1735118214.106892,747825.000,53687,2,MX,1,100,-35
1735118214.146892,747865.000,53687,2,MX,1,100,-36
1735118214.186892,747905.000,53705,3,MX,1,100,-36
1735118214.226892,747945.000,53705,3,MX,1,100,-36
1735118214.266892,747985.000,53705,3,MX,1,100,-36
1735118214.306892,748025.000,53721,2,MX,1,100,-38
1735118214.346892,748065.000,53721,2,MX,1,100,-36
1735118214.386892,748105.000,53738,3,MX,1,100,-36
1735118214.426892,748145.000,53738,3,MX,1,100,-36
1735118214.466892,748185.000,53738,3,MX,1,100,-36
1735118214.506892,748225.000,53752,2,MX,1,100,-36
1735118214.546892,748265.000,53752,2,MX,1,100,-36
1735118214.586892,748305.000,53770,3,MX,1,100,-36
1735118214.626892,748345.000,53770,3,MX,1,100,-36
1735118214.666892,748385.000,53770,3,MX,1,100,-36
1735118214.702558,748420.667,53788,3,MX,1,100,-36
1735118214.738225,748456.333,53788,3,MX,1,100,-37
1735118214.773892,748492.000,53788,3,MX,1,100,-36
1735118214.813892,748532.000,53805,2,MX,1,100,-36
1735118214.853892,748572.000,53805,2,MX,1,100,-36
1735118214.893892,748612.000,53820,3,MX,1,100,-36
1735118214.933892,748652.000,53820,3,MX,1,100,-36
1735118214.973892,748692.000,53820,3,MX,1,100,-35
1735118215.013892,748732.000,53837,2,MX,1,100,-36
1735118215.053892,748772.000,53837,2,MX,1,100,-36
1735118215.093892,748812.000,53853,3,MX,1,100,-36
1735118215.133892,748852.000,53853,3,MX,1,100,-36
1735118215.173892,748892.000,53853,3,MX,1,100,-36
1735118215.213892,748932.000,53871,2,MX,1,100,-36
1735118215.253892,748972.000,53871,2,MX,1,100,-36
1735118215.293892,749012.000,53885,3,MX,1,100,-36
1735118215.333892,749052.000,53885,3,MX,1,100,-36
1735118215.373892,749092.000,53885,3,MX,1,100,-36
1735118215.413892,749132.000,53909,4,MX,1,100,-36
1735118215.453892,749172.000,53909,4,MX,1,100,-36
1735118215.493892,749212.000,53909,4,MX,1,100,-36
1735118215.533892,749252.000,53909,4,MX,1,100,-36
1735118215.573892,749292.000,53924,2,MX,1,100,-36
1735118215.613892,749332.000,53924,2,MX,1,100,-36
1735118215.653892,749372.000,53941,3,MX,1,100,-36
1735118215.693892,749412.000,53941,3,MX,1,100,-36
1735118215.733892,749452.000,53941,3,MX,1,100,-36
1735118215.773892,749492.000,53957,2,MX,1,100,-36
1735118215.813892,749532.000,53957,2,MX,1,100,-36
1735118215.849225,749567.333,53975,3,MX,1,100,-37
1735118215.884558,749602.667,53975,3,MX,1,100,-35
1735118215.919892,749638.000,53975,3,MX,1,100,-36
1735118215.959892,749678.000,53989,3,MX,1,100,-36
1735118215.999892,749718.000,53989,3,MX,1,100,-36
1735118216.039892,749758.000,53989,3,MX,1,100,-37
1735118216.079892,749798.000,54006,2,MX,1,100,-36
1735118216.119892,749838.000,54006,2,MX,1,100,-35
1735118216.159892,749878.000,54022,3,MX,1,100,-36
1735118216.199892,749918.000,54022,3,MX,1,100,-36
1735118216.239892,749958.000,54022,3,MX,1,100,-36
1735118216.279892,749998.000,54042,2,MX,1,100,-36
1735118216.319892,750038.000,54042,2,MX,1,100,-36
1735118216.359892,750078.000,54056,3,MX,1,100,-35
1735118216.399892,750118.000,54056,3,MX,1,100,-36
1735118216.439892,750158.000,54056,3,MX,1,100,-37
1735118216.479892,750198.000,54073,2,MX,1,100,-36
1735118216.519892,750238.000,54073,2,MX,1,100,-36
1735118216.559892,750278.000,54090,3,MX,1,100,-36
1735118216.599892,750318.000,54090,3,MX,1,100,-38
1735118216.639892,750358.000,54090,3,MX,1,100,-38
1735118216.679892,750398.000,54107,2,MX,1,100,-35
1735118216.719892,750438.000,54107,2,MX,1,100,-36
1735118216.759892,750478.000,54121,3,MX,1,100,-36
1735118216.799892,750518.000,54121,3,MX,1,100,-36
1735118216.839892,750558.000,54121,3,MX,1,100,-36
1735118216.879892,750598.000,54141,2,MX,1,100,-38
1735118216.919892,750638.000,54141,2,MX,1,100,-36
1735118216.959892,750678.000,54159,3,MX,1,100,-35
1735118216.999892,750718.000,54159,3,MX,1,100,-37
1735118217.039892,750758.000,54159,3,MX,1,100,-36
1735118217.075559,750793.667,54176,3,MX,1,100,-35
1735118217.111225,750829.333,54176,3,MX,1,100,-36
1735118217.146892,750865.000,54176,3,MX,1,100,-36
1735118217.186892,750905.000,54191,2,MX,1,100,-37
1735118217.226892,750945.000,54191,2,MX,1,100,-35
1735118217.266892,750985.000,54208,3,MX,1,100,-36
1735118217.306892,751025.000,54208,3,MX,1,100,-36
1735118217.346892,751065.000,54208,3,MX,1,100,-36
1735118217.386392,751104.500,54224,2,MX,1,100,-36
1735118217.425892,751144.000,54224,2,MX,1,100,-36
1735118217.465892,751184.000,54241,3,MX,1,100,-37
1735118217.505892,751224.000,54241,3,MX,1,100,-36
1735118217.545892,751264.000,54241,3,MX,1,100,-36
1735118217.586392,751304.500,54257,2,MX,1,100,-35
1735118217.626892,751345.000,54257,2,MX,1,100,-35
1735118217.666892,751385.000,54273,3,MX,1,100,-38
1735118217.706892,751425.000,54273,3,MX,1,100,-36
1735118217.746892,751465.000,54273,3,MX,1,100,-36
1735118217.786892,751505.000,54291,3,MX,1,100,-36
1735118217.826892,751545.000,54291,3,MX,1,100,-36
1735118217.866892,751585.000,54291,3,MX,1,100,-35
1735118217.906392,751624.500,54309,2,MX,1,100,-36
1735118217.945892,751664.000,54309,2,MX,1,100,-36
1735118217.986226,751704.333,54325,3,MX,1,100,-36
1735118218.026559,751744.667,54325,3,MX,1,100,-36
1735118218.066892,751785.000,54325,3,MX,1,100,-36
1735118218.106892,751825.000,54340,2,MX,1,100,-36
1735118218.146892,751865.000,54340,2,MX,1,100,-36
1735118218.186892,751905.000,54359,3,MX,1,100,-36
1735118218.226892,751945.000,54359,3,MX,1,100,-36
1735118218.266892,751985.000,54359,3,MX,1,100,-36
1735118218.302226,752020.333,54376,3,MX,1,100,-37
1735118218.337559,752055.667,54376,3,MX,1,100,-37
1735118218.372892,752091.000,54376,3,MX,1,100,-35
