LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1735118209.427891,743146.000,52889,9,PG,1,100,8545
1735118209.427891,743146.000,52889,9,PG,1,100,8544
1735118209.427891,743146.000,52889,9,PG,1,100,8544
1735118209.427891,743146.000,52889,9,PG,1,100,8530
1735118209.427891,743146.000,52889,9,PG,1,100,8530
1735118209.427891,743146.000,52889,9,PG,1,100,8531
1735118209.427891,743146.000,52889,9,PG,1,100,8531
1735118209.427891,743146.000,52889,9,PG,1,100,8525
1735118209.427891,743146.000,52889,9,PG,1,100,8539
1735118209.467891,743186.000,52905,2,PG,1,100,8531
1735118209.507891,743226.000,52905,2,PG,1,100,8525
1735118209.547891,743266.000,52921,1,PG,1,100,8535
1735118209.587891,743306.000,52938,2,PG,1,100,8537
1735118209.627891,743346.000,52938,2,PG,1,100,8532
1735118209.667891,743386.000,52954,3,PG,1,100,8546
1735118209.707891,743426.000,52954,3,PG,1,100,8543
1735118209.747891,743466.000,52954,3,PG,1,100,8541
1735118209.787891,743506.000,52969,3,PG,1,100,8544
1735118209.827891,743546.000,52969,3,PG,1,100,8526
1735118209.867891,743586.000,52969,3,PG,1,100,8535
1735118209.907891,743626.000,52987,2,PG,1,100,8521
1735118209.947891,743666.000,52987,2,PG,1,100,8518
1735118209.987891,743706.000,53005,3,PG,1,100,8533
1735118210.027891,743746.000,53005,3,PG,1,100,8533
1735118210.067891,743786.000,53005,3,PG,1,100,8533
1735118210.107891,743826.000,53022,2,PG,1,100,8544
1735118210.147891,743866.000,53022,2,PG,1,100,8530
1735118210.187891,743906.000,53037,3,PG,1,100,8536
1735118210.227891,743946.000,53037,3,PG,1,100,8535
1735118210.267891,743986.000,53037,3,PG,1,100,8537
1735118210.307891,744026.000,53059,3,PG,1,100,8522
1735118210.347891,744066.000,53059,3,PG,1,100,8526
1735118210.387891,744106.000,53059,3,PG,1,100,8534
1735118210.427891,744146.000,53075,3,PG,1,100,8549
1735118210.467891,744186.000,53075,3,PG,1,100,8540
1735118210.507891,744226.000,53075,3,PG,1,100,8552
1735118210.547891,744266.000,53093,2,PG,1,100,8552
1735118210.587891,744306.000,53093,2,PG,1,100,8543
1735118210.627891,744346.000,53109,3,PG,1,100,8538
1735118210.667891,744386.000,53109,3,PG,1,100,8543
1735118210.707891,744426.000,53109,3,PG,1,100,8534
1735118210.747891,744466.000,53124,2,PG,1,100,8546
1735118210.787891,744506.000,53124,2,PG,1,100,8549
1735118210.834391,744552.500,53142,2,PG,1,100,8539
1735118210.880891,744599.000,53142,2,PG,1,100,8540
1735118210.920891,744639.000,53160,3,PG,1,100,8524
1735118210.960891,744679.000,53160,3,PG,1,100,8528
1735118211.000891,744719.000,53160,3,PG,1,100,8542
1735118211.040891,744759.000,53176,3,PG,1,100,8538
1735118211.080891,744799.000,53176,3,PG,1,100,8520
1735118211.120891,744839.000,53176,3,PG,1,100,8531
1735118211.160891,744879.000,53191,2,PG,1,100,8533
1735118211.200891,744919.000,53191,2,PG,1,100,8538
1735118211.240891,744959.000,53208,3,PG,1,100,8555
1735118211.280891,744999.000,53208,3,PG,1,100,8550
1735118211.320891,745039.000,53208,3,PG,1,100,8533
1735118211.360891,745079.000,53225,2,PG,1,100,8548
1735118211.400891,745119.000,53225,2,PG,1,100,8549
1735118211.440891,745159.000,53241,3,PG,1,100,8540
1735118211.480891,745199.000,53241,3,PG,1,100,8531
1735118211.520891,745239.000,53241,3,PG,1,100,8527
1735118211.560891,745279.000,53258,2,PG,1,100,8538
1735118211.600891,745319.000,53258,2,PG,1,100,8528
1735118211.640891,745359.000,53275,3,PG,1,100,8539
1735118211.680891,745399.000,53275,3,PG,1,100,8536
1735118211.720891,745439.000,53275,3,PG,1,100,8543
1735118211.760891,745479.000,53292,2,PG,1,100,8517
1735118211.800891,745519.000,53292,2,PG,1,100,8533
1735118211.840891,745559.000,53308,3,PG,1,100,8527
1735118211.880891,745599.000,53308,3,PG,1,100,8542
1735118211.920891,745639.000,53308,3,PG,1,100,8537
1735118211.960891,745679.000,53327,2,PG,1,100,8530
1735118212.000891,745719.000,53327,2,PG,1,100,8529
1735118212.040891,745759.000,53342,3,PG,1,100,8538
1735118212.080891,745799.000,53342,3,PG,1,100,8536
1735118212.120891,745839.000,53342,3,PG,1,100,8559
1735118212.160891,745879.000,53359,2,PG,1,100,8533
1735118212.200891,745919.000,53359,2,PG,1,100,8534
1735118212.240891,745959.000,53376,3,PG,1,100,8541
1735118212.280891,745999.000,53376,3,PG,1,100,8536
1735118212.320891,746039.000,53376,3,PG,1,100,8547
1735118212.360891,746079.000,53395,2,PG,1,100,8543
1735118212.400891,746119.000,53395,2,PG,1,100,8537
1735118212.440891,746159.000,53409,3,PG,1,100,8526
1735118212.480891,746199.000,53409,3,PG,1,100,8545
1735118212.520891,746239.000,53409,3,PG,1,100,8540
1735118212.560891,746279.000,53427,3,PG,1,100,8543
1735118212.600891,746319.000,53427,3,PG,1,100,8542
1735118212.640891,746359.000,53427,3,PG,1,100,8544
1735118212.680891,746399.000,53443,2,PG,1,100,8529
1735118212.720891,746439.000,53443,2,PG,1,100,8537
1735118212.760891,746479.000,53460,3,PG,1,100,8549
1735118212.800891,746519.000,53460,3,PG,1,100,8569
1735118212.840891,746559.000,53460,3,PG,1,100,8544
1735118212.880891,746599.000,53475,2,PG,1,100,8542
1735118212.920891,746639.000,53475,2,PG,1,100,8555
1735118212.960891,746679.000,53492,3,PG,1,100,8546
1735118213.000891,746719.000,53492,3,PG,1,100,8553
1735118213.040891,746759.000,53492,3,PG,1,100,8555
1735118213.080891,746799.000,53510,2,PG,1,100,8544
1735118213.120891,746839.000,53510,2,PG,1,100,8536
1735118213.160892,746879.000,53527,3,PG,1,100,8539
1735118213.200891,746919.000,53527,3,PG,1,100,8532
1735118213.240891,746959.000,53527,3,PG,1,100,8546
1735118213.280891,746999.000,53542,2,PG,1,100,8562
1735118213.320891,747039.000,53542,2,PG,1,100,8548
1735118213.360892,747079.000,53559,3,PG,1,100,8549
1735118213.400892,747119.000,53559,3,PG,1,100,8558
1735118213.440892,747159.000,53559,3,PG,1,100,8552
1735118213.480891,747199.000,53577,2,PG,1,100,8573
1735118213.520891,747239.000,53577,2,PG,1,100,8566
1735118213.560891,747279.000,53595,3,PG,1,100,8557
1735118213.600892,747319.000,53595,3,PG,1,100,8561
1735118213.640892,747359.000,53595,3,PG,1,100,8569
1735118213.680892,747399.000,53609,3,PG,1,100,8550
1735118213.720891,747439.000,53609,3,PG,1,100,8555
1735118213.760891,747479.000,53609,3,PG,1,100,8549
1735118213.800892,747519.000,53626,2,PG,1,100,8536
1735118213.840892,747559.000,53626,2,PG,1,100,8543
