LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1735118209.427891,743146.000,52887,9,PI,1,100,153479
1735118209.427891,743146.000,52887,9,PI,1,100,153461
1735118209.427891,743146.000,52887,9,PI,1,100,153448
1735118209.427891,743146.000,52887,9,PI,1,100,153449
1735118209.427891,743146.000,52887,9,PI,1,100,153443
1735118209.427891,743146.000,52887,9,PI,1,100,153472
1735118209.427891,743146.000,52887,9,PI,1,100,153476
1735118209.427891,743146.000,52887,9,PI,1,100,153487
1735118209.427891,743146.000,52887,9,PI,1,100,153478
1735118209.467891,743186.000,52903,2,PI,1,100,153467
1735118209.507891,743226.000,52903,2,PI,1,100,153489
1735118209.547891,743266.000,52919,1,PI,1,100,153480
1735118209.587891,743306.000,52936,2,PI,1,100,153494
1735118209.627891,743346.000,52936,2,PI,1,100,153502
1735118209.667891,743386.000,52952,3,PI,1,100,153494
1735118209.707891,743426.000,52952,3,PI,1,100,153499
1735118209.747891,743466.000,52952,3,PI,1,100,153497
1735118209.787891,743506.000,52967,3,PI,1,100,153489
1735118209.827891,743546.000,52967,3,PI,1,100,153432
1735118209.867891,743586.000,52967,3,PI,1,100,153457
1735118209.907891,743626.000,52985,2,PI,1,100,153443
1735118209.947891,743666.000,52985,2,PI,1,100,153471
1735118209.987891,743706.000,53003,3,PI,1,100,153482
1735118210.027891,743746.000,53003,3,PI,1,100,153499
1735118210.067891,743786.000,53003,3,PI,1,100,153518
1735118210.107891,743826.000,53020,2,PI,1,100,153504
1735118210.147891,743866.000,53020,2,PI,1,100,153503
1735118210.187891,743906.000,53035,3,PI,1,100,153528
1735118210.227891,743946.000,53035,3,PI,1,100,153546
1735118210.267891,743986.000,53035,3,PI,1,100,153527
1735118210.307891,744026.000,53057,3,PI,1,100,153553
1735118210.347891,744066.000,53057,3,PI,1,100,153584
1735118210.387891,744106.000,53057,3,PI,1,100,153590
1735118210.427891,744146.000,53073,3,PI,1,100,153587
1735118210.467891,744186.000,53073,3,PI,1,100,153594
1735118210.507891,744226.000,53073,3,PI,1,100,153597
1735118210.547891,744266.000,53091,2,PI,1,100,153598
1735118210.587891,744306.000,53091,2,PI,1,100,153553
1735118210.627891,744346.000,53107,3,PI,1,100,153549
1735118210.667891,744386.000,53107,3,PI,1,100,153535
1735118210.707891,744426.000,53107,3,PI,1,100,153556
1735118210.747891,744466.000,53122,2,PI,1,100,153582
1735118210.787891,744506.000,53122,2,PI,1,100,153582
1735118210.834391,744552.500,53140,2,PI,1,100,153580
1735118210.880891,744599.000,53140,2,PI,1,100,153594
1735118210.920891,744639.000,53158,3,PI,1,100,153565
1735118210.960891,744679.000,53158,3,PI,1,100,153581
1735118211.000891,744719.000,53158,3,PI,1,100,153592
1735118211.040891,744759.000,53174,3,PI,1,100,153600
1735118211.080891,744799.000,53174,3,PI,1,100,153586
1735118211.120891,744839.000,53174,3,PI,1,100,153616
1735118211.160891,744879.000,53189,2,PI,1,100,153612
1735118211.200891,744919.000,53189,2,PI,1,100,153622
1735118211.240891,744959.000,53206,3,PI,1,100,153630
1735118211.280891,744999.000,53206,3,PI,1,100,153627
1735118211.320891,745039.000,53206,3,PI,1,100,153620
1735118211.360891,745079.000,53223,2,PI,1,100,153581
1735118211.400891,745119.000,53223,2,PI,1,100,153581
1735118211.440891,745159.000,53239,3,PI,1,100,153578
1735118211.480891,745199.000,53239,3,PI,1,100,153563
1735118211.520891,745239.000,53239,3,PI,1,100,153581
1735118211.560891,745279.000,53256,2,PI,1,100,153605
1735118211.600891,745319.000,53256,2,PI,1,100,153605
1735118211.640891,745359.000,53273,3,PI,1,100,153623
1735118211.680891,745399.000,53273,3,PI,1,100,153606
1735118211.720891,745439.000,53273,3,PI,1,100,153608
1735118211.760891,745479.000,53290,2,PI,1,100,153619
1735118211.800891,745519.000,53290,2,PI,1,100,153606
1735118211.840891,745559.000,53306,3,PI,1,100,153646
1735118211.880891,745599.000,53306,3,PI,1,100,153642
1735118211.920891,745639.000,53306,3,PI,1,100,153653
1735118211.960891,745679.000,53325,2,PI,1,100,153651
