LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735118209.427891,743146.000,52888,9,PR,1,100,123575
1735118209.427891,743146.000,52888,9,PR,1,100,123558
1735118209.427891,743146.000,52888,9,PR,1,100,123548
1735118209.427891,743146.000,52888,9,PR,1,100,123522
1735118209.427891,743146.000,52888,9,PR,1,100,123539
1735118209.427891,743146.000,52888,9,PR,1,100,123543
1735118209.427891,743146.000,52888,9,PR,1,100,123532
1735118209.427891,743146.000,52888,9,PR,1,100,123531
1735118209.427891,743146.000,52888,9,PR,1,100,123511
1735118209.467891,743186.000,52904,2,PR,1,100,123522
1735118209.507891,743226.000,52904,2,PR,1,100,123544
1735118209.547891,743266.000,52920,1,PR,1,100,123519
1735118209.587891,743306.000,52937,2,PR,1,100,123520
1735118209.627891,743346.000,52937,2,PR,1,100,123508
1735118209.667891,743386.000,52953,3,PR,1,100,123504
1735118209.707891,743426.000,52953,3,PR,1,100,123502
1735118209.747891,743466.000,52953,3,PR,1,100,123477
1735118209.787891,743506.000,52968,3,PR,1,100,123445
1735118209.827891,743546.000,52968,3,PR,1,100,123441
1735118209.867891,743586.000,52968,3,PR,1,100,123418
1735118209.907891,743626.000,52986,2,PR,1,100,123436
1735118209.947891,743666.000,52986,2,PR,1,100,123448
1735118209.987891,743706.000,53004,3,PR,1,100,123458
1735118210.027891,743746.000,53004,3,PR,1,100,123465
1735118210.067891,743786.000,53004,3,PR,1,100,123489
1735118210.107891,743826.000,53021,2,PR,1,100,123469
1735118210.147891,743866.000,53021,2,PR,1,100,123462
1735118210.187891,743906.000,53036,3,PR,1,100,123467
1735118210.227891,743946.000,53036,3,PR,1,100,123482
1735118210.267891,743986.000,53036,3,PR,1,100,123475
1735118210.307891,744026.000,53058,3,PR,1,100,123468
1735118210.347891,744066.000,53058,3,PR,1,100,123475
1735118210.387891,744106.000,53058,3,PR,1,100,123487
1735118210.427891,744146.000,53074,3,PR,1,100,123493
1735118210.467891,744186.000,53074,3,PR,1,100,123497
1735118210.507891,744226.000,53074,3,PR,1,100,123502
1735118210.547891,744266.000,53092,2,PR,1,100,123469
1735118210.587891,744306.000,53092,2,PR,1,100,123458
1735118210.627891,744346.000,53108,3,PR,1,100,123458
1735118210.667891,744386.000,53108,3,PR,1,100,123447
1735118210.707891,744426.000,53108,3,PR,1,100,123464
1735118210.747891,744466.000,53123,2,PR,1,100,123467
1735118210.787891,744506.000,53123,2,PR,1,100,123467
1735118210.834391,744552.500,53141,2,PR,1,100,123475
1735118210.880891,744599.000,53141,2,PR,1,100,123491
1735118210.920891,744639.000,53159,3,PR,1,100,123476
1735118210.960891,744679.000,53159,3,PR,1,100,123476
1735118211.000891,744719.000,53159,3,PR,1,100,123475
1735118211.040891,744759.000,53175,3,PR,1,100,123468
1735118211.080891,744799.000,53175,3,PR,1,100,123465
1735118211.120891,744839.000,53175,3,PR,1,100,123465
1735118211.160891,744879.000,53190,2,PR,1,100,123464
1735118211.200891,744919.000,53190,2,PR,1,100,123464
1735118211.240891,744959.000,53207,3,PR,1,100,123462
1735118211.280891,744999.000,53207,3,PR,1,100,123454
1735118211.320891,745039.000,53207,3,PR,1,100,123447
1735118211.360891,745079.000,53224,2,PR,1,100,123442
1735118211.400891,745119.000,53224,2,PR,1,100,123439
1735118211.440891,745159.000,53240,3,PR,1,100,123419
1735118211.480891,745199.000,53240,3,PR,1,100,123391
1735118211.520891,745239.000,53240,3,PR,1,100,123409
1735118211.560891,745279.000,53257,2,PR,1,100,123401
1735118211.600891,745319.000,53257,2,PR,1,100,123396
1735118211.640891,745359.000,53274,3,PR,1,100,123385
1735118211.680891,745399.000,53274,3,PR,1,100,123366
1735118211.720891,745439.000,53274,3,PR,1,100,123361
1735118211.760891,745479.000,53291,2,PR,1,100,123381
1735118211.800891,745519.000,53291,2,PR,1,100,123365
1735118211.840891,745559.000,53307,3,PR,1,100,123371
1735118211.880891,745599.000,53307,3,PR,1,100,123351
1735118211.920891,745639.000,53307,3,PR,1,100,123344
1735118211.960891,745679.000,53326,2,PR,1,100,123342
1735118212.000891,745719.000,53326,2,PR,1,100,123349
1735118212.040891,745759.000,53341,3,PR,1,100,123340
1735118212.080891,745799.000,53341,3,PR,1,100,123313
1735118212.120891,745839.000,53341,3,PR,1,100,123322
1735118212.160891,745879.000,53358,2,PR,1,100,123290
1735118212.200891,745919.000,53358,2,PR,1,100,123310
1735118212.240891,745959.000,53375,3,PR,1,100,123312
1735118212.280891,745999.000,53375,3,PR,1,100,123306
1735118212.320891,746039.000,53375,3,PR,1,100,123316
1735118212.360891,746079.000,53394,2,PR,1,100,123308
1735118212.400891,746119.000,53394,2,PR,1,100,123323
1735118212.440891,746159.000,53408,3,PR,1,100,123299
1735118212.480891,746199.000,53408,3,PR,1,100,123303
1735118212.520891,746239.000,53408,3,PR,1,100,123291
1735118212.560891,746279.000,53426,3,PR,1,100,123273
1735118212.600891,746319.000,53426,3,PR,1,100,123274
1735118212.640891,746359.000,53426,3,PR,1,100,123274
1735118212.680891,746399.000,53442,2,PR,1,100,123273
1735118212.720891,746439.000,53442,2,PR,1,100,123291
1735118212.760891,746479.000,53459,3,PR,1,100,123305
1735118212.800891,746519.000,53459,3,PR,1,100,123282
1735118212.840891,746559.000,53459,3,PR,1,100,123270
1735118212.880891,746599.000,53474,2,PR,1,100,123279
1735118212.920891,746639.000,53474,2,PR,1,100,123256
