LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1735118210.301891,744020.000,53053,2,RD,1,100,TL
1735118210.301891,744020.000,53053,2,RD,1,100,TU
1735118212.864891,746583.000,53890,2,RD,1,100,TL
1735118215.427892,749146.000,53890,2,RD,1,100,TU
1735118217.981392,751699.500,54731,2,RD,1,100,TL
1735118220.534893,754253.000,54731,2,RD,1,100,TU
1735118223.092393,756810.500,55565,2,RD,1,100,TL
1735118225.649893,759368.000,55565,2,RD,1,100,TU
1735118228.216394,761934.500,56402,2,RD,1,100,TL
1735118230.782894,764501.000,56402,2,RD,1,100,TU
1735118233.341395,767059.500,57223,2,RD,1,100,TL
1735118235.899895,769618.000,57223,2,RD,1,100,TU
1735118238.455895,772174.000,58048,2,RD,1,100,TL
1735118241.011896,774730.000,58048,2,RD,1,100,TU
1735118243.567396,777285.500,58875,2,RD,1,100,TL
1735118246.122897,779841.000,58875,2,RD,1,100,TU
1735118248.674897,782393.000,59651,2,RD,1,100,TL
1735118251.226897,784945.000,59651,2,RD,1,100,TU
1735118253.788398,787506.500,60493,2,RD,1,100,TL
1735118256.349898,790068.000,60493,2,RD,1,100,TU
1735118258.915899,792634.000,61329,2,RD,1,100,TL
1735118261.481899,795200.000,61329,2,RD,1,100,TU
1735118264.045899,797764.000,62164,2,RD,1,100,TL
1735118266.609900,800328.000,62164,2,RD,1,100,TU
1735118269.165400,802883.500,62988,2,RD,1,100,TL
1735118271.720901,805439.000,62988,2,RD,1,100,TU
1735118274.274901,807993.000,63817,2,RD,1,100,TL
1735118276.828901,810547.000,63817,2,RD,1,100,TU
1735118279.392402,813110.500,64660,2,RD,1,100,TL
1735118281.955902,815674.000,64660,2,RD,1,100,TU
1735118284.522403,818240.500,65500,2,RD,1,100,TL
1735118287.088903,820807.000,65500,2,RD,1,100,TU
1735118289.649903,823368.000,803,2,RD,1,100,TL
1735118292.210904,825929.000,803,2,RD,1,100,TU
1735118294.764904,828483.000,1640,2,RD,1,100,TL
1735118297.318904,831037.000,1640,2,RD,1,100,TU
1735118299.872905,833591.000,2477,2,RD,1,100,TL
1735118302.426905,836145.000,2477,2,RD,1,100,TU
1735118304.984406,838702.500,3308,2,RD,1,100,TL
1735118307.541906,841260.000,3308,2,RD,1,100,TU
1735118310.102906,843821.000,4158,2,RD,1,100,TL
1735118312.663907,846382.000,4158,2,RD,1,100,TU
1735118315.217407,848935.500,4993,2,RD,1,100,TL
1735118317.770908,851489.000,4993,2,RD,1,100,TU
1735118320.324908,854043.000,5828,2,RD,1,100,TL
1735118322.878908,856597.000,5828,2,RD,1,100,TU
