LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1735118212.999892,746718,53573,1,SA,1,100,0.057707
1735118223.598893,757317,55347,1,SA,1,100,0.098858
1735118229.931894,763650,56298,1,SA,1,100,0.005685
1735118242.329896,776048,58370,1,SA,1,100,0.166967
1735118255.461898,789180,60441,1,SA,1,100,0.097040
1735118261.994899,795713,61501,1,SA,1,100,0.081667
1735118268.061900,801780,62503,1,SA,1,100,0.074996
1735118279.659902,813378,64323,1,SA,1,100,0.013068
1735118282.058902,815777,64765,1,SA,1,100,0.063288
1735118288.925903,822644,315,1,SA,1,100,0.029963
1735118300.590905,834309,2305,1,SA,1,100,0.077587
1735118313.789907,847508,4378,1,SA,1,100,0.006327
1735118328.120909,861839,6799,1,SA,1,100,0.092270
1735118334.387910,868106,7849,1,SA,1,100,0.095102
1735118337.053911,870772,8197,1,SA,1,100,0.007293
1735118349.118912,882837,10214,1,SA,1,100,0.062031
1735118353.318913,887037,10883,1,SA,1,100,0.037276
1735118355.051913,888770,11196,1,SA,1,100,0.103116
1735118370.583916,904302,13785,1,SA,1,100,0.075495
1735118387.648919,921367,16505,1,SA,1,100,0.011987
1735118394.047920,927766,17507,1,SA,1,100,0.002540
1735118407.980922,941699,19839,1,SA,1,100,0.001617
1735118410.912922,944631,20297,1,SA,1,100,0.000486
1735118412.313922,946032,20481,1,SA,1,100,0.000011
1735118415.512923,949231,21049,1,SA,1,100,0.000844
1735118417.045923,950764,21270,1,SA,1,100,0.000251
1735118417.312923,951031,21322,1,SA,1,100,0.000298
1735118419.445924,953164,21670,1,SA,1,100,0.000384
1735118421.111924,954830,22007,1,SA,1,100,0.003671
1735118422.111924,955830,22177,1,SA,1,100,0.024104
1735118426.911925,960630,23045,1,SA,1,100,0.003421
1735118429.644925,963363,23512,1,SA,1,100,0.004665
1735118438.777926,972496,24861,1,SA,1,100,0.001069
1735118439.377927,973096,24978,1,SA,1,100,0.002820
1735118440.043927,973762,25048,1,SA,1,100,0.001022
1735118440.243927,973962,25105,1,SA,1,100,0.001198
1735118440.710927,974429,25157,1,SA,1,100,0.000380
1735118441.043927,974762,25374,1,SA,1,100,0.003728
1735118442.976927,976695,25657,1,SA,1,100,0.003183
1735118444.975927,978694,25908,1,SA,1,100,0.001155
1735118452.442929,986161,27151,1,SA,1,100,0.001281
1735118453.375929,987094,27334,1,SA,1,100,0.001947
1735118456.641929,990360,27892,1,SA,1,100,0.002031
1735118457.841929,991560,28011,1,SA,1,100,0.000744
1735118458.441930,992160,28080,1,SA,1,100,0.000146
1735118463.040930,996759,28913,1,SA,1,100,0.004455
1735118463.640930,997359,28983,1,SA,1,100,0.862979
1735118491.504935,1025223,33522,1,SA,1,100,0.010811
1735118499.770936,1033489,34848,1,SA,1,100,0.013466
1735118504.370937,1038089,35585,1,SA,1,100,0.008435
