LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1735118209.399891,743118.000,52886,1,SF,1,100,8.4464
1735118209.599891,743318.000,52935,1,SF,1,100,8.3487
1735118209.932891,743651.000,52984,1,SF,1,100,8.2521
1735118210.266891,743985.000,53034,1,SF,1,100,8.1567
1735118210.599891,744318.000,53090,1,SF,1,100,8.0623
1735118210.999891,744718.000,53157,1,SF,1,100,7.9690
1735118211.266891,744985.000,53205,1,SF,1,100,7.8769
1735118211.599891,745318.000,53255,1,SF,1,100,7.7857
1735118211.999891,745718.000,53324,1,SF,1,100,7.6957
1735118212.332891,746051.000,53373,1,SF,1,100,7.6066
1735118212.599891,746318.000,53424,1,SF,1,100,7.5187
1735118212.932891,746651.000,53472,1,SF,1,100,7.4317
1735118213.332891,747051.000,53539,1,SF,1,100,7.3457
1735118213.599891,747318.000,53592,1,SF,1,100,9.3430
1735118213.932892,747651.000,53642,1,SF,1,100,9.2349
1735118214.265892,747984.000,53691,1,SF,1,100,9.1281
1735118214.665892,748384.000,53756,1,SF,1,100,9.0225
1735118214.932892,748651.000,53808,1,SF,1,100,8.9181
1735118215.265892,748984.000,53857,1,SF,1,100,8.8149
1735118215.599892,749318.000,53912,1,SF,1,100,8.7130
1735118215.932892,749651.000,53961,1,SF,1,100,8.6122
1735118216.332892,750051.000,54028,1,SF,1,100,8.5126
1735118216.598892,750317.000,54076,1,SF,1,100,8.4141
1735118216.932892,750651.000,54127,1,SF,1,100,8.3167
1735118217.332892,751051.000,54195,1,SF,1,100,8.2205
1735118217.598892,751317.000,54244,1,SF,1,100,8.1254
1735118217.931892,751650.000,54295,1,SF,1,100,8.0314
1735118218.265892,751984.000,54345,1,SF,1,100,7.9385
1735118218.665892,752384.000,54410,1,SF,1,100,7.8467
1735118218.931892,752650.000,54463,1,SF,1,100,7.7559
1735118219.265893,752984.000,54513,1,SF,1,100,7.6662
1735118219.665892,753384.000,54578,1,SF,1,100,7.5775
1735118219.931892,753650.000,54629,1,SF,1,100,7.4899
1735118220.265893,753984.000,54679,1,SF,1,100,7.4032
1735118220.598893,754317.000,54735,1,SF,1,100,7.3176
1735118220.931893,754650.000,54783,1,SF,1,100,7.2329
1735118221.331893,755050.000,54848,1,SF,1,100,7.1493
1735118221.598893,755317.000,54901,1,SF,1,100,7.0666
1735118221.931893,755650.000,54949,1,SF,1,100,6.9848
1735118222.264893,755983.000,55000,1,SF,1,100,6.9040
1735118222.664893,756383.000,55067,1,SF,1,100,6.8241
1735118222.931893,756650.000,55117,1,SF,1,100,6.7452
1735118223.264893,756983.000,55166,1,SF,1,100,6.6672
1735118223.664893,757383.000,55231,1,SF,1,100,6.5900
1735118223.931893,757650.000,55281,1,SF,1,100,6.5138
1735118224.264893,757983.000,55331,1,SF,1,100,6.4385
1735118224.597893,758316.000,55382,1,SF,1,100,8.4462
1735118224.997893,758716.000,55447,1,SF,1,100,8.3485
1735118225.264893,758983.000,55496,1,SF,1,100,8.2520
1735118225.597893,759316.000,55546,1,SF,1,100,8.1565
1735118225.931893,759650.000,55600,1,SF,1,100,8.0621
1735118226.264894,759983.000,55650,1,SF,1,100,7.9689
1735118226.664894,760383.000,55715,1,SF,1,100,7.8767
1735118226.931894,760650.000,55768,1,SF,1,100,7.7856
1735118227.264894,760983.000,55818,1,SF,1,100,7.6955
1735118227.664894,761383.000,55885,1,SF,1,100,7.6065
1735118227.997894,761716.000,55934,1,SF,1,100,7.5185
1735118228.264894,761983.000,55984,1,SF,1,100,7.4315
1735118228.597894,762316.000,56033,1,SF,1,100,7.3455
1735118228.997894,762716.000,56098,1,SF,1,100,7.2606
