LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1735118212.999892,746718,53574,1,SR,1,100,0.466667
1735118223.598893,757317,55348,1,SR,1,100,0.733333
1735118229.931894,763650,56299,1,SR,1,100,0.133333
1735118242.329896,776048,58371,1,SR,1,100,0.666667
1735118255.461898,789180,60442,1,SR,1,100,0.533333
1735118261.994899,795713,61502,1,SR,1,100,0.533333
1735118268.061900,801780,62504,1,SR,1,100,0.600000
1735118279.659902,813378,64324,1,SR,1,100,0.200000
1735118282.058902,815777,64766,1,SR,1,100,0.466667
1735118288.925903,822644,316,1,SR,1,100,0.333333
1735118300.590905,834309,2306,1,SR,1,100,0.666667
1735118313.789907,847508,4379,1,SR,1,100,0.133333
1735118328.120909,861839,6800,1,SR,1,100,0.533333
1735118334.387910,868106,7850,1,SR,1,100,0.666667
1735118337.053911,870772,8198,1,SR,1,100,0.133333
1735118349.118912,882837,10215,1,SR,1,100,0.533333
1735118353.318913,887037,10884,1,SR,1,100,0.400000
1735118355.051913,888770,11197,1,SR,1,100,0.600000
1735118370.583916,904302,13786,1,SR,1,100,0.933333
1735118387.648919,921367,16506,1,SR,1,100,0.466667
1735118394.047920,927766,17508,1,SR,1,100,0.133333
1735118407.980922,941699,19840,1,SR,1,100,0.466667
1735118410.912922,944631,20298,1,SR,1,100,0.333333
1735118412.313922,946032,20482,1,SR,1,100,0.066667
1735118415.512923,949231,21050,1,SR,1,100,0.333333
1735118417.045923,950764,21271,1,SR,1,100,0.133333
1735118417.312923,951031,21323,1,SR,1,100,0.133333
1735118419.445924,953164,21671,1,SR,1,100,0.133333
1735118421.111924,954830,22008,1,SR,1,100,0.466667
1735118422.111924,955830,22178,1,SR,1,100,0.533333
1735118426.911925,960630,23046,1,SR,1,100,1.066667
1735118429.644925,963363,23513,1,SR,1,100,1.200000
1735118438.777926,972496,24862,1,SR,1,100,0.266667
1735118439.377927,973096,24979,1,SR,1,100,0.400000
1735118440.043927,973762,25049,1,SR,1,100,0.066667
1735118440.243927,973962,25106,1,SR,1,100,0.200000
1735118440.710927,974429,25158,1,SR,1,100,0.066667
1735118441.043927,974762,25375,1,SR,1,100,1.000000
1735118442.976927,976695,25658,1,SR,1,100,0.800000
1735118444.975927,978694,25909,1,SR,1,100,0.400000
1735118452.442929,986161,27152,1,SR,1,100,0.400000
1735118453.375929,987094,27335,1,SR,1,100,0.600000
1735118456.641929,990360,27893,1,SR,1,100,0.666667
1735118457.841929,991560,28012,1,SR,1,100,0.200000
1735118458.441930,992160,28081,1,SR,1,100,0.066667
1735118463.040930,996759,28914,1,SR,1,100,0.466667
1735118463.640930,997359,28984,1,SR,1,100,0.333333
1735118491.504935,1025223,33523,1,SR,1,100,0.333333
1735118499.770936,1033489,34849,1,SR,1,100,0.400000
1735118504.370937,1038089,35586,1,SR,1,100,0.333333
