LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1735118209.392891,743111.000,52892,3,T1,1,100,36.580
1735118209.392891,743111.000,52892,3,T1,1,100,36.534
1735118209.392891,743111.000,52892,3,T1,1,100,36.515
1735118209.526891,743245.000,52924,1,T1,1,100,36.577
1735118209.659891,743378.000,52941,1,T1,1,100,36.533
1735118209.792891,743511.000,52972,1,T1,1,100,36.479
1735118209.926891,743645.000,52990,1,T1,1,100,36.526
1735118210.059891,743778.000,53008,1,T1,1,100,36.476
1735118210.192891,743911.000,53040,1,T1,1,100,36.454
1735118210.325891,744044.000,53062,1,T1,1,100,36.516
1735118210.459891,744178.000,53078,1,T1,1,100,36.471
1735118210.592891,744311.000,53096,1,T1,1,100,36.558
1735118210.726891,744445.000,53127,1,T1,1,100,36.525
1735118210.859891,744578.000,53145,1,T1,1,100,36.440
1735118210.992891,744711.000,53163,1,T1,1,100,36.510
1735118211.125891,744844.000,53194,1,T1,1,100,36.504
1735118211.259891,744978.000,53211,1,T1,1,100,36.502
1735118211.392891,745111.000,53228,1,T1,1,100,36.430
1735118211.525891,745244.000,53244,1,T1,1,100,36.541
1735118211.659891,745378.000,53278,1,T1,1,100,36.588
1735118211.792891,745511.000,53295,1,T1,1,100,36.503
1735118211.925891,745644.000,53311,1,T1,1,100,36.572
1735118212.059891,745778.000,53345,1,T1,1,100,36.460
1735118212.192891,745911.000,53362,1,T1,1,100,36.447
1735118212.325891,746044.000,53379,1,T1,1,100,36.548
1735118212.459891,746178.000,53412,1,T1,1,100,36.592
1735118212.592891,746311.000,53430,1,T1,1,100,36.540
1735118212.725891,746444.000,53446,1,T1,1,100,36.517
1735118212.859891,746578.000,53478,1,T1,1,100,36.578
1735118212.992891,746711.000,53495,1,T1,1,100,36.463
1735118213.125891,746844.000,53513,1,T1,1,100,36.484
1735118213.258891,746977.000,53545,1,T1,1,100,36.529
1735118213.392891,747111.000,53562,1,T1,1,100,36.512
1735118213.525892,747244.000,53580,1,T1,1,100,36.541
1735118213.659892,747378.000,53612,1,T1,1,100,36.447
1735118213.792892,747511.000,53629,1,T1,1,100,36.441
1735118213.925892,747644.000,53648,1,T1,1,100,36.510
1735118214.058892,747777.000,53665,1,T1,1,100,36.504
1735118214.192892,747911.000,53697,1,T1,1,100,36.431
1735118214.325892,748044.000,53713,1,T1,1,100,36.470
1735118214.458892,748177.000,53730,1,T1,1,100,36.558
1735118214.592892,748311.000,53762,1,T1,1,100,36.525
1735118214.725892,748444.000,53780,1,T1,1,100,36.546
1735118214.858892,748577.000,53797,1,T1,1,100,36.520
1735118214.992892,748711.000,53829,1,T1,1,100,36.544
1735118215.125892,748844.000,53845,1,T1,1,100,36.484
1735118215.258892,748977.000,53863,1,T1,1,100,36.528
1735118215.392392,749110.500,53901,2,T1,1,100,36.548
1735118215.525892,749244.000,53901,2,T1,1,100,36.450
1735118215.658892,749377.000,53933,1,T1,1,100,36.514
1735118215.792892,749511.000,53949,1,T1,1,100,36.541
1735118215.925892,749644.000,53967,1,T1,1,100,36.553
1735118216.058892,749777.000,53998,1,T1,1,100,36.523
1735118216.192892,749911.000,54014,1,T1,1,100,36.510
1735118216.325892,750044.000,54034,1,T1,1,100,36.433
1735118216.458892,750177.000,54065,1,T1,1,100,36.542
1735118216.592892,750311.000,54082,1,T1,1,100,36.589
1735118216.725892,750444.000,54099,1,T1,1,100,36.503
