LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1735118209.407891,743126.000,52893,3,TH,1,100,33.041
1735118209.407891,743126.000,52893,3,TH,1,100,33.119
1735118209.407891,743126.000,52893,3,TH,1,100,33.119
1735118209.541891,743260.000,52925,1,TH,1,100,33.093
1735118209.674891,743393.000,52957,1,TH,1,100,33.093
1735118209.807891,743526.000,52973,1,TH,1,100,33.050
1735118209.940891,743659.000,52991,1,TH,1,100,33.050
1735118210.074891,743793.000,53009,1,TH,1,100,33.005
1735118210.207891,743926.000,53041,1,TH,1,100,33.005
1735118210.340891,744059.000,53063,1,TH,1,100,32.989
1735118210.474891,744193.000,53079,1,TH,1,100,32.989
1735118210.607891,744326.000,53097,1,TH,1,100,33.057
1735118210.740891,744459.000,53128,1,TH,1,100,33.057
1735118210.874891,744593.000,53146,1,TH,1,100,32.930
1735118211.007891,744726.000,53164,1,TH,1,100,32.930
1735118211.140891,744859.000,53195,1,TH,1,100,32.950
1735118211.274891,744993.000,53212,1,TH,1,100,32.950
1735118211.407891,745126.000,53229,1,TH,1,100,33.078
1735118211.540891,745259.000,53261,1,TH,1,100,33.078
1735118211.674891,745393.000,53279,1,TH,1,100,33.069
1735118211.807891,745526.000,53296,1,TH,1,100,33.069
1735118211.940891,745659.000,53330,1,TH,1,100,32.932
1735118212.073891,745792.000,53346,1,TH,1,100,32.939
1735118212.207891,745926.000,53363,1,TH,1,100,32.991
1735118212.340891,746059.000,53380,1,TH,1,100,32.991
1735118212.473891,746192.000,53413,1,TH,1,100,33.007
1735118212.607891,746326.000,53431,1,TH,1,100,33.007
1735118212.740891,746459.000,53447,1,TH,1,100,32.968
1735118212.873891,746592.000,53479,1,TH,1,100,32.968
1735118213.007891,746726.000,53496,1,TH,1,100,32.988
1735118213.140892,746859.000,53514,1,TH,1,100,32.988
1735118213.274891,746993.000,53546,1,TH,1,100,33.049
1735118213.407892,747126.000,53563,1,TH,1,100,33.049
1735118213.540891,747259.000,53581,1,TH,1,100,33.075
1735118213.673892,747392.000,53613,1,TH,1,100,33.075
1735118213.807892,747526.000,53630,1,TH,1,100,32.978
1735118213.940892,747659.000,53649,1,TH,1,100,32.978
1735118214.073892,747792.000,53666,1,TH,1,100,33.077
1735118214.207892,747926.000,53698,1,TH,1,100,33.077
1735118214.340892,748059.000,53714,1,TH,1,100,32.997
1735118214.473892,748192.000,53731,1,TH,1,100,32.997
1735118214.607892,748326.000,53763,1,TH,1,100,32.997
1735118214.740892,748459.000,53781,1,TH,1,100,32.997
1735118214.873892,748592.000,53798,1,TH,1,100,32.983
1735118215.007892,748726.000,53830,1,TH,1,100,32.983
1735118215.140892,748859.000,53846,1,TH,1,100,32.934
1735118215.273892,748992.000,53864,1,TH,1,100,32.934
1735118215.407392,749125.500,53902,2,TH,1,100,32.971
1735118215.540892,749259.000,53902,2,TH,1,100,32.971
1735118215.673892,749392.000,53934,1,TH,1,100,33.121
1735118215.806892,749525.000,53950,1,TH,1,100,33.121
1735118215.940892,749659.000,53968,1,TH,1,100,32.983
1735118216.073892,749792.000,53999,1,TH,1,100,32.983
1735118216.207892,749926.000,54015,1,TH,1,100,33.004
1735118216.340892,750059.000,54035,1,TH,1,100,33.004
1735118216.473892,750192.000,54066,1,TH,1,100,33.113
1735118216.606892,750325.000,54083,1,TH,1,100,33.113
1735118216.740892,750459.000,54100,1,TH,1,100,32.960
1735118216.873892,750592.000,54134,1,TH,1,100,32.960
1735118217.006892,750725.000,54152,1,TH,1,100,33.030
1735118217.140892,750859.000,54169,1,TH,1,100,33.030
1735118217.273892,750992.000,54201,1,TH,1,100,32.992
1735118217.406892,751125.000,54217,1,TH,1,100,32.991
1735118217.540892,751259.000,54234,1,TH,1,100,33.066
1735118217.673892,751392.000,54266,1,TH,1,100,33.066
1735118217.806892,751525.000,54284,1,TH,1,100,33.030
1735118217.940892,751659.000,54302,1,TH,1,100,33.030
1735118218.073892,751792.000,54318,1,TH,1,100,33.002
1735118218.206892,751925.000,54352,1,TH,1,100,33.002
1735118218.340892,752059.000,54369,1,TH,1,100,33.004
1735118218.473892,752192.000,54385,1,TH,1,100,33.004
1735118218.606892,752325.000,54417,1,TH,1,100,32.960
1735118218.740892,752459.000,54434,1,TH,1,100,32.960
1735118218.873892,752592.000,54450,1,TH,1,100,33.061
1735118219.006892,752725.000,54484,1,TH,1,100,33.061
1735118219.139892,752858.000,54503,1,TH,1,100,33.091
1735118219.273892,752992.000,54520,1,TH,1,100,33.091
1735118219.406892,753125.000,54551,1,TH,1,100,33.082
1735118219.539892,753258.000,54568,1,TH,1,100,33.082
1735118219.673892,753392.000,54585,1,TH,1,100,33.017
1735118219.806892,753525.000,54618,1,TH,1,100,33.017
1735118219.939893,753658.000,54636,1,TH,1,100,32.874
1735118220.073893,753792.000,54652,1,TH,1,100,32.874
1735118220.206892,753925.000,54669,1,TH,1,100,33.001
1735118220.339893,754058.000,54701,1,TH,1,100,33.001
1735118220.473893,754192.000,54719,1,TH,1,100,33.020
1735118220.606893,754325.000,54742,1,TH,1,100,33.020
1735118220.739893,754458.000,54758,1,TH,1,100,32.937
1735118220.873893,754592.000,54790,1,TH,1,100,32.936
1735118221.006893,754725.000,54807,1,TH,1,100,33.113
1735118221.139893,754858.000,54823,1,TH,1,100,33.113
1735118221.273893,754992.000,54855,1,TH,1,100,33.001
1735118221.406893,755125.000,54874,1,TH,1,100,33.001
1735118221.539893,755258.000,54890,1,TH,1,100,32.992
1735118221.673893,755392.000,54922,1,TH,1,100,32.991
1735118221.806893,755525.000,54939,1,TH,1,100,33.001
1735118221.939893,755658.000,54956,1,TH,1,100,33.001
1735118222.072893,755791.000,54989,1,TH,1,100,33.037
1735118222.206893,755925.000,55007,1,TH,1,100,33.037
1735118222.339893,756058.000,55025,1,TH,1,100,33.046
1735118222.473893,756192.000,55042,1,TH,1,100,33.046
1735118222.606893,756325.000,55074,1,TH,1,100,33.048
1735118222.739893,756458.000,55090,1,TH,1,100,33.048
1735118222.872893,756591.000,55107,1,TH,1,100,33.048
1735118223.006893,756725.000,55139,1,TH,1,100,33.048
1735118223.139893,756858.000,55155,1,TH,1,100,33.011
1735118223.272893,756991.000,55173,1,TH,1,100,33.011
1735118223.406893,757125.000,55204,1,TH,1,100,32.954
1735118223.539893,757258.000,55220,1,TH,1,100,32.962
1735118223.672893,757391.000,55238,1,TH,1,100,33.024
1735118223.806893,757525.000,55271,1,TH,1,100,33.024
1735118223.939893,757658.000,55288,1,TH,1,100,33.029
1735118224.072893,757791.000,55305,1,TH,1,100,33.029
1735118224.206893,757925.000,55337,1,TH,1,100,33.024
1735118224.339893,758058.000,55355,1,TH,1,100,33.024
1735118224.472893,758191.000,55372,1,TH,1,100,33.091
1735118224.606893,758325.000,55389,1,TH,1,100,33.091
1735118224.739893,758458.000,55420,1,TH,1,100,33.016
1735118224.872893,758591.000,55437,1,TH,1,100,33.016
1735118225.006893,758725.000,55454,1,TH,1,100,33.017
1735118225.139893,758858.000,55485,1,TH,1,100,33.017
1735118225.272893,758991.000,55503,1,TH,1,100,33.003
1735118225.406893,759125.000,55519,1,TH,1,100,33.003
1735118225.539893,759258.000,55553,1,TH,1,100,32.988
