LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1735118210.300891,744019.000,53051,1,TL,1,100,2024-12-25_16-16-45-318664
1735118210.312891,744031.000,53054,1,TL,1,100,2024-12-25_16-16-50-306464
1735118215.422892,749141.000,53888,1,TL,1,100,2024-12-25_16-16-50-468188
1735118215.436892,749155.000,53891,1,TL,1,100,2024-12-25_16-16-55-432392
1735118220.530893,754249.000,54729,1,TL,1,100,2024-12-25_16-16-55-570195
1735118220.581892,754300.000,54732,1,TL,1,100,2024-12-25_16-17-00-577006
1735118225.647893,759366.000,55563,1,TL,1,100,2024-12-25_16-17-00-721880
1735118230.777894,764496.000,56398,1,TL,1,100,2024-12-25_16-17-05-759095
1735118230.780894,764499.000,56400,1,TL,1,100,2024-12-25_16-17-05-786338
1735118230.795894,764514.000,56403,1,TL,1,100,2024-12-25_16-17-10-791335
1735118235.898895,769617.000,57221,1,TL,1,100,2024-12-25_16-17-10-915024
1735118235.914895,769633.000,57224,1,TL,1,100,2024-12-25_16-17-15-912327
1735118241.007896,774726.000,58046,1,TL,1,100,2024-12-25_16-17-16-029392
1735118246.118896,779837.000,58871,1,TL,1,100,2024-12-25_16-17-21-085452
1735118246.120897,779839.000,58873,1,TL,1,100,2024-12-25_16-17-21-166496
1735118246.138896,779857.000,58876,1,TL,1,100,2024-12-25_16-17-26-135892
1735118251.225897,784944.000,59649,1,TL,1,100,2024-12-25_16-17-26-265195
1735118251.239897,784958.000,59652,1,TL,1,100,2024-12-25_16-17-31-234351
1735118256.347898,790066.000,60491,1,TL,1,100,2024-12-25_16-17-31-357869
1735118256.358898,790077.000,60494,1,TL,1,100,2024-12-25_16-17-36-355091
1735118261.479899,795198.000,61327,1,TL,1,100,2024-12-25_16-17-36-483476
1735118261.493899,795212.000,61330,1,TL,1,100,2024-12-25_16-17-41-487300
1735118266.605900,800324.000,62162,1,TL,1,100,2024-12-25_16-17-41-608230
1735118266.621900,800340.000,62165,1,TL,1,100,2024-12-25_16-17-46-615018
1735118271.718900,805437.000,62986,1,TL,1,100,2024-12-25_16-17-46-767712
1735118271.746901,805465.000,62989,1,TL,1,100,2024-12-25_16-17-51-733058
1735118276.826901,810545.000,63815,1,TL,1,100,2024-12-25_16-17-51-852921
1735118276.841901,810560.000,63818,1,TL,1,100,2024-12-25_16-17-56-836821
1735118281.953902,815672.000,64658,1,TL,1,100,2024-12-25_16-17-56-952927
1735118281.969902,815688.000,64661,1,TL,1,100,2024-12-25_16-18-01-963721
1735118287.083903,820802.000,65498,1,TL,1,100,2024-12-25_16-18-02-097689
