RD,TS_received,TS_sent,AK,RoundTrip,
744020,744031,2024-12-25_16-16-50-306464,744032,11,
749146,749155,2024-12-25_16-16-55-432392,749159,9,
754253,754300,2024-12-25_16-17-00-577006,754301,47,
759368,764496,2024-12-25_16-17-05-759095,764498,5128,
764501,764514,2024-12-25_16-17-10-791335,764519,13,
769618,769633,2024-12-25_16-17-15-912327,769638,15,
774730,779837,2024-12-25_16-17-21-085452,779838,5107,
779841,779857,2024-12-25_16-17-26-135892,779859,16,
784945,784958,2024-12-25_16-17-31-234351,784960,13,
790068,790077,2024-12-25_16-17-36-355091,790078,9,
795200,795212,2024-12-25_16-17-41-487300,795213,12,
800328,800340,2024-12-25_16-17-46-615018,800342,12,
805439,805465,2024-12-25_16-17-51-733058,805466,26,
810547,810560,2024-12-25_16-17-56-836821,810561,13,
815674,815688,2024-12-25_16-18-01-963721,815689,14,
820807,820821,2024-12-25_16-18-07-096663,820823,14,
825929,825966,2024-12-25_16-18-12-238045,825967,37,
831037,831046,2024-12-25_16-18-17-325012,831047,9,
836145,836159,2024-12-25_16-18-22-434013,836160,14,
841260,841270,2024-12-25_16-18-27-549283,841272,10,
846382,846443,2024-12-25_16-18-32-719439,846444,61,
851489,851503,2024-12-25_16-18-37-777381,851504,14,
856597,856608,2024-12-25_16-18-42-886900,856609,11,
861722,861730,2024-12-25_16-18-48-008838,861736,8,
866831,866842,2024-12-25_16-18-53-119132,866843,11,
871940,871962,2024-12-25_16-18-58-239422,871963,22,
877046,877057,2024-12-25_16-19-03-332923,877058,11,
882154,887279,2024-12-25_16-19-08-569597,887281,5125,
887281,887347,2024-12-25_16-19-13-623237,887349,66,
892388,892413,2024-12-25_16-19-18-680448,892414,25,
897497,897507,2024-12-25_16-19-23-784985,897508,10,
902627,902638,2024-12-25_16-19-28-914062,902639,11,
907736,907747,2024-12-25_16-19-34-022840,907749,11,
912850,912864,2024-12-25_16-19-39-138550,912866,14,
917983,917996,2024-12-25_16-19-44-272129,917997,13,
923091,923103,2024-12-25_16-19-49-378367,923104,12,
928196,933315,2024-12-25_16-19-54-483592,933316,5119,
933319,933328,2024-12-25_16-19-59-605340,933329,9,
938424,938447,2024-12-25_16-20-04-724691,938448,23,
943534,943544,2024-12-25_16-20-09-820832,943546,10,
948641,948651,2024-12-25_16-20-14-929966,948653,10,
953767,953779,2024-12-25_16-20-20-055051,953780,12,
958874,958960,2024-12-25_16-20-25-162279,958961,86,
963980,963992,2024-12-25_16-20-30-267303,963993,12,
969090,969098,2024-12-25_16-20-35-375926,969100,8,
974224,974234,2024-12-25_16-20-40-512512,974235,10,
979351,979363,2024-12-25_16-20-45-638674,979364,12,
984459,984484,2024-12-25_16-20-50-757107,984486,25,
989596,989607,2024-12-25_16-20-55-884212,989608,11,
994708,994717,2024-12-25_16-21-00-995033,994722,9,
999843,999855,2024-12-25_16-21-06-131949,999857,12,
1004952,1005006,2024-12-25_16-21-11-283130,1005007,54,
1010057,1010067,2024-12-25_16-21-16-344500,1010068,10,
1015190,1015200,2024-12-25_16-21-21-477717,1015201,10,
1020323,1020335,2024-12-25_16-21-26-611490,1020337,12,
1025452,1025467,2024-12-25_16-21-31-740421,1025468,15,
1030587,1030606,2024-12-25_16-21-36-880962,1030608,19,
1035698,1035721,2024-12-25_16-21-41-997399,1035723,23,
1040817,1040832,2024-12-25_16-21-47-106079,1040833,15,
