LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1735118512.205997,1045923.000,36762,2,AK,1,100,35971
1735118512.205997,1045923.000,36762,2,AK,1,100,RD
1735118512.229497,1045946.500,36765,2,AK,1,100,36763
1735118512.252997,1045970.000,36765,2,AK,1,100,RD
1735118514.783501,1048500.500,37586,2,AK,1,100,36763
1735118517.314005,1051031.000,37586,2,AK,1,100,RD
1735118517.321505,1051038.500,37589,2,AK,1,100,37587
1735118517.329005,1051046.000,37589,2,AK,1,100,RD
1735118519.884508,1053601.500,38425,2,AK,1,100,37587
1735118522.440012,1056157.000,38425,2,AK,1,100,RD
1735118522.446512,1056163.500,38428,2,AK,1,100,38426
1735118522.453012,1056170.000,38428,2,AK,1,100,RD
1735118525.010516,1058727.500,39268,2,AK,1,100,38426
1735118527.568019,1061285.000,39268,2,AK,1,100,RD
1735118527.577519,1061294.500,39271,2,AK,1,100,39269
1735118527.587019,1061304.000,39271,2,AK,1,100,RD
1735118530.142023,1063859.000,40102,2,AK,1,100,39269
1735118532.697027,1066414.000,40102,2,AK,1,100,RD
1735118532.708527,1066425.500,40105,2,AK,1,100,40103
1735118532.720027,1066437.000,40105,2,AK,1,100,RD
1735118535.266031,1068983.000,40937,2,AK,1,100,40103
1735118537.812034,1071529.000,40937,2,AK,1,100,RD
1735118537.819034,1071536.000,40940,2,AK,1,100,40938
1735118537.826034,1071543.000,40940,2,AK,1,100,RD
1735118540.385538,1074102.500,41775,2,AK,1,100,40938
1735118542.945042,1076662.000,41775,2,AK,1,100,RD
1735118542.955542,1076672.500,41778,2,AK,1,100,41776
1735118542.966042,1076683.000,41778,2,AK,1,100,RD
1735118545.521546,1079238.500,42608,2,AK,1,100,41776
1735118548.077049,1081794.000,42608,2,AK,1,100,RD
1735118548.089549,1081806.500,42611,2,AK,1,100,42609
1735118548.102049,1081819.000,42611,2,AK,1,100,RD
1735118550.643053,1084360.000,43430,2,AK,1,100,42609
1735118553.184057,1086901.000,43430,2,AK,1,100,RD
1735118553.224057,1086941.000,43433,2,AK,1,100,43431
1735118553.264057,1086981.000,43433,2,AK,1,100,RD
1735118555.791060,1089508.000,44266,2,AK,1,100,43431
1735118558.318064,1092035.000,44266,2,AK,1,100,RD
1735118558.325064,1092042.000,44269,2,AK,1,100,44267
1735118558.332064,1092049.000,44269,2,AK,1,100,RD
1735118560.885068,1094602.000,45103,2,AK,1,100,44267
1735118563.438071,1097155.000,45103,2,AK,1,100,RD
1735118563.446572,1097163.500,45106,2,AK,1,100,45104
1735118563.455072,1097172.000,45106,2,AK,1,100,RD
1735118566.002075,1099719.000,45934,2,AK,1,100,45104
1735118568.549079,1102266.000,45934,2,AK,1,100,RD
1735118568.558079,1102275.000,45937,2,AK,1,100,45935
1735118568.567079,1102284.000,45937,2,AK,1,100,RD
1735118571.122583,1104839.500,46772,2,AK,1,100,45935
1735118573.678087,1107395.000,46772,2,AK,1,100,RD
1735118573.700087,1107417.000,46775,2,AK,1,100,46773
1735118573.722086,1107439.000,46775,2,AK,1,100,RD
1735118576.258090,1109975.000,47605,2,AK,1,100,46773
1735118578.794094,1112511.000,47605,2,AK,1,100,RD
1735118578.803094,1112520.000,47608,2,AK,1,100,47606
1735118578.812094,1112529.000,47608,2,AK,1,100,RD
1735118581.356598,1115073.500,48422,2,AK,1,100,47606
1735118583.901101,1117618.000,48422,2,AK,1,100,RD
1735118583.914101,1117631.000,48425,2,AK,1,100,48423
1735118583.927101,1117644.000,48425,2,AK,1,100,RD
1735118586.479605,1120196.500,49254,2,AK,1,100,48423
1735118589.032109,1122749.000,49254,2,AK,1,100,RD
1735118589.040109,1122757.000,49257,2,AK,1,100,49255
1735118589.048109,1122765.000,49257,2,AK,1,100,RD
1735118591.596112,1125313.000,50083,2,AK,1,100,49255
1735118594.144116,1127861.000,50083,2,AK,1,100,RD
1735118594.156116,1127873.000,50086,2,AK,1,100,50084
1735118594.168116,1127885.000,50086,2,AK,1,100,RD
1735118596.719120,1130436.000,50913,2,AK,1,100,50084
1735118599.270124,1132987.000,50913,2,AK,1,100,RD
1735118599.279124,1132996.000,50916,2,AK,1,100,50914
1735118599.288124,1133005.000,50916,2,AK,1,100,RD
1735118601.837127,1135554.000,51747,2,AK,1,100,50914
1735118604.386131,1138103.000,51747,2,AK,1,100,RD
1735118604.397631,1138114.500,51750,2,AK,1,100,51748
1735118604.409131,1138126.000,51750,2,AK,1,100,RD
1735118606.964135,1140681.000,52582,2,AK,1,100,51748
1735118609.519139,1143236.000,52582,2,AK,1,100,RD
1735118609.529639,1143246.500,52585,2,AK,1,100,52583
1735118609.540138,1143257.000,52585,2,AK,1,100,RD
1735118612.092142,1145809.000,53418,2,AK,1,100,52583
1735118614.644146,1148361.000,53418,2,AK,1,100,RD
1735118614.650646,1148367.500,53421,2,AK,1,100,53419
1735118614.657146,1148374.000,53421,2,AK,1,100,RD
1735118617.203650,1150920.500,54235,2,AK,1,100,53419
1735118619.750153,1153467.000,54235,2,AK,1,100,RD
1735118622.317157,1156034.000,55066,2,AK,1,100,54236
1735118624.884161,1158601.000,55066,2,AK,1,100,RD
1735118624.892661,1158609.500,55069,2,AK,1,100,55067
1735118624.901161,1158618.000,55069,2,AK,1,100,RD
1735118627.447664,1161164.500,55906,2,AK,1,100,55067
1735118629.994168,1163711.000,55906,2,AK,1,100,RD
1735118629.999668,1163716.500,55909,2,AK,1,100,55907
1735118630.005168,1163722.000,55909,2,AK,1,100,RD
1735118632.560672,1166277.500,56733,2,AK,1,100,55907
1735118635.116176,1168833.000,56733,2,AK,1,100,RD
1735118635.121176,1168838.000,56736,2,AK,1,100,56734
1735118635.126176,1168843.000,56736,2,AK,1,100,RD
1735118637.676679,1171393.500,57566,2,AK,1,100,56734
1735118640.227183,1173944.000,57566,2,AK,1,100,RD
1735118640.235683,1173952.500,57569,2,AK,1,100,57567
1735118640.244183,1173961.000,57569,2,AK,1,100,RD
1735118642.795687,1176512.500,58402,2,AK,1,100,57567
1735118645.347191,1179064.000,58402,2,AK,1,100,RD
1735118645.354691,1179071.500,58405,2,AK,1,100,58403
1735118645.362190,1179079.000,58405,2,AK,1,100,RD
1735118647.914694,1181631.500,59243,2,AK,1,100,58403
1735118650.467198,1184184.000,59243,2,AK,1,100,RD
1735118650.474698,1184191.500,59246,2,AK,1,100,59244
1735118650.482198,1184199.000,59246,2,AK,1,100,RD
1735118653.028202,1186745.000,60068,2,AK,1,100,59244
1735118655.574205,1189291.000,60068,2,AK,1,100,RD
1735118655.580205,1189297.000,60071,2,AK,1,100,60069
1735118655.586205,1189303.000,60071,2,AK,1,100,RD
1735118658.149709,1191866.500,60904,2,AK,1,100,60069
1735118660.713213,1194430.000,60904,2,AK,1,100,RD
1735118660.743213,1194460.000,60907,2,AK,1,100,60905
1735118660.773213,1194490.000,60907,2,AK,1,100,RD
1735118663.301717,1197018.500,61734,2,AK,1,100,60905
1735118665.830220,1199547.000,61734,2,AK,1,100,RD
1735118665.836220,1199553.000,61737,2,AK,1,100,61735
1735118665.842220,1199559.000,61737,2,AK,1,100,RD
1735118668.393724,1202110.500,62570,2,AK,1,100,61735
1735118670.945228,1204662.000,62570,2,AK,1,100,RD
1735118670.956228,1204673.000,62573,2,AK,1,100,62571
1735118670.967228,1204684.000,62573,2,AK,1,100,RD
1735118673.516232,1207233.000,63409,2,AK,1,100,62571
1735118676.065235,1209782.000,63409,2,AK,1,100,RD
1735118676.074235,1209791.000,63412,2,AK,1,100,63410
1735118676.083235,1209800.000,63412,2,AK,1,100,RD
1735118678.628239,1212345.000,64281,2,AK,1,100,63410
1735118681.173243,1214890.000,64281,2,AK,1,100,RD
1735118681.204243,1214921.000,64284,2,AK,1,100,64282
1735118681.235243,1214952.000,64284,2,AK,1,100,RD
1735118683.758746,1217475.500,65143,2,AK,1,100,64282
1735118686.282250,1219999.000,65143,2,AK,1,100,RD
1735118686.289750,1220006.500,65146,2,AK,1,100,65144
1735118686.297250,1220014.000,65146,2,AK,1,100,RD
