LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1735118508.358992,1042076.000,36135,3,AY,1,100,0.005
1735118508.358992,1042076.000,36135,3,AY,1,100,0.014
1735118508.358992,1042076.000,36135,3,AY,1,100,0.024
1735118508.398658,1042115.667,36152,3,AY,1,100,-0.001
1735118508.438325,1042155.333,36152,3,AY,1,100,-0.005
1735118508.477992,1042195.000,36152,3,AY,1,100,-0.020
1735118508.518492,1042235.500,36169,2,AY,1,100,-0.026
1735118508.558992,1042276.000,36169,2,AY,1,100,-0.029
1735118508.598992,1042316.000,36184,3,AY,1,100,-0.029
1735118508.638992,1042356.000,36184,3,AY,1,100,-0.035
1735118508.678992,1042396.000,36184,3,AY,1,100,-0.022
1735118508.714325,1042431.333,36202,3,AY,1,100,-0.027
1735118508.749659,1042466.667,36202,3,AY,1,100,-0.015
1735118508.784992,1042502.000,36202,3,AY,1,100,-0.015
1735118508.824992,1042542.000,36219,2,AY,1,100,0.005
1735118508.864992,1042582.000,36219,2,AY,1,100,-0.026
1735118508.904992,1042622.000,36236,3,AY,1,100,-0.014
1735118508.944993,1042662.000,36236,3,AY,1,100,-0.017
1735118508.984993,1042702.000,36236,3,AY,1,100,-0.022
1735118509.024992,1042742.000,36251,2,AY,1,100,-0.018
1735118509.064993,1042782.000,36251,2,AY,1,100,-0.040
1735118509.104993,1042822.000,36267,3,AY,1,100,-0.045
1735118509.144993,1042862.000,36267,3,AY,1,100,-0.032
1735118509.184993,1042902.000,36267,3,AY,1,100,-0.005
1735118509.224993,1042942.000,36285,2,AY,1,100,-0.005
1735118509.264993,1042982.000,36285,2,AY,1,100,-0.021
1735118509.304993,1043022.000,36301,3,AY,1,100,-0.015
1735118509.344993,1043062.000,36301,3,AY,1,100,0.008
1735118509.384993,1043102.000,36301,3,AY,1,100,-0.016
1735118509.424993,1043142.000,36319,2,AY,1,100,0.001
1735118509.464993,1043182.000,36319,2,AY,1,100,0.012
1735118509.504993,1043222.000,36335,3,AY,1,100,0.002
1735118509.544993,1043262.000,36335,3,AY,1,100,-0.036
1735118509.584993,1043302.000,36335,3,AY,1,100,-0.002
1735118509.624993,1043342.000,36352,3,AY,1,100,-0.004
1735118509.664994,1043382.000,36352,3,AY,1,100,-0.003
1735118509.704993,1043422.000,36352,3,AY,1,100,-0.021
1735118509.744994,1043462.000,36368,2,AY,1,100,-0.015
1735118509.784994,1043502.000,36368,2,AY,1,100,0.025
1735118509.820994,1043538.000,36386,3,AY,1,100,-0.005
1735118509.856994,1043574.000,36386,3,AY,1,100,-0.038
1735118509.892994,1043610.000,36386,3,AY,1,100,-0.043
1735118509.932661,1043649.667,36400,3,AY,1,100,-0.036
1735118509.972327,1043689.333,36400,3,AY,1,100,-0.015
1735118510.011994,1043729.000,36400,3,AY,1,100,0.003
1735118510.051994,1043769.000,36417,2,AY,1,100,-0.022
1735118510.091994,1043809.000,36417,2,AY,1,100,-0.046
1735118510.132328,1043849.333,36433,3,AY,1,100,-0.046
1735118510.172661,1043889.667,36433,3,AY,1,100,-0.014
1735118510.212994,1043930.000,36433,3,AY,1,100,-0.011
1735118510.252494,1043969.500,36451,2,AY,1,100,-0.029
1735118510.291994,1044009.000,36451,2,AY,1,100,-0.037
1735118510.331995,1044049.000,36467,3,AY,1,100,-0.021
1735118510.371994,1044089.000,36467,3,AY,1,100,-0.012
1735118510.411995,1044129.000,36467,3,AY,1,100,-0.039
1735118510.451995,1044169.000,36484,2,AY,1,100,-0.026
