LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1735118511.869997,1045587.000,36729,1,B%,1,100,78
1735118516.870004,1050587.000,37531,1,B%,1,100,78
1735118521.869011,1055586.000,38339,1,B%,1,100,79
1735118526.869019,1060586.000,39166,1,B%,1,100,78
1735118531.868026,1065585.000,39985,1,B%,1,100,78
1735118536.868033,1070585.000,40802,1,B%,1,100,77
1735118541.867040,1075584.000,41604,1,B%,1,100,77
1735118546.867048,1080584.000,42426,1,B%,1,100,77
1735118551.866055,1085583.000,43225,1,B%,1,100,77
1735118556.866062,1090583.000,44048,1,B%,1,100,78
1735118561.865069,1095582.000,44851,1,B%,1,100,77
1735118566.865077,1100582.000,45669,1,B%,1,100,77
1735118571.864084,1105581.000,46491,1,B%,1,100,77
1735118576.864091,1110581.000,47307,1,B%,1,100,78
1735118581.863098,1115580.000,48122,1,B%,1,100,77
1735118586.863106,1120580.000,48907,1,B%,1,100,77
1735118591.862113,1125579.000,49719,1,B%,1,100,77
1735118596.862120,1130579.000,50534,1,B%,1,100,76
1735118601.861127,1135578.000,51350,1,B%,1,100,77
1735118606.861135,1140578.000,52169,1,B%,1,100,77
1735118611.860142,1145577.000,52966,1,B%,1,100,77
1735118616.860149,1150577.000,53786,1,B%,1,100,77
1735118621.859156,1155576.000,54584,1,B%,1,100,77
1735118626.859164,1160576.000,55408,1,B%,1,100,76
1735118631.858171,1165575.000,56225,1,B%,1,100,77
1735118636.858178,1170575.000,57036,1,B%,1,100,76
1735118641.857185,1175574.000,57836,1,B%,1,100,77
1735118646.857193,1180574.000,58657,1,B%,1,100,76
1735118651.856200,1185573.000,59482,1,B%,1,100,77
1735118656.856207,1190573.000,60291,1,B%,1,100,77
1735118661.855215,1195572.000,61110,1,B%,1,100,76
1735118666.855222,1200572.000,61924,1,B%,1,100,76
1735118671.854229,1205571.000,62728,1,B%,1,100,77
1735118676.854236,1210571.000,63551,1,B%,1,100,76
1735118681.853244,1215570.000,64410,1,B%,1,100,76
1735118686.853251,1220570.000,65254,1,B%,1,100,76
