LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1735118509.491993,1043209,36310,1,BI,1,100,2240
1735118510.531995,1044249,36492,1,BI,1,100,1040
1735118511.384996,1045102,36627,1,BI,1,100,840
1735118512.784998,1046502,36849,1,BI,1,100,1400
1735118513.504999,1047222,36965,1,BI,1,100,720
1735118514.425000,1048142,37114,1,BI,1,100,920
1735118515.558002,1049275,37297,1,BI,1,100,1120
1735118515.998003,1049715,37365,1,BI,1,100,440
1735118516.318003,1050035,37414,1,BI,1,100,320
1735118517.158004,1050875,37566,1,BI,1,100,840
1735118518.198006,1051915,37721,1,BI,1,100,1040
1735118519.771008,1053488,37985,1,BI,1,100,1560
1735118520.371009,1054088,38070,1,BI,1,100,600
1735118520.731009,1054448,38137,1,BI,1,100,360
1735118521.331010,1055048,38240,1,BI,1,100,600
1735118522.384012,1056101,38406,1,BI,1,100,1040
1735118523.504014,1057221,38594,1,BI,1,100,1120
1735118524.184015,1057901,38713,1,BI,1,100,680
1735118524.584015,1058301,38764,1,BI,1,100,400
1735118525.224016,1058941,38879,1,BI,1,100,640
1735118525.824017,1059541,38980,1,BI,1,100,600
1735118526.437018,1060154,39079,1,BI,1,100,600
1735118526.877018,1060594,39146,1,BI,1,100,440
1735118527.477019,1061194,39249,1,BI,1,100,600
1735118528.157020,1061874,39355,1,BI,1,100,680
1735118529.930023,1063647,39652,1,BI,1,100,1760
1735118530.970024,1064687,39816,1,BI,1,100,1040
1735118531.650025,1065367,39934,1,BI,1,100,680
1735118532.410027,1066127,40051,1,BI,1,100,760
1735118533.383028,1067100,40206,1,BI,1,100,960
1735118534.183029,1067900,40338,1,BI,1,100,800
1735118535.743031,1069460,40586,1,BI,1,100,1560
1735118536.343032,1070060,40685,1,BI,1,100,600
1735118537.556034,1071273,40884,1,BI,1,100,1200
1735118538.236035,1071953,41007,1,BI,1,100,680
1735118539.396037,1073113,41188,1,BI,1,100,1160
1735118540.316038,1074033,41338,1,BI,1,100,920
1735118540.809039,1074526,41421,1,BI,1,100,480
1735118541.889040,1075606,41587,1,BI,1,100,1080
1735118542.529041,1076246,41705,1,BI,1,100,640
1735118542.889042,1076606,41755,1,BI,1,100,360
1735118543.769043,1077486,41911,1,BI,1,100,880
1735118544.302044,1078019,41994,1,BI,1,100,520
1735118545.262045,1078979,42143,1,BI,1,100,960
1735118546.862047,1080579,42406,1,BI,1,100,1600
1735118548.675050,1082392,42694,1,BI,1,100,1800
1735118549.675052,1083392,42860,1,BI,1,100,1000
1735118550.115052,1083832,42927,1,BI,1,100,440
1735118551.075054,1084792,43077,1,BI,1,100,960
1735118551.968055,1085685,43226,1,BI,1,100,880
1735118552.608056,1086325,43326,1,BI,1,100,640
1735118553.048057,1086765,43411,1,BI,1,100,440
1735118553.608057,1087325,43501,1,BI,1,100,560
1735118554.488059,1088205,43633,1,BI,1,100,880
1735118557.061062,1090778,44066,1,BI,1,100,2560
1735118557.701063,1091418,44167,1,BI,1,100,640
1735118558.314064,1092031,44271,1,BI,1,100,600
1735118559.674066,1093391,44487,1,BI,1,100,1360
1735118560.314067,1094031,44586,1,BI,1,100,640
1735118561.114068,1094831,44718,1,BI,1,100,800
1735118562.087070,1095804,44886,1,BI,1,100,960
1735118562.607070,1096324,44971,1,BI,1,100,520
1735118563.607072,1097324,45124,1,BI,1,100,1000
1735118564.127073,1097844,45209,1,BI,1,100,520
1735118565.007074,1098724,45357,1,BI,1,100,880
1735118567.100077,1100817,45704,1,BI,1,100,2080
1735118569.593081,1103310,46104,1,BI,1,100,2480
1735118570.113081,1103830,46187,1,BI,1,100,520
1735118570.713082,1104430,46287,1,BI,1,100,600
1735118571.193083,1104910,46355,1,BI,1,100,480
1735118571.553083,1105270,46422,1,BI,1,100,360
1735118572.793085,1106510,46622,1,BI,1,100,1240
1735118573.926087,1107643,46808,1,BI,1,100,1120
1735118574.606088,1108323,46926,1,BI,1,100,680
1735118575.846090,1109563,47123,1,BI,1,100,1240
1735118576.286090,1110003,47190,1,BI,1,100,440
1735118577.539092,1111256,47390,1,BI,1,100,1240
1735118580.992097,1114709,47953,1,BI,1,100,3440
1735118581.632098,1115349,48053,1,BI,1,100,640
1735118582.512099,1116229,48205,1,BI,1,100,880
1735118583.432101,1117149,48354,1,BI,1,100,920
1735118584.765103,1118482,48560,1,BI,1,100,1320
1735118586.685105,1120402,48871,1,BI,1,100,1920
1735118587.658107,1121375,49023,1,BI,1,100,960
1735118590.498111,1124215,49488,1,BI,1,100,2840
1735118591.791113,1125508,49702,1,BI,1,100,1280
1735118593.511115,1127228,49984,1,BI,1,100,1720
1735118594.631117,1128348,50154,1,BI,1,100,1120
1735118596.644120,1130361,50484,1,BI,1,100,2000
1735118598.857123,1132574,50845,1,BI,1,100,2200
1735118599.817124,1133534,51000,1,BI,1,100,960
1735118600.777126,1134494,51150,1,BI,1,100,960
1735118601.856127,1135573,51330,1,BI,1,100,1080
1735118603.030129,1136747,51514,1,BI,1,100,1160
1735118604.190131,1137907,51711,1,BI,1,100,1160
1735118605.549133,1139266,51932,1,BI,1,100,1360
1735118606.363134,1140080,52067,1,BI,1,100,800
1735118607.602136,1141319,52268,1,BI,1,100,1240
1735118608.163136,1141880,52368,1,BI,1,100,560
1735118610.536140,1144253,52734,1,BI,1,100,2360
1735118611.455141,1145172,52882,1,BI,1,100,920
1735118612.216142,1145933,53018,1,BI,1,100,760
1735118613.229144,1146946,53182,1,BI,1,100,1000
1735118613.829145,1147546,53283,1,BI,1,100,600
1735118615.828148,1149545,53603,1,BI,1,100,2000
1735118616.268148,1149985,53670,1,BI,1,100,440
1735118617.442150,1151159,53870,1,BI,1,100,1160
1735118619.881154,1153598,54254,1,BI,1,100,2440
1735118621.974157,1155691,54585,1,BI,1,100,2080
1735118622.374157,1156091,54654,1,BI,1,100,400
1735118623.134158,1156851,54786,1,BI,1,100,760
1735118624.867161,1158584,55071,1,BI,1,100,1720
1735118625.547162,1159264,55172,1,BI,1,100,680
1735118625.947162,1159664,55242,1,BI,1,100,400
1735118626.867164,1160584,55388,1,BI,1,100,920
1735118627.667165,1161384,55525,1,BI,1,100,800
1735118629.120167,1162837,55754,1,BI,1,100,1440
1735118629.720168,1163437,55855,1,BI,1,100,600
1735118631.694171,1165411,56174,1,BI,1,100,1960
1735118634.893175,1168610,56699,1,BI,1,100,3200
1735118635.946177,1169663,56869,1,BI,1,100,1040
1735118636.666178,1170383,56984,1,BI,1,100,720
1735118637.826180,1171543,57169,1,BI,1,100,1160
1735118638.786181,1172503,57333,1,BI,1,100,960
1735118639.799182,1173516,57499,1,BI,1,100,1000
1735118640.199183,1173916,57571,1,BI,1,100,400
1735118641.039184,1174756,57687,1,BI,1,100,840
1735118642.079186,1175796,57872,1,BI,1,100,1040
1735118642.852187,1176569,57987,1,BI,1,100,760
1735118643.372188,1177089,58072,1,BI,1,100,520
1735118644.932190,1178649,58335,1,BI,1,100,1560
1735118645.732191,1179449,58457,1,BI,1,100,800
1735118646.172192,1179889,58524,1,BI,1,100,440
1735118648.385195,1182102,58890,1,BI,1,100,2200
1735118648.785196,1182502,58959,1,BI,1,100,400
1735118650.278198,1183995,59208,1,BI,1,100,1480
1735118651.478199,1185195,59397,1,BI,1,100,1200
1735118652.198200,1185915,59516,1,BI,1,100,720
1735118653.731203,1187448,59765,1,BI,1,100,1520
1735118654.291203,1188008,59865,1,BI,1,100,560
1735118654.571204,1188288,59899,1,BI,1,100,280
1735118655.131205,1188848,60000,1,BI,1,100,560
1735118655.731206,1189448,60090,1,BI,1,100,600
1735118656.491207,1190208,60206,1,BI,1,100,760
1735118657.384208,1191101,60357,1,BI,1,100,880
1735118657.944209,1191661,60458,1,BI,1,100,560
1735118658.224209,1191941,60508,1,BI,1,100,280
1735118660.064212,1193781,60805,1,BI,1,100,1840
1735118661.157213,1194874,60975,1,BI,1,100,1080
1735118661.717214,1195434,61059,1,BI,1,100,560
1735118663.037216,1196754,61275,1,BI,1,100,1320
1735118665.810220,1199527,61739,1,BI,1,100,2760
1735118666.690222,1200407,61872,1,BI,1,100,880
1735118667.570223,1201287,62023,1,BI,1,100,880
1735118668.183224,1201900,62123,1,BI,1,100,600
1735118669.263225,1202980,62287,1,BI,1,100,1080
1735118670.143227,1203860,62437,1,BI,1,100,880
1735118671.183228,1204900,62608,1,BI,1,100,1040
1735118671.783229,1205500,62711,1,BI,1,100,600
1735118673.396231,1207113,62978,1,BI,1,100,1600
1735118674.276232,1207993,63110,1,BI,1,100,880
1735118675.569234,1209286,63324,1,BI,1,100,1280
1735118684.795248,1218512,64895,1,BI,1,100,9200
