LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1735118511.869997,1045587.000,36728,1,BV,1,100,3.91
1735118516.870004,1050587.000,37530,1,BV,1,100,3.91
1735118521.869011,1055586.000,38338,1,BV,1,100,3.91
1735118526.869019,1060586.000,39165,1,BV,1,100,3.91
1735118531.868026,1065585.000,39984,1,BV,1,100,3.91
1735118536.868033,1070585.000,40801,1,BV,1,100,3.91
1735118541.867040,1075584.000,41603,1,BV,1,100,3.91
1735118546.867048,1080584.000,42425,1,BV,1,100,3.90
1735118551.866055,1085583.000,43224,1,BV,1,100,3.91
1735118556.866062,1090583.000,44047,1,BV,1,100,3.91
1735118561.865069,1095582.000,44850,1,BV,1,100,3.90
1735118566.865077,1100582.000,45668,1,BV,1,100,3.90
1735118571.864084,1105581.000,46490,1,BV,1,100,3.91
1735118576.864091,1110581.000,47306,1,BV,1,100,3.91
1735118581.863098,1115580.000,48121,1,BV,1,100,3.91
1735118586.863106,1120580.000,48906,1,BV,1,100,3.90
1735118591.862113,1125579.000,49718,1,BV,1,100,3.90
1735118596.862120,1130579.000,50533,1,BV,1,100,3.90
1735118601.861127,1135578.000,51349,1,BV,1,100,3.90
1735118606.861135,1140578.000,52168,1,BV,1,100,3.90
1735118611.860142,1145577.000,52965,1,BV,1,100,3.90
1735118616.860149,1150577.000,53785,1,BV,1,100,3.90
1735118621.859156,1155576.000,54583,1,BV,1,100,3.90
1735118626.859164,1160576.000,55407,1,BV,1,100,3.90
1735118631.858171,1165575.000,56224,1,BV,1,100,3.90
1735118636.858178,1170575.000,57035,1,BV,1,100,3.90
1735118641.857185,1175574.000,57835,1,BV,1,100,3.90
1735118646.857193,1180574.000,58656,1,BV,1,100,3.90
1735118651.856200,1185573.000,59481,1,BV,1,100,3.90
1735118656.856207,1190573.000,60290,1,BV,1,100,3.90
1735118661.855215,1195572.000,61109,1,BV,1,100,3.90
1735118666.855222,1200572.000,61923,1,BV,1,100,3.90
1735118671.854229,1205571.000,62727,1,BV,1,100,3.90
1735118676.854236,1210571.000,63550,1,BV,1,100,3.90
1735118681.853244,1215570.000,64409,1,BV,1,100,3.90
1735118686.853251,1220570.000,65253,1,BV,1,100,3.90
