LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,DC
1735118676.378236,1210095.000,63448,4,DC,2,100,EA
1735118676.378236,1210095.000,63448,4,DC,2,100,2
1735118676.378236,1210095.000,63448,4,DC,2,100,EL
1735118676.378236,1210095.000,63448,4,DC,2,100,2
1735118676.403486,1210120.250,63465,4,DC,2,100,EA
1735118676.428736,1210145.500,63465,4,DC,2,100,1
1735118676.453986,1210170.750,63465,4,DC,2,100,EL
1735118676.479236,1210196.000,63465,4,DC,2,100,1
1735118676.529986,1210246.750,63500,4,DC,2,100,EA
1735118676.580736,1210297.500,63500,4,DC,2,100,1
1735118676.631486,1210348.250,63500,4,DC,2,100,EL
1735118676.682236,1210399.000,63500,4,DC,2,100,1
1735118676.707736,1210424.500,63517,4,DC,2,100,EA
1735118676.733236,1210450.000,63517,4,DC,2,100,2
1735118676.758736,1210475.500,63517,4,DC,2,100,EL
1735118676.784236,1210501.000,63517,4,DC,2,100,2
1735118676.809236,1210526.000,63533,4,DC,2,100,EA
1735118676.834236,1210551.000,63533,4,DC,2,100,1
1735118676.859236,1210576.000,63533,4,DC,2,100,EL
1735118676.884236,1210601.000,63533,4,DC,2,100,1
1735118676.909486,1210626.250,63554,4,DC,2,100,EA
1735118676.934736,1210651.500,63554,4,DC,2,100,2
1735118676.959986,1210676.750,63554,4,DC,2,100,EL
1735118676.985236,1210702.000,63554,4,DC,2,100,2
1735118677.010237,1210727.000,63571,4,DC,2,100,EA
1735118677.035237,1210752.000,63571,4,DC,2,100,1
1735118677.060237,1210777.000,63571,4,DC,2,100,EL
1735118677.085237,1210802.000,63571,4,DC,2,100,1
1735118677.110987,1210827.750,63588,4,DC,2,100,EA
1735118677.136737,1210853.500,63588,4,DC,2,100,2
1735118677.162487,1210879.250,63588,4,DC,2,100,EL
1735118677.188237,1210905.000,63588,4,DC,2,100,2
1735118677.213987,1210930.750,63605,4,DC,2,100,EA
1735118677.239737,1210956.500,63605,4,DC,2,100,2
1735118677.265487,1210982.250,63605,4,DC,2,100,EL
1735118677.291237,1211008.000,63605,4,DC,2,100,2
1735118677.316487,1211033.250,63623,4,DC,2,100,EA
1735118677.341737,1211058.500,63623,4,DC,2,100,1
1735118677.366987,1211083.750,63623,4,DC,2,100,EL
1735118677.392237,1211109.000,63623,4,DC,2,100,1
1735118677.418987,1211135.750,63640,4,DC,2,100,EA
1735118677.445737,1211162.500,63640,4,DC,2,100,2
1735118677.472487,1211189.250,63640,4,DC,2,100,EL
1735118677.499237,1211216.000,63640,4,DC,2,100,2
1735118677.523487,1211240.250,63659,4,DC,2,100,EA
1735118677.547737,1211264.500,63659,4,DC,2,100,1
1735118677.571987,1211288.750,63659,4,DC,2,100,EL
1735118677.596237,1211313.000,63659,4,DC,2,100,1
