LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735118508.370992,1042088.000,36130,2,EA,1,100,1.444645
1735118508.370992,1042088.000,36130,2,EA,1,100,1.447940
1735118508.437992,1042155.000,36147,1,EA,1,100,1.450951
1735118508.504492,1042221.500,36164,2,EA,1,100,1.453672
1735118508.570992,1042288.000,36164,2,EA,1,100,1.453672
1735118508.637992,1042355.000,36181,1,EA,1,100,1.454580
1735118508.704492,1042421.500,36197,2,EA,1,100,1.453974
1735118508.770992,1042488.000,36197,2,EA,1,100,1.453672
1735118508.837992,1042555.000,36214,1,EA,1,100,1.453066
1735118508.904492,1042621.500,36231,2,EA,1,100,1.449144
1735118508.970993,1042688.000,36231,2,EA,1,100,1.443151
1735118509.037992,1042755.000,36248,1,EA,1,100,1.442854
1735118509.104493,1042821.500,36262,2,EA,1,100,1.447040
1735118509.170993,1042888.000,36262,2,EA,1,100,1.447641
1735118509.237993,1042955.000,36280,1,EA,1,100,1.449444
1735118509.304493,1043021.500,36296,2,EA,1,100,1.433370
1735118509.370993,1043088.000,36296,2,EA,1,100,1.418223
1735118509.437993,1043155.000,36315,1,EA,1,100,1.427213
1735118509.504493,1043221.500,36331,2,EA,1,100,1.446440
1735118509.570993,1043288.000,36331,2,EA,1,100,1.458838
1735118509.637493,1043354.500,36347,2,EA,1,100,1.463732
1735118509.703994,1043421.000,36347,2,EA,1,100,1.464347
1735118509.770994,1043488.000,36363,1,EA,1,100,1.464347
1735118509.837494,1043554.500,36381,2,EA,1,100,1.461281
1735118509.903994,1043621.000,36381,2,EA,1,100,1.463732
1735118509.970994,1043688.000,36397,1,EA,1,100,1.466809
1735118510.037494,1043754.500,36412,2,EA,1,100,1.469898
1735118510.103994,1043821.000,36412,2,EA,1,100,1.474247
1735118510.170994,1043888.000,36428,1,EA,1,100,1.476116
1735118510.237494,1043954.500,36446,2,EA,1,100,1.478933
1735118510.303994,1044021.000,36446,2,EA,1,100,1.481444
1735118510.370995,1044088.000,36464,1,EA,1,100,1.481130
1735118510.437495,1044154.500,36479,2,EA,1,100,1.481757
1735118510.503995,1044221.000,36479,2,EA,1,100,1.483332
1735118510.570995,1044288.000,36498,1,EA,1,100,1.485860
1735118510.637495,1044354.500,36517,2,EA,1,100,1.488711
1735118510.703995,1044421.000,36517,2,EA,1,100,1.488395
1735118510.770995,1044488.000,36533,1,EA,1,100,1.487760
1735118510.837495,1044554.500,36549,2,EA,1,100,1.487760
1735118510.903995,1044621.000,36549,2,EA,1,100,1.486809
1735118510.970995,1044688.000,36565,1,EA,1,100,1.489347
1735118511.037495,1044754.500,36582,2,EA,1,100,1.489031
1735118511.103996,1044821.000,36582,2,EA,1,100,1.487760
1735118511.170996,1044888.000,36598,1,EA,1,100,1.485542
1735118511.237496,1044954.500,36615,2,EA,1,100,1.484595
1735118511.303996,1045021.000,36615,2,EA,1,100,1.483963
1735118511.370996,1045088.000,36632,1,EA,1,100,1.484595
1735118511.437496,1045154.500,36649,2,EA,1,100,1.484595
1735118511.503996,1045221.000,36649,2,EA,1,100,1.484910
1735118511.570496,1045287.500,36666,2,EA,1,100,1.484595
1735118511.636996,1045354.000,36666,2,EA,1,100,1.486809
1735118511.703996,1045421.000,36683,1,EA,1,100,1.486809
1735118511.770997,1045488.000,36697,2,EA,1,100,1.486176
1735118511.837997,1045555.000,36697,2,EA,1,100,1.485227
1735118511.903997,1045621.000,36715,1,EA,1,100,1.484910
1735118511.970497,1045687.500,36733,2,EA,1,100,1.485860
