LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1735118508.370992,1042088.000,36131,2,EL,1,100,-18643.000000
1735118508.370992,1042088.000,36131,2,EL,1,100,-18645.199219
1735118508.437992,1042155.000,36148,1,EL,1,100,-18647.199219
1735118508.504492,1042221.500,36165,2,EL,1,100,-18649.000000
1735118508.570992,1042288.000,36165,2,EL,1,100,-18649.000000
1735118508.637992,1042355.000,36182,1,EL,1,100,-18649.599609
1735118508.704492,1042421.500,36198,2,EL,1,100,-18649.199219
1735118508.770992,1042488.000,36198,2,EL,1,100,-18649.000000
1735118508.837992,1042555.000,36215,1,EL,1,100,-18648.599609
1735118508.904492,1042621.500,36232,2,EL,1,100,-18646.000000
1735118508.970993,1042688.000,36232,2,EL,1,100,-18642.000000
1735118509.037992,1042755.000,36249,1,EL,1,100,-18641.800781
1735118509.104493,1042821.500,36263,2,EL,1,100,-18644.599609
1735118509.170993,1042888.000,36263,2,EL,1,100,-18645.000000
1735118509.237993,1042955.000,36281,1,EL,1,100,-18646.199219
1735118509.304493,1043021.500,36297,2,EL,1,100,-18635.400391
1735118509.370993,1043088.000,36297,2,EL,1,100,-18625.000000
1735118509.437993,1043155.000,36316,1,EL,1,100,-18631.199219
1735118509.504493,1043221.500,36332,2,EL,1,100,-18644.199219
1735118509.570993,1043288.000,36332,2,EL,1,100,-18652.400391
1735118509.637493,1043354.500,36348,2,EL,1,100,-18655.599609
1735118509.703994,1043421.000,36348,2,EL,1,100,-18656.000000
1735118509.770994,1043488.000,36364,1,EL,1,100,-18656.000000
1735118509.837494,1043554.500,36382,2,EL,1,100,-18654.000000
1735118509.903994,1043621.000,36382,2,EL,1,100,-18655.599609
1735118509.970994,1043688.000,36398,1,EL,1,100,-18657.599609
1735118510.037494,1043754.500,36413,2,EL,1,100,-18659.599609
1735118510.103994,1043821.000,36413,2,EL,1,100,-18662.400391
1735118510.170994,1043888.000,36429,1,EL,1,100,-18663.599609
1735118510.237494,1043954.500,36447,2,EL,1,100,-18665.400391
1735118510.303994,1044021.000,36447,2,EL,1,100,-18667.000000
1735118510.370995,1044088.000,36465,1,EL,1,100,-18666.800781
1735118510.437495,1044154.500,36480,2,EL,1,100,-18667.199219
1735118510.503995,1044221.000,36480,2,EL,1,100,-18668.199219
1735118510.570995,1044288.000,36499,1,EL,1,100,-18669.800781
1735118510.637495,1044354.500,36518,2,EL,1,100,-18671.599609
1735118510.703995,1044421.000,36518,2,EL,1,100,-18671.400391
1735118510.770995,1044488.000,36534,1,EL,1,100,-18671.000000
1735118510.837495,1044554.500,36550,2,EL,1,100,-18671.000000
1735118510.903995,1044621.000,36550,2,EL,1,100,-18670.400391
1735118510.970995,1044688.000,36566,1,EL,1,100,-18672.000000
1735118511.037495,1044754.500,36583,2,EL,1,100,-18671.800781
1735118511.103996,1044821.000,36583,2,EL,1,100,-18671.000000
1735118511.170996,1044888.000,36599,1,EL,1,100,-18669.599609
1735118511.237496,1044954.500,36616,2,EL,1,100,-18669.000000
1735118511.303996,1045021.000,36616,2,EL,1,100,-18668.599609
1735118511.370996,1045088.000,36633,1,EL,1,100,-18669.000000
1735118511.437496,1045154.500,36650,2,EL,1,100,-18669.000000
