LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1735118508.271991,1041989.000,36126,4,EM,1,100,RS
1735118508.271991,1041989.000,36126,4,EM,1,100,RB
1735118508.271991,1041989.000,36126,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118508.271991,1041989.000,36126,4,EM,1,100,PS
1735118508.322242,1042039.250,36143,4,EM,1,100,RS
1735118508.372492,1042089.500,36143,4,EM,1,100,RB
1735118508.422742,1042139.750,36143,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118508.472992,1042190.000,36143,4,EM,1,100,PS
1735118508.523242,1042240.250,36177,4,EM,1,100,RS
1735118508.573492,1042290.500,36177,4,EM,1,100,RB
1735118508.623742,1042340.750,36177,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118508.673992,1042391.000,36177,4,EM,1,100,PS
1735118508.724242,1042441.250,36210,4,EM,1,100,RS
1735118508.774492,1042491.500,36210,4,EM,1,100,RB
1735118508.824742,1042541.750,36210,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118508.874992,1042592.000,36210,4,EM,1,100,PS
1735118508.925242,1042642.250,36244,4,EM,1,100,RS
1735118508.975492,1042692.500,36244,4,EM,1,100,RB
1735118509.025743,1042742.750,36244,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118509.075993,1042793.000,36244,4,EM,1,100,PS
1735118509.126743,1042843.750,36275,4,EM,1,100,RS
1735118509.177493,1042894.500,36275,4,EM,1,100,RB
1735118509.228243,1042945.250,36275,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118509.278993,1042996.000,36275,4,EM,1,100,PS
1735118509.329243,1043046.250,36309,4,EM,1,100,RS
1735118509.379493,1043096.500,36309,4,EM,1,100,RB
1735118509.429743,1043146.750,36309,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118509.479993,1043197.000,36309,4,EM,1,100,PS
1735118509.530243,1043247.250,36343,4,EM,1,100,RS
1735118509.580493,1043297.500,36343,4,EM,1,100,RB
1735118509.630744,1043347.750,36343,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118509.680994,1043398.000,36343,4,EM,1,100,PS
1735118509.731244,1043448.250,36376,4,EM,1,100,RS
1735118509.781494,1043498.500,36376,4,EM,1,100,RB
1735118509.831744,1043548.750,36376,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118509.881994,1043599.000,36376,4,EM,1,100,PS
1735118509.932244,1043649.250,36408,4,EM,1,100,RS
1735118509.982494,1043699.500,36408,4,EM,1,100,RB
1735118510.032744,1043749.750,36408,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118510.082994,1043800.000,36408,4,EM,1,100,PS
1735118510.133244,1043850.250,36441,4,EM,1,100,RS
1735118510.183494,1043900.500,36441,4,EM,1,100,RB
1735118510.233744,1043950.750,36441,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118510.283994,1044001.000,36441,4,EM,1,100,PS
1735118510.334244,1044051.250,36475,4,EM,1,100,RS
1735118510.384495,1044101.500,36475,4,EM,1,100,RB
1735118510.434745,1044151.750,36475,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118510.484995,1044202.000,36475,4,EM,1,100,PS
1735118510.535245,1044252.250,36511,4,EM,1,100,RS
1735118510.585495,1044302.500,36511,4,EM,1,100,RB
1735118510.635745,1044352.750,36511,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118510.685995,1044403.000,36511,4,EM,1,100,PS
1735118510.736245,1044453.250,36544,4,EM,1,100,RS
1735118510.786495,1044503.500,36544,4,EM,1,100,RB
1735118510.836745,1044553.750,36544,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118510.886995,1044604.000,36544,4,EM,1,100,PS
1735118510.937245,1044654.250,36578,4,EM,1,100,RS
1735118510.987495,1044704.500,36578,4,EM,1,100,RB
1735118511.037745,1044754.750,36578,4,EM,1,100,2024-12-25_16-21-47-852462.csv
1735118511.087996,1044805.000,36578,4,EM,1,100,PS
1735118511.138246,1044855.250,36610,4,EM,1,100,RS
1735118511.188496,1044905.500,36610,4,EM,1,100,RB
