LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1735118508.358992,1042076.000,36137,3,GX,1,100,2.350
1735118508.358992,1042076.000,36137,3,GX,1,100,2.533
1735118508.358992,1042076.000,36137,3,GX,1,100,2.258
1735118508.398658,1042115.667,36154,3,GX,1,100,-3.296
1735118508.438325,1042155.333,36154,3,GX,1,100,-4.486
1735118508.477992,1042195.000,36154,3,GX,1,100,-2.838
1735118508.518492,1042235.500,36171,2,GX,1,100,-7.111
1735118508.558992,1042276.000,36171,2,GX,1,100,-5.890
1735118508.598992,1042316.000,36186,3,GX,1,100,3.632
1735118508.638992,1042356.000,36186,3,GX,1,100,2.411
1735118508.678992,1042396.000,36186,3,GX,1,100,-1.678
1735118508.714325,1042431.333,36204,3,GX,1,100,1.953
1735118508.749659,1042466.667,36204,3,GX,1,100,-0.031
1735118508.784992,1042502.000,36204,3,GX,1,100,-3.418
1735118508.824992,1042542.000,36221,2,GX,1,100,3.204
1735118508.864992,1042582.000,36221,2,GX,1,100,2.563
1735118508.904992,1042622.000,36238,3,GX,1,100,-0.885
1735118508.944993,1042662.000,36238,3,GX,1,100,2.411
1735118508.984993,1042702.000,36238,3,GX,1,100,3.296
1735118509.024992,1042742.000,36253,2,GX,1,100,0.824
1735118509.064993,1042782.000,36253,2,GX,1,100,0.671
1735118509.104993,1042822.000,36269,3,GX,1,100,3.937
1735118509.144993,1042862.000,36269,3,GX,1,100,5.341
1735118509.184993,1042902.000,36269,3,GX,1,100,2.350
1735118509.224993,1042942.000,36287,2,GX,1,100,0.000
1735118509.264993,1042982.000,36287,2,GX,1,100,0.458
1735118509.304993,1043022.000,36303,3,GX,1,100,3.326
1735118509.344993,1043062.000,36303,3,GX,1,100,1.007
1735118509.384993,1043102.000,36303,3,GX,1,100,0.702
1735118509.424993,1043142.000,36321,2,GX,1,100,0.854
1735118509.464993,1043182.000,36321,2,GX,1,100,-2.319
1735118509.504993,1043222.000,36337,3,GX,1,100,-0.183
1735118509.544993,1043262.000,36337,3,GX,1,100,3.571
1735118509.584993,1043302.000,36337,3,GX,1,100,3.693
1735118509.624993,1043342.000,36354,3,GX,1,100,1.465
1735118509.664994,1043382.000,36354,3,GX,1,100,1.434
1735118509.704993,1043422.000,36354,3,GX,1,100,0.031
1735118509.744994,1043462.000,36370,2,GX,1,100,-3.845
1735118509.784994,1043502.000,36370,2,GX,1,100,-2.106
1735118509.820994,1043538.000,36388,3,GX,1,100,-2.991
1735118509.856994,1043574.000,36388,3,GX,1,100,-4.669
1735118509.892994,1043610.000,36388,3,GX,1,100,-3.296
1735118509.932661,1043649.667,36402,3,GX,1,100,-2.441
1735118509.972327,1043689.333,36402,3,GX,1,100,-1.038
1735118510.011994,1043729.000,36402,3,GX,1,100,1.465
1735118510.051994,1043769.000,36419,2,GX,1,100,-1.465
1735118510.091994,1043809.000,36419,2,GX,1,100,-5.371
1735118510.132328,1043849.333,36435,3,GX,1,100,-1.343
1735118510.172661,1043889.667,36435,3,GX,1,100,2.625
1735118510.212994,1043930.000,36435,3,GX,1,100,-0.977
1735118510.252494,1043969.500,36453,2,GX,1,100,0.305
1735118510.291994,1044009.000,36453,2,GX,1,100,0.916
