LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1735118508.358992,1042076.000,36139,3,GZ,1,100,-1.526
1735118508.358992,1042076.000,36139,3,GZ,1,100,-0.458
1735118508.358992,1042076.000,36139,3,GZ,1,100,-0.977
1735118508.398658,1042115.667,36156,3,GZ,1,100,1.343
1735118508.438325,1042155.333,36156,3,GZ,1,100,2.441
1735118508.477992,1042195.000,36156,3,GZ,1,100,2.716
1735118508.518492,1042235.500,36173,2,GZ,1,100,1.617
1735118508.558992,1042276.000,36173,2,GZ,1,100,1.556
1735118508.598992,1042316.000,36188,3,GZ,1,100,0.977
1735118508.638992,1042356.000,36188,3,GZ,1,100,-0.702
1735118508.678992,1042396.000,36188,3,GZ,1,100,-0.031
1735118508.714325,1042431.333,36206,3,GZ,1,100,0.702
1735118508.749659,1042466.667,36206,3,GZ,1,100,-0.366
1735118508.784992,1042502.000,36206,3,GZ,1,100,0.305
1735118508.824992,1042542.000,36223,2,GZ,1,100,0.366
1735118508.864992,1042582.000,36223,2,GZ,1,100,-0.519
1735118508.904992,1042622.000,36240,3,GZ,1,100,-0.336
1735118508.944993,1042662.000,36240,3,GZ,1,100,-0.031
1735118508.984993,1042702.000,36240,3,GZ,1,100,-1.221
1735118509.024992,1042742.000,36255,2,GZ,1,100,-1.434
1735118509.064993,1042782.000,36255,2,GZ,1,100,-0.305
1735118509.104993,1042822.000,36271,3,GZ,1,100,-1.740
1735118509.144993,1042862.000,36271,3,GZ,1,100,-2.014
1735118509.184993,1042902.000,36271,3,GZ,1,100,-1.556
1735118509.224993,1042942.000,36289,2,GZ,1,100,-1.068
1735118509.264993,1042982.000,36289,2,GZ,1,100,-0.763
1735118509.304993,1043022.000,36305,3,GZ,1,100,-2.167
1735118509.344993,1043062.000,36305,3,GZ,1,100,-1.740
1735118509.384993,1043102.000,36305,3,GZ,1,100,-0.214
1735118509.424993,1043142.000,36323,2,GZ,1,100,-0.366
1735118509.464993,1043182.000,36323,2,GZ,1,100,0.000
1735118509.504993,1043222.000,36339,3,GZ,1,100,0.977
1735118509.544993,1043262.000,36339,3,GZ,1,100,0.366
1735118509.584993,1043302.000,36339,3,GZ,1,100,-0.336
1735118509.624993,1043342.000,36356,3,GZ,1,100,0.061
1735118509.664994,1043382.000,36356,3,GZ,1,100,1.282
1735118509.704993,1043422.000,36356,3,GZ,1,100,0.549
1735118509.744994,1043462.000,36372,2,GZ,1,100,0.397
1735118509.784994,1043502.000,36372,2,GZ,1,100,-0.366
1735118509.820994,1043538.000,36390,3,GZ,1,100,1.617
1735118509.856994,1043574.000,36390,3,GZ,1,100,1.587
1735118509.892994,1043610.000,36390,3,GZ,1,100,0.732
1735118509.932661,1043649.667,36404,3,GZ,1,100,1.282
1735118509.972327,1043689.333,36404,3,GZ,1,100,0.275
1735118510.011994,1043729.000,36404,3,GZ,1,100,0.793
1735118510.051994,1043769.000,36421,2,GZ,1,100,2.319
1735118510.091994,1043809.000,36421,2,GZ,1,100,1.556
1735118510.132328,1043849.333,36437,3,GZ,1,100,0.275
1735118510.172661,1043889.667,36437,3,GZ,1,100,-0.366
1735118510.212994,1043930.000,36437,3,GZ,1,100,0.732
