LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1735118509.491993,1043209,36311,1,HR,1,100,78
1735118510.531995,1044249,36493,1,HR,1,100,73
1735118511.384996,1045102,36628,1,HR,1,100,73
1735118512.784998,1046502,36850,1,HR,1,100,66
1735118513.504999,1047222,36966,1,HR,1,100,70
1735118514.425000,1048142,37115,1,HR,1,100,69
1735118515.558002,1049275,37298,1,HR,1,100,65
1735118515.998003,1049715,37366,1,HR,1,100,81
1735118516.318003,1050035,37415,1,HR,1,100,105
1735118517.158004,1050875,37567,1,HR,1,100,97
1735118518.198006,1051915,37722,1,HR,1,100,89
1735118519.771008,1053488,37986,1,HR,1,100,77
1735118520.371009,1054088,38071,1,HR,1,100,82
1735118520.731009,1054448,38138,1,HR,1,100,101
1735118521.331010,1055048,38241,1,HR,1,100,101
1735118522.384012,1056101,38407,1,HR,1,100,91
1735118523.504014,1057221,38595,1,HR,1,100,83
1735118524.184015,1057901,38714,1,HR,1,100,84
1735118524.584015,1058301,38765,1,HR,1,100,99
1735118525.224016,1058941,38880,1,HR,1,100,98
1735118525.824017,1059541,38981,1,HR,1,100,98
1735118526.437018,1060154,39080,1,HR,1,100,99
1735118526.877018,1060594,39147,1,HR,1,100,107
1735118527.477019,1061194,39250,1,HR,1,100,105
1735118528.157020,1061874,39356,1,HR,1,100,102
1735118529.930023,1063647,39653,1,HR,1,100,87
1735118530.970024,1064687,39817,1,HR,1,100,80
1735118531.650025,1065367,39935,1,HR,1,100,82
1735118532.410027,1066127,40052,1,HR,1,100,81
1735118533.383028,1067100,40207,1,HR,1,100,77
1735118534.183029,1067900,40339,1,HR,1,100,77
1735118535.743031,1069460,40587,1,HR,1,100,68
1735118536.343032,1070060,40686,1,HR,1,100,75
1735118537.556034,1071273,40885,1,HR,1,100,70
1735118538.236035,1071953,41008,1,HR,1,100,74
1735118539.396037,1073113,41189,1,HR,1,100,69
1735118540.316038,1074033,41339,1,HR,1,100,68
1735118540.809039,1074526,41422,1,HR,1,100,81
1735118541.889040,1075606,41588,1,HR,1,100,75
1735118542.529041,1076246,41706,1,HR,1,100,79
1735118542.889042,1076606,41756,1,HR,1,100,99
1735118543.769043,1077486,41912,1,HR,1,100,92
1735118544.302044,1078019,41995,1,HR,1,100,97
1735118545.262045,1078979,42144,1,HR,1,100,89
1735118546.862047,1080579,42407,1,HR,1,100,78
1735118548.675050,1082392,42695,1,HR,1,100,68
1735118549.675052,1083392,42861,1,HR,1,100,66
1735118550.115052,1083832,42928,1,HR,1,100,82
1735118551.075054,1084792,43078,1,HR,1,100,78
1735118551.968055,1085685,43227,1,HR,1,100,75
1735118552.608056,1086325,43327,1,HR,1,100,80
1735118553.048057,1086765,43412,1,HR,1,100,92
1735118553.608057,1087325,43502,1,HR,1,100,95
1735118554.488059,1088205,43634,1,HR,1,100,89
1735118557.061062,1090778,44067,1,HR,1,100,75
1735118557.701063,1091418,44168,1,HR,1,100,79
1735118558.314064,1092031,44272,1,HR,1,100,84
1735118559.674066,1093391,44488,1,HR,1,100,75
1735118560.314067,1094031,44587,1,HR,1,100,79
1735118561.114068,1094831,44719,1,HR,1,100,78
1735118562.087070,1095804,44887,1,HR,1,100,75
1735118562.607070,1096324,44972,1,HR,1,100,84
1735118563.607072,1097324,45125,1,HR,1,100,78
1735118564.127073,1097844,45210,1,HR,1,100,87
1735118565.007074,1098724,45358,1,HR,1,100,83
1735118567.100077,1100817,45705,1,HR,1,100,71
1735118569.593081,1103310,46105,1,HR,1,100,60
1735118570.113081,1103830,46188,1,HR,1,100,73
1735118570.713082,1104430,46288,1,HR,1,100,79
1735118571.193083,1104910,46356,1,HR,1,100,89
1735118571.553083,1105270,46423,1,HR,1,100,106
1735118572.793085,1106510,46623,1,HR,1,100,93
1735118573.926087,1107643,46809,1,HR,1,100,85
1735118574.606088,1108323,46927,1,HR,1,100,85
1735118575.846090,1109563,47124,1,HR,1,100,77
1735118576.286090,1110003,47191,1,HR,1,100,90
1735118577.539092,1111256,47391,1,HR,1,100,81
1735118580.992097,1114709,47954,1,HR,1,100,67
1735118581.632098,1115349,48054,1,HR,1,100,73
1735118582.512099,1116229,48206,1,HR,1,100,72
1735118583.432101,1117149,48355,1,HR,1,100,70
1735118584.765103,1118482,48561,1,HR,1,100,65
1735118586.685105,1120402,48872,1,HR,1,100,57
1735118587.658107,1121375,49024,1,HR,1,100,58
1735118590.498111,1124215,49489,1,HR,1,100,50
1735118591.791113,1125508,49703,1,HR,1,100,49
1735118593.511115,1127228,49985,1,HR,1,100,46
1735118594.631117,1128348,50155,1,HR,1,100,48
1735118596.644120,1130361,50485,1,HR,1,100,44
1735118598.857123,1132574,50846,1,HR,1,100,40
1735118599.817124,1133534,51001,1,HR,1,100,45
1735118600.777126,1134494,51151,1,HR,1,100,49
1735118601.856127,1135573,51331,1,HR,1,100,50
1735118603.030129,1136747,51515,1,HR,1,100,51
1735118604.190131,1137907,51712,1,HR,1,100,51
1735118605.549133,1139266,51933,1,HR,1,100,49
1735118606.363134,1140080,52068,1,HR,1,100,55
1735118607.602136,1141319,52269,1,HR,1,100,54
1735118608.163136,1141880,52369,1,HR,1,100,66
1735118610.536140,1144253,52735,1,HR,1,100,57
1735118611.455141,1145172,52883,1,HR,1,100,59
1735118612.216142,1145933,53019,1,HR,1,100,63
1735118613.229144,1146946,53183,1,HR,1,100,62
1735118613.829145,1147546,53284,1,HR,1,100,71
1735118615.828148,1149545,53604,1,HR,1,100,62
1735118616.268148,1149985,53671,1,HR,1,100,78
1735118617.442150,1151159,53871,1,HR,1,100,72
1735118619.881154,1153598,54255,1,HR,1,100,62
1735118621.974157,1155691,54586,1,HR,1,100,54
1735118622.374157,1156091,54655,1,HR,1,100,76
1735118623.134158,1156851,54787,1,HR,1,100,76
1735118624.867161,1158584,55072,1,HR,1,100,67
1735118625.547162,1159264,55173,1,HR,1,100,72
1735118625.947162,1159664,55243,1,HR,1,100,89
1735118626.867164,1160584,55389,1,HR,1,100,84
1735118627.667165,1161384,55526,1,HR,1,100,82
1735118629.120167,1162837,55755,1,HR,1,100,73
1735118629.720168,1163437,55856,1,HR,1,100,79
1735118631.694171,1165411,56175,1,HR,1,100,68
1735118634.893175,1168610,56700,1,HR,1,100,57
1735118635.946177,1169663,56870,1,HR,1,100,57
1735118636.666178,1170383,56985,1,HR,1,100,63
1735118637.826180,1171543,57170,1,HR,1,100,61
1735118638.786181,1172503,57334,1,HR,1,100,61
1735118639.799182,1173516,57500,1,HR,1,100,61
1735118640.199183,1173916,57572,1,HR,1,100,81
1735118641.039184,1174756,57688,1,HR,1,100,79
1735118642.079186,1175796,57873,1,HR,1,100,74
1735118642.852187,1176569,57988,1,HR,1,100,75
1735118643.372188,1177089,58073,1,HR,1,100,84
1735118644.932190,1178649,58336,1,HR,1,100,74
1735118645.732191,1179449,58458,1,HR,1,100,74
1735118646.172192,1179889,58525,1,HR,1,100,88
1735118648.385195,1182102,58891,1,HR,1,100,74
