LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1735118508.358992,1042076.000,36140,3,MX,1,100,-36
1735118508.358992,1042076.000,36140,3,MX,1,100,-37
1735118508.358992,1042076.000,36140,3,MX,1,100,-38
1735118508.398658,1042115.667,36157,3,MX,1,100,-38
1735118508.438325,1042155.333,36157,3,MX,1,100,-37
1735118508.477992,1042195.000,36157,3,MX,1,100,-38
1735118508.518492,1042235.500,36174,2,MX,1,100,-37
1735118508.558992,1042276.000,36174,2,MX,1,100,-38
1735118508.598992,1042316.000,36189,3,MX,1,100,-38
1735118508.638992,1042356.000,36189,3,MX,1,100,-37
1735118508.678992,1042396.000,36189,3,MX,1,100,-39
1735118508.714325,1042431.333,36207,3,MX,1,100,-38
1735118508.749659,1042466.667,36207,3,MX,1,100,-37
1735118508.784992,1042502.000,36207,3,MX,1,100,-38
1735118508.824992,1042542.000,36224,2,MX,1,100,-38
1735118508.864992,1042582.000,36224,2,MX,1,100,-38
1735118508.904992,1042622.000,36241,3,MX,1,100,-37
1735118508.944993,1042662.000,36241,3,MX,1,100,-37
1735118508.984993,1042702.000,36241,3,MX,1,100,-37
1735118509.024992,1042742.000,36256,2,MX,1,100,-38
1735118509.064993,1042782.000,36256,2,MX,1,100,-38
1735118509.104993,1042822.000,36272,3,MX,1,100,-37
1735118509.144993,1042862.000,36272,3,MX,1,100,-36
1735118509.184993,1042902.000,36272,3,MX,1,100,-36
1735118509.224993,1042942.000,36290,2,MX,1,100,-38
1735118509.264993,1042982.000,36290,2,MX,1,100,-36
1735118509.304993,1043022.000,36306,3,MX,1,100,-37
1735118509.344993,1043062.000,36306,3,MX,1,100,-37
1735118509.384993,1043102.000,36306,3,MX,1,100,-37
1735118509.424993,1043142.000,36324,2,MX,1,100,-36
1735118509.464993,1043182.000,36324,2,MX,1,100,-37
1735118509.504993,1043222.000,36340,3,MX,1,100,-36
1735118509.544993,1043262.000,36340,3,MX,1,100,-38
1735118509.584993,1043302.000,36340,3,MX,1,100,-37
1735118509.624993,1043342.000,36357,3,MX,1,100,-37
1735118509.664994,1043382.000,36357,3,MX,1,100,-38
1735118509.704993,1043422.000,36357,3,MX,1,100,-36
1735118509.744994,1043462.000,36373,2,MX,1,100,-37
1735118509.784994,1043502.000,36373,2,MX,1,100,-38
1735118509.820994,1043538.000,36391,3,MX,1,100,-37
1735118509.856994,1043574.000,36391,3,MX,1,100,-37
1735118509.892994,1043610.000,36391,3,MX,1,100,-36
1735118509.932661,1043649.667,36405,3,MX,1,100,-37
1735118509.972327,1043689.333,36405,3,MX,1,100,-36
1735118510.011994,1043729.000,36405,3,MX,1,100,-37
1735118510.051994,1043769.000,36422,2,MX,1,100,-38
1735118510.091994,1043809.000,36422,2,MX,1,100,-37
1735118510.132328,1043849.333,36438,3,MX,1,100,-37
1735118510.172661,1043889.667,36438,3,MX,1,100,-37
1735118510.212994,1043930.000,36438,3,MX,1,100,-37
1735118510.252494,1043969.500,36456,2,MX,1,100,-38
1735118510.291994,1044009.000,36456,2,MX,1,100,-37
1735118510.331995,1044049.000,36472,3,MX,1,100,-38
1735118510.371994,1044089.000,36472,3,MX,1,100,-38
1735118510.411995,1044129.000,36472,3,MX,1,100,-37
1735118510.451995,1044169.000,36489,2,MX,1,100,-37
1735118510.491995,1044209.000,36489,2,MX,1,100,-37
1735118510.531995,1044249.000,36508,3,MX,1,100,-38
1735118510.571995,1044289.000,36508,3,MX,1,100,-37
1735118510.611995,1044329.000,36508,3,MX,1,100,-37
1735118510.651995,1044369.000,36527,2,MX,1,100,-37
1735118510.691995,1044409.000,36527,2,MX,1,100,-38
1735118510.731995,1044449.000,36541,3,MX,1,100,-38
1735118510.771995,1044489.000,36541,3,MX,1,100,-36
1735118510.811995,1044529.000,36541,3,MX,1,100,-37
1735118510.851995,1044569.000,36559,2,MX,1,100,-37
1735118510.891995,1044609.000,36559,2,MX,1,100,-38
1735118510.931995,1044649.000,36575,3,MX,1,100,-37
1735118510.971995,1044689.000,36575,3,MX,1,100,-37
1735118511.011996,1044729.000,36575,3,MX,1,100,-37
1735118511.047329,1044764.333,36592,3,MX,1,100,-37
1735118511.082662,1044799.667,36592,3,MX,1,100,-37
1735118511.117996,1044835.000,36592,3,MX,1,100,-37
1735118511.157996,1044875.000,36607,2,MX,1,100,-38
1735118511.197996,1044915.000,36607,2,MX,1,100,-37
1735118511.237996,1044955.000,36624,3,MX,1,100,-37
1735118511.277996,1044995.000,36624,3,MX,1,100,-37
1735118511.317996,1045035.000,36624,3,MX,1,100,-37
1735118511.357996,1045075.000,36642,3,MX,1,100,-37
1735118511.397996,1045115.000,36642,3,MX,1,100,-37
1735118511.437996,1045155.000,36642,3,MX,1,100,-37
1735118511.477996,1045195.000,36659,2,MX,1,100,-37
1735118511.517996,1045235.000,36659,2,MX,1,100,-36
1735118511.557996,1045275.000,36676,3,MX,1,100,-37
1735118511.597996,1045315.000,36676,3,MX,1,100,-37
1735118511.637996,1045355.000,36676,3,MX,1,100,-36
1735118511.677996,1045395.000,36691,2,MX,1,100,-37
1735118511.717996,1045435.000,36691,2,MX,1,100,-36
1735118511.757997,1045475.000,36707,3,MX,1,100,-37
1735118511.797997,1045515.000,36707,3,MX,1,100,-37
1735118511.837997,1045555.000,36707,3,MX,1,100,-37
1735118511.877997,1045595.000,36725,2,MX,1,100,-37
1735118511.917997,1045635.000,36725,2,MX,1,100,-37
1735118511.957997,1045675.000,36743,3,MX,1,100,-37
1735118511.997997,1045715.000,36743,3,MX,1,100,-38
1735118512.037997,1045755.000,36743,3,MX,1,100,-37
1735118512.077997,1045795.000,36758,2,MX,1,100,-37
1735118512.117997,1045835.000,36758,2,MX,1,100,-36
1735118512.155397,1045872.400,36781,5,MX,1,100,-38
1735118512.192797,1045909.800,36781,5,MX,1,100,-37
1735118512.230197,1045947.200,36781,5,MX,1,100,-37
1735118512.267597,1045984.600,36781,5,MX,1,100,-38
1735118512.304997,1046022.000,36781,5,MX,1,100,-38
1735118512.344997,1046062.000,36795,2,MX,1,100,-37
1735118512.384997,1046102.000,36795,2,MX,1,100,-37
1735118512.424998,1046142.000,36812,3,MX,1,100,-38
1735118512.464998,1046182.000,36812,3,MX,1,100,-36
1735118512.504998,1046222.000,36812,3,MX,1,100,-37
1735118512.544998,1046262.000,36829,2,MX,1,100,-37
1735118512.584998,1046302.000,36829,2,MX,1,100,-38
1735118512.624998,1046342.000,36846,3,MX,1,100,-36
1735118512.664998,1046382.000,36846,3,MX,1,100,-37
1735118512.704998,1046422.000,36846,3,MX,1,100,-37
1735118512.744998,1046462.000,36862,3,MX,1,100,-37
1735118512.784998,1046502.000,36862,3,MX,1,100,-37
1735118512.824998,1046542.000,36862,3,MX,1,100,-36
1735118512.864998,1046582.000,36880,2,MX,1,100,-37
1735118512.904998,1046622.000,36880,2,MX,1,100,-37
1735118512.944998,1046662.000,36896,3,MX,1,100,-36
1735118512.984998,1046702.000,36896,3,MX,1,100,-36
1735118513.024998,1046742.000,36896,3,MX,1,100,-37
1735118513.065498,1046782.500,36913,2,MX,1,100,-37
1735118513.105999,1046823.000,36913,2,MX,1,100,-37
1735118513.145665,1046862.667,36928,3,MX,1,100,-37
1735118513.185332,1046902.333,36928,3,MX,1,100,-37
1735118513.224999,1046942.000,36928,3,MX,1,100,-37
