LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1735118508.371992,1042089.000,36129,3,PG,1,100,8870
1735118508.371992,1042089.000,36129,3,PG,1,100,8861
1735118508.371992,1042089.000,36129,3,PG,1,100,8875
1735118508.411992,1042129.000,36146,2,PG,1,100,8868
1735118508.451992,1042169.000,36146,2,PG,1,100,8875
1735118508.491992,1042209.000,36163,3,PG,1,100,8862
1735118508.531992,1042249.000,36163,3,PG,1,100,8868
1735118508.571992,1042289.000,36163,3,PG,1,100,8872
1735118508.611992,1042329.000,36180,2,PG,1,100,8857
1735118508.651992,1042369.000,36180,2,PG,1,100,8847
1735118508.691992,1042409.000,36196,3,PG,1,100,8847
1735118508.731992,1042449.000,36196,3,PG,1,100,8859
1735118508.771992,1042489.000,36196,3,PG,1,100,8845
1735118508.811992,1042529.000,36213,2,PG,1,100,8864
1735118508.851992,1042569.000,36213,2,PG,1,100,8846
1735118508.892326,1042609.333,36230,3,PG,1,100,8841
1735118508.932659,1042649.667,36230,3,PG,1,100,8857
1735118508.972992,1042690.000,36230,3,PG,1,100,8852
1735118509.012493,1042729.500,36247,2,PG,1,100,8868
1735118509.051993,1042769.000,36247,2,PG,1,100,8864
1735118509.091993,1042809.000,36261,3,PG,1,100,8855
1735118509.131993,1042849.000,36261,3,PG,1,100,8865
1735118509.171993,1042889.000,36261,3,PG,1,100,8866
1735118509.211993,1042929.000,36279,3,PG,1,100,8872
1735118509.251993,1042969.000,36279,3,PG,1,100,8874
1735118509.291993,1043009.000,36279,3,PG,1,100,8874
1735118509.331993,1043049.000,36295,2,PG,1,100,8864
1735118509.371993,1043089.000,36295,2,PG,1,100,8876
1735118509.412327,1043129.333,36314,3,PG,1,100,8876
1735118509.452660,1043169.667,36314,3,PG,1,100,8867
1735118509.492993,1043210.000,36314,3,PG,1,100,8867
1735118509.532493,1043249.500,36330,2,PG,1,100,8847
1735118509.571993,1043289.000,36330,2,PG,1,100,8850
1735118509.612327,1043329.333,36346,3,PG,1,100,8842
1735118509.652660,1043369.667,36346,3,PG,1,100,8855
1735118509.692994,1043410.000,36346,3,PG,1,100,8868
1735118509.732494,1043449.500,36362,2,PG,1,100,8871
1735118509.771994,1043489.000,36362,2,PG,1,100,8859
1735118509.812327,1043529.333,36380,3,PG,1,100,8859
1735118509.852660,1043569.667,36380,3,PG,1,100,8870
1735118509.892994,1043610.000,36380,3,PG,1,100,8865
1735118509.932661,1043649.667,36396,3,PG,1,100,8870
1735118509.972327,1043689.333,36396,3,PG,1,100,8873
1735118510.011994,1043729.000,36396,3,PG,1,100,8881
1735118510.051994,1043769.000,36411,2,PG,1,100,8886
1735118510.091994,1043809.000,36411,2,PG,1,100,8883
1735118510.132328,1043849.333,36427,3,PG,1,100,8885
1735118510.172661,1043889.667,36427,3,PG,1,100,8900
1735118510.212994,1043930.000,36427,3,PG,1,100,8890
1735118510.252494,1043969.500,36445,2,PG,1,100,8889
1735118510.291994,1044009.000,36445,2,PG,1,100,8895
1735118510.331995,1044049.000,36463,3,PG,1,100,8894
1735118510.371994,1044089.000,36463,3,PG,1,100,8917
1735118510.411995,1044129.000,36463,3,PG,1,100,8900
1735118510.451995,1044169.000,36478,2,PG,1,100,8887
1735118510.491995,1044209.000,36478,2,PG,1,100,8893
1735118510.531995,1044249.000,36497,3,PG,1,100,8894
1735118510.571995,1044289.000,36497,3,PG,1,100,8909
1735118510.611995,1044329.000,36497,3,PG,1,100,8923
1735118510.651995,1044369.000,36516,2,PG,1,100,8902
1735118510.691995,1044409.000,36516,2,PG,1,100,8916
1735118510.731995,1044449.000,36532,3,PG,1,100,8919
1735118510.771995,1044489.000,36532,3,PG,1,100,8921
1735118510.811995,1044529.000,36532,3,PG,1,100,8916
1735118510.851995,1044569.000,36548,2,PG,1,100,8928
1735118510.891995,1044609.000,36548,2,PG,1,100,8927
1735118510.931995,1044649.000,36564,3,PG,1,100,8922
1735118510.971995,1044689.000,36564,3,PG,1,100,8934
1735118511.011996,1044729.000,36564,3,PG,1,100,8935
1735118511.051996,1044769.000,36581,3,PG,1,100,8939
1735118511.091995,1044809.000,36581,3,PG,1,100,8935
1735118511.131996,1044849.000,36581,3,PG,1,100,8943
1735118511.172496,1044889.500,36597,2,PG,1,100,8933
1735118511.212996,1044930.000,36597,2,PG,1,100,8935
1735118511.252662,1044969.667,36614,3,PG,1,100,8950
1735118511.292329,1045009.333,36614,3,PG,1,100,8963
1735118511.331996,1045049.000,36614,3,PG,1,100,8956
1735118511.378496,1045095.500,36631,2,PG,1,100,8963
1735118511.424996,1045142.000,36631,2,PG,1,100,8961
1735118511.464996,1045182.000,36648,2,PG,1,100,8967
1735118511.504996,1045222.000,36648,2,PG,1,100,8978
1735118511.544996,1045262.000,36665,3,PG,1,100,8977
1735118511.584996,1045302.000,36665,3,PG,1,100,8957
1735118511.624996,1045342.000,36665,3,PG,1,100,8972
1735118511.665496,1045382.500,36682,2,PG,1,100,8973
1735118511.705997,1045423.000,36682,2,PG,1,100,8975
1735118511.745996,1045463.000,36696,3,PG,1,100,8983
1735118511.785997,1045503.000,36696,3,PG,1,100,8973
1735118511.825997,1045543.000,36696,3,PG,1,100,8976
1735118511.865663,1045582.667,36714,3,PG,1,100,8971
