LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1735118508.371992,1042089.000,36127,3,PI,1,100,152404
1735118508.371992,1042089.000,36127,3,PI,1,100,152469
1735118508.371992,1042089.000,36127,3,PI,1,100,152483
1735118508.411992,1042129.000,36144,2,PI,1,100,152491
1735118508.451992,1042169.000,36144,2,PI,1,100,152500
1735118508.491992,1042209.000,36161,3,PI,1,100,152392
1735118508.531992,1042249.000,36161,3,PI,1,100,152412
1735118508.571992,1042289.000,36161,3,PI,1,100,152456
1735118508.611992,1042329.000,36178,2,PI,1,100,152415
1735118508.651992,1042369.000,36178,2,PI,1,100,152422
1735118508.691992,1042409.000,36194,3,PI,1,100,152423
1735118508.731992,1042449.000,36194,3,PI,1,100,152371
1735118508.771992,1042489.000,36194,3,PI,1,100,152330
1735118508.811992,1042529.000,36211,2,PI,1,100,152340
1735118508.851992,1042569.000,36211,2,PI,1,100,152244
1735118508.892326,1042609.333,36228,3,PI,1,100,152187
1735118508.932659,1042649.667,36228,3,PI,1,100,152184
1735118508.972992,1042690.000,36228,3,PI,1,100,152175
1735118509.012493,1042729.500,36245,2,PI,1,100,152204
1735118509.051993,1042769.000,36245,2,PI,1,100,152236
1735118509.091993,1042809.000,36259,3,PI,1,100,152222
1735118509.131993,1042849.000,36259,3,PI,1,100,152204
1735118509.171993,1042889.000,36259,3,PI,1,100,152220
1735118509.211993,1042929.000,36277,3,PI,1,100,152228
1735118509.251993,1042969.000,36277,3,PI,1,100,152161
1735118509.291993,1043009.000,36277,3,PI,1,100,152082
1735118509.331993,1043049.000,36293,2,PI,1,100,152116
1735118509.371993,1043089.000,36293,2,PI,1,100,152152
1735118509.411993,1043129.000,36312,3,PI,1,100,152147
1735118509.451993,1043169.000,36312,3,PI,1,100,152208
1735118509.491993,1043209.000,36312,3,PI,1,100,152282
1735118509.531993,1043249.000,36328,2,PI,1,100,152271
1735118509.571993,1043289.000,36328,2,PI,1,100,152328
1735118509.612327,1043329.333,36344,3,PI,1,100,152374
1735118509.652660,1043369.667,36344,3,PI,1,100,152338
1735118509.692994,1043410.000,36344,3,PI,1,100,152368
1735118509.732494,1043449.500,36360,2,PI,1,100,152367
1735118509.771994,1043489.000,36360,2,PI,1,100,152375
1735118509.812327,1043529.333,36378,3,PI,1,100,152371
1735118509.852660,1043569.667,36378,3,PI,1,100,152427
1735118509.892994,1043610.000,36378,3,PI,1,100,152544
1735118509.932661,1043649.667,36394,3,PI,1,100,152574
1735118509.972327,1043689.333,36394,3,PI,1,100,152546
1735118510.011994,1043729.000,36394,3,PI,1,100,152582
1735118510.051994,1043769.000,36409,2,PI,1,100,152536
1735118510.091994,1043809.000,36409,2,PI,1,100,152552
1735118510.132328,1043849.333,36425,3,PI,1,100,152575
1735118510.172661,1043889.667,36425,3,PI,1,100,152580
1735118510.212994,1043930.000,36425,3,PI,1,100,152576
1735118510.252494,1043969.500,36443,2,PI,1,100,152549
1735118510.291994,1044009.000,36443,2,PI,1,100,152520
1735118510.331995,1044049.000,36461,3,PI,1,100,152508
1735118510.371994,1044089.000,36461,3,PI,1,100,152563
1735118510.411995,1044129.000,36461,3,PI,1,100,152528
1735118510.451995,1044169.000,36476,2,PI,1,100,152510
1735118510.491995,1044209.000,36476,2,PI,1,100,152601
1735118510.531995,1044249.000,36495,3,PI,1,100,152596
1735118510.571995,1044289.000,36495,3,PI,1,100,152572
1735118510.611995,1044329.000,36495,3,PI,1,100,152534
1735118510.651995,1044369.000,36514,2,PI,1,100,152603
1735118510.691995,1044409.000,36514,2,PI,1,100,152606
1735118510.731995,1044449.000,36530,3,PI,1,100,152635
1735118510.771995,1044489.000,36530,3,PI,1,100,152639
1735118510.811995,1044529.000,36530,3,PI,1,100,152695
1735118510.851995,1044569.000,36546,2,PI,1,100,152706
1735118510.891995,1044609.000,36546,2,PI,1,100,152694
1735118510.931995,1044649.000,36562,3,PI,1,100,152689
1735118510.971995,1044689.000,36562,3,PI,1,100,152687
1735118511.011996,1044729.000,36562,3,PI,1,100,152642
1735118511.051996,1044769.000,36579,3,PI,1,100,152588
1735118511.091995,1044809.000,36579,3,PI,1,100,152592
1735118511.131996,1044849.000,36579,3,PI,1,100,152574
1735118511.171996,1044889.000,36595,2,PI,1,100,152580
1735118511.211996,1044929.000,36595,2,PI,1,100,152594
1735118511.251996,1044969.000,36612,3,PI,1,100,152606
1735118511.291996,1045009.000,36612,3,PI,1,100,152599
1735118511.331996,1045049.000,36612,3,PI,1,100,152636
1735118511.378496,1045095.500,36629,2,PI,1,100,152707
1735118511.424996,1045142.000,36629,2,PI,1,100,152744
1735118511.464996,1045182.000,36646,2,PI,1,100,152769
1735118511.504996,1045222.000,36646,2,PI,1,100,152785
1735118511.544996,1045262.000,36663,3,PI,1,100,152784
1735118511.584996,1045302.000,36663,3,PI,1,100,152817
1735118511.624996,1045342.000,36663,3,PI,1,100,152794
1735118511.664996,1045382.000,36680,2,PI,1,100,152819
1735118511.704996,1045422.000,36680,2,PI,1,100,152801
1735118511.745330,1045462.333,36694,3,PI,1,100,152793
1735118511.785663,1045502.667,36694,3,PI,1,100,152799
1735118511.825997,1045543.000,36694,3,PI,1,100,152770
1735118511.865663,1045582.667,36712,3,PI,1,100,152774
1735118511.905330,1045622.333,36712,3,PI,1,100,152807
1735118511.944997,1045662.000,36712,3,PI,1,100,152804
1735118511.984997,1045702.000,36730,2,PI,1,100,152806
1735118512.024997,1045742.000,36730,2,PI,1,100,152839
1735118512.064997,1045782.000,36747,3,PI,1,100,152850
1735118512.104997,1045822.000,36747,3,PI,1,100,152854
1735118512.144997,1045862.000,36747,3,PI,1,100,152863
1735118512.184997,1045902.000,36768,4,PI,1,100,152851
1735118512.224997,1045942.000,36768,4,PI,1,100,152813
1735118512.264997,1045982.000,36768,4,PI,1,100,152796
1735118512.304997,1046022.000,36768,4,PI,1,100,152758
1735118512.344997,1046062.000,36784,2,PI,1,100,152750
1735118512.384997,1046102.000,36784,2,PI,1,100,152736
1735118512.424998,1046142.000,36799,3,PI,1,100,152703
1735118512.464998,1046182.000,36799,3,PI,1,100,152707
1735118512.504998,1046222.000,36799,3,PI,1,100,152693
1735118512.544998,1046262.000,36816,2,PI,1,100,152648
1735118512.584998,1046302.000,36816,2,PI,1,100,152655
1735118512.624998,1046342.000,36833,3,PI,1,100,152703
1735118512.664998,1046382.000,36833,3,PI,1,100,152662
1735118512.704998,1046422.000,36833,3,PI,1,100,152678
1735118512.744998,1046462.000,36851,3,PI,1,100,152749
1735118512.784998,1046502.000,36851,3,PI,1,100,152751
1735118512.824998,1046542.000,36851,3,PI,1,100,152746
1735118512.864998,1046582.000,36867,2,PI,1,100,152795
1735118512.904998,1046622.000,36867,2,PI,1,100,152781
1735118512.944998,1046662.000,36883,3,PI,1,100,152775
1735118512.984998,1046702.000,36883,3,PI,1,100,152739
1735118513.024998,1046742.000,36883,3,PI,1,100,152679
1735118513.064998,1046782.000,36900,2,PI,1,100,152632
1735118513.104999,1046822.000,36900,2,PI,1,100,152602
1735118513.144999,1046862.000,36916,3,PI,1,100,152598
1735118513.184999,1046902.000,36916,3,PI,1,100,152583
1735118513.224999,1046942.000,36916,3,PI,1,100,152588
1735118513.264999,1046982.000,36933,2,PI,1,100,152562
1735118513.304999,1047022.000,36933,2,PI,1,100,152584
1735118513.344999,1047062.000,36948,3,PI,1,100,152595
1735118513.384999,1047102.000,36948,3,PI,1,100,152584
1735118513.424999,1047142.000,36948,3,PI,1,100,152595
1735118513.464999,1047182.000,36967,2,PI,1,100,152607
1735118513.504999,1047222.000,36967,2,PI,1,100,152646
1735118513.544999,1047262.000,36984,3,PI,1,100,152663
1735118513.584999,1047302.000,36984,3,PI,1,100,152656
1735118513.624999,1047342.000,36984,3,PI,1,100,152673
1735118513.664999,1047382.000,37001,2,PI,1,100,152703
1735118513.704999,1047422.000,37001,2,PI,1,100,152696
1735118513.744999,1047462.000,37015,3,PI,1,100,152720
1735118513.784999,1047502.000,37015,3,PI,1,100,152708
1735118513.825000,1047542.000,37015,3,PI,1,100,152681
1735118513.865000,1047582.000,37033,3,PI,1,100,152648
1735118513.905000,1047622.000,37033,3,PI,1,100,152644
1735118513.945000,1047662.000,37033,3,PI,1,100,152589
1735118513.985000,1047702.000,37049,3,PI,1,100,152598
1735118514.025000,1047742.000,37049,3,PI,1,100,152575
1735118514.065000,1047782.000,37049,3,PI,1,100,152585
1735118514.105000,1047822.000,37066,3,PI,1,100,152581
1735118514.145000,1047862.000,37066,3,PI,1,100,152543
1735118514.185000,1047902.000,37066,3,PI,1,100,152521
1735118514.225000,1047942.000,37083,2,PI,1,100,152532
1735118514.265000,1047982.000,37083,2,PI,1,100,152551
1735118514.305000,1048022.000,37098,3,PI,1,100,152582
1735118514.345000,1048062.000,37098,3,PI,1,100,152567
1735118514.385000,1048102.000,37098,3,PI,1,100,152551
1735118514.425000,1048142.000,37116,2,PI,1,100,152582
1735118514.465000,1048182.000,37116,2,PI,1,100,152603
1735118514.505001,1048222.000,37134,3,PI,1,100,152589
1735118514.545001,1048262.000,37134,3,PI,1,100,152572
1735118514.585001,1048302.000,37134,3,PI,1,100,152569
1735118514.625001,1048342.000,37150,2,PI,1,100,152594
1735118514.665001,1048382.000,37150,2,PI,1,100,152596
1735118514.705001,1048422.000,37165,3,PI,1,100,152589
1735118514.745001,1048462.000,37165,3,PI,1,100,152568
1735118514.785001,1048502.000,37165,3,PI,1,100,152541
1735118514.825001,1048542.000,37181,2,PI,1,100,152593
1735118514.865001,1048582.000,37181,2,PI,1,100,152617
1735118514.905001,1048622.000,37199,2,PI,1,100,152648
1735118514.945001,1048662.000,37199,2,PI,1,100,152653
1735118514.989335,1048706.333,37215,3,PI,1,100,152666
1735118515.033668,1048750.667,37215,3,PI,1,100,152670
1735118515.078001,1048795.000,37215,3,PI,1,100,152686
1735118515.118335,1048835.333,37230,3,PI,1,100,152665
1735118515.158668,1048875.667,37230,3,PI,1,100,152642
1735118515.199002,1048916.000,37230,3,PI,1,100,152651
1735118515.238502,1048955.500,37247,2,PI,1,100,152622
1735118515.278002,1048995.000,37247,2,PI,1,100,152570
1735118515.318002,1049035.000,37264,3,PI,1,100,152559
1735118515.358002,1049075.000,37264,3,PI,1,100,152602
1735118515.398002,1049115.000,37264,3,PI,1,100,152580
1735118515.438002,1049155.000,37280,2,PI,1,100,152587
1735118515.478002,1049195.000,37280,2,PI,1,100,152612
1735118515.518002,1049235.000,37300,3,PI,1,100,152615
1735118515.558002,1049275.000,37300,3,PI,1,100,152607
1735118515.598002,1049315.000,37300,3,PI,1,100,152605
1735118515.638002,1049355.000,37314,2,PI,1,100,152579
1735118515.678002,1049395.000,37314,2,PI,1,100,152509
1735118515.718002,1049435.000,37331,3,PI,1,100,152458
1735118515.758002,1049475.000,37331,3,PI,1,100,152490
1735118515.798002,1049515.000,37331,3,PI,1,100,152498
1735118515.838502,1049555.500,37348,2,PI,1,100,152480
1735118515.879003,1049596.000,37348,2,PI,1,100,152506
1735118515.918669,1049635.667,37367,3,PI,1,100,152522
1735118515.958336,1049675.333,37367,3,PI,1,100,152547
1735118515.998003,1049715.000,37367,3,PI,1,100,152542
1735118516.038003,1049755.000,37381,3,PI,1,100,152530
1735118516.078003,1049795.000,37381,3,PI,1,100,152363
1735118516.118003,1049835.000,37381,3,PI,1,100,152061
1735118516.158003,1049875.000,37398,2,PI,1,100,152052
1735118516.198003,1049915.000,37398,2,PI,1,100,152241
1735118516.238003,1049955.000,37417,3,PI,1,100,152391
1735118516.278003,1049995.000,37417,3,PI,1,100,152468
1735118516.318003,1050035.000,37417,3,PI,1,100,152538
1735118516.358003,1050075.000,37434,2,PI,1,100,152564
1735118516.398003,1050115.000,37434,2,PI,1,100,152558
1735118516.438003,1050155.000,37448,3,PI,1,100,152564
1735118516.478004,1050195.000,37448,3,PI,1,100,152593
1735118516.518003,1050235.000,37448,3,PI,1,100,152615
1735118516.558003,1050275.000,37466,2,PI,1,100,152623
1735118516.598004,1050315.000,37466,2,PI,1,100,152596
1735118516.638004,1050355.000,37482,3,PI,1,100,152576
1735118516.678004,1050395.000,37482,3,PI,1,100,152586
1735118516.718004,1050435.000,37482,3,PI,1,100,152577
1735118516.758504,1050475.500,37499,2,PI,1,100,152554
1735118516.799004,1050516.000,37499,2,PI,1,100,152529
1735118516.838670,1050555.667,37514,3,PI,1,100,152513
1735118516.878337,1050595.333,37514,3,PI,1,100,152411
1735118516.918004,1050635.000,37514,3,PI,1,100,152340
1735118516.958004,1050675.000,37533,2,PI,1,100,152339
1735118516.998004,1050715.000,37533,2,PI,1,100,152321
1735118517.038004,1050755.000,37549,3,PI,1,100,152339
1735118517.078004,1050795.000,37549,3,PI,1,100,152406
1735118517.118004,1050835.000,37549,3,PI,1,100,152509
1735118517.158004,1050875.000,37569,3,PI,1,100,152541
1735118517.198004,1050915.000,37569,3,PI,1,100,152493
1735118517.238004,1050955.000,37569,3,PI,1,100,152522
1735118517.278005,1050995.000,37591,4,PI,1,100,152524
1735118517.318005,1051035.000,37591,4,PI,1,100,152518
1735118517.358005,1051075.000,37591,4,PI,1,100,152544
1735118517.398005,1051115.000,37591,4,PI,1,100,152490
1735118517.438005,1051155.000,37607,3,PI,1,100,152443
1735118517.478005,1051195.000,37607,3,PI,1,100,152432
1735118517.518005,1051235.000,37607,3,PI,1,100,152401
1735118517.558005,1051275.000,37625,2,PI,1,100,152402
1735118517.598005,1051315.000,37625,2,PI,1,100,152388
1735118517.638005,1051355.000,37639,3,PI,1,100,152348
1735118517.678005,1051395.000,37639,3,PI,1,100,152364
1735118517.718005,1051435.000,37639,3,PI,1,100,152388
1735118517.758005,1051475.000,37656,2,PI,1,100,152376
1735118517.798005,1051515.000,37656,2,PI,1,100,152359
1735118517.838005,1051555.000,37673,3,PI,1,100,152354
1735118517.878006,1051595.000,37673,3,PI,1,100,152261
1735118517.918005,1051635.000,37673,3,PI,1,100,152219
1735118517.958005,1051675.000,37690,2,PI,1,100,152220
1735118517.998006,1051715.000,37690,2,PI,1,100,152242
1735118518.038006,1051755.000,37704,3,PI,1,100,152261
1735118518.078006,1051795.000,37704,3,PI,1,100,152292
1735118518.118006,1051835.000,37704,3,PI,1,100,152280
1735118518.158006,1051875.000,37724,3,PI,1,100,152290
1735118518.198006,1051915.000,37724,3,PI,1,100,152328
1735118518.238006,1051955.000,37724,3,PI,1,100,152314
1735118518.278006,1051995.000,37740,2,PI,1,100,152346
1735118518.318006,1052035.000,37740,2,PI,1,100,152359
1735118518.358006,1052075.000,37757,3,PI,1,100,152362
1735118518.398006,1052115.000,37757,3,PI,1,100,152357
1735118518.438006,1052155.000,37757,3,PI,1,100,152370
1735118518.478006,1052195.000,37773,2,PI,1,100,152362
1735118518.518006,1052235.000,37773,2,PI,1,100,152370
1735118518.558007,1052275.000,37789,3,PI,1,100,152388
1735118518.598006,1052315.000,37789,3,PI,1,100,152407
1735118518.638006,1052355.000,37789,3,PI,1,100,152419
1735118518.685007,1052402.000,37805,2,PI,1,100,152463
1735118518.732007,1052449.000,37805,2,PI,1,100,152550
1735118518.772007,1052489.000,37822,2,PI,1,100,152578
1735118518.812007,1052529.000,37822,2,PI,1,100,152546
1735118518.851674,1052568.667,37839,3,PI,1,100,152585
1735118518.891340,1052608.333,37839,3,PI,1,100,152560
1735118518.931007,1052648.000,37839,3,PI,1,100,152596
1735118518.971340,1052688.333,37854,3,PI,1,100,152636
1735118519.011674,1052728.667,37854,3,PI,1,100,152636
1735118519.052007,1052769.000,37854,3,PI,1,100,152614
1735118519.091507,1052808.500,37870,2,PI,1,100,152616
1735118519.131007,1052848.000,37870,2,PI,1,100,152600
1735118519.171007,1052888.000,37888,3,PI,1,100,152617
1735118519.211007,1052928.000,37888,3,PI,1,100,152626
1735118519.251007,1052968.000,37888,3,PI,1,100,152553
1735118519.291008,1053008.000,37904,2,PI,1,100,152521
1735118519.331007,1053048.000,37904,2,PI,1,100,152538
1735118519.371008,1053088.000,37919,3,PI,1,100,152547
1735118519.411008,1053128.000,37919,3,PI,1,100,152565
1735118519.451008,1053168.000,37919,3,PI,1,100,152526
1735118519.491008,1053208.000,37935,2,PI,1,100,152514
1735118519.531008,1053248.000,37935,2,PI,1,100,152545
1735118519.571008,1053288.000,37953,3,PI,1,100,152512
1735118519.611008,1053328.000,37953,3,PI,1,100,152519
1735118519.651008,1053368.000,37953,3,PI,1,100,152543
1735118519.691008,1053408.000,37969,2,PI,1,100,152535
1735118519.731008,1053448.000,37969,2,PI,1,100,152550
1735118519.771008,1053488.000,37987,3,PI,1,100,152544
1735118519.811008,1053528.000,37987,3,PI,1,100,152543
1735118519.851008,1053568.000,37987,3,PI,1,100,152493
1735118519.891008,1053608.000,38003,2,PI,1,100,152465
1735118519.931008,1053648.000,38003,2,PI,1,100,152412
1735118519.971009,1053688.000,38020,3,PI,1,100,152358
1735118520.011009,1053728.000,38020,3,PI,1,100,152270
1735118520.051008,1053768.000,38020,3,PI,1,100,152159
1735118520.091009,1053808.000,38038,2,PI,1,100,152132
1735118520.131009,1053848.000,38038,2,PI,1,100,152117
1735118520.171009,1053888.000,38055,3,PI,1,100,152121
1735118520.211009,1053928.000,38055,3,PI,1,100,152178
1735118520.251009,1053968.000,38055,3,PI,1,100,152227
1735118520.291009,1054008.000,38072,3,PI,1,100,152208
1735118520.331009,1054048.000,38072,3,PI,1,100,152241
1735118520.371009,1054088.000,38072,3,PI,1,100,152304
1735118520.411009,1054128.000,38089,2,PI,1,100,152264
1735118520.451009,1054168.000,38089,2,PI,1,100,152137
1735118520.491009,1054208.000,38106,3,PI,1,100,152217
1735118520.531009,1054248.000,38106,3,PI,1,100,152205
1735118520.571009,1054288.000,38106,3,PI,1,100,152179
1735118520.611009,1054328.000,38123,2,PI,1,100,152185
1735118520.651010,1054368.000,38123,2,PI,1,100,152204
1735118520.691010,1054408.000,38139,3,PI,1,100,152276
1735118520.731009,1054448.000,38139,3,PI,1,100,152321
1735118520.771010,1054488.000,38139,3,PI,1,100,152316
1735118520.811010,1054528.000,38156,2,PI,1,100,152317
1735118520.851010,1054568.000,38156,2,PI,1,100,152316
1735118520.891010,1054608.000,38173,3,PI,1,100,152437
1735118520.931010,1054648.000,38173,3,PI,1,100,152482
1735118520.971010,1054688.000,38173,3,PI,1,100,152497
1735118521.011010,1054728.000,38190,2,PI,1,100,152460
1735118521.051010,1054768.000,38190,2,PI,1,100,152382
1735118521.091010,1054808.000,38206,3,PI,1,100,152336
1735118521.131010,1054848.000,38206,3,PI,1,100,152327
1735118521.171010,1054888.000,38206,3,PI,1,100,152327
1735118521.211010,1054928.000,38224,2,PI,1,100,152381
1735118521.251010,1054968.000,38224,2,PI,1,100,152393
1735118521.291010,1055008.000,38242,3,PI,1,100,152418
1735118521.331010,1055048.000,38242,3,PI,1,100,152389
1735118521.371011,1055088.000,38242,3,PI,1,100,152392
1735118521.411011,1055128.000,38259,2,PI,1,100,152348
1735118521.451011,1055168.000,38259,2,PI,1,100,152372
