LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1735118508.371992,1042089.000,36128,3,PR,1,100,123724
1735118508.371992,1042089.000,36128,3,PR,1,100,123736
1735118508.371992,1042089.000,36128,3,PR,1,100,123746
1735118508.411992,1042129.000,36145,2,PR,1,100,123759
1735118508.451992,1042169.000,36145,2,PR,1,100,123730
1735118508.491992,1042209.000,36162,3,PR,1,100,123731
1735118508.531992,1042249.000,36162,3,PR,1,100,123751
1735118508.571992,1042289.000,36162,3,PR,1,100,123750
1735118508.611992,1042329.000,36179,2,PR,1,100,123721
1735118508.651992,1042369.000,36179,2,PR,1,100,123726
1735118508.691992,1042409.000,36195,3,PR,1,100,123724
1735118508.731992,1042449.000,36195,3,PR,1,100,123716
1735118508.771992,1042489.000,36195,3,PR,1,100,123691
1735118508.811992,1042529.000,36212,2,PR,1,100,123678
1735118508.851992,1042569.000,36212,2,PR,1,100,123669
1735118508.892326,1042609.333,36229,3,PR,1,100,123639
1735118508.932659,1042649.667,36229,3,PR,1,100,123630
1735118508.972992,1042690.000,36229,3,PR,1,100,123638
1735118509.012493,1042729.500,36246,2,PR,1,100,123642
1735118509.051993,1042769.000,36246,2,PR,1,100,123644
1735118509.091993,1042809.000,36260,3,PR,1,100,123653
1735118509.131993,1042849.000,36260,3,PR,1,100,123639
1735118509.171993,1042889.000,36260,3,PR,1,100,123652
1735118509.211993,1042929.000,36278,3,PR,1,100,123676
1735118509.251993,1042969.000,36278,3,PR,1,100,123650
1735118509.291993,1043009.000,36278,3,PR,1,100,123590
1735118509.331993,1043049.000,36294,2,PR,1,100,123588
1735118509.371993,1043089.000,36294,2,PR,1,100,123591
1735118509.411993,1043129.000,36313,3,PR,1,100,123592
1735118509.451993,1043169.000,36313,3,PR,1,100,123608
1735118509.491993,1043209.000,36313,3,PR,1,100,123646
1735118509.531993,1043249.000,36329,2,PR,1,100,123665
1735118509.571993,1043289.000,36329,2,PR,1,100,123657
1735118509.612327,1043329.333,36345,3,PR,1,100,123657
1735118509.652660,1043369.667,36345,3,PR,1,100,123628
1735118509.692994,1043410.000,36345,3,PR,1,100,123629
1735118509.732494,1043449.500,36361,2,PR,1,100,123636
1735118509.771994,1043489.000,36361,2,PR,1,100,123643
1735118509.812327,1043529.333,36379,3,PR,1,100,123675
1735118509.852660,1043569.667,36379,3,PR,1,100,123699
1735118509.892994,1043610.000,36379,3,PR,1,100,123724
1735118509.932661,1043649.667,36395,3,PR,1,100,123724
1735118509.972327,1043689.333,36395,3,PR,1,100,123710
1735118510.011994,1043729.000,36395,3,PR,1,100,123747
1735118510.051994,1043769.000,36410,2,PR,1,100,123742
1735118510.091994,1043809.000,36410,2,PR,1,100,123749
1735118510.132328,1043849.333,36426,3,PR,1,100,123734
1735118510.172661,1043889.667,36426,3,PR,1,100,123740
1735118510.212994,1043930.000,36426,3,PR,1,100,123746
