LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1735118512.206997,1045924.000,36763,2,RD,1,100,TL
1735118512.206997,1045924.000,36763,2,RD,1,100,TU
1735118514.760501,1048477.500,37587,2,RD,1,100,TL
1735118517.314005,1051031.000,37587,2,RD,1,100,TU
1735118519.877008,1053594.000,38426,2,RD,1,100,TL
1735118522.440012,1056157.000,38426,2,RD,1,100,TU
1735118525.005516,1058722.500,39269,2,RD,1,100,TL
1735118527.571019,1061288.000,39269,2,RD,1,100,TU
1735118530.134523,1063851.500,40103,2,RD,1,100,TL
1735118532.698027,1066415.000,40103,2,RD,1,100,TU
1735118535.255531,1068972.500,40938,2,RD,1,100,TL
1735118537.813034,1071530.000,40938,2,RD,1,100,TU
1735118540.379038,1074096.000,41776,2,RD,1,100,TL
1735118542.945042,1076662.000,41776,2,RD,1,100,TU
1735118545.511546,1079228.500,42609,2,RD,1,100,TL
1735118548.078049,1081795.000,42609,2,RD,1,100,TU
1735118550.631053,1084348.000,43431,2,RD,1,100,TL
1735118553.184057,1086901.000,43431,2,RD,1,100,TU
1735118555.751560,1089468.500,44267,2,RD,1,100,TL
1735118558.319064,1092036.000,44267,2,RD,1,100,TU
1735118560.879068,1094596.000,45104,2,RD,1,100,TL
1735118563.439072,1097156.000,45104,2,RD,1,100,TU
1735118565.994575,1099711.500,45935,2,RD,1,100,TL
1735118568.550079,1102267.000,45935,2,RD,1,100,TU
1735118571.114583,1104831.500,46773,2,RD,1,100,TL
1735118573.679086,1107396.000,46773,2,RD,1,100,TU
1735118576.237090,1109954.000,47606,2,RD,1,100,TL
1735118578.795094,1112512.000,47606,2,RD,1,100,TU
1735118581.348598,1115065.500,48423,2,RD,1,100,TL
1735118583.902101,1117619.000,48423,2,RD,1,100,TU
1735118586.467605,1120184.500,49255,2,RD,1,100,TL
1735118589.033109,1122750.000,49255,2,RD,1,100,TU
1735118591.588613,1125305.500,50084,2,RD,1,100,TL
1735118594.144116,1127861.000,50084,2,RD,1,100,TU
1735118596.707620,1130424.500,50914,2,RD,1,100,TL
1735118599.271124,1132988.000,50914,2,RD,1,100,TU
1735118601.828627,1135545.500,51748,2,RD,1,100,TL
1735118604.386131,1138103.000,51748,2,RD,1,100,TU
1735118606.952635,1140669.500,52583,2,RD,1,100,TL
1735118609.519139,1143236.000,52583,2,RD,1,100,TU
1735118612.081642,1145798.500,53419,2,RD,1,100,TL
1735118614.644146,1148361.000,53419,2,RD,1,100,TU
1735118617.197650,1150914.500,54236,2,RD,1,100,TL
1735118619.751153,1153468.000,54236,2,RD,1,100,TU
1735118622.318157,1156035.000,55067,2,RD,1,100,TL
1735118624.885161,1158602.000,55067,2,RD,1,100,TU
1735118627.440165,1161157.000,55907,2,RD,1,100,TL
1735118629.995168,1163712.000,55907,2,RD,1,100,TU
1735118632.555672,1166272.500,56734,2,RD,1,100,TL
1735118635.116176,1168833.000,56734,2,RD,1,100,TU
1735118637.672179,1171389.000,57567,2,RD,1,100,TL
1735118640.228183,1173945.000,57567,2,RD,1,100,TU
1735118642.787687,1176504.500,58403,2,RD,1,100,TL
1735118645.347191,1179064.000,58403,2,RD,1,100,TU
1735118647.907194,1181624.000,59244,2,RD,1,100,TL
1735118650.467198,1184184.000,59244,2,RD,1,100,TU
1735118653.020702,1186737.500,60069,2,RD,1,100,TL
1735118655.574205,1189291.000,60069,2,RD,1,100,TU
1735118658.144209,1191861.000,60905,2,RD,1,100,TL
1735118660.714213,1194431.000,60905,2,RD,1,100,TU
1735118663.272717,1196989.500,61735,2,RD,1,100,TL
1735118665.831220,1199548.000,61735,2,RD,1,100,TU
1735118668.388724,1202105.500,62571,2,RD,1,100,TL
1735118670.946228,1204663.000,62571,2,RD,1,100,TU
1735118673.505731,1207222.500,63410,2,RD,1,100,TL
1735118676.065235,1209782.000,63410,2,RD,1,100,TU
1735118678.619739,1212336.500,64282,2,RD,1,100,TL
1735118681.174242,1214891.000,64282,2,RD,1,100,TU
1735118683.728746,1217445.500,65144,2,RD,1,100,TL
1735118686.283250,1220000.000,65144,2,RD,1,100,TU
