LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1735118508.437992,1042155,36192,1,SA,1,100,0.003630
1735118509.903994,1043621,36459,1,SA,1,100,0.017711
1735118510.570995,1044288,36512,1,SA,1,100,0.002851
1735118519.503008,1053220,38036,1,SA,1,100,0.023918
1735118520.704010,1054421,38204,1,SA,1,100,0.006809
1735118523.570014,1057287,38662,1,SA,1,100,0.012719
1735118555.434060,1089151,43881,1,SA,1,100,0.027595
1735118556.433061,1090150,43980,1,SA,1,100,0.008315
1735118606.095134,1139812,52049,1,SA,1,100,0.001305
1735118606.361134,1140078,52100,1,SA,1,100,0.001531
1735118614.294145,1148011,53382,1,SA,1,100,0.003893
1735118617.893151,1151610,54003,1,SA,1,100,0.007937
1735118625.359162,1159076,55206,1,SA,1,100,0.010132
1735118646.957193,1180674,58724,1,SA,1,100,0.005457
1735118648.224195,1181941,58892,1,SA,1,100,0.000824
1735118648.824196,1182541,59058,1,SA,1,100,0.065407
1735118650.491198,1184208,59313,1,SA,1,100,0.018473
1735118652.157200,1185874,59599,1,SA,1,100,0.060955
1735118670.488227,1204205,62644,1,SA,1,100,0.066889
1735118671.489228,1205206,62729,1,SA,1,100,0.085278
1735118675.555234,1209272,63414,1,SA,1,100,1.210320
