LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1735118508.570992,1042288.000,36160,1,SF,1,100,9.8875
1735118508.970993,1042688.000,36227,1,SF,1,100,11.8554
1735118509.237993,1042955.000,36276,1,SF,1,100,11.7182
1735118509.570993,1043288.000,36327,1,SF,1,100,11.5827
1735118509.903994,1043621.000,36377,1,SF,1,100,11.4487
1735118510.303994,1044021.000,36442,1,SF,1,100,11.3162
1735118510.570995,1044288.000,36494,1,SF,1,100,13.2676
1735118510.903995,1044621.000,36545,1,SF,1,100,15.1963
1735118511.303996,1045021.000,36611,1,SF,1,100,15.0206
1735118511.636996,1045354.000,36662,1,SF,1,100,14.8468
1735118511.903997,1045621.000,36711,1,SF,1,100,14.6750
1735118512.303997,1046021.000,36767,1,SF,1,100,14.5053
1735118512.570998,1046288.000,36815,1,SF,1,100,14.3375
1735118512.903998,1046621.000,36866,1,SF,1,100,14.1716
1735118513.303999,1047021.000,36932,1,SF,1,100,14.0077
1735118513.636999,1047354.000,36983,1,SF,1,100,13.8457
1735118513.970000,1047687.000,37032,1,SF,1,100,13.6855
1735118514.237000,1047954.000,37082,1,SF,1,100,13.5272
1735118514.570001,1048287.000,37133,1,SF,1,100,13.3707
1735118514.971001,1048688.000,37198,1,SF,1,100,13.2160
1735118515.237002,1048954.000,37246,1,SF,1,100,13.0631
1735118515.570002,1049287.000,37299,1,SF,1,100,12.9120
1735118515.904003,1049621.000,37347,1,SF,1,100,12.7626
1735118516.304003,1050021.000,37416,1,SF,1,100,12.6150
1735118516.570004,1050287.000,37465,1,SF,1,100,12.4691
1735118516.904004,1050621.000,37513,1,SF,1,100,12.3248
1735118517.237005,1050954.000,37568,1,SF,1,100,12.1823
1735118517.570005,1051287.000,37624,1,SF,1,100,12.0413
1735118517.903005,1051620.000,37672,1,SF,1,100,11.9020
1735118518.237006,1051954.000,37723,1,SF,1,100,11.7644
1735118518.637007,1052354.000,37788,1,SF,1,100,11.6283
1735118518.903007,1052620.000,37838,1,SF,1,100,11.4937
1735118519.237007,1052954.000,37887,1,SF,1,100,11.3608
1735118519.637008,1053354.000,37952,1,SF,1,100,11.2294
1735118519.903008,1053620.000,38002,1,SF,1,100,11.0995
1735118520.237009,1053954.000,38054,1,SF,1,100,13.0533
1735118520.570009,1054287.000,38105,1,SF,1,100,12.9023
1735118520.970010,1054687.000,38172,1,SF,1,100,12.7531
1735118521.237010,1054954.000,38223,1,SF,1,100,14.6878
1735118521.570011,1055287.000,38273,1,SF,1,100,14.5179
1735118521.970011,1055687.000,38340,1,SF,1,100,14.3499
1735118522.237012,1055954.000,38391,1,SF,1,100,14.1839
1735118522.636012,1056353.000,38446,1,SF,1,100,14.0198
1735118522.903013,1056620.000,38497,1,SF,1,100,13.8577
1735118523.236013,1056953.000,38545,1,SF,1,100,13.6974
1735118523.570014,1057287.000,38596,1,SF,1,100,13.5389
1735118523.970014,1057687.000,38661,1,SF,1,100,13.3823
1735118524.236015,1057953.000,38715,1,SF,1,100,15.3097
1735118524.570015,1058287.000,38766,1,SF,1,100,15.1326
1735118524.970016,1058687.000,38831,1,SF,1,100,14.9576
1735118525.236016,1058953.000,38881,1,SF,1,100,14.7845
1735118525.569017,1059286.000,38931,1,SF,1,100,14.6135
1735118525.903017,1059620.000,38982,1,SF,1,100,14.4445
1735118526.303018,1060020.000,39047,1,SF,1,100,14.2774
1735118526.569018,1060286.000,39098,1,SF,1,100,14.1122
1735118526.903018,1060620.000,39148,1,SF,1,100,13.9490
1735118527.303019,1061020.000,39215,1,SF,1,100,13.7876
1735118527.636020,1061353.000,39273,1,SF,1,100,13.6281
1735118527.969020,1061686.000,39321,1,SF,1,100,13.4704
1735118528.236021,1061953.000,39374,1,SF,1,100,13.3146
1735118528.569021,1062286.000,39422,1,SF,1,100,13.1606
1735118528.969022,1062686.000,39487,1,SF,1,100,13.0084
1735118529.302022,1063019.000,39536,1,SF,1,100,12.8579
1735118529.569022,1063286.000,39586,1,SF,1,100,12.7091
1735118529.902023,1063619.000,39635,1,SF,1,100,12.5621
1735118530.302023,1064019.000,39702,1,SF,1,100,12.4168
1735118530.569024,1064286.000,39750,1,SF,1,100,12.2732
1735118530.902024,1064619.000,39799,1,SF,1,100,12.1312
1735118531.302025,1065019.000,39867,1,SF,1,100,11.9908
1735118531.635026,1065352.000,39916,1,SF,1,100,11.8521
1735118531.902026,1065619.000,39967,1,SF,1,100,11.7150
1735118532.235026,1065952.000,40017,1,SF,1,100,11.5795
1735118532.635027,1066352.000,40084,1,SF,1,100,11.4456
1735118532.902027,1066619.000,40123,1,SF,1,100,11.3132
1735118533.302028,1067019.000,40188,1,SF,1,100,11.1823
1735118533.569028,1067286.000,40241,1,SF,1,100,11.0529
1735118533.902029,1067619.000,40289,1,SF,1,100,10.9251
1735118534.302029,1068019.000,40356,1,SF,1,100,10.7987
1735118534.568030,1068285.000,40405,1,SF,1,100,10.6738
1735118534.902030,1068619.000,40454,1,SF,1,100,10.5503
1735118535.235031,1068952.000,40504,1,SF,1,100,10.4282
1735118535.635031,1069352.000,40569,1,SF,1,100,10.3076
1735118535.902032,1069619.000,40619,1,SF,1,100,10.1884
1735118536.235032,1069952.000,40668,1,SF,1,100,10.0705
1735118536.635033,1070352.000,40735,1,SF,1,100,9.9540
1735118536.902033,1070619.000,40785,1,SF,1,100,9.8389
1735118537.235034,1070952.000,40836,1,SF,1,100,9.7250
1735118537.568034,1071285.000,40886,1,SF,1,100,9.6125
1735118537.901035,1071618.000,40942,1,SF,1,100,9.5013
1735118538.301035,1072018.000,41009,1,SF,1,100,9.3914
1735118538.568035,1072285.000,41057,1,SF,1,100,9.2828
1735118538.901036,1072618.000,41108,1,SF,1,100,9.1754
1735118539.235036,1072952.000,41156,1,SF,1,100,9.0693
1735118539.635037,1073352.000,41223,1,SF,1,100,8.9644
