LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1735118508.297992,1042015.000,36132,1,T1,1,100,36.326
1735118508.430992,1042148.000,36149,1,T1,1,100,36.319
1735118508.563992,1042281.000,36166,1,T1,1,100,36.244
1735118508.697992,1042415.000,36199,1,T1,1,100,36.283
1735118508.830992,1042548.000,36216,1,T1,1,100,36.371
1735118508.963992,1042681.000,36233,1,T1,1,100,36.409
1735118509.097993,1042815.000,36264,1,T1,1,100,36.425
1735118509.230993,1042948.000,36282,1,T1,1,100,36.397
1735118509.363993,1043081.000,36298,1,T1,1,100,36.278
1735118509.497993,1043215.000,36317,1,T1,1,100,36.333
1735118509.630993,1043348.000,36349,1,T1,1,100,36.286
1735118509.763994,1043481.000,36365,1,T1,1,100,36.230
1735118509.897994,1043615.000,36383,1,T1,1,100,36.277
1735118510.030994,1043748.000,36414,1,T1,1,100,36.368
1735118510.163994,1043881.000,36430,1,T1,1,100,36.337
1735118510.296994,1044014.000,36448,1,T1,1,100,36.394
1735118510.430995,1044148.000,36481,1,T1,1,100,36.348
1735118510.563995,1044281.000,36500,1,T1,1,100,36.186
1735118510.697995,1044415.000,36519,1,T1,1,100,36.293
1735118510.830995,1044548.000,36551,1,T1,1,100,36.340
1735118510.963995,1044681.000,36567,1,T1,1,100,36.395
1735118511.096996,1044814.000,36584,1,T1,1,100,36.384
1735118511.230996,1044948.000,36600,1,T1,1,100,36.308
1735118511.363996,1045081.000,36634,1,T1,1,100,36.240
1735118511.496996,1045214.000,36651,1,T1,1,100,36.210
1735118511.630996,1045348.000,36668,1,T1,1,100,36.304
1735118511.763997,1045481.000,36699,1,T1,1,100,36.344
1735118511.896997,1045614.000,36717,1,T1,1,100,36.326
1735118512.030997,1045748.000,36735,1,T1,1,100,36.283
1735118512.163997,1045881.000,36773,2,T1,1,100,36.300
1735118512.296997,1046014.000,36773,2,T1,1,100,36.307
1735118512.429997,1046147.000,36804,1,T1,1,100,36.346
1735118512.563998,1046281.000,36821,1,T1,1,100,36.256
1735118512.696998,1046414.000,36838,1,T1,1,100,36.253
1735118512.830998,1046548.000,36872,1,T1,1,100,36.251
1735118512.963998,1046681.000,36888,1,T1,1,100,36.286
1735118513.096998,1046814.000,36905,1,T1,1,100,36.301
1735118513.230999,1046948.000,36921,1,T1,1,100,36.308
1735118513.363999,1047081.000,36953,1,T1,1,100,36.346
1735118513.496999,1047214.000,36972,1,T1,1,100,36.221
1735118513.629999,1047347.000,36989,1,T1,1,100,36.308
1735118513.763999,1047481.000,37020,1,T1,1,100,36.346
1735118513.897000,1047614.000,37038,1,T1,1,100,36.221
1735118514.030000,1047747.000,37054,1,T1,1,100,36.308
1735118514.164000,1047881.000,37071,1,T1,1,100,36.346
1735118514.297000,1048014.000,37103,1,T1,1,100,36.362
1735118514.430000,1048147.000,37121,1,T1,1,100,36.370
1735118514.564001,1048281.000,37139,1,T1,1,100,36.373
1735118514.697001,1048414.000,37170,1,T1,1,100,36.232
1735118514.831001,1048548.000,37186,1,T1,1,100,36.384
1735118514.964001,1048681.000,37204,1,T1,1,100,36.414
1735118515.097001,1048814.000,37235,1,T1,1,100,36.428
1735118515.230002,1048947.000,37252,1,T1,1,100,36.291
1735118515.364002,1049081.000,37269,1,T1,1,100,36.374
1735118515.497002,1049214.000,37285,1,T1,1,100,36.375
1735118515.630002,1049347.000,37319,1,T1,1,100,36.162
1735118515.764002,1049481.000,37336,1,T1,1,100,36.177
1735118515.897002,1049614.000,37353,1,T1,1,100,36.289
1735118516.030003,1049747.000,37386,1,T1,1,100,36.302
1735118516.164003,1049881.000,37403,1,T1,1,100,36.308
1735118516.297003,1050014.000,37422,1,T1,1,100,36.275
1735118516.430003,1050147.000,37453,1,T1,1,100,36.261
1735118516.564003,1050281.000,37471,1,T1,1,100,36.219
1735118516.697004,1050414.000,37487,1,T1,1,100,36.308
1735118516.830004,1050547.000,37519,1,T1,1,100,36.310
1735118516.964004,1050681.000,37538,1,T1,1,100,36.418
1735118517.097004,1050814.000,37554,1,T1,1,100,36.394
1735118517.230005,1050947.000,37574,1,T1,1,100,36.312
