LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1735118508.312992,1042030.000,36133,1,TH,1,100,32.755
1735118508.445992,1042163.000,36150,1,TH,1,100,32.885
1735118508.578992,1042296.000,36167,1,TH,1,100,32.885
1735118508.711992,1042429.000,36200,1,TH,1,100,32.810
1735118508.845992,1042563.000,36217,1,TH,1,100,32.810
1735118508.978992,1042696.000,36234,1,TH,1,100,32.814
1735118509.111993,1042829.000,36265,1,TH,1,100,32.814
1735118509.245993,1042963.000,36283,1,TH,1,100,32.779
1735118509.378993,1043096.000,36299,1,TH,1,100,32.779
1735118509.511993,1043229.000,36333,1,TH,1,100,32.843
1735118509.645993,1043363.000,36350,1,TH,1,100,32.843
1735118509.778994,1043496.000,36366,1,TH,1,100,32.901
1735118509.911994,1043629.000,36384,1,TH,1,100,32.901
1735118510.045994,1043763.000,36415,1,TH,1,100,32.852
1735118510.178994,1043896.000,36431,1,TH,1,100,32.852
1735118510.311994,1044029.000,36449,1,TH,1,100,32.823
1735118510.445995,1044163.000,36482,1,TH,1,100,32.823
1735118510.578995,1044296.000,36501,1,TH,1,100,32.781
1735118510.711995,1044429.000,36520,1,TH,1,100,32.781
1735118510.845995,1044563.000,36552,1,TH,1,100,32.823
1735118510.978995,1044696.000,36568,1,TH,1,100,32.823
1735118511.111996,1044829.000,36585,1,TH,1,100,32.753
1735118511.245996,1044963.000,36617,1,TH,1,100,32.753
1735118511.378996,1045096.000,36635,1,TH,1,100,32.815
1735118511.511996,1045229.000,36652,1,TH,1,100,32.815
1735118511.645996,1045363.000,36669,1,TH,1,100,32.745
1735118511.778996,1045496.000,36700,1,TH,1,100,32.745
1735118511.911997,1045629.000,36718,1,TH,1,100,32.833
1735118512.044997,1045762.000,36736,1,TH,1,100,32.833
1735118512.178497,1045895.500,36774,2,TH,1,100,32.836
1735118512.311997,1046029.000,36774,2,TH,1,100,32.836
1735118512.444998,1046162.000,36805,1,TH,1,100,32.805
1735118512.578998,1046296.000,36822,1,TH,1,100,32.805
1735118512.711998,1046429.000,36839,1,TH,1,100,32.847
1735118512.844998,1046562.000,36873,1,TH,1,100,32.847
1735118512.978998,1046696.000,36889,1,TH,1,100,32.849
1735118513.111999,1046829.000,36906,1,TH,1,100,32.849
1735118513.244999,1046962.000,36938,1,TH,1,100,32.750
1735118513.378999,1047096.000,36954,1,TH,1,100,32.750
1735118513.511999,1047229.000,36973,1,TH,1,100,32.843
1735118513.644999,1047362.000,36990,1,TH,1,100,32.843
1735118513.779000,1047496.000,37021,1,TH,1,100,32.812
1735118513.912000,1047629.000,37039,1,TH,1,100,32.812
1735118514.045000,1047762.000,37055,1,TH,1,100,32.750
1735118514.179000,1047896.000,37072,1,TH,1,100,32.750
1735118514.312000,1048029.000,37104,1,TH,1,100,32.862
1735118514.445000,1048162.000,37122,1,TH,1,100,32.862
1735118514.579001,1048296.000,37140,1,TH,1,100,32.836
1735118514.712001,1048429.000,37171,1,TH,1,100,32.836
1735118514.845001,1048562.000,37187,1,TH,1,100,32.836
1735118514.979001,1048696.000,37205,1,TH,1,100,32.836
1735118515.112001,1048829.000,37236,1,TH,1,100,32.821
1735118515.245002,1048962.000,37253,1,TH,1,100,32.821
1735118515.378002,1049095.000,37270,1,TH,1,100,32.745
1735118515.512002,1049229.000,37286,1,TH,1,100,32.745
1735118515.645002,1049362.000,37320,1,TH,1,100,32.794
1735118515.779002,1049496.000,37337,1,TH,1,100,32.794
1735118515.912003,1049629.000,37354,1,TH,1,100,32.852
1735118516.045003,1049762.000,37387,1,TH,1,100,32.852
1735118516.178003,1049895.000,37404,1,TH,1,100,32.880
1735118516.312003,1050029.000,37423,1,TH,1,100,32.880
1735118516.445003,1050162.000,37454,1,TH,1,100,32.821
1735118516.578004,1050295.000,37472,1,TH,1,100,32.821
1735118516.712004,1050429.000,37488,1,TH,1,100,32.795
1735118516.845004,1050562.000,37520,1,TH,1,100,32.794
1735118516.978004,1050695.000,37539,1,TH,1,100,32.810
1735118517.112004,1050829.000,37555,1,TH,1,100,32.810
1735118517.245004,1050962.000,37575,1,TH,1,100,32.847
1735118517.378005,1051095.000,37597,1,TH,1,100,32.847
1735118517.512005,1051229.000,37613,1,TH,1,100,32.852
1735118517.645005,1051362.000,37645,1,TH,1,100,32.852
1735118517.778005,1051495.000,37662,1,TH,1,100,32.761
1735118517.912005,1051629.000,37679,1,TH,1,100,32.761
1735118518.045006,1051762.000,37710,1,TH,1,100,32.833
1735118518.178006,1051895.000,37730,1,TH,1,100,32.833
1735118518.312006,1052029.000,37746,1,TH,1,100,32.893
1735118518.445006,1052162.000,37763,1,TH,1,100,32.893
1735118518.578007,1052295.000,37795,1,TH,1,100,32.784
1735118518.712007,1052429.000,37811,1,TH,1,100,32.784
1735118518.845007,1052562.000,37828,1,TH,1,100,32.753
1735118518.978007,1052695.000,37860,1,TH,1,100,32.753
1735118519.111007,1052828.000,37876,1,TH,1,100,32.735
1735118519.245008,1052962.000,37894,1,TH,1,100,32.735
1735118519.378008,1053095.000,37925,1,TH,1,100,32.774
1735118519.511008,1053228.000,37941,1,TH,1,100,32.774
1735118519.645008,1053362.000,37959,1,TH,1,100,32.875
1735118519.778008,1053495.000,37992,1,TH,1,100,32.875
1735118519.911008,1053628.000,38009,1,TH,1,100,32.862
1735118520.045009,1053762.000,38026,1,TH,1,100,32.862
1735118520.178009,1053895.000,38060,1,TH,1,100,32.795
1735118520.311009,1054028.000,38078,1,TH,1,100,32.794
1735118520.445009,1054162.000,38095,1,TH,1,100,32.878
1735118520.578009,1054295.000,38112,1,TH,1,100,32.878
1735118520.711010,1054428.000,38145,1,TH,1,100,32.815
1735118520.845010,1054562.000,38162,1,TH,1,100,32.815
1735118520.978010,1054695.000,38179,1,TH,1,100,32.769
1735118521.111010,1054828.000,38212,1,TH,1,100,32.768
1735118521.245010,1054962.000,38230,1,TH,1,100,32.690
1735118521.378011,1055095.000,38248,1,TH,1,100,32.690
1735118521.511011,1055228.000,38280,1,TH,1,100,32.855
1735118521.645011,1055362.000,38297,1,TH,1,100,32.855
1735118521.778011,1055495.000,38313,1,TH,1,100,32.704
1735118521.911011,1055628.000,38347,1,TH,1,100,32.704
1735118522.044011,1055761.000,38364,1,TH,1,100,32.800
1735118522.178012,1055895.000,38380,1,TH,1,100,32.792
1735118522.311012,1056028.000,38414,1,TH,1,100,32.818
1735118522.445012,1056162.000,38436,1,TH,1,100,32.826
1735118522.578012,1056295.000,38453,1,TH,1,100,32.769
1735118522.711012,1056428.000,38470,1,TH,1,100,32.768
1735118522.845013,1056562.000,38486,1,TH,1,100,32.787
1735118522.978013,1056695.000,38518,1,TH,1,100,32.787
1735118523.111013,1056828.000,38535,1,TH,1,100,32.748
1735118523.244013,1056961.000,38552,1,TH,1,100,32.748
1735118523.378013,1057095.000,38583,1,TH,1,100,32.794
1735118523.511014,1057228.000,38603,1,TH,1,100,32.794
1735118523.644014,1057361.000,38619,1,TH,1,100,32.748
1735118523.778014,1057495.000,38636,1,TH,1,100,32.748
1735118523.911014,1057628.000,38670,1,TH,1,100,32.849
1735118524.044014,1057761.000,38686,1,TH,1,100,32.850
1735118524.178015,1057895.000,38703,1,TH,1,100,32.798
1735118524.311015,1058028.000,38737,1,TH,1,100,32.790
1735118524.444015,1058161.000,38753,1,TH,1,100,32.808
1735118524.578015,1058295.000,38773,1,TH,1,100,32.815
1735118524.711015,1058428.000,38804,1,TH,1,100,32.916
1735118524.844016,1058561.000,38820,1,TH,1,100,32.909
1735118524.978016,1058695.000,38838,1,TH,1,100,32.874
1735118525.111016,1058828.000,38869,1,TH,1,100,32.881
1735118525.244016,1058961.000,38888,1,TH,1,100,32.878
1735118525.378016,1059095.000,38905,1,TH,1,100,32.878
1735118525.511017,1059228.000,38937,1,TH,1,100,32.779
1735118525.644017,1059361.000,38953,1,TH,1,100,32.779
1735118525.778017,1059495.000,38970,1,TH,1,100,32.794
1735118525.911017,1059628.000,38989,1,TH,1,100,32.787
1735118526.044017,1059761.000,39020,1,TH,1,100,32.772
1735118526.178017,1059895.000,39037,1,TH,1,100,32.771
1735118526.311018,1060028.000,39054,1,TH,1,100,32.733
1735118526.444018,1060161.000,39087,1,TH,1,100,32.733
1735118526.578018,1060295.000,39105,1,TH,1,100,32.795
1735118526.711018,1060428.000,39121,1,TH,1,100,32.795
1735118526.844018,1060561.000,39155,1,TH,1,100,32.868
