LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1735118512.204997,1045922.000,36761,1,TL,1,100,2024-12-25_16-21-47-266409
1735118512.248997,1045966.000,36764,1,TL,1,100,2024-12-25_16-21-52-243104
1735118517.313004,1051030.000,37585,1,TL,1,100,2024-12-25_16-21-52-342442
1735118517.328005,1051045.000,37588,1,TL,1,100,2024-12-25_16-21-57-322246
1735118522.438012,1056155.000,38424,1,TL,1,100,2024-12-25_16-21-57-449540
1735118522.452012,1056169.000,38427,1,TL,1,100,2024-12-25_16-22-02-446012
1735118527.567019,1061284.000,39267,1,TL,1,100,2024-12-25_16-22-02-582024
1735118527.585020,1061302.000,39270,1,TL,1,100,2024-12-25_16-22-07-576118
1735118532.696027,1066413.000,40101,1,TL,1,100,2024-12-25_16-22-07-716234
1735118532.718027,1066435.000,40104,1,TL,1,100,2024-12-25_16-22-12-704670
1735118537.811034,1071528.000,40936,1,TL,1,100,2024-12-25_16-22-12-830420
1735118537.825034,1071542.000,40939,1,TL,1,100,2024-12-25_16-22-17-818275
1735118542.943042,1076660.000,41774,1,TL,1,100,2024-12-25_16-22-17-944206
1735118542.965042,1076682.000,41777,1,TL,1,100,2024-12-25_16-22-22-959959
1735118548.076049,1081793.000,42607,1,TL,1,100,2024-12-25_16-22-23-076637
1735118548.098049,1081815.000,42610,1,TL,1,100,2024-12-25_16-22-28-090797
1735118553.183057,1086900.000,43429,1,TL,1,100,2024-12-25_16-22-28-224454
1735118553.262057,1086979.000,43432,1,TL,1,100,2024-12-25_16-22-33-202517
1735118558.317064,1092034.000,44265,1,TL,1,100,2024-12-25_16-22-33-316246
1735118558.331064,1092048.000,44268,1,TL,1,100,2024-12-25_16-22-38-324503
1735118563.437072,1097154.000,45102,1,TL,1,100,2024-12-25_16-22-38-455218
1735118563.454072,1097171.000,45105,1,TL,1,100,2024-12-25_16-22-43-448046
1735118568.548079,1102265.000,45933,1,TL,1,100,2024-12-25_16-22-43-563410
1735118568.563079,1102280.000,45936,1,TL,1,100,2024-12-25_16-22-48-559133
1735118573.676086,1107393.000,46771,1,TL,1,100,2024-12-25_16-22-48-686011
1735118573.721087,1107438.000,46774,1,TL,1,100,2024-12-25_16-22-53-716514
1735118578.793094,1112510.000,47604,1,TL,1,100,2024-12-25_16-22-53-815037
1735118578.811094,1112528.000,47607,1,TL,1,100,2024-12-25_16-22-58-804531
1735118583.900101,1117617.000,48421,1,TL,1,100,2024-12-25_16-22-58-925786
1735118583.922101,1117639.000,48424,1,TL,1,100,2024-12-25_16-23-03-917601
1735118589.027109,1122744.000,49253,1,TL,1,100,2024-12-25_16-23-04-038597
1735118589.046109,1122763.000,49256,1,TL,1,100,2024-12-25_16-23-09-040665
1735118594.142116,1127859.000,50082,1,TL,1,100,2024-12-25_16-23-09-166516
1735118594.167116,1127884.000,50085,1,TL,1,100,2024-12-25_16-23-14-161523
1735118599.266124,1132983.000,50912,1,TL,1,100,2024-12-25_16-23-14-280842
1735118599.287124,1133004.000,50915,1,TL,1,100,2024-12-25_16-23-19-281459
1735118604.385131,1138102.000,51746,1,TL,1,100,2024-12-25_16-23-19-409263
1735118604.408131,1138125.000,51749,1,TL,1,100,2024-12-25_16-23-24-398669
1735118609.517138,1143234.000,52581,1,TL,1,100,2024-12-25_16-23-24-520225
1735118609.538139,1143255.000,52584,1,TL,1,100,2024-12-25_16-23-29-532495
1735118614.643146,1148360.000,53417,1,TL,1,100,2024-12-25_16-23-29-666496
1735118614.656146,1148373.000,53420,1,TL,1,100,2024-12-25_16-23-34-649096
1735118619.749153,1153466.000,54234,1,TL,1,100,2024-12-25_16-23-34-781545
