RD,TS_received,TS_sent,AK,RoundTrip,
1045924,1045966,2024-12-25_16-21-52-243104,1045970,42,
1051031,1051045,2024-12-25_16-21-57-322246,1051046,14,
1056157,1056169,2024-12-25_16-22-02-446012,1056170,12,
1061288,1061302,2024-12-25_16-22-07-576118,1061304,14,
1066415,1066435,2024-12-25_16-22-12-704670,1066437,20,
1071530,1071542,2024-12-25_16-22-17-818275,1071543,12,
1076662,1076682,2024-12-25_16-22-22-959959,1076683,20,
1081795,1081815,2024-12-25_16-22-28-090797,1081819,20,
1086901,1086979,2024-12-25_16-22-33-202517,1086981,78,
1092036,1092048,2024-12-25_16-22-38-324503,1092049,12,
1097156,1097171,2024-12-25_16-22-43-448046,1097172,15,
1102267,1102280,2024-12-25_16-22-48-559133,1102284,13,
1107396,1107438,2024-12-25_16-22-53-716514,1107439,42,
1112512,1112528,2024-12-25_16-22-58-804531,1112529,16,
1117619,1117639,2024-12-25_16-23-03-917601,1117644,20,
1122750,1122763,2024-12-25_16-23-09-040665,1122765,13,
1127861,1127884,2024-12-25_16-23-14-161523,1127885,23,
1132988,1133004,2024-12-25_16-23-19-281459,1133005,16,
1138103,1138125,2024-12-25_16-23-24-398669,1138126,22,
1143236,1143255,2024-12-25_16-23-29-532495,1143257,19,
1148361,1148373,2024-12-25_16-23-34-649096,1148374,12,
1153468,1158600,2024-12-25_16-23-39-884013,1158601,5132,
1158602,1158617,2024-12-25_16-23-44-892396,1158618,15,
1163712,1163720,2024-12-25_16-23-49-999454,1163722,8,
1168833,1168842,2024-12-25_16-23-55-120886,1168843,9,
1173945,1173959,2024-12-25_16-24-00-237920,1173961,14,
1179064,1179078,2024-12-25_16-24-05-357769,1179079,14,
1184184,1184198,2024-12-25_16-24-10-475709,1184199,14,
1189291,1189302,2024-12-25_16-24-15-580205,1189303,11,
1194431,1194489,2024-12-25_16-24-20-763638,1194490,58,
1199548,1199558,2024-12-25_16-24-25-836350,1199559,10,
1204663,1204683,2024-12-25_16-24-30-959717,1204684,20,
1209782,1209798,2024-12-25_16-24-36-076845,1209800,16,
1214891,1214948,2024-12-25_16-24-41-224877,1214952,57,
1220000,1220008,2024-12-25_16-24-46-287250,1220014,8,
