LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734179443.307603,131471.000,18699,2,AK,1,100,17873
1734179443.307603,131471.000,18699,2,AK,1,100,RD
1734179443.314103,131477.500,18702,2,AK,1,100,18700
1734179443.320603,131484.000,18702,2,AK,1,100,RD
1734179445.868103,134031.500,19520,2,AK,1,100,18700
1734179448.415602,136579.000,19520,2,AK,1,100,RD
1734179448.422602,136586.000,19523,2,AK,1,100,19521
1734179448.429602,136593.000,19523,2,AK,1,100,RD
1734179450.976602,139140.000,20360,2,AK,1,100,19521
1734179453.523601,141687.000,20360,2,AK,1,100,RD
1734179453.529601,141693.000,20363,2,AK,1,100,20361
1734179453.535601,141699.000,20363,2,AK,1,100,RD
1734179456.083601,144247.000,21180,2,AK,1,100,20361
1734179458.631600,146795.000,21180,2,AK,1,100,RD
1734179458.636100,146799.500,21183,2,AK,1,100,21181
1734179458.640600,146804.000,21183,2,AK,1,100,RD
1734179461.192100,149355.500,21970,2,AK,1,100,21181
1734179463.743599,151907.000,21970,2,AK,1,100,RD
1734179463.752599,151916.000,21973,2,AK,1,100,21971
1734179463.761599,151925.000,21973,2,AK,1,100,RD
1734179466.312598,154476.000,22820,2,AK,1,100,21971
1734179468.863598,157027.000,22820,2,AK,1,100,RD
1734179468.870598,157034.000,22823,2,AK,1,100,22821
1734179468.877598,157041.000,22823,2,AK,1,100,RD
1734179471.424098,159587.500,23657,2,AK,1,100,22821
1734179473.970597,162134.000,23657,2,AK,1,100,RD
1734179473.984597,162148.000,23660,2,AK,1,100,23658
1734179473.998597,162162.000,23660,2,AK,1,100,RD
1734179476.538597,164702.000,24490,2,AK,1,100,23658
1734179479.078596,167242.000,24490,2,AK,1,100,RD
1734179479.085096,167248.500,24493,2,AK,1,100,24491
1734179479.091596,167255.000,24493,2,AK,1,100,RD
1734179481.641096,169804.500,25330,2,AK,1,100,24491
1734179484.190595,172354.000,25330,2,AK,1,100,RD
1734179484.219595,172383.000,25333,2,AK,1,100,25331
1734179484.248595,172412.000,25333,2,AK,1,100,RD
1734179486.773095,174936.500,26151,2,AK,1,100,25331
1734179489.297594,177461.000,26151,2,AK,1,100,RD
1734179489.306594,177470.000,26154,2,AK,1,100,26152
1734179489.315594,177479.000,26154,2,AK,1,100,RD
1734179491.863594,180027.000,26991,2,AK,1,100,26152
1734179494.411593,182575.000,26991,2,AK,1,100,RD
1734179494.426093,182589.500,26994,2,AK,1,100,26992
1734179494.440593,182604.000,26994,2,AK,1,100,RD
1734179496.984593,185148.000,27785,2,AK,1,100,26992
1734179499.528592,187692.000,27785,2,AK,1,100,RD
1734179499.543592,187707.000,27788,2,AK,1,100,27786
1734179499.558592,187722.000,27788,2,AK,1,100,RD
1734179502.097092,190260.500,28618,2,AK,1,100,27786
1734179504.635591,192799.000,28618,2,AK,1,100,RD
1734179504.645591,192809.000,28621,2,AK,1,100,28619
1734179504.655591,192819.000,28621,2,AK,1,100,RD
1734179507.199091,195362.500,29451,2,AK,1,100,28619
1734179509.742590,197906.000,29451,2,AK,1,100,RD
1734179509.748590,197912.000,29454,2,AK,1,100,29452
1734179509.754590,197918.000,29454,2,AK,1,100,RD
1734179512.308090,200471.500,30303,2,AK,1,100,29452
1734179514.861589,203025.000,30303,2,AK,1,100,RD
1734179514.867589,203031.000,30306,2,AK,1,100,30304
1734179514.873589,203037.000,30306,2,AK,1,100,RD
1734179517.423089,205586.500,31136,2,AK,1,100,30304
1734179519.972588,208136.000,31136,2,AK,1,100,RD
1734179519.984588,208148.000,31139,2,AK,1,100,31137
