LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734179444.016603,132180.000,18837,1,B%,1,100,86
1734179449.015602,137179.000,19645,1,B%,1,100,87
1734179454.015601,142179.000,20462,1,B%,1,100,87
1734179459.014600,147178.000,21270,1,B%,1,100,86
1734179464.014599,152178.000,22040,1,B%,1,100,86
1734179469.013598,157177.000,22856,1,B%,1,100,86
1734179474.013597,162177.000,23694,1,B%,1,100,86
1734179479.012596,167176.000,24514,1,B%,1,100,86
1734179484.012595,172176.000,25312,1,B%,1,100,86
1734179489.011594,177175.000,26132,1,B%,1,100,86
1734179494.011593,182175.000,26940,1,B%,1,100,86
1734179499.010592,187174.000,27716,1,B%,1,100,86
1734179504.010591,192174.000,28532,1,B%,1,100,85
1734179509.009590,197173.000,29351,1,B%,1,100,85
1734179514.009589,202173.000,30168,1,B%,1,100,86
1734179519.008588,207172.000,30985,1,B%,1,100,86
1734179524.008587,212172.000,31821,1,B%,1,100,86
1734179529.007586,217171.000,32645,1,B%,1,100,85
1734179534.007586,222171.000,33446,1,B%,1,100,85
1734179539.006585,227170.000,34264,1,B%,1,100,85
1734179544.006583,232170.000,35081,1,B%,1,100,85
1734179549.005583,237169.000,35899,1,B%,1,100,85
1734179554.005582,242169.000,36700,1,B%,1,100,86
1734179559.004581,247168.000,37506,1,B%,1,100,85
1734179564.004580,252168.000,38324,1,B%,1,100,85
1734179569.003579,257167.000,39142,1,B%,1,100,85
1734179574.003578,262167.000,39943,1,B%,1,100,84
1734179579.002577,267166.000,40763,1,B%,1,100,85
1734179584.002576,272166.000,41579,1,B%,1,100,85
1734179589.001575,277165.000,42380,1,B%,1,100,85
1734179594.001574,282165.000,43199,1,B%,1,100,84
1734179599.000573,287164.000,44000,1,B%,1,100,85
1734179604.000572,292164.000,44821,1,B%,1,100,85
1734179608.999571,297163.000,45641,1,B%,1,100,84
1734179613.999570,302163.000,46460,1,B%,1,100,85
1734179618.998569,307162.000,47261,1,B%,1,100,84
1734179623.998568,312162.000,48086,1,B%,1,100,84
1734179628.997567,317161.000,48895,1,B%,1,100,84
1734179633.997566,322161.000,49715,1,B%,1,100,84
1734179638.996565,327160.000,50533,1,B%,1,100,84
1734179643.996564,332160.000,51353,1,B%,1,100,84
1734179648.995563,337159.000,52172,1,B%,1,100,83
1734179653.995562,342159.000,52975,1,B%,1,100,84
1734179658.994561,347158.000,53776,1,B%,1,100,84
1734179663.994560,352158.000,54593,1,B%,1,100,83
1734179668.993559,357157.000,55413,1,B%,1,100,84
1734179673.993558,362157.000,56214,1,B%,1,100,84
1734179678.992558,367156.000,57031,1,B%,1,100,84
1734179683.992557,372156.000,57850,1,B%,1,100,84
1734179688.991556,377155.000,58671,1,B%,1,100,83
1734179693.991555,382155.000,59468,1,B%,1,100,83
1734179698.990554,387154.000,60291,1,B%,1,100,83
1734179703.990553,392154.000,61104,1,B%,1,100,83
1734179708.989552,397153.000,61925,1,B%,1,100,84
1734179713.989551,402153.000,62744,1,B%,1,100,83
1734179718.988550,407152.000,63547,1,B%,1,100,83
1734179723.988549,412152.000,64366,1,B%,1,100,84
1734179728.987548,417151.000,65169,1,B%,1,100,83
1734179733.987547,422151.000,453,1,B%,1,100,83
1734179738.986546,427150.000,1273,1,B%,1,100,83
1734179743.986545,432150.000,2090,1,B%,1,100,83
1734179748.985544,437149.000,2908,1,B%,1,100,84
1734179753.985543,442149.000,3726,1,B%,1,100,83
1734179758.984542,447148.000,4566,1,B%,1,100,83
1734179763.984541,452148.000,5382,1,B%,1,100,83
1734179768.983540,457147.000,6186,1,B%,1,100,84
1734179773.983539,462147.000,7020,1,B%,1,100,83
1734179778.982538,467146.000,7838,1,B%,1,100,84
1734179783.982537,472146.000,8655,1,B%,1,100,83
1734179788.981536,477145.000,9470,1,B%,1,100,83
1734179793.981535,482145.000,10304,1,B%,1,100,83
1734179798.980534,487144.000,11112,1,B%,1,100,83
1734179803.980533,492144.000,11928,1,B%,1,100,82
1734179808.979532,497143.000,12750,1,B%,1,100,84
1734179813.979532,502143.000,13566,1,B%,1,100,83
1734179818.978530,507142.000,14382,1,B%,1,100,83
1734179823.978529,512142.000,15216,1,B%,1,100,83
1734179828.977529,517141.000,16034,1,B%,1,100,83
1734179833.977528,522141.000,16851,1,B%,1,100,82
1734179838.976527,527140.000,17669,1,B%,1,100,82
1734179843.976526,532140.000,18487,1,B%,1,100,83
1734179848.975525,537139.000,19323,1,B%,1,100,83
1734179853.975524,542139.000,20141,1,B%,1,100,82
1734179858.974523,547138.000,20958,1,B%,1,100,82
1734179863.974522,552138.000,21775,1,B%,1,100,83
1734179868.973521,557137.000,22597,1,B%,1,100,82
1734179873.973520,562137.000,23413,1,B%,1,100,82
1734179878.972519,567136.000,24249,1,B%,1,100,83
1734179883.972518,572136.000,25067,1,B%,1,100,82
1734179888.971517,577135.000,25890,1,B%,1,100,82
1734179893.971516,582135.000,26707,1,B%,1,100,82
1734179898.970515,587134.000,27543,1,B%,1,100,83
1734179903.970514,592134.000,28344,1,B%,1,100,82
1734179908.969513,597133.000,29140,1,B%,1,100,82
1734179913.969512,602133.000,29960,1,B%,1,100,81
1734179918.968511,607132.000,30728,1,B%,1,100,82
1734179923.968510,612132.000,31547,1,B%,1,100,82
1734179928.967509,617131.000,32362,1,B%,1,100,82
1734179933.967508,622131.000,33181,1,B%,1,100,82
1734179938.966507,627130.000,33986,1,B%,1,100,81
1734179943.966506,632130.000,34805,1,B%,1,100,82
1734179948.965505,637129.000,35612,1,B%,1,100,81
1734179953.965504,642129.000,36371,1,B%,1,100,81
1734179958.964504,647128.000,37177,1,B%,1,100,81
1734179963.964503,652128.000,37998,1,B%,1,100,81
1734179968.963502,657127.000,38816,1,B%,1,100,81
1734179973.963501,662127.000,39620,1,B%,1,100,81
1734179978.962500,667126.000,40426,1,B%,1,100,82
1734179983.962499,672126.000,41248,1,B%,1,100,82
1734179988.961498,677125.000,42068,1,B%,1,100,82
1734179993.961497,682125.000,42873,1,B%,1,100,81
1734179998.960496,687124.000,43691,1,B%,1,100,80
1734180003.960495,692124.000,44511,1,B%,1,100,81
1734180008.959494,697123.000,45312,1,B%,1,100,81
1734180013.959493,702123.000,46132,1,B%,1,100,80
1734180018.958492,707122.000,46933,1,B%,1,100,80
1734180023.958491,712122.000,47752,1,B%,1,100,81
1734180028.957490,717121.000,48574,1,B%,1,100,81
1734180033.957489,722121.000,49391,1,B%,1,100,81
1734180038.956488,727120.000,50209,1,B%,1,100,81
1734180043.956487,732120.000,51010,1,B%,1,100,81
1734180048.955486,737119.000,51827,1,B%,1,100,80
1734180053.955485,742119.000,52646,1,B%,1,100,80
1734180058.954484,747118.000,53469,1,B%,1,100,81
1734180063.954483,752118.000,54268,1,B%,1,100,80
1734180068.953482,757117.000,55084,1,B%,1,100,80
1734180073.953481,762117.000,55906,1,B%,1,100,81
1734180078.952480,767116.000,56710,1,B%,1,100,80
1734180083.952479,772116.000,57526,1,B%,1,100,80
1734180088.951478,777115.000,58351,1,B%,1,100,80
1734180093.951478,782115.000,59170,1,B%,1,100,81
1734180098.950476,787114.000,59990,1,B%,1,100,81
1734180103.950475,792114.000,60791,1,B%,1,100,80
1734180108.949475,797113.000,61612,1,B%,1,100,80
1734180113.949474,802113.000,62415,1,B%,1,100,80
1734180118.948473,807112.000,63230,1,B%,1,100,80
1734180123.948472,812112.000,64049,1,B%,1,100,80
1734180128.947471,817111.000,64867,1,B%,1,100,79
1734180133.947470,822111.000,150,1,B%,1,100,80
1734180138.946469,827110.000,967,1,B%,1,100,80
1734180143.946468,832110.000,1767,1,B%,1,100,80
1734180148.945467,837109.000,2589,1,B%,1,100,81
1734180153.945466,842109.000,3407,1,B%,1,100,80
1734180158.944465,847108.000,4228,1,B%,1,100,80
1734180163.944464,852108.000,5044,1,B%,1,100,80
1734180168.943463,857107.000,5860,1,B%,1,100,80
1734180173.943462,862107.000,6680,1,B%,1,100,80
1734180178.942461,867106.000,7514,1,B%,1,100,80
1734180183.942460,872106.000,8314,1,B%,1,100,80
1734180188.941459,877105.000,9148,1,B%,1,100,80
1734180193.941458,882105.000,9947,1,B%,1,100,79
1734180198.940457,887104.000,10764,1,B%,1,100,79
1734180203.940456,892104.000,11599,1,B%,1,100,79
1734180208.939455,897103.000,12421,1,B%,1,100,80
1734180213.939454,902103.000,13237,1,B%,1,100,80
1734180218.938453,907102.000,14056,1,B%,1,100,80
1734180223.938452,912102.000,14874,1,B%,1,100,80
1734180228.937451,917101.000,15677,1,B%,1,100,79
1734180233.937450,922101.000,16494,1,B%,1,100,79
1734180238.936450,927100.000,17332,1,B%,1,100,80
1734180243.936449,932100.000,18134,1,B%,1,100,79
1734180248.935447,937099.000,18954,1,B%,1,100,79
1734180253.935447,942099.000,19776,1,B%,1,100,79
1734180258.934446,947098.000,20593,1,B%,1,100,79
1734180263.934445,952098.000,21413,1,B%,1,100,79
1734180268.933444,957097.000,22231,1,B%,1,100,79
1734180273.933443,962097.000,23050,1,B%,1,100,79
1734180278.932442,967096.000,23853,1,B%,1,100,79
1734180283.932441,972096.000,24688,1,B%,1,100,79
1734180288.931440,977095.000,25489,1,B%,1,100,79
1734180293.931439,982095.000,26306,1,B%,1,100,79
1734180298.930438,987094.000,27125,1,B%,1,100,79
1734180303.930437,992094.000,27950,1,B%,1,100,78
1734180308.929436,997093.000,28770,1,B%,1,100,79
1734180313.929435,1002093.000,29587,1,B%,1,100,79
1734180318.928434,1007092.000,30423,1,B%,1,100,79
1734180323.928433,1012092.000,31224,1,B%,1,100,79
1734180328.927432,1017091.000,32045,1,B%,1,100,79
1734180333.927431,1022091.000,32863,1,B%,1,100,79
1734180338.926430,1027090.000,33697,1,B%,1,100,79
1734180343.926429,1032090.000,34493,1,B%,1,100,79
1734180348.925428,1037089.000,35308,1,B%,1,100,79
