LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1734179439.718604,127882,18118,1,BI,1,100,1760
1734179440.678603,128842,18267,1,BI,1,100,960
1734179441.558603,129722,18417,1,BI,1,100,880
1734179442.651603,130815,18583,1,BI,1,100,1080
1734179443.531603,131695,18737,1,BI,1,100,880
1734179444.251603,132415,18855,1,BI,1,100,720
1734179445.251603,133415,19021,1,BI,1,100,1000
1734179446.024602,134188,19153,1,BI,1,100,760
1734179446.904602,135068,19286,1,BI,1,100,880
1734179447.704602,135868,19404,1,BI,1,100,800
1734179448.424602,136588,19524,1,BI,1,100,720
1734179449.024602,137188,19625,1,BI,1,100,600
1734179450.037602,138201,19791,1,BI,1,100,1000
1734179451.037601,139201,19959,1,BI,1,100,1000
1734179452.117601,140281,20125,1,BI,1,100,1080
1734179453.117601,141281,20289,1,BI,1,100,1000
1734179454.250601,142414,20480,1,BI,1,100,1120
1734179455.290601,143454,20646,1,BI,1,100,1040
1734179456.090600,144254,20779,1,BI,1,100,800
1734179456.983600,145147,20911,1,BI,1,100,880
1734179458.023600,146187,21079,1,BI,1,100,1040
1734179458.703600,146867,21201,1,BI,1,100,680
1734179459.783600,147947,21385,1,BI,1,100,1080
1734179460.836600,149000,21551,1,BI,1,100,1040
1734179461.796599,149960,21700,1,BI,1,100,960
1734179462.636599,150800,21785,1,BI,1,100,840
1734179463.556599,151720,21950,1,BI,1,100,920
1734179464.649599,152813,22123,1,BI,1,100,1080
1734179465.489599,153653,22273,1,BI,1,100,840
1734179466.449599,154613,22422,1,BI,1,100,960
1734179467.449598,155613,22586,1,BI,1,100,1000
1734179468.462598,156626,22752,1,BI,1,100,1000
1734179469.222598,157386,22875,1,BI,1,100,760
1734179470.142598,158306,23023,1,BI,1,100,920
1734179471.021598,159185,23173,1,BI,1,100,880
1734179471.995597,160159,23338,1,BI,1,100,960
1734179472.635597,160799,23440,1,BI,1,100,640
1734179473.555597,161719,23589,1,BI,1,100,920
1734179474.634597,162798,23777,1,BI,1,100,1080
1734179475.608597,163772,23926,1,BI,1,100,960
1734179476.488597,164652,24076,1,BI,1,100,880
1734179477.488596,165652,24242,1,BI,1,100,1000
1734179478.487596,166651,24406,1,BI,1,100,1000
1734179478.981596,167145,24494,1,BI,1,100,480
1734179479.901596,168065,24629,1,BI,1,100,920
1734179480.861596,169025,24795,1,BI,1,100,960
1734179481.780596,169944,24945,1,BI,1,100,920
1734179482.994595,171158,25128,1,BI,1,100,1200
1734179483.994595,172158,25292,1,BI,1,100,1000
1734179484.913595,173077,25450,1,BI,1,100,920
1734179485.593595,173757,25551,1,BI,1,100,680
1734179486.807595,174971,25749,1,BI,1,100,1200
1734179487.727594,175891,25898,1,BI,1,100,920
1734179488.486594,176650,26031,1,BI,1,100,760
1734179489.486594,177650,26187,1,BI,1,100,1000
1734179490.420594,178584,26340,1,BI,1,100,920
1734179491.380594,179544,26506,1,BI,1,100,960
1734179492.299593,180463,26655,1,BI,1,100,920
1734179493.259593,181423,26805,1,BI,1,100,960
1734179493.993593,182157,26920,1,BI,1,100,720
1734179494.872593,183036,27062,1,BI,1,100,880
