LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734179444.016603,132180.000,18836,1,BV,1,100,3.96
1734179449.015602,137179.000,19644,1,BV,1,100,3.97
1734179454.015601,142179.000,20461,1,BV,1,100,3.97
1734179459.014600,147178.000,21269,1,BV,1,100,3.96
1734179464.014599,152178.000,22039,1,BV,1,100,3.96
1734179469.013598,157177.000,22855,1,BV,1,100,3.96
1734179474.013597,162177.000,23693,1,BV,1,100,3.96
1734179479.012596,167176.000,24513,1,BV,1,100,3.96
1734179484.012595,172176.000,25311,1,BV,1,100,3.96
1734179489.011594,177175.000,26131,1,BV,1,100,3.96
1734179494.011593,182175.000,26939,1,BV,1,100,3.96
1734179499.010592,187174.000,27715,1,BV,1,100,3.96
1734179504.010591,192174.000,28531,1,BV,1,100,3.95
1734179509.009590,197173.000,29350,1,BV,1,100,3.96
1734179514.009589,202173.000,30167,1,BV,1,100,3.96
1734179519.008588,207172.000,30984,1,BV,1,100,3.96
1734179524.008587,212172.000,31820,1,BV,1,100,3.96
1734179529.007586,217171.000,32644,1,BV,1,100,3.96
1734179534.007586,222171.000,33445,1,BV,1,100,3.96
1734179539.006585,227170.000,34263,1,BV,1,100,3.96
1734179544.006583,232170.000,35080,1,BV,1,100,3.95
1734179549.005583,237169.000,35898,1,BV,1,100,3.96
1734179554.005582,242169.000,36699,1,BV,1,100,3.96
1734179559.004581,247168.000,37505,1,BV,1,100,3.96
1734179564.004580,252168.000,38323,1,BV,1,100,3.96
1734179569.003579,257167.000,39141,1,BV,1,100,3.96
1734179574.003578,262167.000,39942,1,BV,1,100,3.95
1734179579.002577,267166.000,40762,1,BV,1,100,3.96
1734179584.002576,272166.000,41578,1,BV,1,100,3.96
1734179589.001575,277165.000,42379,1,BV,1,100,3.95
1734179594.001574,282165.000,43198,1,BV,1,100,3.95
1734179599.000573,287164.000,43999,1,BV,1,100,3.95
1734179604.000572,292164.000,44820,1,BV,1,100,3.96
1734179608.999571,297163.000,45640,1,BV,1,100,3.95
1734179613.999570,302163.000,46459,1,BV,1,100,3.95
1734179618.998569,307162.000,47260,1,BV,1,100,3.95
1734179623.998568,312162.000,48085,1,BV,1,100,3.95
1734179628.997567,317161.000,48894,1,BV,1,100,3.95
1734179633.997566,322161.000,49714,1,BV,1,100,3.95
1734179638.996565,327160.000,50532,1,BV,1,100,3.95
1734179643.996564,332160.000,51352,1,BV,1,100,3.95
1734179648.995563,337159.000,52171,1,BV,1,100,3.94
1734179653.995562,342159.000,52974,1,BV,1,100,3.95
1734179658.994561,347158.000,53775,1,BV,1,100,3.95
1734179663.994560,352158.000,54592,1,BV,1,100,3.95
1734179668.993559,357157.000,55412,1,BV,1,100,3.95
1734179673.993558,362157.000,56213,1,BV,1,100,3.95
1734179678.992558,367156.000,57030,1,BV,1,100,3.95
1734179683.992557,372156.000,57849,1,BV,1,100,3.95
