LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734179439.583604,127747.000,18091,1,EA,1,100,0.360803
1734179439.650604,127814.000,18106,1,EA,1,100,0.360803
1734179439.717104,127880.500,18124,2,EA,1,100,0.360840
1734179439.783604,127947.000,18124,2,EA,1,100,0.360859
1734179439.850604,128014.000,18140,1,EA,1,100,0.360747
1734179439.917104,128080.500,18157,2,EA,1,100,0.360653
1734179439.983604,128147.000,18157,2,EA,1,100,0.360579
1734179440.050604,128214.000,18174,1,EA,1,100,0.360504
1734179440.117104,128280.500,18189,2,EA,1,100,0.360411
1734179440.183604,128347.000,18189,2,EA,1,100,0.360262
1734179440.250604,128414.000,18205,2,EA,1,100,0.360207
1734179440.317604,128481.000,18205,2,EA,1,100,0.360040
1734179440.383604,128547.000,18223,1,EA,1,100,0.359872
1734179440.450603,128614.000,18239,2,EA,1,100,0.359780
1734179440.517604,128681.000,18239,2,EA,1,100,0.359705
1734179440.583604,128747.000,18256,1,EA,1,100,0.359557
1734179440.650604,128814.000,18273,2,EA,1,100,0.359465
1734179440.717603,128881.000,18273,2,EA,1,100,0.359354
1734179440.783603,128947.000,18290,1,EA,1,100,0.359224
1734179440.850604,129014.000,18306,2,EA,1,100,0.359187
1734179440.917603,129081.000,18306,2,EA,1,100,0.359076
1734179440.983603,129147.000,18323,1,EA,1,100,0.359002
1734179441.050603,129214.000,18338,2,EA,1,100,0.358910
1734179441.117603,129281.000,18338,2,EA,1,100,0.358799
1734179441.183604,129347.000,18355,1,EA,1,100,0.358615
1734179441.250103,129413.500,18371,2,EA,1,100,0.358504
1734179441.316603,129480.000,18371,2,EA,1,100,0.358394
1734179441.383603,129547.000,18389,1,EA,1,100,0.358357
1734179441.450103,129613.500,18403,2,EA,1,100,0.358339
1734179441.516603,129680.000,18403,2,EA,1,100,0.358228
1734179441.583603,129747.000,18422,1,EA,1,100,0.358210
1734179441.650603,129814.000,18439,2,EA,1,100,0.358228
1734179441.717603,129881.000,18439,2,EA,1,100,0.358247
1734179441.783603,129947.000,18456,1,EA,1,100,0.358339
1734179441.850103,130013.500,18470,2,EA,1,100,0.358357
1734179441.916603,130080.000,18470,2,EA,1,100,0.358449
1734179441.983603,130147.000,18487,1,EA,1,100,0.358560
1734179442.050103,130213.500,18504,2,EA,1,100,0.358578
1734179442.116603,130280.000,18504,2,EA,1,100,0.358689
1734179442.183603,130347.000,18521,1,EA,1,100,0.358855
1734179442.250103,130413.500,18536,2,EA,1,100,0.359021
1734179442.316603,130480.000,18536,2,EA,1,100,0.359187
1734179442.383603,130547.000,18553,1,EA,1,100,0.359280
1734179442.450103,130613.500,18569,2,EA,1,100,0.359354
1734179442.516603,130680.000,18569,2,EA,1,100,0.359446
1734179442.583603,130747.000,18588,2,EA,1,100,0.359483
1734179442.650603,130814.000,18588,2,EA,1,100,0.359557
1734179442.716603,130880.000,18605,1,EA,1,100,0.359557
1734179442.783603,130947.000,18620,2,EA,1,100,0.359539
1734179442.850603,131014.000,18620,2,EA,1,100,0.359539
1734179442.916603,131080.000,18636,1,EA,1,100,0.359520
1734179442.983603,131147.000,18654,2,EA,1,100,0.359409
1734179443.050603,131214.000,18654,2,EA,1,100,0.359298
1734179443.116603,131280.000,18670,1,EA,1,100,0.359261
1734179443.183603,131347.000,18685,2,EA,1,100,0.359169
1734179443.250603,131414.000,18685,2,EA,1,100,0.359095
1734179443.316603,131480.000,18706,1,EA,1,100,0.359002
1734179443.383603,131547.000,18724,2,EA,1,100,0.358855
1734179443.450603,131614.000,18724,2,EA,1,100,0.358744
1734179443.516603,131680.000,18742,1,EA,1,100,0.358596
1734179443.583603,131747.000,18757,2,EA,1,100,0.358468
1734179443.650603,131814.000,18757,2,EA,1,100,0.358431
1734179443.716603,131880.000,18774,1,EA,1,100,0.358302
1734179443.783603,131947.000,18791,2,EA,1,100,0.358081
1734179443.850603,132014.000,18791,2,EA,1,100,0.357971
1734179443.916603,132080.000,18807,1,EA,1,100,0.357879
1734179443.983603,132147.000,18823,2,EA,1,100,0.357769
1734179444.050603,132214.000,18823,2,EA,1,100,0.357641
1734179444.116603,132280.000,18841,1,EA,1,100,0.357586
1734179444.183603,132347.000,18860,2,EA,1,100,0.357458
1734179444.250603,132414.000,18860,2,EA,1,100,0.357330
1734179444.316603,132480.000,18876,1,EA,1,100,0.357202
1734179444.383103,132546.500,18893,2,EA,1,100,0.357110
1734179444.449603,132613.000,18893,2,EA,1,100,0.357001
1734179444.516603,132680.000,18908,1,EA,1,100,0.357128
1734179444.583603,132747.000,18925,2,EA,1,100,0.357916
1734179444.650603,132814.000,18925,2,EA,1,100,0.357568
1734179444.717103,132880.500,18942,2,EA,1,100,0.357037
1734179444.783603,132947.000,18942,2,EA,1,100,0.356928
1734179444.850603,133014.000,18959,1,EA,1,100,0.356818
1734179444.917103,133080.500,18973,2,EA,1,100,0.356654
1734179444.983603,133147.000,18973,2,EA,1,100,0.356508
1734179445.049603,133213.000,18991,1,EA,1,100,0.356435
1734179445.116603,133280.000,19007,2,EA,1,100,0.356308
1734179445.183603,133347.000,19007,2,EA,1,100,0.356235
1734179445.249603,133413.000,19026,1,EA,1,100,0.356217
1734179445.316603,133480.000,19041,2,EA,1,100,0.356235
1734179445.383603,133547.000,19041,2,EA,1,100,0.356217
1734179445.449603,133613.000,19058,1,EA,1,100,0.356235
1734179445.516603,133680.000,19074,2,EA,1,100,0.356090
1734179445.583603,133747.000,19074,2,EA,1,100,0.355945
1734179445.649603,133813.000,19091,1,EA,1,100,0.355945
1734179445.716603,133880.000,19106,2,EA,1,100,0.355963
1734179445.783602,133947.000,19106,2,EA,1,100,0.355926
1734179445.850602,134014.000,19123,1,EA,1,100,0.355926
1734179445.917103,134080.500,19139,2,EA,1,100,0.355781
1734179445.983603,134147.000,19139,2,EA,1,100,0.355745
1734179446.049603,134213.000,19159,1,EA,1,100,0.355709
1734179446.116602,134280.000,19173,2,EA,1,100,0.355618
1734179446.183602,134347.000,19173,2,EA,1,100,0.355527
1734179446.249602,134413.000,19190,1,EA,1,100,0.355455
1734179446.316269,134479.667,19208,3,EA,1,100,0.355383
1734179446.382936,134546.333,19208,3,EA,1,100,0.355238
1734179446.449602,134613.000,19208,3,EA,1,100,0.355238
1734179446.516602,134680.000,19224,2,EA,1,100,0.355238
1734179446.583602,134747.000,19224,2,EA,1,100,0.355148
1734179446.649602,134813.000,19241,1,EA,1,100,0.355129
1734179446.716602,134880.000,19258,2,EA,1,100,0.355057
1734179446.783602,134947.000,19258,2,EA,1,100,0.355093
1734179446.849602,135013.000,19275,1,EA,1,100,0.355057
1734179446.916602,135080.000,19291,2,EA,1,100,0.354949
1734179446.983602,135147.000,19291,2,EA,1,100,0.354895
1734179447.049602,135213.000,19309,1,EA,1,100,0.354786
1734179447.116602,135280.000,19325,2,EA,1,100,0.354678
1734179447.183602,135347.000,19325,2,EA,1,100,0.354606
1734179447.249602,135413.000,19342,1,EA,1,100,0.354570
1734179447.316602,135480.000,19358,2,EA,1,100,0.354570
1734179447.383602,135547.000,19358,2,EA,1,100,0.354516
1734179447.449602,135613.000,19374,1,EA,1,100,0.354498
1734179447.516602,135680.000,19390,2,EA,1,100,0.354462
1734179447.583602,135747.000,19390,2,EA,1,100,0.354408
1734179447.649602,135813.000,19409,1,EA,1,100,0.354390
1734179447.716602,135880.000,19425,2,EA,1,100,0.354426
1734179447.783602,135947.000,19425,2,EA,1,100,0.354390
1734179447.850102,136013.500,19441,2,EA,1,100,0.354372
1734179447.916602,136080.000,19441,2,EA,1,100,0.354354
1734179447.983602,136147.000,19457,1,EA,1,100,0.354426
1734179448.050102,136213.500,19475,2,EA,1,100,0.354426
1734179448.116602,136280.000,19475,2,EA,1,100,0.354498
1734179448.183602,136347.000,19491,1,EA,1,100,0.354570
1734179448.250102,136413.500,19506,2,EA,1,100,0.354606
1734179448.316602,136480.000,19506,2,EA,1,100,0.354660
1734179448.382602,136546.000,19530,1,EA,1,100,0.354714
1734179448.449602,136613.000,19547,2,EA,1,100,0.354823
1734179448.516602,136680.000,19547,2,EA,1,100,0.354823
1734179448.583102,136746.500,19563,2,EA,1,100,0.354841
1734179448.649602,136813.000,19563,2,EA,1,100,0.354859
1734179448.716602,136880.000,19581,1,EA,1,100,0.354913
1734179448.783102,136946.500,19595,2,EA,1,100,0.354931
1734179448.849602,137013.000,19595,2,EA,1,100,0.355021
1734179448.916602,137080.000,19612,1,EA,1,100,0.355166
1734179448.983102,137146.500,19631,2,EA,1,100,0.355292
1734179449.049602,137213.000,19631,2,EA,1,100,0.355419
1734179449.116602,137280.000,19650,1,EA,1,100,0.355672
1734179449.183102,137346.500,19664,2,EA,1,100,0.356035
1734179449.249602,137413.000,19664,2,EA,1,100,0.356417
1734179449.316602,137480.000,19681,1,EA,1,100,0.356873
1734179449.383102,137546.500,19698,2,EA,1,100,0.357348
1734179449.449602,137613.000,19698,2,EA,1,100,0.357769
1734179449.516602,137680.000,19715,1,EA,1,100,0.358063
1734179449.583102,137746.500,19729,2,EA,1,100,0.358320
1734179449.649602,137813.000,19729,2,EA,1,100,0.358633
1734179449.716602,137880.000,19747,1,EA,1,100,0.358873
1734179449.783102,137946.500,19763,2,EA,1,100,0.359132
1734179449.849602,138013.000,19763,2,EA,1,100,0.359502
1734179449.916602,138080.000,19780,1,EA,1,100,0.359817
1734179449.983102,138146.500,19797,2,EA,1,100,0.360040
1734179450.049602,138213.000,19797,2,EA,1,100,0.360207
1734179450.116602,138280.000,19814,1,EA,1,100,0.360449
1734179450.183102,138346.500,19832,2,EA,1,100,0.360579
1734179450.249602,138413.000,19832,2,EA,1,100,0.360765
1734179450.316602,138480.000,19849,1,EA,1,100,0.360840
1734179450.383102,138546.500,19865,2,EA,1,100,0.360933
1734179450.449602,138613.000,19865,2,EA,1,100,0.360989
1734179450.516602,138680.000,19881,1,EA,1,100,0.361176
1734179450.583102,138746.500,19897,2,EA,1,100,0.361326
1734179450.649602,138813.000,19897,2,EA,1,100,0.361494
1734179450.716602,138880.000,19915,1,EA,1,100,0.361588
1734179450.783102,138946.500,19930,2,EA,1,100,0.361644
1734179450.849602,139013.000,19930,2,EA,1,100,0.361700
1734179450.916101,139079.500,19947,2,EA,1,100,0.361663
1734179450.982601,139146.000,19947,2,EA,1,100,0.361719
1734179451.049602,139213.000,19965,1,EA,1,100,0.361625
1734179451.116102,139279.500,19982,2,EA,1,100,0.361457
1734179451.182601,139346.000,19982,2,EA,1,100,0.361307
1734179451.249601,139413.000,19998,1,EA,1,100,0.361139
1734179451.316102,139479.500,20015,2,EA,1,100,0.360971
1734179451.382601,139546.000,20015,2,EA,1,100,0.360579
1734179451.449101,139612.500,20030,2,EA,1,100,0.360207
1734179451.515601,139679.000,20030,2,EA,1,100,0.360077
1734179451.582601,139746.000,20047,1,EA,1,100,0.360002
1734179451.649101,139812.500,20064,2,EA,1,100,0.360040
1734179451.715601,139879.000,20064,2,EA,1,100,0.360225
1734179451.782601,139946.000,20081,1,EA,1,100,0.360300
1734179451.849101,140012.500,20095,2,EA,1,100,0.360095
1734179451.915601,140079.000,20095,2,EA,1,100,0.359650
1734179451.982601,140146.000,20112,1,EA,1,100,0.359446
1734179452.049101,140212.500,20131,2,EA,1,100,0.359354
1734179452.115601,140279.000,20131,2,EA,1,100,0.359261
1734179452.182601,140346.000,20148,1,EA,1,100,0.359280
1734179452.249101,140412.500,20162,2,EA,1,100,0.359243
1734179452.315601,140479.000,20162,2,EA,1,100,0.359169
1734179452.382601,140546.000,20180,1,EA,1,100,0.359335
