LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1734179439.583604,127747.000,18092,1,EL,1,100,-15740.599609
1734179439.650604,127814.000,18107,1,EL,1,100,-15740.599609
1734179439.717104,127880.500,18125,2,EL,1,100,-15741.000000
1734179439.783604,127947.000,18125,2,EL,1,100,-15741.200195
1734179439.850604,128014.000,18141,1,EL,1,100,-15740.000000
1734179439.917104,128080.500,18158,2,EL,1,100,-15739.000000
1734179439.983604,128147.000,18158,2,EL,1,100,-15738.200195
1734179440.050604,128214.000,18175,1,EL,1,100,-15737.400391
1734179440.117104,128280.500,18190,2,EL,1,100,-15736.400391
1734179440.183604,128347.000,18190,2,EL,1,100,-15734.799805
1734179440.250604,128414.000,18206,2,EL,1,100,-15734.200195
1734179440.317604,128481.000,18206,2,EL,1,100,-15732.400391
1734179440.383604,128547.000,18224,1,EL,1,100,-15730.599609
1734179440.450603,128614.000,18240,2,EL,1,100,-15729.599609
1734179440.517604,128681.000,18240,2,EL,1,100,-15728.799805
1734179440.583604,128747.000,18257,1,EL,1,100,-15727.200195
1734179440.650604,128814.000,18274,2,EL,1,100,-15726.200195
1734179440.717603,128881.000,18274,2,EL,1,100,-15725.000000
1734179440.783603,128947.000,18291,1,EL,1,100,-15723.599609
1734179440.850604,129014.000,18307,2,EL,1,100,-15723.200195
1734179440.917603,129081.000,18307,2,EL,1,100,-15722.000000
1734179440.983603,129147.000,18324,1,EL,1,100,-15721.200195
1734179441.050603,129214.000,18339,2,EL,1,100,-15720.200195
1734179441.117603,129281.000,18339,2,EL,1,100,-15719.000000
1734179441.183604,129347.000,18356,1,EL,1,100,-15717.000000
1734179441.250103,129413.500,18372,2,EL,1,100,-15715.799805
1734179441.316603,129480.000,18372,2,EL,1,100,-15714.599609
1734179441.383603,129547.000,18390,1,EL,1,100,-15714.200195
1734179441.450103,129613.500,18404,2,EL,1,100,-15714.000000
1734179441.516603,129680.000,18404,2,EL,1,100,-15712.799805
1734179441.583603,129747.000,18423,1,EL,1,100,-15712.599609
1734179441.650603,129814.000,18440,2,EL,1,100,-15712.799805
1734179441.717603,129881.000,18440,2,EL,1,100,-15713.000000
1734179441.783603,129947.000,18457,1,EL,1,100,-15714.000000
1734179441.850103,130013.500,18471,2,EL,1,100,-15714.200195
1734179441.916603,130080.000,18471,2,EL,1,100,-15715.200195
1734179441.983603,130147.000,18488,1,EL,1,100,-15716.400391
1734179442.050103,130213.500,18505,2,EL,1,100,-15716.599609
1734179442.116603,130280.000,18505,2,EL,1,100,-15717.799805
1734179442.183603,130347.000,18522,1,EL,1,100,-15719.599609
1734179442.250103,130413.500,18537,2,EL,1,100,-15721.400391
1734179442.316603,130480.000,18537,2,EL,1,100,-15723.200195
1734179442.383603,130547.000,18554,1,EL,1,100,-15724.200195
1734179442.450103,130613.500,18570,2,EL,1,100,-15725.000000
1734179442.516603,130680.000,18570,2,EL,1,100,-15726.000000
1734179442.583603,130747.000,18589,2,EL,1,100,-15726.400391
1734179442.650603,130814.000,18589,2,EL,1,100,-15727.200195
1734179442.716603,130880.000,18606,1,EL,1,100,-15727.200195
1734179442.783603,130947.000,18621,2,EL,1,100,-15727.000000
1734179442.850603,131014.000,18621,2,EL,1,100,-15727.000000
1734179442.916603,131080.000,18637,1,EL,1,100,-15726.799805
1734179442.983603,131147.000,18655,2,EL,1,100,-15725.599609
1734179443.050603,131214.000,18655,2,EL,1,100,-15724.400391
1734179443.116603,131280.000,18671,1,EL,1,100,-15724.000000
1734179443.183603,131347.000,18686,2,EL,1,100,-15723.000000
1734179443.250603,131414.000,18686,2,EL,1,100,-15722.200195
1734179443.316603,131480.000,18707,1,EL,1,100,-15721.200195
1734179443.383603,131547.000,18725,2,EL,1,100,-15719.599609
1734179443.450603,131614.000,18725,2,EL,1,100,-15718.400391
1734179443.516603,131680.000,18743,1,EL,1,100,-15716.799805
1734179443.583603,131747.000,18758,2,EL,1,100,-15715.400391
1734179443.650603,131814.000,18758,2,EL,1,100,-15715.000000
1734179443.716603,131880.000,18775,1,EL,1,100,-15713.599609
1734179443.783603,131947.000,18792,2,EL,1,100,-15711.200195
1734179443.850603,132014.000,18792,2,EL,1,100,-15710.000000
1734179443.916603,132080.000,18808,1,EL,1,100,-15709.000000
1734179443.983603,132147.000,18824,2,EL,1,100,-15707.799805
1734179444.050603,132214.000,18824,2,EL,1,100,-15706.400391
1734179444.116603,132280.000,18842,1,EL,1,100,-15705.799805
1734179444.183603,132347.000,18861,2,EL,1,100,-15704.400391
1734179444.250603,132414.000,18861,2,EL,1,100,-15703.000000
1734179444.316603,132480.000,18877,1,EL,1,100,-15701.599609
1734179444.383103,132546.500,18894,2,EL,1,100,-15700.599609
1734179444.449603,132613.000,18894,2,EL,1,100,-15699.400391
1734179444.516603,132680.000,18909,1,EL,1,100,-15700.799805
1734179444.583603,132747.000,18926,2,EL,1,100,-15709.400391
1734179444.650603,132814.000,18926,2,EL,1,100,-15705.599609
1734179444.717103,132880.500,18943,2,EL,1,100,-15699.799805
1734179444.783603,132947.000,18943,2,EL,1,100,-15698.599609
1734179444.850603,133014.000,18960,1,EL,1,100,-15697.400391
1734179444.917103,133080.500,18974,2,EL,1,100,-15695.599609
1734179444.983603,133147.000,18974,2,EL,1,100,-15694.000000
