LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1734179439.594604,127758.000,18087,4,EM,1,100,RS
1734179439.594604,127758.000,18087,4,EM,1,100,RB
1734179439.594604,127758.000,18087,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179439.594604,127758.000,18087,4,EM,1,100,PS
1734179439.644854,127808.250,18117,4,EM,1,100,RS
1734179439.695104,127858.500,18117,4,EM,1,100,RB
1734179439.745354,127908.750,18117,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179439.795604,127959.000,18117,4,EM,1,100,PS
1734179439.846604,128010.000,18153,4,EM,1,100,RS
1734179439.897604,128061.000,18153,4,EM,1,100,RB
1734179439.948604,128112.000,18153,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179439.999604,128163.000,18153,4,EM,1,100,PS
1734179440.049854,128213.250,18185,4,EM,1,100,RS
1734179440.100104,128263.500,18185,4,EM,1,100,RB
1734179440.150354,128313.750,18185,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179440.200603,128364.000,18185,4,EM,1,100,PS
1734179440.250854,128414.250,18218,4,EM,1,100,RS
1734179440.301104,128464.500,18218,4,EM,1,100,RB
1734179440.351354,128514.750,18218,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179440.401603,128565.000,18218,4,EM,1,100,PS
1734179440.451854,128615.250,18252,4,EM,1,100,RS
1734179440.502104,128665.500,18252,4,EM,1,100,RB
1734179440.552354,128715.750,18252,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179440.602603,128766.000,18252,4,EM,1,100,PS
1734179440.652853,128816.250,18286,4,EM,1,100,RS
1734179440.703104,128866.500,18286,4,EM,1,100,RB
1734179440.753354,128916.750,18286,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179440.803603,128967.000,18286,4,EM,1,100,PS
1734179440.853853,129017.250,18319,4,EM,1,100,RS
1734179440.904104,129067.500,18319,4,EM,1,100,RB
1734179440.954353,129117.750,18319,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179441.004603,129168.000,18319,4,EM,1,100,PS
1734179441.054853,129218.250,18351,4,EM,1,100,RS
1734179441.105103,129268.500,18351,4,EM,1,100,RB
1734179441.155353,129318.750,18351,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179441.205603,129369.000,18351,4,EM,1,100,PS
1734179441.255853,129419.250,18384,4,EM,1,100,RS
1734179441.306103,129469.500,18384,4,EM,1,100,RB
1734179441.356353,129519.750,18384,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179441.406603,129570.000,18384,4,EM,1,100,PS
1734179441.456853,129620.250,18416,4,EM,1,100,RS
1734179441.507103,129670.500,18416,4,EM,1,100,RB
1734179441.557353,129720.750,18416,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179441.607603,129771.000,18416,4,EM,1,100,PS
1734179441.657853,129821.250,18452,4,EM,1,100,RS
1734179441.708103,129871.500,18452,4,EM,1,100,RB
1734179441.758353,129921.750,18452,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179441.808603,129972.000,18452,4,EM,1,100,PS
1734179441.859353,130022.750,18483,4,EM,1,100,RS
1734179441.910103,130073.500,18483,4,EM,1,100,RB
1734179441.960853,130124.250,18483,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179442.011603,130175.000,18483,4,EM,1,100,PS
1734179442.061853,130225.250,18517,4,EM,1,100,RS
1734179442.112103,130275.500,18517,4,EM,1,100,RB
1734179442.162353,130325.750,18517,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179442.212603,130376.000,18517,4,EM,1,100,PS
1734179442.262853,130426.250,18548,4,EM,1,100,RS
1734179442.313103,130476.500,18548,4,EM,1,100,RB
1734179442.363353,130526.750,18548,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179442.413603,130577.000,18548,4,EM,1,100,PS
1734179442.463853,130627.250,18582,4,EM,1,100,RS
1734179442.514103,130677.500,18582,4,EM,1,100,RB
1734179442.564353,130727.750,18582,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179442.614603,130778.000,18582,4,EM,1,100,PS
1734179442.664853,130828.250,18616,4,EM,1,100,RS
1734179442.715103,130878.500,18616,4,EM,1,100,RB
1734179442.765353,130928.750,18616,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179442.815603,130979.000,18616,4,EM,1,100,PS
1734179442.865853,131029.250,18649,4,EM,1,100,RS
1734179442.916103,131079.500,18649,4,EM,1,100,RB
1734179442.966353,131129.750,18649,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179443.016603,131180.000,18649,4,EM,1,100,PS
1734179443.066853,131230.250,18681,4,EM,1,100,RS
1734179443.117103,131280.500,18681,4,EM,1,100,RB
1734179443.167353,131330.750,18681,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179443.217603,131381.000,18681,4,EM,1,100,PS
1734179443.267853,131431.250,18719,4,EM,1,100,RS
1734179443.318103,131481.500,18719,4,EM,1,100,RB
1734179443.368353,131531.750,18719,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179443.418603,131582.000,18719,4,EM,1,100,PS
1734179443.468853,131632.250,18753,4,EM,1,100,RS
1734179443.519103,131682.500,18753,4,EM,1,100,RB
1734179443.569353,131732.750,18753,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179443.619603,131783.000,18753,4,EM,1,100,PS
1734179443.669853,131833.250,18787,4,EM,1,100,RS
1734179443.720103,131883.500,18787,4,EM,1,100,RB
1734179443.770353,131933.750,18787,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179443.820603,131984.000,18787,4,EM,1,100,PS
1734179443.870853,132034.250,18818,4,EM,1,100,RS
1734179443.921103,132084.500,18818,4,EM,1,100,RB
1734179443.971353,132134.750,18818,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179444.021603,132185.000,18818,4,EM,1,100,PS
1734179444.072353,132235.750,18854,4,EM,1,100,RS
1734179444.123103,132286.500,18854,4,EM,1,100,RB
1734179444.173853,132337.250,18854,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179444.224603,132388.000,18854,4,EM,1,100,PS
1734179444.274853,132438.250,18888,4,EM,1,100,RS
1734179444.325103,132488.500,18888,4,EM,1,100,RB
1734179444.375353,132538.750,18888,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179444.425603,132589.000,18888,4,EM,1,100,PS
1734179444.475853,132639.250,18921,4,EM,1,100,RS
1734179444.526103,132689.500,18921,4,EM,1,100,RB
1734179444.576353,132739.750,18921,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179444.626603,132790.000,18921,4,EM,1,100,PS
1734179444.676853,132840.250,18955,4,EM,1,100,RS
1734179444.727103,132890.500,18955,4,EM,1,100,RB
1734179444.777353,132940.750,18955,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179444.827603,132991.000,18955,4,EM,1,100,PS
1734179444.877853,133041.250,18986,4,EM,1,100,RS
1734179444.928103,133091.500,18986,4,EM,1,100,RB
1734179444.978353,133141.750,18986,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179445.028603,133192.000,18986,4,EM,1,100,PS
1734179445.081353,133244.750,19020,4,EM,1,100,RS
1734179445.134103,133297.500,19020,4,EM,1,100,RB
1734179445.186853,133350.250,19020,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179445.239603,133403.000,19020,4,EM,1,100,PS
1734179445.289853,133453.250,19054,4,EM,1,100,RS
1734179445.340103,133503.500,19054,4,EM,1,100,RB
1734179445.390352,133553.750,19054,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179445.440603,133604.000,19054,4,EM,1,100,PS
1734179445.490853,133654.250,19087,4,EM,1,100,RS
1734179445.541103,133704.500,19087,4,EM,1,100,RB
1734179445.591352,133754.750,19087,4,EM,1,100,2024-12-14_19-30-39-281346.csv
1734179445.641603,133805.000,19087,4,EM,1,100,PS
