LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1734179439.584604,127748.000,18097,1,GX,1,100,-1.068
1734179439.624604,127788.000,18111,2,GX,1,100,1.526
1734179439.664604,127828.000,18111,2,GX,1,100,-1.984
1734179439.704604,127868.000,18131,3,GX,1,100,-1.251
1734179439.744604,127908.000,18131,3,GX,1,100,1.526
1734179439.784604,127948.000,18131,3,GX,1,100,0.397
1734179439.824604,127988.000,18147,3,GX,1,100,0.427
1734179439.864604,128028.000,18147,3,GX,1,100,0.702
1734179439.904604,128068.000,18147,3,GX,1,100,0.000
1734179439.944604,128108.000,18164,2,GX,1,100,0.366
1734179439.984604,128148.000,18164,2,GX,1,100,0.275
1734179440.024604,128188.000,18179,3,GX,1,100,0.824
1734179440.064604,128228.000,18179,3,GX,1,100,0.549
1734179440.104604,128268.000,18179,3,GX,1,100,-0.397
1734179440.144603,128308.000,18196,2,GX,1,100,0.214
1734179440.184604,128348.000,18196,2,GX,1,100,1.831
1734179440.224604,128388.000,18212,3,GX,1,100,1.648
1734179440.264604,128428.000,18212,3,GX,1,100,-1.160
1734179440.304604,128468.000,18212,3,GX,1,100,-0.061
1734179440.340270,128503.667,18230,3,GX,1,100,2.106
1734179440.375937,128539.333,18230,3,GX,1,100,-0.702
1734179440.411603,128575.000,18230,3,GX,1,100,-0.580
1734179440.451604,128615.000,18246,2,GX,1,100,0.671
1734179440.491604,128655.000,18246,2,GX,1,100,0.336
1734179440.531604,128695.000,18261,3,GX,1,100,0.031
1734179440.571604,128735.000,18261,3,GX,1,100,-0.031
1734179440.611603,128775.000,18261,3,GX,1,100,0.336
1734179440.651603,128815.000,18280,2,GX,1,100,0.244
1734179440.691603,128855.000,18280,2,GX,1,100,-0.275
1734179440.731603,128895.000,18297,3,GX,1,100,-0.488
1734179440.771604,128935.000,18297,3,GX,1,100,0.000
1734179440.811604,128975.000,18297,3,GX,1,100,0.580
1734179440.851604,129015.000,18313,2,GX,1,100,-0.458
1734179440.891603,129055.000,18313,2,GX,1,100,-0.031
1734179440.931603,129095.000,18328,3,GX,1,100,1.221
1734179440.971603,129135.000,18328,3,GX,1,100,0.000
1734179441.011603,129175.000,18328,3,GX,1,100,0.153
1734179441.051603,129215.000,18345,3,GX,1,100,0.092
1734179441.091604,129255.000,18345,3,GX,1,100,-0.183
1734179441.131603,129295.000,18345,3,GX,1,100,0.092
1734179441.171603,129335.000,18362,2,GX,1,100,0.610
1734179441.211603,129375.000,18362,2,GX,1,100,-0.702
1734179441.251603,129415.000,18378,3,GX,1,100,-0.092
1734179441.291603,129455.000,18378,3,GX,1,100,1.312
1734179441.331603,129495.000,18378,3,GX,1,100,-0.366
1734179441.371603,129535.000,18394,2,GX,1,100,0.000
1734179441.411603,129575.000,18394,2,GX,1,100,0.824
1734179441.447270,129610.667,18410,3,GX,1,100,-0.214
1734179441.482937,129646.333,18410,3,GX,1,100,-0.031
1734179441.518603,129682.000,18410,3,GX,1,100,0.916
1734179441.558603,129722.000,18429,3,GX,1,100,-0.122
1734179441.598603,129762.000,18429,3,GX,1,100,-0.244
1734179441.638603,129802.000,18429,3,GX,1,100,0.824
1734179441.678603,129842.000,18446,2,GX,1,100,-0.275
1734179441.718603,129882.000,18446,2,GX,1,100,-0.153
1734179441.758603,129922.000,18461,3,GX,1,100,0.519
1734179441.798603,129962.000,18461,3,GX,1,100,-0.061
1734179441.838603,130002.000,18461,3,GX,1,100,-0.214
1734179441.878603,130042.000,18477,2,GX,1,100,0.885
1734179441.918603,130082.000,18477,2,GX,1,100,-0.610
1734179441.958603,130122.000,18494,3,GX,1,100,-0.641
1734179441.998603,130162.000,18494,3,GX,1,100,1.038
1734179442.038603,130202.000,18494,3,GX,1,100,0.183
1734179442.078603,130242.000,18511,2,GX,1,100,-0.580
1734179442.118603,130282.000,18511,2,GX,1,100,0.366
1734179442.158270,130321.667,18527,3,GX,1,100,-0.061
1734179442.197937,130361.333,18527,3,GX,1,100,0.610
1734179442.237603,130401.000,18527,3,GX,1,100,-0.031
1734179442.277603,130441.000,18542,2,GX,1,100,-0.977
1734179442.317603,130481.000,18542,2,GX,1,100,0.946
1734179442.357603,130521.000,18560,3,GX,1,100,0.885
1734179442.397603,130561.000,18560,3,GX,1,100,-0.702
1734179442.437603,130601.000,18560,3,GX,1,100,0.854
1734179442.477603,130641.000,18576,2,GX,1,100,1.007
1734179442.517603,130681.000,18576,2,GX,1,100,0.031
1734179442.557603,130721.000,18595,3,GX,1,100,0.427
1734179442.597603,130761.000,18595,3,GX,1,100,0.031
1734179442.637603,130801.000,18595,3,GX,1,100,0.427
1734179442.673270,130836.667,18610,3,GX,1,100,0.000
1734179442.708936,130872.333,18610,3,GX,1,100,-0.641
1734179442.744603,130908.000,18610,3,GX,1,100,1.343
1734179442.784603,130948.000,18627,2,GX,1,100,0.397
1734179442.824603,130988.000,18627,2,GX,1,100,-0.885
1734179442.864603,131028.000,18643,3,GX,1,100,2.258
1734179442.904603,131068.000,18643,3,GX,1,100,1.556
1734179442.944603,131108.000,18643,3,GX,1,100,-0.946
1734179442.984603,131148.000,18661,2,GX,1,100,0.183
1734179443.024603,131188.000,18661,2,GX,1,100,-0.061
1734179443.064603,131228.000,18675,3,GX,1,100,-0.488
1734179443.104603,131268.000,18675,3,GX,1,100,0.214
1734179443.144603,131308.000,18675,3,GX,1,100,0.000
1734179443.184603,131348.000,18692,3,GX,1,100,0.305
1734179443.224603,131388.000,18692,3,GX,1,100,1.282
1734179443.264603,131428.000,18692,3,GX,1,100,-0.427
1734179443.304603,131468.000,18713,2,GX,1,100,-1.678
1734179443.344603,131508.000,18713,2,GX,1,100,-0.427
1734179443.384603,131548.000,18731,3,GX,1,100,-0.122
1734179443.424603,131588.000,18731,3,GX,1,100,-0.305
1734179443.464603,131628.000,18731,3,GX,1,100,0.336
1734179443.504603,131668.000,18747,2,GX,1,100,0.336
1734179443.544603,131708.000,18747,2,GX,1,100,-0.885
1734179443.584603,131748.000,18764,3,GX,1,100,-0.610
1734179443.624603,131788.000,18764,3,GX,1,100,0.580
1734179443.664603,131828.000,18764,3,GX,1,100,-0.031
1734179443.704603,131868.000,18781,2,GX,1,100,0.336
1734179443.744603,131908.000,18781,2,GX,1,100,0.366
1734179443.780270,131943.667,18798,3,GX,1,100,-1.099
1734179443.815936,131979.333,18798,3,GX,1,100,-0.763
1734179443.851603,132015.000,18798,3,GX,1,100,-0.397
1734179443.891603,132055.000,18812,3,GX,1,100,0.916
1734179443.931603,132095.000,18812,3,GX,1,100,-0.153
1734179443.971603,132135.000,18812,3,GX,1,100,-0.854
1734179444.011603,132175.000,18830,2,GX,1,100,0.244
1734179444.051603,132215.000,18830,2,GX,1,100,0.549
1734179444.091603,132255.000,18848,3,GX,1,100,-0.732
1734179444.131603,132295.000,18848,3,GX,1,100,-0.641
1734179444.171603,132335.000,18848,3,GX,1,100,0.000
1734179444.211603,132375.000,18867,2,GX,1,100,0.488
1734179444.251603,132415.000,18867,2,GX,1,100,1.648
1734179444.291603,132455.000,18882,3,GX,1,100,0.397
1734179444.331603,132495.000,18882,3,GX,1,100,0.793
1734179444.371603,132535.000,18882,3,GX,1,100,1.068
1734179444.411603,132575.000,18899,2,GX,1,100,1.434
1734179444.451603,132615.000,18899,2,GX,1,100,0.732
1734179444.491603,132655.000,18915,3,GX,1,100,-5.920
1734179444.531603,132695.000,18915,3,GX,1,100,-10.773
1734179444.571603,132735.000,18915,3,GX,1,100,-0.977
1734179444.611603,132775.000,18932,2,GX,1,100,6.226
1734179444.651603,132815.000,18932,2,GX,1,100,3.174
1734179444.691603,132855.000,18949,3,GX,1,100,0.397
1734179444.731603,132895.000,18949,3,GX,1,100,1.740
1734179444.771603,132935.000,18949,3,GX,1,100,2.411
1734179444.811603,132975.000,18964,2,GX,1,100,-1.099
1734179444.851603,133015.000,18964,2,GX,1,100,-0.671
1734179444.891603,133055.000,18980,3,GX,1,100,0.641
1734179444.931603,133095.000,18980,3,GX,1,100,0.122
1734179444.971603,133135.000,18980,3,GX,1,100,-0.122
1734179445.006936,133170.333,18998,3,GX,1,100,0.580
1734179445.042269,133205.667,18998,3,GX,1,100,0.427
1734179445.077603,133241.000,18998,3,GX,1,100,0.366
1734179445.117603,133281.000,19014,2,GX,1,100,0.336
1734179445.157603,133321.000,19014,2,GX,1,100,0.092
1734179445.197603,133361.000,19031,3,GX,1,100,0.031
1734179445.237603,133401.000,19031,3,GX,1,100,1.801
1734179445.277603,133441.000,19031,3,GX,1,100,-0.732
1734179445.317603,133481.000,19048,2,GX,1,100,1.282
1734179445.357603,133521.000,19048,2,GX,1,100,1.892
1734179445.397603,133561.000,19065,3,GX,1,100,-1.740
1734179445.437603,133601.000,19065,3,GX,1,100,1.343
1734179445.477602,133641.000,19065,3,GX,1,100,1.282
1734179445.517603,133681.000,19081,3,GX,1,100,-1.129
1734179445.557603,133721.000,19081,3,GX,1,100,1.587
1734179445.597603,133761.000,19081,3,GX,1,100,0.824
1734179445.637603,133801.000,19096,2,GX,1,100,-2.258
1734179445.677603,133841.000,19096,2,GX,1,100,-2.411
1734179445.717602,133881.000,19113,3,GX,1,100,-1.099
1734179445.757602,133921.000,19113,3,GX,1,100,2.167
1734179445.797602,133961.000,19113,3,GX,1,100,2.106
1734179445.837603,134001.000,19130,2,GX,1,100,0.732
1734179445.877603,134041.000,19130,2,GX,1,100,-0.488
1734179445.917603,134081.000,19146,3,GX,1,100,0.061
1734179445.957603,134121.000,19146,3,GX,1,100,-0.488
1734179445.997602,134161.000,19146,3,GX,1,100,-0.916
1734179446.037602,134201.000,19164,2,GX,1,100,1.190
1734179446.077602,134241.000,19164,2,GX,1,100,1.282
1734179446.117602,134281.000,19180,3,GX,1,100,0.092
1734179446.157603,134321.000,19180,3,GX,1,100,1.068
1734179446.197603,134361.000,19180,3,GX,1,100,1.465
1734179446.233269,134396.667,19197,3,GX,1,100,-0.488
1734179446.268936,134432.333,19197,3,GX,1,100,-0.488
1734179446.304602,134468.000,19197,3,GX,1,100,1.160
1734179446.344602,134508.000,19215,4,GX,1,100,-0.793
1734179446.384602,134548.000,19215,4,GX,1,100,-0.854
1734179446.424603,134588.000,19215,4,GX,1,100,0.580
1734179446.464602,134628.000,19215,4,GX,1,100,0.000
1734179446.504602,134668.000,19231,3,GX,1,100,-0.427
1734179446.544602,134708.000,19231,3,GX,1,100,0.793
1734179446.584602,134748.000,19231,3,GX,1,100,-1.190
1734179446.624602,134788.000,19248,2,GX,1,100,-1.617
1734179446.664602,134828.000,19248,2,GX,1,100,0.671
1734179446.704602,134868.000,19265,3,GX,1,100,-0.977
1734179446.744602,134908.000,19265,3,GX,1,100,0.336
1734179446.784602,134948.000,19265,3,GX,1,100,0.519
1734179446.824602,134988.000,19280,2,GX,1,100,-0.244
1734179446.864602,135028.000,19280,2,GX,1,100,1.038
1734179446.904602,135068.000,19298,3,GX,1,100,0.092
1734179446.944602,135108.000,19298,3,GX,1,100,-0.366
1734179446.984602,135148.000,19298,3,GX,1,100,0.061
1734179447.024602,135188.000,19316,3,GX,1,100,0.580
1734179447.064602,135228.000,19316,3,GX,1,100,-0.427
1734179447.104602,135268.000,19316,3,GX,1,100,0.366
1734179447.144602,135308.000,19332,2,GX,1,100,0.092
1734179447.184602,135348.000,19332,2,GX,1,100,-0.061
1734179447.224602,135388.000,19348,3,GX,1,100,0.000
1734179447.264602,135428.000,19348,3,GX,1,100,1.282
1734179447.304602,135468.000,19348,3,GX,1,100,0.122
1734179447.344602,135508.000,19364,2,GX,1,100,-2.014
1734179447.384602,135548.000,19364,2,GX,1,100,0.122
1734179447.419935,135583.333,19381,3,GX,1,100,1.587
1734179447.455269,135618.667,19381,3,GX,1,100,-0.610
1734179447.490602,135654.000,19381,3,GX,1,100,-0.214
1734179447.530602,135694.000,19397,3,GX,1,100,1.373
1734179447.570602,135734.000,19397,3,GX,1,100,0.549
1734179447.610602,135774.000,19397,3,GX,1,100,0.092
1734179447.650602,135814.000,19415,2,GX,1,100,0.793
1734179447.690602,135854.000,19415,2,GX,1,100,0.183
1734179447.730602,135894.000,19431,3,GX,1,100,1.312
1734179447.770602,135934.000,19431,3,GX,1,100,-0.153
1734179447.810602,135974.000,19431,3,GX,1,100,0.122
1734179447.850602,136014.000,19448,2,GX,1,100,0.885
1734179447.890602,136054.000,19448,2,GX,1,100,0.305
1734179447.930602,136094.000,19464,3,GX,1,100,0.244
1734179447.970602,136134.000,19464,3,GX,1,100,0.305
1734179448.010602,136174.000,19464,3,GX,1,100,-0.397
1734179448.050602,136214.000,19482,2,GX,1,100,0.854
1734179448.090602,136254.000,19482,2,GX,1,100,-0.916
1734179448.130602,136294.000,19496,3,GX,1,100,-0.885
1734179448.170602,136334.000,19496,3,GX,1,100,1.678
1734179448.210602,136374.000,19496,3,GX,1,100,-0.702
1734179448.250602,136414.000,19513,2,GX,1,100,-0.854
1734179448.290602,136454.000,19513,2,GX,1,100,1.953
