LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1734179439.584604,127748.000,18099,1,GZ,1,100,0.824
1734179439.624604,127788.000,18113,2,GZ,1,100,-1.068
1734179439.664604,127828.000,18113,2,GZ,1,100,1.373
1734179439.704604,127868.000,18133,3,GZ,1,100,1.099
1734179439.744604,127908.000,18133,3,GZ,1,100,-0.885
1734179439.784604,127948.000,18133,3,GZ,1,100,-0.153
1734179439.824604,127988.000,18149,3,GZ,1,100,-0.305
1734179439.864604,128028.000,18149,3,GZ,1,100,-0.641
1734179439.904604,128068.000,18149,3,GZ,1,100,-0.183
1734179439.944604,128108.000,18166,2,GZ,1,100,-0.488
1734179439.984604,128148.000,18166,2,GZ,1,100,-0.214
1734179440.024604,128188.000,18181,3,GZ,1,100,-0.549
1734179440.064604,128228.000,18181,3,GZ,1,100,-0.732
1734179440.104604,128268.000,18181,3,GZ,1,100,-0.183
1734179440.144603,128308.000,18198,2,GZ,1,100,-0.153
1734179440.184604,128348.000,18198,2,GZ,1,100,-1.801
1734179440.224604,128388.000,18214,3,GZ,1,100,-1.831
1734179440.264604,128428.000,18214,3,GZ,1,100,0.610
1734179440.304604,128468.000,18214,3,GZ,1,100,0.092
1734179440.340270,128503.667,18232,3,GZ,1,100,-1.678
1734179440.375937,128539.333,18232,3,GZ,1,100,-0.061
1734179440.411603,128575.000,18232,3,GZ,1,100,0.031
1734179440.451604,128615.000,18248,2,GZ,1,100,-0.488
1734179440.491604,128655.000,18248,2,GZ,1,100,-0.488
1734179440.531604,128695.000,18263,3,GZ,1,100,-0.366
1734179440.571604,128735.000,18263,3,GZ,1,100,-0.214
1734179440.611603,128775.000,18263,3,GZ,1,100,-0.458
1734179440.651603,128815.000,18282,2,GZ,1,100,-0.336
1734179440.691603,128855.000,18282,2,GZ,1,100,-0.183
1734179440.731603,128895.000,18299,3,GZ,1,100,-0.183
1734179440.771604,128935.000,18299,3,GZ,1,100,-0.488
1734179440.811604,128975.000,18299,3,GZ,1,100,-0.549
1734179440.851604,129015.000,18315,2,GZ,1,100,0.275
1734179440.891603,129055.000,18315,2,GZ,1,100,-0.244
1734179440.931603,129095.000,18330,3,GZ,1,100,-1.190
1734179440.971603,129135.000,18330,3,GZ,1,100,0.031
1734179441.011603,129175.000,18330,3,GZ,1,100,-0.275
1734179441.051603,129215.000,18347,3,GZ,1,100,-0.519
1734179441.091604,129255.000,18347,3,GZ,1,100,-0.122
1734179441.131603,129295.000,18347,3,GZ,1,100,-0.244
1734179441.171603,129335.000,18364,2,GZ,1,100,-0.916
1734179441.211603,129375.000,18364,2,GZ,1,100,0.122
1734179441.251603,129415.000,18380,3,GZ,1,100,-0.092
1734179441.291603,129455.000,18380,3,GZ,1,100,-0.946
1734179441.331603,129495.000,18380,3,GZ,1,100,0.031
1734179441.371603,129535.000,18396,2,GZ,1,100,-0.427
1734179441.411603,129575.000,18396,2,GZ,1,100,-0.854
1734179441.447270,129610.667,18412,3,GZ,1,100,-0.061
1734179441.482937,129646.333,18412,3,GZ,1,100,-0.275
1734179441.518603,129682.000,18412,3,GZ,1,100,-1.038
1734179441.558603,129722.000,18431,3,GZ,1,100,-0.153
1734179441.598603,129762.000,18431,3,GZ,1,100,0.061
1734179441.638603,129802.000,18431,3,GZ,1,100,-0.732
1734179441.678603,129842.000,18448,2,GZ,1,100,0.183
1734179441.718603,129882.000,18448,2,GZ,1,100,0.000
1734179441.758603,129922.000,18463,3,GZ,1,100,-0.580
1734179441.798603,129962.000,18463,3,GZ,1,100,-0.336
1734179441.838603,130002.000,18463,3,GZ,1,100,-0.122
1734179441.878603,130042.000,18479,2,GZ,1,100,-0.702
1734179441.918603,130082.000,18479,2,GZ,1,100,0.153
1734179441.958603,130122.000,18496,3,GZ,1,100,0.153
1734179441.998603,130162.000,18496,3,GZ,1,100,-0.702
1734179442.038603,130202.000,18496,3,GZ,1,100,-0.397
1734179442.078603,130242.000,18513,2,GZ,1,100,-0.153
1734179442.118603,130282.000,18513,2,GZ,1,100,-0.488
1734179442.158270,130321.667,18529,3,GZ,1,100,0.061
1734179442.197937,130361.333,18529,3,GZ,1,100,-0.580
1734179442.237603,130401.000,18529,3,GZ,1,100,-0.336
1734179442.277603,130441.000,18544,2,GZ,1,100,0.214
1734179442.317603,130481.000,18544,2,GZ,1,100,-0.885
1734179442.357603,130521.000,18562,3,GZ,1,100,-0.977
1734179442.397603,130561.000,18562,3,GZ,1,100,0.214
1734179442.437603,130601.000,18562,3,GZ,1,100,-0.671
1734179442.477603,130641.000,18578,2,GZ,1,100,-0.702
1734179442.517603,130681.000,18578,2,GZ,1,100,-0.122
1734179442.557603,130721.000,18597,3,GZ,1,100,-0.244
1734179442.597603,130761.000,18597,3,GZ,1,100,0.000
1734179442.637603,130801.000,18597,3,GZ,1,100,-0.458
1734179442.673270,130836.667,18612,3,GZ,1,100,-0.061
1734179442.708936,130872.333,18612,3,GZ,1,100,0.336
1734179442.744603,130908.000,18612,3,GZ,1,100,-0.946
1734179442.784603,130948.000,18629,2,GZ,1,100,-0.214
1734179442.824603,130988.000,18629,2,GZ,1,100,0.397
1734179442.864603,131028.000,18645,3,GZ,1,100,-1.923
1734179442.904603,131068.000,18645,3,GZ,1,100,-1.160
1734179442.944603,131108.000,18645,3,GZ,1,100,0.580
1734179442.984603,131148.000,18663,2,GZ,1,100,-0.702
1734179443.024603,131188.000,18663,2,GZ,1,100,-0.427
1734179443.064603,131228.000,18677,3,GZ,1,100,0.061
1734179443.104603,131268.000,18677,3,GZ,1,100,-0.397
1734179443.144603,131308.000,18677,3,GZ,1,100,0.031
1734179443.184603,131348.000,18694,3,GZ,1,100,-0.061
1734179443.224603,131388.000,18694,3,GZ,1,100,-0.793
1734179443.264603,131428.000,18694,3,GZ,1,100,0.153
1734179443.304603,131468.000,18715,2,GZ,1,100,0.549
1734179443.344603,131508.000,18715,2,GZ,1,100,-0.580
1734179443.384603,131548.000,18733,3,GZ,1,100,-0.244
1734179443.424603,131588.000,18733,3,GZ,1,100,0.000
1734179443.464603,131628.000,18733,3,GZ,1,100,-0.671
1734179443.504603,131668.000,18749,2,GZ,1,100,-0.580
1734179443.544603,131708.000,18749,2,GZ,1,100,0.214
1734179443.584603,131748.000,18766,3,GZ,1,100,0.153
1734179443.624603,131788.000,18766,3,GZ,1,100,-0.519
1734179443.664603,131828.000,18766,3,GZ,1,100,-0.061
1734179443.704603,131868.000,18783,2,GZ,1,100,-0.397
1734179443.744603,131908.000,18783,2,GZ,1,100,-0.549
1734179443.780270,131943.667,18800,3,GZ,1,100,0.366
1734179443.815936,131979.333,18800,3,GZ,1,100,1.129
1734179443.851603,132015.000,18800,3,GZ,1,100,1.129
1734179443.891603,132055.000,18814,3,GZ,1,100,-0.793
1734179443.931603,132095.000,18814,3,GZ,1,100,-0.366
1734179443.971603,132135.000,18814,3,GZ,1,100,0.488
1734179444.011603,132175.000,18832,2,GZ,1,100,-0.244
1734179444.051603,132215.000,18832,2,GZ,1,100,-0.153
1734179444.091603,132255.000,18850,3,GZ,1,100,0.916
1734179444.131603,132295.000,18850,3,GZ,1,100,0.702
1734179444.171603,132335.000,18850,3,GZ,1,100,0.031
1734179444.211603,132375.000,18869,2,GZ,1,100,-0.519
1734179444.251603,132415.000,18869,2,GZ,1,100,-1.495
1734179444.291603,132455.000,18884,3,GZ,1,100,-0.580
1734179444.331603,132495.000,18884,3,GZ,1,100,-1.312
1734179444.371603,132535.000,18884,3,GZ,1,100,-0.763
1734179444.411603,132575.000,18901,2,GZ,1,100,-0.732
1734179444.451603,132615.000,18901,2,GZ,1,100,-0.214
1734179444.491603,132655.000,18917,3,GZ,1,100,3.082
1734179444.531603,132695.000,18917,3,GZ,1,100,8.087
1734179444.571603,132735.000,18917,3,GZ,1,100,2.472
1734179444.611603,132775.000,18934,2,GZ,1,100,-3.632
1734179444.651603,132815.000,18934,2,GZ,1,100,-1.556
1734179444.691603,132855.000,18951,3,GZ,1,100,0.031
1734179444.731603,132895.000,18951,3,GZ,1,100,-0.854
1734179444.771603,132935.000,18951,3,GZ,1,100,-1.465
1734179444.811603,132975.000,18966,2,GZ,1,100,0.427
1734179444.851603,133015.000,18966,2,GZ,1,100,0.000
1734179444.891603,133055.000,18982,3,GZ,1,100,-0.824
1734179444.931603,133095.000,18982,3,GZ,1,100,-0.488
1734179444.971603,133135.000,18982,3,GZ,1,100,0.061
1734179445.006936,133170.333,19000,3,GZ,1,100,-0.488
1734179445.042269,133205.667,19000,3,GZ,1,100,-0.336
1734179445.077603,133241.000,19000,3,GZ,1,100,-0.153
1734179445.117603,133281.000,19016,2,GZ,1,100,-0.366
1734179445.157603,133321.000,19016,2,GZ,1,100,-0.732
1734179445.197603,133361.000,19033,3,GZ,1,100,-0.916
1734179445.237603,133401.000,19033,3,GZ,1,100,-2.808
1734179445.277603,133441.000,19033,3,GZ,1,100,-0.153
1734179445.317603,133481.000,19050,2,GZ,1,100,-1.312
1734179445.357603,133521.000,19050,2,GZ,1,100,-0.946
1734179445.397603,133561.000,19067,3,GZ,1,100,1.953
1734179445.437603,133601.000,19067,3,GZ,1,100,-0.458
1734179445.477602,133641.000,19067,3,GZ,1,100,0.183
1734179445.517603,133681.000,19083,3,GZ,1,100,1.160
