LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1734179439.718604,127882,18119,1,HR,1,100,66
1734179440.678603,128842,18268,1,HR,1,100,65
1734179441.558603,129722,18418,1,HR,1,100,66
1734179442.651603,130815,18584,1,HR,1,100,63
1734179443.531603,131695,18738,1,HR,1,100,65
1734179444.251603,132415,18856,1,HR,1,100,69
1734179445.251603,133415,19022,1,HR,1,100,67
1734179446.024602,134188,19154,1,HR,1,100,69
1734179446.904602,135068,19287,1,HR,1,100,69
1734179447.704602,135868,19405,1,HR,1,100,70
1734179448.424602,136588,19525,1,HR,1,100,73
1734179449.024602,137188,19626,1,HR,1,100,79
1734179450.037602,138201,19792,1,HR,1,100,75
1734179451.037601,139201,19960,1,HR,1,100,72
1734179452.117601,140281,20126,1,HR,1,100,68
1734179453.117601,141281,20290,1,HR,1,100,66
1734179454.250601,142414,20481,1,HR,1,100,63
1734179455.290601,143454,20647,1,HR,1,100,62
1734179456.090600,144254,20780,1,HR,1,100,65
1734179456.983600,145147,20912,1,HR,1,100,66
1734179458.023600,146187,21080,1,HR,1,100,64
1734179458.703600,146867,21202,1,HR,1,100,69
1734179459.783600,147947,21386,1,HR,1,100,66
1734179460.836600,149000,21552,1,HR,1,100,64
1734179461.796599,149960,21701,1,HR,1,100,64
1734179462.636599,150800,21786,1,HR,1,100,66
1734179463.556599,151720,21951,1,HR,1,100,66
1734179464.649599,152813,22124,1,HR,1,100,63
1734179465.489599,153653,22274,1,HR,1,100,65
1734179466.449599,154613,22423,1,HR,1,100,65
1734179467.449598,155613,22587,1,HR,1,100,64
1734179468.462598,156626,22753,1,HR,1,100,63
1734179469.222598,157386,22876,1,HR,1,100,66
1734179470.142598,158306,23024,1,HR,1,100,66
1734179471.021598,159185,23174,1,HR,1,100,67
1734179471.995597,160159,23339,1,HR,1,100,66
1734179472.635597,160799,23441,1,HR,1,100,72
1734179473.555597,161719,23590,1,HR,1,100,70
1734179474.634597,162798,23778,1,HR,1,100,67
1734179475.608597,163772,23927,1,HR,1,100,66
1734179476.488597,164652,24077,1,HR,1,100,67
1734179477.488596,165652,24243,1,HR,1,100,65
1734179478.487596,166651,24407,1,HR,1,100,64
1734179478.981596,167145,24495,1,HR,1,100,78
1734179479.901596,168065,24630,1,HR,1,100,75
1734179480.861596,169025,24796,1,HR,1,100,72
1734179481.780596,169944,24946,1,HR,1,100,71
1734179482.994595,171158,25129,1,HR,1,100,66
1734179483.994595,172158,25293,1,HR,1,100,65
1734179484.913595,173077,25451,1,HR,1,100,65
1734179485.593595,173757,25552,1,HR,1,100,70
1734179486.807595,174971,25750,1,HR,1,100,66
1734179487.727594,175891,25899,1,HR,1,100,65
1734179488.486594,176650,26032,1,HR,1,100,68
1734179489.486594,177650,26188,1,HR,1,100,67
1734179490.420594,178584,26341,1,HR,1,100,66
1734179491.380594,179544,26507,1,HR,1,100,65
1734179492.299593,180463,26656,1,HR,1,100,65
