LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1734179439.598604,127762.000,18088,1,PI,1,100,163715
1734179439.638604,127802.000,18103,2,PI,1,100,163728
1734179439.678604,127842.000,18103,2,PI,1,100,163731
1734179439.718604,127882.000,18121,3,PI,1,100,163782
1734179439.758604,127922.000,18121,3,PI,1,100,163775
1734179439.798604,127962.000,18121,3,PI,1,100,163757
1734179439.838604,128002.000,18137,2,PI,1,100,163776
1734179439.878604,128042.000,18137,2,PI,1,100,163807
1734179439.918604,128082.000,18154,3,PI,1,100,163861
1734179439.958604,128122.000,18154,3,PI,1,100,163896
1734179439.998604,128162.000,18154,3,PI,1,100,163950
1734179440.038604,128202.000,18171,2,PI,1,100,164029
1734179440.078604,128242.000,18171,2,PI,1,100,164062
1734179440.118604,128282.000,18186,3,PI,1,100,164109
1734179440.158604,128322.000,18186,3,PI,1,100,164163
1734179440.198604,128362.000,18186,3,PI,1,100,164196
1734179440.238604,128402.000,18202,3,PI,1,100,164241
1734179440.278604,128442.000,18202,3,PI,1,100,164274
1734179440.318604,128482.000,18202,3,PI,1,100,164318
1734179440.358603,128522.000,18220,2,PI,1,100,164218
1734179440.398603,128562.000,18220,2,PI,1,100,164120
1734179440.438604,128602.000,18236,3,PI,1,100,164064
1734179440.478604,128642.000,18236,3,PI,1,100,164062
1734179440.518604,128682.000,18236,3,PI,1,100,164043
1734179440.558604,128722.000,18253,2,PI,1,100,164108
1734179440.598603,128762.000,18253,2,PI,1,100,164124
1734179440.638603,128802.000,18270,3,PI,1,100,164149
1734179440.678603,128842.000,18270,3,PI,1,100,164148
1734179440.718604,128882.000,18270,3,PI,1,100,164144
1734179440.758604,128922.000,18287,2,PI,1,100,164187
1734179440.798604,128962.000,18287,2,PI,1,100,164220
1734179440.838603,129002.000,18303,3,PI,1,100,164285
1734179440.878603,129042.000,18303,3,PI,1,100,164325
1734179440.918603,129082.000,18303,3,PI,1,100,164391
1734179440.958603,129122.000,18320,2,PI,1,100,164438
1734179440.998603,129162.000,18320,2,PI,1,100,164479
1734179441.038604,129202.000,18335,3,PI,1,100,164534
1734179441.078604,129242.000,18335,3,PI,1,100,164586
1734179441.118603,129282.000,18335,3,PI,1,100,164590
1734179441.158603,129322.000,18352,2,PI,1,100,164493
1734179441.198603,129362.000,18352,2,PI,1,100,164388
1734179441.238603,129402.000,18368,3,PI,1,100,164329
1734179441.278603,129442.000,18368,3,PI,1,100,164330
1734179441.318603,129482.000,18368,3,PI,1,100,164354
1734179441.358603,129522.000,18386,2,PI,1,100,164344
1734179441.398603,129562.000,18386,2,PI,1,100,164351
1734179441.438603,129602.000,18400,3,PI,1,100,164380
1734179441.478603,129642.000,18400,3,PI,1,100,164373
1734179441.518603,129682.000,18400,3,PI,1,100,164378
1734179441.558603,129722.000,18419,2,PI,1,100,164390
1734179441.598603,129762.000,18419,2,PI,1,100,164405
1734179441.638603,129802.000,18436,3,PI,1,100,164442
1734179441.678603,129842.000,18436,3,PI,1,100,164477
1734179441.718603,129882.000,18436,3,PI,1,100,164503
1734179441.758603,129922.000,18453,3,PI,1,100,164543
1734179441.798603,129962.000,18453,3,PI,1,100,164580
1734179441.838603,130002.000,18453,3,PI,1,100,164621
1734179441.878603,130042.000,18467,2,PI,1,100,164647
1734179441.918603,130082.000,18467,2,PI,1,100,164686
1734179441.958603,130122.000,18484,3,PI,1,100,164748
1734179441.998603,130162.000,18484,3,PI,1,100,164765
1734179442.038603,130202.000,18484,3,PI,1,100,164657
1734179442.078603,130242.000,18501,2,PI,1,100,164525
1734179442.118603,130282.000,18501,2,PI,1,100,164445
1734179442.165103,130328.500,18518,2,PI,1,100,164404
1734179442.211603,130375.000,18518,2,PI,1,100,164400
1734179442.251603,130415.000,18533,3,PI,1,100,164383
1734179442.291603,130455.000,18533,3,PI,1,100,164371
1734179442.331603,130495.000,18533,3,PI,1,100,164379
1734179442.371603,130535.000,18550,2,PI,1,100,164388
1734179442.411603,130575.000,18550,2,PI,1,100,164376
1734179442.451603,130615.000,18566,3,PI,1,100,164387
1734179442.491603,130655.000,18566,3,PI,1,100,164386
1734179442.531603,130695.000,18566,3,PI,1,100,164388
1734179442.571603,130735.000,18585,3,PI,1,100,164417
1734179442.611603,130775.000,18585,3,PI,1,100,164441
1734179442.651603,130815.000,18585,3,PI,1,100,164473
1734179442.691603,130855.000,18602,2,PI,1,100,164488
1734179442.731603,130895.000,18602,2,PI,1,100,164519
1734179442.771603,130935.000,18617,3,PI,1,100,164578
1734179442.811603,130975.000,18617,3,PI,1,100,164573
1734179442.851603,131015.000,18617,3,PI,1,100,164607
1734179442.891603,131055.000,18633,2,PI,1,100,164675
1734179442.931603,131095.000,18633,2,PI,1,100,164641
1734179442.971603,131135.000,18651,3,PI,1,100,164512
1734179443.011603,131175.000,18651,3,PI,1,100,164405
1734179443.051603,131215.000,18651,3,PI,1,100,164358
1734179443.091603,131255.000,18667,2,PI,1,100,164373
1734179443.131603,131295.000,18667,2,PI,1,100,164369
1734179443.171603,131335.000,18682,3,PI,1,100,164389
1734179443.211603,131375.000,18682,3,PI,1,100,164400
1734179443.251603,131415.000,18682,3,PI,1,100,164365
1734179443.291603,131455.000,18703,2,PI,1,100,164346
1734179443.331603,131495.000,18703,2,PI,1,100,164358
1734179443.371603,131535.000,18721,3,PI,1,100,164357
1734179443.411603,131575.000,18721,3,PI,1,100,164375
1734179443.451603,131615.000,18721,3,PI,1,100,164390
1734179443.491603,131655.000,18739,2,PI,1,100,164413
1734179443.531603,131695.000,18739,2,PI,1,100,164437
1734179443.571603,131735.000,18754,3,PI,1,100,164455
1734179443.611603,131775.000,18754,3,PI,1,100,164521
1734179443.651603,131815.000,18754,3,PI,1,100,164562
1734179443.691603,131855.000,18771,2,PI,1,100,164580
1734179443.731603,131895.000,18771,2,PI,1,100,164514
1734179443.771603,131935.000,18788,3,PI,1,100,164403
