LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1734179443.308603,131472.000,18700,2,RD,1,100,TL
1734179443.308603,131472.000,18700,2,RD,1,100,TU
1734179445.862602,134026.000,19521,2,RD,1,100,TL
1734179448.416602,136580.000,19521,2,RD,1,100,TU
1734179450.970602,139134.000,20361,2,RD,1,100,TL
1734179453.524601,141688.000,20361,2,RD,1,100,TU
1734179456.078100,144241.500,21181,2,RD,1,100,TL
1734179458.631600,146795.000,21181,2,RD,1,100,TU
1734179461.188100,149351.500,21971,2,RD,1,100,TL
1734179463.744599,151908.000,21971,2,RD,1,100,TU
1734179466.304599,154468.000,22821,2,RD,1,100,TL
1734179468.864598,157028.000,22821,2,RD,1,100,TU
1734179471.418097,159581.500,23658,2,RD,1,100,TL
1734179473.971597,162135.000,23658,2,RD,1,100,TU
1734179476.525597,164689.000,24491,2,RD,1,100,TL
1734179479.079596,167243.000,24491,2,RD,1,100,TU
1734179481.635596,169799.000,25331,2,RD,1,100,TL
1734179484.191595,172355.000,25331,2,RD,1,100,TU
1734179486.746095,174909.500,26152,2,RD,1,100,TL
1734179489.300594,177464.000,26152,2,RD,1,100,TU
1734179491.856594,180020.000,26992,2,RD,1,100,TL
1734179494.412593,182576.000,26992,2,RD,1,100,TU
1734179496.970593,185134.000,27786,2,RD,1,100,TL
1734179499.528592,187692.000,27786,2,RD,1,100,TU
1734179502.082092,190245.500,28619,2,RD,1,100,TL
1734179504.635591,192799.000,28619,2,RD,1,100,TU
1734179507.189591,195353.000,29452,2,RD,1,100,TL
1734179509.743590,197907.000,29452,2,RD,1,100,TU
1734179512.302590,200466.000,30304,2,RD,1,100,TL
1734179514.861589,203025.000,30304,2,RD,1,100,TU
1734179517.417089,205580.500,31137,2,RD,1,100,TL
1734179519.972588,208136.000,31137,2,RD,1,100,TU
1734179522.526088,210689.500,31977,2,RD,1,100,TL
1734179525.079587,213243.000,31977,2,RD,1,100,TU
1734179527.636087,215799.500,32813,2,RD,1,100,TL
1734179530.192586,218356.000,32813,2,RD,1,100,TU
1734179532.761586,220925.000,33646,2,RD,1,100,TL
1734179535.330585,223494.000,33646,2,RD,1,100,TU
1734179537.889085,226052.500,34484,2,RD,1,100,TL
1734179540.447584,228611.000,34484,2,RD,1,100,TU
1734179543.001584,231165.000,35317,2,RD,1,100,TL
1734179545.555583,233719.000,35317,2,RD,1,100,TU
1734179548.128583,236292.000,36152,2,RD,1,100,TL
1734179550.701582,238865.000,36152,2,RD,1,100,TU
1734179553.255082,241418.500,36972,2,RD,1,100,TL
1734179555.808581,243972.000,36972,2,RD,1,100,TU
1734179558.368581,246532.000,37805,2,RD,1,100,TL
1734179560.928580,249092.000,37805,2,RD,1,100,TU
1734179563.489080,251652.500,38641,2,RD,1,100,TL
1734179566.049579,254213.000,38641,2,RD,1,100,TU
1734179568.611579,256775.000,39475,2,RD,1,100,TL
1734179571.173578,259337.000,39475,2,RD,1,100,TU
1734179573.733578,261897.000,40310,2,RD,1,100,TL
1734179576.293577,264457.000,40310,2,RD,1,100,TU
1734179578.856577,267020.000,41144,2,RD,1,100,TL
1734179581.419576,269583.000,41144,2,RD,1,100,TU
1734179583.982576,272146.000,41979,2,RD,1,100,TL
1734179586.545575,274709.000,41979,2,RD,1,100,TU
1734179589.099575,277263.000,42798,2,RD,1,100,TL
1734179591.653574,279817.000,42798,2,RD,1,100,TU
1734179594.222074,282385.500,43634,2,RD,1,100,TL
1734179596.790573,284954.000,43634,2,RD,1,100,TU
1734179599.350073,287513.500,44467,2,RD,1,100,TL
1734179601.909572,290073.000,44467,2,RD,1,100,TU
1734179604.467072,292630.500,45302,2,RD,1,100,TL
1734179607.024571,295188.000,45302,2,RD,1,100,TU
1734179609.586071,297749.500,46140,2,RD,1,100,TL
1734179612.147570,300311.000,46140,2,RD,1,100,TU
1734179614.711570,302875.000,46975,2,RD,1,100,TL
1734179617.275569,305439.000,46975,2,RD,1,100,TU
1734179619.835069,307998.500,47816,2,RD,1,100,TL
1734179622.394568,310558.000,47816,2,RD,1,100,TU
1734179624.948568,313112.000,48640,2,RD,1,100,TL
1734179627.502568,315666.000,48640,2,RD,1,100,TU
1734179630.058067,318221.500,49477,2,RD,1,100,TL
1734179632.613566,320777.000,49477,2,RD,1,100,TU
1734179635.177566,323341.000,50313,2,RD,1,100,TL
1734179637.741565,325905.000,50313,2,RD,1,100,TU
1734179640.297065,328460.500,51149,2,RD,1,100,TL
1734179642.852565,331016.000,51149,2,RD,1,100,TU
1734179645.409064,333572.500,51984,2,RD,1,100,TL
1734179647.965564,336129.000,51984,2,RD,1,100,TU
1734179650.527563,338691.000,52822,2,RD,1,100,TL
1734179653.089562,341253.000,52822,2,RD,1,100,TU
1734179655.668062,343831.500,53655,2,RD,1,100,TL
1734179658.246562,346410.000,53655,2,RD,1,100,TU
1734179660.800061,348963.500,54472,2,RD,1,100,TL
1734179663.353560,351517.000,54472,2,RD,1,100,TU
1734179665.910060,354073.500,55310,2,RD,1,100,TL
1734179668.466560,356630.000,55310,2,RD,1,100,TU
1734179671.026059,359189.500,56143,2,RD,1,100,TL
1734179673.585559,361749.000,56143,2,RD,1,100,TU
1734179676.141558,364305.000,56978,2,RD,1,100,TL
1734179678.697558,366861.000,56978,2,RD,1,100,TU
1734179681.256557,369420.000,57812,2,RD,1,100,TL
1734179683.815557,371979.000,57812,2,RD,1,100,TU
1734179686.378556,374542.000,58649,2,RD,1,100,TL
1734179688.941556,377105.000,58649,2,RD,1,100,TU
1734179691.502555,379666.000,59471,2,RD,1,100,TL
1734179694.063555,382227.000,59471,2,RD,1,100,TU
1734179696.621054,384784.500,60306,2,RD,1,100,TL
1734179699.178554,387342.000,60306,2,RD,1,100,TU
1734179701.739553,389903.000,61142,2,RD,1,100,TL
1734179704.300553,392464.000,61142,2,RD,1,100,TU
1734179706.857052,395020.500,61976,2,RD,1,100,TL
1734179709.413552,397577.000,61976,2,RD,1,100,TU
