LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1734179449.183602,137347,19827,1,SA,1,100,0.004413
1734179457.048600,145212,20995,1,SA,1,100,0.000798
1734179472.047597,160211,23421,1,SA,1,100,0.001212
1734179483.780595,171944,25335,1,SA,1,100,0.000501
1734179489.045594,177209,26189,1,SA,1,100,0.000409
1734179489.512594,177676,26224,1,SA,1,100,0.000089
1734179495.312593,183476,27194,1,SA,1,100,0.000303
1734179497.911592,186075,27564,1,SA,1,100,0.000412
1734179509.443590,197607,29556,1,SA,1,100,0.002640
1734179514.043589,202207,30187,1,SA,1,100,0.000181
1734179523.309587,211473,31855,1,SA,1,100,0.001600
1734179524.442587,212606,31925,1,SA,1,100,0.000519
1734179607.500571,295664,45424,1,SA,1,100,0.000050
1734179620.699569,308863,47612,1,SA,1,100,0.000573
1734179621.232569,309396,47746,1,SA,1,100,0.001187
1734179622.032568,310196,47782,1,SA,1,100,0.000119
1734179623.966568,312130,48137,1,SA,1,100,0.000965
1734179626.565568,314729,48539,1,SA,1,100,0.000192
1734179627.365567,315529,48662,1,SA,1,100,0.000597
1734179641.163565,329327,50996,1,SA,1,100,0.001496
1734179667.228560,355392,55157,1,SA,1,100,0.000303
1734179693.625555,381789,59508,1,SA,1,100,0.000987
1734179694.358555,382522,59542,1,SA,1,100,0.000054
1734179755.819543,443983,4082,1,SA,1,100,0.000353
1734179756.285543,444449,4132,1,SA,1,100,0.000195
1734179798.615535,486779,11057,1,SA,1,100,0.000018
1734179803.614533,491778,11997,1,SA,1,100,0.002201
1734179842.143526,530307,18303,1,SA,1,100,0.004758
1734179883.140518,571304,24948,1,SA,1,100,0.000213
1734179883.940518,572104,25085,1,SA,1,100,0.000285
1734179884.406518,572570,25188,1,SA,1,100,0.000448
1734179893.071516,581235,26640,1,SA,1,100,0.001221
1734179949.933505,638097,35901,1,SA,1,100,0.005129
1734179957.465504,645629,36958,1,SA,1,100,0.000377
1734179961.264503,649428,37597,1,SA,1,100,0.000433
1734179975.131500,663295,39909,1,SA,1,100,0.000874
1734179977.997500,666161,40357,1,SA,1,100,0.000738
1734179981.462499,669626,40982,1,SA,1,100,0.003769
1734179990.062498,678226,42301,1,SA,1,100,0.000684
1734179990.596497,678760,42524,1,SA,1,100,0.003790
1734179999.127496,687291,43826,1,SA,1,100,0.001970
1734180002.394495,690558,44376,1,SA,1,100,0.002596
1734180023.992491,712156,47821,1,SA,1,100,0.001019
1734180085.453479,773617,57795,1,SA,1,100,0.000160
1734180085.785479,773949,57846,1,SA,1,100,0.000106
1734180118.115473,806279,63129,1,SA,1,100,0.000355
1734180148.779467,836943,2812,1,SA,1,100,0.006897
1734180152.379466,840543,3158,1,SA,1,100,0.000056
1734180207.973455,896137,12301,1,SA,1,100,0.001663
1734180234.504450,922668,16596,1,SA,1,100,0.000037
1734180246.903448,935067,18639,1,SA,1,100,0.000093
1734180275.300442,963464,23299,1,SA,1,100,0.000705
1734180293.899439,982063,26374,1,SA,1,100,0.000835
1734180294.631439,982795,26493,1,SA,1,100,0.000858
1734180298.497438,986661,27144,1,SA,1,100,0.001133
1734180301.031438,989195,27512,1,SA,1,100,0.001054
1734180314.363435,1002527,29753,1,SA,1,100,0.003738
1734180326.161433,1014325,31624,1,SA,1,100,0.000255
1734180343.427429,1031591,34763,1,SA,1,100,0.026655
1734180348.560428,1036724,35484,1,SA,1,100,0.020267
