LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1734179439.783604,127947.000,18120,1,SF,1,100,18.4360
1734179440.050604,128214.000,18170,1,SF,1,100,18.2227
1734179440.383604,128547.000,18219,1,SF,1,100,18.0119
1734179440.717603,128881.000,18269,1,SF,1,100,17.8036
1734179441.117603,129281.000,18334,1,SF,1,100,17.5976
1734179441.383603,129547.000,18385,1,SF,1,100,17.3941
1734179441.717603,129881.000,18435,1,SF,1,100,17.1928
1734179442.116603,130280.000,18500,1,SF,1,100,16.9940
1734179442.383603,130547.000,18549,1,SF,1,100,16.7974
1734179442.716603,130880.000,18601,1,SF,1,100,16.6031
1734179443.050603,131214.000,18650,1,SF,1,100,16.4110
1734179443.450603,131614.000,18720,1,SF,1,100,16.2211
1734179443.716603,131880.000,18770,1,SF,1,100,16.0335
1734179444.050603,132214.000,18819,1,SF,1,100,15.8480
1734179444.449603,132613.000,18889,1,SF,1,100,15.6647
1734179444.783603,132947.000,18938,1,SF,1,100,15.4835
1734179445.049603,133213.000,18987,1,SF,1,100,15.3044
1734179445.383603,133547.000,19037,1,SF,1,100,15.1273
1734179445.783602,133947.000,19102,1,SF,1,100,14.9523
1734179446.049603,134213.000,19155,1,SF,1,100,14.7794
1734179446.449602,134613.000,19204,1,SF,1,100,14.6084
1734179446.783602,134947.000,19254,1,SF,1,100,14.4394
1734179447.049602,135213.000,19305,1,SF,1,100,14.2724
1734179447.383602,135547.000,19354,1,SF,1,100,14.1073
1734179447.783602,135947.000,19421,1,SF,1,100,13.9441
1734179448.116602,136280.000,19471,1,SF,1,100,13.7828
1734179448.382602,136546.000,19526,1,SF,1,100,13.6233
1734179448.716602,136880.000,19577,1,SF,1,100,13.4657
1734179449.049602,137213.000,19627,1,SF,1,100,13.3100
1734179449.449602,137613.000,19694,1,SF,1,100,13.1560
1734179449.716602,137880.000,19743,1,SF,1,100,13.0038
1734179450.049602,138213.000,19793,1,SF,1,100,12.8534
1734179450.449602,138613.000,19861,1,SF,1,100,14.7869
1734179450.716602,138880.000,19911,1,SF,1,100,14.6159
1734179451.049602,139213.000,19961,1,SF,1,100,14.4468
1734179451.382601,139546.000,20011,1,SF,1,100,14.2797
1734179451.715601,139879.000,20060,1,SF,1,100,14.1145
1734179452.115601,140279.000,20127,1,SF,1,100,13.9512
1734179452.382601,140546.000,20176,1,SF,1,100,13.7898
1734179452.715601,140879.000,20224,1,SF,1,100,13.6303
1734179453.115601,141279.000,20291,1,SF,1,100,13.4726
1734179453.449601,141613.000,20342,1,SF,1,100,13.3168
1734179453.715601,141879.000,20395,1,SF,1,100,13.1627
1734179454.049601,142213.000,20445,1,SF,1,100,13.0105
1734179454.449601,142613.000,20514,1,SF,1,100,12.8599
1734179454.782601,142946.000,20563,1,SF,1,100,12.7112
1734179455.048601,143212.000,20612,1,SF,1,100,12.5641
1734179455.382601,143546.000,20664,1,SF,1,100,12.4188
1734179455.715600,143879.000,20713,1,SF,1,100,12.2751
1734179456.048600,144212.000,20762,1,SF,1,100,12.1331
1734179456.382601,144546.000,20814,1,SF,1,100,11.9928
1734179456.782600,144946.000,20879,1,SF,1,100,11.8540
1734179457.048600,145212.000,20929,1,SF,1,100,11.7169
1734179457.382600,145546.000,20978,1,SF,1,100,11.5814
1734179457.715600,145879.000,21030,1,SF,1,100,13.5297
1734179458.048600,146212.000,21081,1,SF,1,100,13.3731
1734179458.448600,146612.000,21146,1,SF,1,100,13.2184
1734179458.715600,146879.000,21203,1,SF,1,100,13.0655
1734179459.048600,147212.000,21252,1,SF,1,100,12.9144
1734179459.448600,147612.000,21319,1,SF,1,100,12.7650
1734179459.715600,147879.000,21367,1,SF,1,100,12.6173
1734179460.048600,148212.000,21420,1,SF,1,100,12.4714
1734179460.381600,148545.000,21468,1,SF,1,100,12.3271
1734179460.715600,148879.000,21517,1,SF,1,100,12.1845
1734179461.115600,149279.000,21584,1,SF,1,100,12.0435
1734179461.381599,149545.000,21634,1,SF,1,100,11.9042
1734179461.715600,149879.000,21683,1,SF,1,100,11.7665
1734179462.114599,150278.000,21734,1,SF,1,100,11.6304
1734179462.448599,150612.000,21768,1,SF,1,100,11.4959
1734179462.715599,150879.000,21804,1,SF,1,100,11.3629
1734179463.114599,151278.000,21869,1,SF,1,100,11.2314
1734179463.448599,151612.000,21918,1,SF,1,100,11.1015
