LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1734179439.710604,127874.000,18126,1,T1,1,100,35.198
1734179439.843604,128007.000,18142,1,T1,1,100,35.192
1734179439.977604,128141.000,18159,1,T1,1,100,35.154
1734179440.110604,128274.000,18191,1,T1,1,100,35.102
1734179440.243604,128407.000,18207,1,T1,1,100,35.257
1734179440.376604,128540.000,18225,1,T1,1,100,35.253
1734179440.510603,128674.000,18241,1,T1,1,100,35.180
1734179440.643604,128807.000,18275,1,T1,1,100,35.149
1734179440.777603,128941.000,18292,1,T1,1,100,35.242
1734179440.910604,129074.000,18308,1,T1,1,100,35.282
1734179441.043603,129207.000,18340,1,T1,1,100,35.299
1734179441.176603,129340.000,18357,1,T1,1,100,35.271
1734179441.310603,129474.000,18373,1,T1,1,100,35.153
1734179441.443603,129607.000,18405,1,T1,1,100,35.173
1734179441.576603,129740.000,18424,1,T1,1,100,35.252
1734179441.710603,129874.000,18441,1,T1,1,100,35.286
1734179441.843603,130007.000,18472,1,T1,1,100,35.443
1734179441.976603,130140.000,18489,1,T1,1,100,35.404
1734179442.110603,130274.000,18506,1,T1,1,100,35.246
1734179442.243603,130407.000,18523,1,T1,1,100,35.213
1734179442.376603,130540.000,18555,1,T1,1,100,35.305
1734179442.510603,130674.000,18571,1,T1,1,100,35.309
1734179442.643603,130807.000,18590,1,T1,1,100,35.240
1734179442.776603,130940.000,18622,1,T1,1,100,35.317
1734179442.909603,131073.000,18638,1,T1,1,100,35.314
1734179443.043603,131207.000,18656,1,T1,1,100,35.207
1734179443.176603,131340.000,18687,1,T1,1,100,35.196
1734179443.310603,131474.000,18708,1,T1,1,100,35.298
1734179443.443603,131607.000,18726,1,T1,1,100,35.341
1734179443.576603,131740.000,18759,1,T1,1,100,35.360
1734179443.710603,131874.000,18776,1,T1,1,100,35.298
1734179443.843603,132007.000,18793,1,T1,1,100,35.271
1734179443.976603,132140.000,18825,1,T1,1,100,35.436
1734179444.109603,132273.000,18843,1,T1,1,100,35.437
1734179444.243603,132407.000,18862,1,T1,1,100,35.331
1734179444.376603,132540.000,18878,1,T1,1,100,35.320
1734179444.509603,132673.000,18910,1,T1,1,100,35.387
1734179444.643603,132807.000,18927,1,T1,1,100,35.309
1734179444.776603,132940.000,18944,1,T1,1,100,35.382
1734179444.909603,133073.000,18975,1,T1,1,100,35.378
1734179445.043603,133207.000,18993,1,T1,1,100,35.234
1734179445.176603,133340.000,19009,1,T1,1,100,35.350
1734179445.309602,133473.000,19043,1,T1,1,100,35.329
1734179445.443603,133607.000,19060,1,T1,1,100,35.390
1734179445.576602,133740.000,19076,1,T1,1,100,35.417
1734179445.709603,133873.000,19108,1,T1,1,100,35.464
1734179445.843602,134007.000,19125,1,T1,1,100,35.343
1734179445.976603,134140.000,19141,1,T1,1,100,35.361
1734179446.109602,134273.000,19175,1,T1,1,100,35.404
1734179446.243603,134407.000,19192,1,T1,1,100,35.317
1734179446.376602,134540.000,19210,1,T1,1,100,35.314
1734179446.509602,134673.000,19226,1,T1,1,100,35.384
1734179446.643602,134807.000,19243,1,T1,1,100,35.414
1734179446.776602,134940.000,19260,1,T1,1,100,35.392
1734179446.909602,135073.000,19293,1,T1,1,100,35.418
1734179447.043602,135207.000,19311,1,T1,1,100,35.429
1734179447.176602,135340.000,19327,1,T1,1,100,35.292
1734179447.309602,135473.000,19344,1,T1,1,100,35.410
1734179447.443602,135607.000,19376,1,T1,1,100,35.390
1734179447.576602,135740.000,19392,1,T1,1,100,35.346
1734179447.709602,135873.000,19411,1,T1,1,100,35.362
1734179447.842602,136006.000,19443,1,T1,1,100,35.405
1734179447.976602,136140.000,19459,1,T1,1,100,35.353
1734179448.109602,136273.000,19477,1,T1,1,100,35.330
1734179448.242602,136406.000,19508,1,T1,1,100,35.462
1734179448.376602,136540.000,19532,1,T1,1,100,35.448
1734179448.509602,136673.000,19549,1,T1,1,100,35.442
1734179448.642602,136806.000,19565,1,T1,1,100,35.439
1734179448.776602,136940.000,19597,1,T1,1,100,35.332
1734179448.909602,137073.000,19614,1,T1,1,100,35.321
1734179449.042602,137206.000,19633,1,T1,1,100,35.423
1734179449.176602,137340.000,19666,1,T1,1,100,35.396
1734179449.309602,137473.000,19683,1,T1,1,100,35.455
1734179449.442602,137606.000,19700,1,T1,1,100,35.480
1734179449.576602,137740.000,19731,1,T1,1,100,35.385
1734179449.709602,137873.000,19749,1,T1,1,100,35.379
1734179449.842602,138006.000,19765,1,T1,1,100,35.341
1734179449.975602,138139.000,19799,1,T1,1,100,35.325
1734179450.109602,138273.000,19816,1,T1,1,100,35.247
1734179450.242602,138406.000,19834,1,T1,1,100,35.391
1734179450.375602,138539.000,19851,1,T1,1,100,35.417
1734179450.509602,138673.000,19883,1,T1,1,100,35.393
1734179450.642601,138806.000,19899,1,T1,1,100,35.418
1734179450.775602,138939.000,19917,1,T1,1,100,35.465
1734179450.909601,139073.000,19932,1,T1,1,100,35.449
1734179451.042602,139206.000,19967,1,T1,1,100,35.478
1734179451.175601,139339.000,19984,1,T1,1,100,35.455
1734179451.309602,139473.000,20000,1,T1,1,100,35.410
1734179451.442601,139606.000,20032,1,T1,1,100,35.390
1734179451.575601,139739.000,20049,1,T1,1,100,35.488
1734179451.709601,139873.000,20066,1,T1,1,100,35.459
1734179451.842601,140006.000,20097,1,T1,1,100,35.447
1734179451.975601,140139.000,20114,1,T1,1,100,35.512
1734179452.109601,140273.000,20133,1,T1,1,100,35.434
1734179452.242601,140406.000,20164,1,T1,1,100,35.365
1734179452.375601,140539.000,20182,1,T1,1,100,35.442
1734179452.509601,140673.000,20198,1,T1,1,100,35.333
1734179452.642601,140806.000,20230,1,T1,1,100,35.357
1734179452.775601,140939.000,20247,1,T1,1,100,35.332
1734179452.908601,141072.000,20263,1,T1,1,100,35.285
1734179453.042601,141206.000,20297,1,T1,1,100,35.372
1734179453.175601,141339.000,20314,1,T1,1,100,35.444
1734179453.309601,141473.000,20330,1,T1,1,100,35.441
1734179453.442601,141606.000,20348,1,T1,1,100,35.403
1734179453.575601,141739.000,20384,1,T1,1,100,35.352
1734179453.709601,141873.000,20401,1,T1,1,100,35.400
1734179453.842601,142006.000,20418,1,T1,1,100,35.386
1734179453.975601,142139.000,20434,1,T1,1,100,35.451
1734179454.108601,142272.000,20468,1,T1,1,100,35.443
1734179454.242601,142406.000,20487,1,T1,1,100,35.405
1734179454.375601,142539.000,20503,1,T1,1,100,35.423
1734179454.508601,142672.000,20535,1,T1,1,100,35.502
1734179454.642601,142806.000,20552,1,T1,1,100,35.501
1734179454.775601,142939.000,20569,1,T1,1,100,35.536
1734179454.908601,143072.000,20600,1,T1,1,100,35.586
1734179455.042601,143206.000,20618,1,T1,1,100,35.502
1734179455.175601,143339.000,20634,1,T1,1,100,35.572
1734179455.308601,143472.000,20653,1,T1,1,100,35.602
1734179455.442601,143606.000,20670,1,T1,1,100,35.509
1734179455.575601,143739.000,20701,1,T1,1,100,35.362
1734179455.708601,143872.000,20719,1,T1,1,100,35.440
