LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1734179439.591604,127755.000,18093,1,TH,1,100,34.688
1734179439.725604,127889.000,18127,1,TH,1,100,34.688
1734179439.858604,128022.000,18143,1,TH,1,100,34.595
1734179439.991604,128155.000,18160,1,TH,1,100,34.602
1734179440.125604,128289.000,18192,1,TH,1,100,34.627
1734179440.258604,128422.000,18208,1,TH,1,100,34.627
1734179440.391603,128555.000,18226,1,TH,1,100,34.614
1734179440.525604,128689.000,18242,1,TH,1,100,34.614
1734179440.658603,128822.000,18276,1,TH,1,100,34.675
1734179440.791604,128955.000,18293,1,TH,1,100,34.675
1734179440.925603,129089.000,18309,1,TH,1,100,34.655
1734179441.058604,129222.000,18341,1,TH,1,100,34.662
1734179441.191603,129355.000,18358,1,TH,1,100,34.583
1734179441.325603,129489.000,18374,1,TH,1,100,34.583
1734179441.458603,129622.000,18406,1,TH,1,100,34.639
1734179441.591603,129755.000,18425,1,TH,1,100,34.639
1734179441.725603,129889.000,18442,1,TH,1,100,34.608
1734179441.858603,130022.000,18473,1,TH,1,100,34.608
1734179441.991603,130155.000,18490,1,TH,1,100,34.651
1734179442.125603,130289.000,18507,1,TH,1,100,34.658
1734179442.258603,130422.000,18538,1,TH,1,100,34.638
1734179442.391603,130555.000,18556,1,TH,1,100,34.638
1734179442.525603,130689.000,18572,1,TH,1,100,34.721
1734179442.658603,130822.000,18591,1,TH,1,100,34.721
1734179442.791603,130955.000,18623,1,TH,1,100,34.673
1734179442.925603,131089.000,18639,1,TH,1,100,34.681
1734179443.058603,131222.000,18657,1,TH,1,100,34.766
1734179443.191603,131355.000,18688,1,TH,1,100,34.766
1734179443.324603,131488.000,18709,1,TH,1,100,34.662
1734179443.458603,131622.000,18727,1,TH,1,100,34.662
1734179443.591603,131755.000,18760,1,TH,1,100,34.690
1734179443.724603,131888.000,18777,1,TH,1,100,34.697
1734179443.858603,132022.000,18794,1,TH,1,100,34.748
1734179443.991603,132155.000,18826,1,TH,1,100,34.748
1734179444.124603,132288.000,18844,1,TH,1,100,34.702
1734179444.258603,132422.000,18863,1,TH,1,100,34.702
1734179444.391603,132555.000,18895,1,TH,1,100,34.620
1734179444.524603,132688.000,18911,1,TH,1,100,34.620
1734179444.658603,132822.000,18928,1,TH,1,100,34.714
1734179444.791603,132955.000,18945,1,TH,1,100,34.721
1734179444.924603,133088.000,18976,1,TH,1,100,34.696
1734179445.058603,133222.000,18994,1,TH,1,100,34.696
1734179445.191603,133355.000,19010,1,TH,1,100,34.670
1734179445.324603,133488.000,19044,1,TH,1,100,34.670
1734179445.458603,133622.000,19061,1,TH,1,100,34.710
1734179445.591603,133755.000,19077,1,TH,1,100,34.710
1734179445.724602,133888.000,19109,1,TH,1,100,34.586
1734179445.857603,134021.000,19126,1,TH,1,100,34.593
1734179445.991602,134155.000,19142,1,TH,1,100,34.725
1734179446.124603,134288.000,19176,1,TH,1,100,34.724
1734179446.258602,134422.000,19193,1,TH,1,100,34.626
1734179446.391603,134555.000,19211,1,TH,1,100,34.626
1734179446.524602,134688.000,19227,1,TH,1,100,34.699
1734179446.657602,134821.000,19244,1,TH,1,100,34.706
1734179446.791602,134955.000,19261,1,TH,1,100,34.745
1734179446.924602,135088.000,19294,1,TH,1,100,34.745
1734179447.057602,135221.000,19312,1,TH,1,100,34.732
1734179447.191602,135355.000,19328,1,TH,1,100,34.732
1734179447.324602,135488.000,19360,1,TH,1,100,34.767
1734179447.457602,135621.000,19377,1,TH,1,100,34.767
1734179447.591602,135755.000,19393,1,TH,1,100,34.708
1734179447.724602,135888.000,19427,1,TH,1,100,34.715
1734179447.857602,136021.000,19444,1,TH,1,100,34.664
1734179447.991602,136155.000,19460,1,TH,1,100,34.664
1734179448.124602,136288.000,19478,1,TH,1,100,34.707
1734179448.257602,136421.000,19509,1,TH,1,100,34.707
1734179448.391602,136555.000,19533,1,TH,1,100,34.658
1734179448.524602,136688.000,19550,1,TH,1,100,34.658
1734179448.657602,136821.000,19566,1,TH,1,100,34.658
1734179448.791602,136955.000,19598,1,TH,1,100,34.666
1734179448.924602,137088.000,19615,1,TH,1,100,34.689
1734179449.057602,137221.000,19634,1,TH,1,100,34.689
1734179449.191602,137355.000,19667,1,TH,1,100,34.773
1734179449.324602,137488.000,19684,1,TH,1,100,34.773
1734179449.457602,137621.000,19701,1,TH,1,100,34.778
1734179449.590602,137754.000,19732,1,TH,1,100,34.778
1734179449.724602,137888.000,19750,1,TH,1,100,34.739
1734179449.857602,138021.000,19766,1,TH,1,100,34.746
1734179449.990602,138154.000,19800,1,TH,1,100,34.700
1734179450.124602,138288.000,19817,1,TH,1,100,34.700
1734179450.257602,138421.000,19835,1,TH,1,100,34.698
1734179450.390602,138554.000,19867,1,TH,1,100,34.705
1734179450.524602,138688.000,19884,1,TH,1,100,34.804
1734179450.657602,138821.000,19900,1,TH,1,100,34.804
1734179450.790601,138954.000,19933,1,TH,1,100,34.667
1734179450.924602,139088.000,19949,1,TH,1,100,34.667
1734179451.057601,139221.000,19968,1,TH,1,100,34.676
1734179451.190602,139354.000,19985,1,TH,1,100,34.676
1734179451.324601,139488.000,20017,1,TH,1,100,34.699
1734179451.457601,139621.000,20033,1,TH,1,100,34.699
1734179451.590601,139754.000,20050,1,TH,1,100,34.773
1734179451.724601,139888.000,20067,1,TH,1,100,34.780
