LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1734179443.306603,131470.000,18698,1,TL,1,100,2024-12-14_19-30-38-294845
1734179443.318603,131482.000,18701,1,TL,1,100,2024-12-14_19-30-43-312147
1734179448.414602,136578.000,19519,1,TL,1,100,2024-12-14_19-30-43-401968
1734179448.427602,136591.000,19522,1,TL,1,100,2024-12-14_19-30-48-420832
1734179453.522601,141686.000,20359,1,TL,1,100,2024-12-14_19-30-48-455969
1734179453.534601,141698.000,20362,1,TL,1,100,2024-12-14_19-30-53-531719
1734179458.630600,146794.000,21179,1,TL,1,100,2024-12-14_19-30-53-585755
1734179458.639600,146803.000,21182,1,TL,1,100,2024-12-14_19-30-58-635600
1734179463.738599,151902.000,21969,1,TL,1,100,2024-12-14_19-30-58-690607
1734179463.759599,151923.000,21972,1,TL,1,100,2024-12-14_19-31-03-754785
1734179468.859598,157023.000,22819,1,TL,1,100,2024-12-14_19-31-03-787716
1734179468.876598,157040.000,22822,1,TL,1,100,2024-12-14_19-31-08-871322
1734179473.969597,162133.000,23656,1,TL,1,100,2024-12-14_19-31-08-953698
1734179473.996597,162160.000,23659,1,TL,1,100,2024-12-14_19-31-13-983845
1734179479.077596,167241.000,24489,1,TL,1,100,2024-12-14_19-31-14-041775
1734179479.090596,167254.000,24492,1,TL,1,100,2024-12-14_19-31-19-084864
1734179484.188595,172352.000,25329,1,TL,1,100,2024-12-14_19-31-19-124264
1734179484.244595,172408.000,25332,1,TL,1,100,2024-12-14_19-31-24-233901
1734179489.296594,177460.000,26150,1,TL,1,100,2024-12-14_19-31-24-280386
1734179489.314594,177478.000,26153,1,TL,1,100,2024-12-14_19-31-29-308691
1734179494.410593,182574.000,26990,1,TL,1,100,2024-12-14_19-31-29-350874
1734179494.439593,182603.000,26993,1,TL,1,100,2024-12-14_19-31-34-416374
1734179499.527592,187691.000,27784,1,TL,1,100,2024-12-14_19-31-34-494113
1734179499.556592,187720.000,27787,1,TL,1,100,2024-12-14_19-31-39-538841
1734179504.633591,192797.000,28617,1,TL,1,100,2024-12-14_19-31-39-630569
1734179504.654591,192818.000,28620,1,TL,1,100,2024-12-14_19-31-44-643768
1734179509.741590,197905.000,29450,1,TL,1,100,2024-12-14_19-31-44-697290
1734179509.753590,197917.000,29453,1,TL,1,100,2024-12-14_19-31-49-748553
1734179514.859589,203023.000,30302,1,TL,1,100,2024-12-14_19-31-49-780262
1734179514.872589,203036.000,30305,1,TL,1,100,2024-12-14_19-31-54-865906
1734179519.971588,208135.000,31135,1,TL,1,100,2024-12-14_19-31-54-953965
1734179519.995588,208159.000,31138,1,TL,1,100,2024-12-14_19-31-59-984174
1734179525.078587,213242.000,31975,1,TL,1,100,2024-12-14_19-32-00-070627
1734179525.093587,213257.000,31978,1,TL,1,100,2024-12-14_19-32-05-088888
1734179530.186586,218350.000,32811,1,TL,1,100,2024-12-14_19-32-05-152572
1734179530.231586,218395.000,32814,1,TL,1,100,2024-12-14_19-32-10-222639
1734179535.328585,223492.000,33644,1,TL,1,100,2024-12-14_19-32-10-353732
1734179535.344585,223508.000,33647,1,TL,1,100,2024-12-14_19-32-15-337167
1734179540.445584,228609.000,34482,1,TL,1,100,2024-12-14_19-32-15-470229
1734179540.474584,228638.000,34485,1,TL,1,100,2024-12-14_19-32-20-451634
1734179545.553583,233717.000,35315,1,TL,1,100,2024-12-14_19-32-20-572278
1734179550.696582,238860.000,36148,1,TL,1,100,2024-12-14_19-32-25-774802
1734179550.699582,238863.000,36150,1,TL,1,100,2024-12-14_19-32-25-959362
1734179555.804581,243968.000,36968,1,TL,1,100,2024-12-14_19-32-30-706844
1734179555.806581,243970.000,36970,1,TL,1,100,2024-12-14_19-32-30-834730
