RD,TS_received,TS_sent,AK,RoundTrip,
131472,131482,2024-12-14_19-30-43-312147,131484,10,
136580,136591,2024-12-14_19-30-48-420832,136593,11,
141688,141698,2024-12-14_19-30-53-531719,141699,10,
146795,146803,2024-12-14_19-30-58-635600,146804,8,
151908,151923,2024-12-14_19-31-03-754785,151925,15,
157028,157040,2024-12-14_19-31-08-871322,157041,12,
162135,162160,2024-12-14_19-31-13-983845,162162,25,
167243,167254,2024-12-14_19-31-19-084864,167255,11,
172355,172408,2024-12-14_19-31-24-233901,172412,53,
177464,177478,2024-12-14_19-31-29-308691,177479,14,
182576,182603,2024-12-14_19-31-34-416374,182604,27,
187692,187720,2024-12-14_19-31-39-538841,187722,28,
192799,192818,2024-12-14_19-31-44-643768,192819,19,
197907,197917,2024-12-14_19-31-49-748553,197918,10,
203025,203036,2024-12-14_19-31-54-865906,203037,11,
208136,208159,2024-12-14_19-31-59-984174,208160,23,
213243,213257,2024-12-14_19-32-05-088888,213267,14,
218356,218395,2024-12-14_19-32-10-222639,218396,39,
223494,223508,2024-12-14_19-32-15-337167,223510,14,
228611,228638,2024-12-14_19-32-20-451634,228640,27,
233719,238860,2024-12-14_19-32-25-774802,238861,5141,
238865,243968,2024-12-14_19-32-30-706844,243969,5103,
243972,243988,2024-12-14_19-32-35-820829,243992,16,
249092,249111,2024-12-14_19-32-40-932547,249112,19,
254213,254234,2024-12-14_19-32-46-062956,254235,21,
259337,259350,2024-12-14_19-32-51-180410,259351,13,
264457,264470,2024-12-14_19-32-56-303853,264476,13,
269583,269595,2024-12-14_19-33-01-422965,269596,12,
274709,274724,2024-12-14_19-33-06-550668,274725,15,
279817,279836,2024-12-14_19-33-11-667660,279837,19,
284954,284968,2024-12-14_19-33-16-797404,284969,14,
290073,290081,2024-12-14_19-33-21-914197,290083,8,
295188,295202,2024-12-14_19-33-27-034334,295208,14,
300311,300322,2024-12-14_19-33-32-150500,300323,11,
305439,305497,2024-12-14_19-33-37-296133,305498,58,
310558,310571,2024-12-14_19-33-42-400259,310572,13,
315666,315678,2024-12-14_19-33-47-510716,315679,12,
320777,320797,2024-12-14_19-33-52-622816,320799,20,
325905,325918,2024-12-14_19-33-57-749061,325919,13,
331016,331037,2024-12-14_19-34-02-869773,331038,21,
336129,336137,2024-12-14_19-34-07-969002,336138,8,
341253,341267,2024-12-14_19-34-13-094367,341268,14,
346410,346421,2024-12-14_19-34-18-250691,346422,11,
351517,351529,2024-12-14_19-34-23-357537,351530,12,
356630,356688,2024-12-14_19-34-28-481231,356689,58,
361749,361761,2024-12-14_19-34-33-592163,361762,12,
366861,366874,2024-12-14_19-34-38-703209,366875,13,
371979,372000,2024-12-14_19-34-43-822778,372002,21,
377105,377118,2024-12-14_19-34-48-950973,377119,13,
382227,382239,2024-12-14_19-34-54-071864,382240,12,
387342,387358,2024-12-14_19-34-59-185480,387359,16,
392464,392483,2024-12-14_19-35-04-314259,392485,19,
397577,397584,2024-12-14_19-35-09-416673,397585,7,
402697,402736,2024-12-14_19-35-14-544138,402737,39,
407844,407863,2024-12-14_19-35-19-694248,407864,19,
412965,412983,2024-12-14_19-35-24-815656,412984,18,
418072,418083,2024-12-14_19-35-29-916141,418085,11,
423189,423217,2024-12-14_19-35-35-048919,423218,28,
428296,428334,2024-12-14_19-35-40-159884,428335,38,
433405,433415,2024-12-14_19-35-45-248061,433417,10,
438532,438549,2024-12-14_19-35-50-376762,438550,17,
443631,443642,2024-12-14_19-35-55-473616,443643,11,
448739,448749,2024-12-14_19-36-00-581815,448750,10,
453850,453897,2024-12-14_19-36-05-710885,453899,47,
458958,458988,2024-12-14_19-36-10-812650,458989,30,
464103,464112,2024-12-14_19-36-15-944486,464115,9,
469212,469227,2024-12-14_19-36-21-059984,469228,15,
474344,474390,2024-12-14_19-36-26-216135,474391,46,
479450,479465,2024-12-14_19-36-31-298191,479466,15,
484559,484589,2024-12-14_19-36-36-421963,484590,30,
489666,489674,2024-12-14_19-36-41-507021,489676,8,
494775,494838,2024-12-14_19-36-46-640386,494840,63,
499900,499912,2024-12-14_19-36-51-742978,499914,12,
505007,505020,2024-12-14_19-36-56-849289,505021,13,
510132,510147,2024-12-14_19-37-01-973275,510151,15,
515240,515258,2024-12-14_19-37-07-082268,515259,18,
520371,520386,2024-12-14_19-37-12-215402,520391,15,
525490,525497,2024-12-14_19-37-17-329841,525499,7,
530597,530616,2024-12-14_19-37-22-446036,530618,19,
535744,535762,2024-12-14_19-37-27-590921,535763,18,
540855,540869,2024-12-14_19-37-32-702007,540870,14,
545988,546006,2024-12-14_19-37-37-837901,546008,18,
551097,551108,2024-12-14_19-37-42-940589,551109,11,
556204,556215,2024-12-14_19-37-48-047531,556216,11,
561320,561336,2024-12-14_19-37-53-161251,561337,16,
566454,566470,2024-12-14_19-37-58-297272,566471,16,
571560,571580,2024-12-14_19-38-03-410010,571581,20,
576666,576677,2024-12-14_19-38-08-507556,576678,11,
581785,581793,2024-12-14_19-38-13-626290,581798,8,
586896,586912,2024-12-14_19-38-18-741139,586917,16,
592031,592051,2024-12-14_19-38-23-875569,592052,20,
597169,597178,2024-12-14_19-38-29-008784,597179,9,
602309,607431,2024-12-14_19-38-34-271807,607435,5122,
607436,607475,2024-12-14_19-38-39-297901,607476,39,
612543,612554,2024-12-14_19-38-44-383817,612555,11,
617650,617660,2024-12-14_19-38-49-489821,617661,10,
622781,622793,2024-12-14_19-38-54-623963,622795,12,
627899,627907,2024-12-14_19-38-59-739813,627908,8,
633006,633026,2024-12-14_19-39-04-851913,633027,20,
638115,638135,2024-12-14_19-39-09-956111,638139,20,
643223,643235,2024-12-14_19-39-15-066077,643236,12,
648332,648352,2024-12-14_19-39-20-180162,648353,20,
653448,653459,2024-12-14_19-39-25-287958,653460,11,
658577,658590,2024-12-14_19-39-30-419843,658591,13,
663684,663692,2024-12-14_19-39-35-524594,663696,8,
668806,668831,2024-12-14_19-39-40-649777,668833,25,
673945,673955,2024-12-14_19-39-45-788088,673956,10,
679069,679097,2024-12-14_19-39-50-922722,679098,28,
684202,684241,2024-12-14_19-39-56-070124,684243,39,
689316,689347,2024-12-14_19-40-01-175066,689348,31,
694453,694466,2024-12-14_19-40-06-295011,694468,13,
699561,699590,2024-12-14_19-40-11-409666,699592,29,
704681,704707,2024-12-14_19-40-16-522506,704708,26,
709794,709839,2024-12-14_19-40-21-667156,709840,45,
714922,714933,2024-12-14_19-40-26-765526,714935,11,
720037,720056,2024-12-14_19-40-31-888558,720057,19,
725157,725183,2024-12-14_19-40-37-010541,725185,26,
730271,730292,2024-12-14_19-40-42-118689,730293,21,
735415,740541,2024-12-14_19-40-47-256021,740543,5126,
740545,745661,2024-12-14_19-40-52-387671,745662,5116,
745666,745680,2024-12-14_19-40-57-509903,745681,14,
750797,750841,2024-12-14_19-41-02-671640,750842,44,
755910,761022,2024-12-14_19-41-07-880352,761028,5112,
761028,761038,2024-12-14_19-41-12-869931,761039,10,
766241,766254,2024-12-14_19-41-18-083770,766255,13,
771357,771378,2024-12-14_19-41-23-201169,771380,21,
776467,776477,2024-12-14_19-41-28-310489,776479,10,
781593,781604,2024-12-14_19-41-33-433794,781605,11,
786699,786724,2024-12-14_19-41-38-541769,786726,25,
791816,791825,2024-12-14_19-41-43-656630,791826,9,
796940,796957,2024-12-14_19-41-48-789609,796958,17,
802048,802063,2024-12-14_19-41-53-890090,802064,15,
807189,807204,2024-12-14_19-41-59-036107,807205,15,
812312,812322,2024-12-14_19-42-04-154912,812323,10,
817434,817445,2024-12-14_19-42-09-274153,817446,11,
822543,822560,2024-12-14_19-42-14-391417,822561,17,
827653,832774,2024-12-14_19-42-19-498889,832776,5121,
832779,832815,2024-12-14_19-42-24-647830,832816,36,
837884,837919,2024-12-14_19-42-29-733754,837920,35,
842992,843005,2024-12-14_19-42-34-833685,843007,13,
848120,848138,2024-12-14_19-42-39-965644,848139,18,
853226,853236,2024-12-14_19-42-45-066191,853237,10,
858336,858358,2024-12-14_19-42-50-181922,858359,22,
863469,863489,2024-12-14_19-42-55-311371,863491,20,
868576,868598,2024-12-14_19-43-00-430312,868600,22,
873690,873729,2024-12-14_19-43-05-544922,873730,39,
878797,883910,2024-12-14_19-43-10-773460,883914,5113,
883914,883937,2024-12-14_19-43-15-760897,883942,23,
889022,889033,2024-12-14_19-43-20-862966,889034,11,
894157,894175,2024-12-14_19-43-26-002676,894181,18,
899266,899273,2024-12-14_19-43-31-105955,899275,7,
904373,904387,2024-12-14_19-43-36-215370,904388,14,
909481,909498,2024-12-14_19-43-41-328008,909499,17,
914592,919724,2024-12-14_19-43-46-433909,919725,5132,
919728,919738,2024-12-14_19-43-51-568170,919739,10,
924832,924844,2024-12-14_19-43-56-672375,924845,12,
929945,929989,2024-12-14_19-44-01-796763,929990,44,
935049,935072,2024-12-14_19-44-06-901321,935073,23,
940156,940169,2024-12-14_19-44-12-002080,940171,13,
945264,945289,2024-12-14_19-44-17-121949,945291,25,
950375,950401,2024-12-14_19-44-22-217844,950403,26,
955482,955496,2024-12-14_19-44-27-327954,955497,14,
960601,960613,2024-12-14_19-44-32-443068,960614,12,
965710,965724,2024-12-14_19-44-37-553975,965725,14,
970817,970839,2024-12-14_19-44-42-667889,970841,22,
975926,975941,2024-12-14_19-44-47-771854,975946,15,
981058,981079,2024-12-14_19-44-52-907925,981080,21,
986164,986176,2024-12-14_19-44-58-008577,986177,12,
991277,991297,2024-12-14_19-45-03-129784,991299,20,
996386,996410,2024-12-14_19-45-08-238714,996415,24,
1001523,1001537,2024-12-14_19-45-13-364632,1001541,14,
