LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734243242.619731,201502.000,30737,2,AK,1,100,29927
1734243242.619731,201502.000,30737,2,AK,1,100,RD
1734243242.633731,201516.000,30740,2,AK,1,100,30738
1734243242.647731,201530.000,30740,2,AK,1,100,RD
1734243245.187760,204070.000,31577,2,AK,1,100,30738
1734243247.727790,206610.000,31577,2,AK,1,100,RD
1734243247.747290,206629.500,31580,2,AK,1,100,31578
1734243247.766790,206649.000,31580,2,AK,1,100,RD
1734243250.301320,209183.500,32415,2,AK,1,100,31578
1734243252.835849,211718.000,32415,2,AK,1,100,RD
1734243252.864349,211746.500,32418,2,AK,1,100,32416
1734243252.892849,211775.000,32418,2,AK,1,100,RD
1734243255.418879,214301.000,33254,2,AK,1,100,32416
1734243257.944908,216827.000,33254,2,AK,1,100,RD
1734243263.056467,221938.500,34927,2,AK,1,100,34091
1734243268.168026,227050.000,34927,2,AK,1,100,RD
1734243268.169026,227051.000,34929,2,AK,1,100,34091
1734243268.170026,227052.000,34929,2,AK,1,100,RD
1734243270.723056,229605.000,35748,2,AK,1,100,34930
1734243273.276085,232158.000,35748,2,AK,1,100,RD
1734243273.277085,232159.000,35750,2,AK,1,100,34930
1734243273.278085,232160.000,35750,2,AK,1,100,RD
1734243275.837615,234719.500,36590,2,AK,1,100,35751
1734243278.397144,237279.000,36590,2,AK,1,100,RD
1734243278.400144,237282.000,36592,2,AK,1,100,35751
1734243278.403144,237285.000,36592,2,AK,1,100,RD
1734243278.430145,237312.000,36595,2,AK,1,100,36593
1734243278.457145,237339.000,36595,2,AK,1,100,RD
1734243280.989174,239871.000,37429,2,AK,1,100,36593
1734243283.521204,242403.000,37429,2,AK,1,100,RD
1734243283.549204,242431.000,37432,2,AK,1,100,37430
1734243283.577204,242459.000,37432,2,AK,1,100,RD
1734243286.106733,244988.500,38266,2,AK,1,100,37430
1734243288.636263,247518.000,38266,2,AK,1,100,RD
1734243288.647763,247529.500,38269,2,AK,1,100,38267
1734243288.659263,247541.000,38269,2,AK,1,100,RD
1734243291.210792,250092.500,39107,2,AK,1,100,38267
1734243293.762322,252644.000,39107,2,AK,1,100,RD
1734243293.776322,252658.000,39110,2,AK,1,100,39108
1734243293.790322,252672.000,39110,2,AK,1,100,RD
1734243296.333852,255215.500,39944,2,AK,1,100,39108
1734243298.877381,257759.000,39944,2,AK,1,100,RD
1734243298.893881,257775.500,39947,2,AK,1,100,39945
1734243298.910381,257792.000,39947,2,AK,1,100,RD
1734243301.449411,260331.000,40769,2,AK,1,100,39945
1734243303.988440,262870.000,40769,2,AK,1,100,RD
1734243303.994940,262876.500,40772,2,AK,1,100,40770
1734243304.001440,262883.000,40772,2,AK,1,100,RD
1734243306.556970,265438.500,41609,2,AK,1,100,40770
1734243309.112499,267994.000,41609,2,AK,1,100,RD
1734243311.672029,270553.500,42446,2,AK,1,100,41610
1734243314.231559,273113.000,42446,2,AK,1,100,RD
1734243314.233058,273114.500,42448,2,AK,1,100,41610
1734243314.234559,273116.000,42448,2,AK,1,100,RD
1734243314.271059,273152.500,42451,2,AK,1,100,42449
1734243314.307559,273189.000,42451,2,AK,1,100,RD
1734243316.827589,275709.000,43290,2,AK,1,100,42449
1734243319.347618,278229.000,43290,2,AK,1,100,RD
1734243319.394118,278275.500,43293,2,AK,1,100,43291
1734243319.440619,278322.000,43293,2,AK,1,100,RD
1734243321.955648,280837.000,44130,2,AK,1,100,43291
1734243324.470677,283352.000,44130,2,AK,1,100,RD
1734243324.495177,283376.500,44133,2,AK,1,100,44131
1734243324.519677,283401.000,44133,2,AK,1,100,RD
1734243327.053207,285934.500,44973,2,AK,1,100,44131
1734243329.586736,288468.000,44973,2,AK,1,100,RD
1734243332.146266,291027.500,45812,2,AK,1,100,44974
1734243334.705795,293587.000,45812,2,AK,1,100,RD
1734243334.706795,293588.000,45814,2,AK,1,100,44974
1734243334.707795,293589.000,45814,2,AK,1,100,RD
1734243337.259825,296141.000,46636,2,AK,1,100,45815
1734243339.811854,298693.000,46636,2,AK,1,100,RD
1734243339.815354,298696.500,46638,2,AK,1,100,45815
1734243339.818854,298700.000,46638,2,AK,1,100,RD
1734243342.400884,301282.000,47462,2,AK,1,100,46639
1734243344.982914,303864.000,47462,2,AK,1,100,RD
1734243344.984414,303865.500,47464,2,AK,1,100,46639
1734243344.985914,303867.000,47464,2,AK,1,100,RD
1734243347.538444,306419.500,48288,2,AK,1,100,47465
1734243350.090973,308972.000,48288,2,AK,1,100,RD
1734243350.091973,308973.000,48290,2,AK,1,100,47465
1734243350.092973,308974.000,48290,2,AK,1,100,RD
1734243352.646003,311527.000,49065,2,AK,1,100,48291
1734243355.199032,314080.000,49065,2,AK,1,100,RD
1734243355.200532,314081.500,49067,2,AK,1,100,48291
