LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1734243244.315750,203198.000,31043,1,B%,1,100,60
1734243249.315808,208198.000,31866,1,B%,1,100,60
1734243254.314866,213197.000,32667,1,B%,1,100,59
1734243259.314924,218197.000,33491,1,B%,1,100,59
1734243264.313982,223196.000,34310,1,B%,1,100,59
1734243269.314039,228196.000,35115,1,B%,1,100,59
1734243274.313097,233195.000,35939,1,B%,1,100,59
1734243279.313155,238195.000,36746,1,B%,1,100,59
1734243284.312213,243194.000,37567,1,B%,1,100,59
1734243289.312270,248194.000,38389,1,B%,1,100,59
1734243294.311328,253193.000,39211,1,B%,1,100,60
1734243299.311386,258193.000,40034,1,B%,1,100,59
1734243304.310444,263192.000,40840,1,B%,1,100,58
1734243309.310502,268192.000,41645,1,B%,1,100,59
1734243314.309559,273191.000,42470,1,B%,1,100,59
1734243319.309617,278191.000,43288,1,B%,1,100,58
1734243324.308675,283190.000,44111,1,B%,1,100,58
1734243329.308733,288190.000,44938,1,B%,1,100,58
1734243334.307791,293189.000,45763,1,B%,1,100,57
1734243339.307848,298189.000,46569,1,B%,1,100,58
1734243344.306906,303188.000,47380,1,B%,1,100,58
1734243349.306964,308188.000,48187,1,B%,1,100,58
1734243354.306022,313187.000,48946,1,B%,1,100,57
1734243359.306079,318187.000,49753,1,B%,1,100,58
1734243364.305137,323186.000,50578,1,B%,1,100,58
1734243369.305195,328186.000,51381,1,B%,1,100,58
1734243374.304253,333185.000,52205,1,B%,1,100,58
1734243379.304311,338185.000,53012,1,B%,1,100,57
1734243384.303368,343184.000,53846,1,B%,1,100,57
1734243389.303426,348184.000,54670,1,B%,1,100,57
1734243394.302484,353183.000,55492,1,B%,1,100,57
1734243399.302542,358183.000,56301,1,B%,1,100,57
1734243404.301600,363182.000,57129,1,B%,1,100,57
1734243409.301657,368182.000,57950,1,B%,1,100,57
1734243414.300715,373181.000,58758,1,B%,1,100,57
1734243419.300773,378181.000,59581,1,B%,1,100,57
1734243424.299831,383180.000,60385,1,B%,1,100,57
1734243429.299889,388180.000,61202,1,B%,1,100,57
1734243434.298946,393179.000,62021,1,B%,1,100,58
1734243439.299004,398179.000,62845,1,B%,1,100,57
1734243444.298062,403178.000,63655,1,B%,1,100,57
1734243449.298120,408178.000,64477,1,B%,1,100,58
1734243454.297178,413177.000,65283,1,B%,1,100,56
1734243459.297235,418177.000,585,1,B%,1,100,57
1734243464.296293,423176.000,1410,1,B%,1,100,57
1734243469.296351,428176.000,2234,1,B%,1,100,56
1734243474.295409,433175.000,3039,1,B%,1,100,57
1734243479.295466,438175.000,3862,1,B%,1,100,57
1734243484.294524,443174.000,4670,1,B%,1,100,56
1734243489.294582,448174.000,5492,1,B%,1,100,56
1734243494.293640,453173.000,6317,1,B%,1,100,56
1734243499.293698,458173.000,7144,1,B%,1,100,56
1734243504.292755,463172.000,7968,1,B%,1,100,56
1734243509.292813,468172.000,8791,1,B%,1,100,56
1734243514.291871,473171.000,9614,1,B%,1,100,56
1734243519.291929,478171.000,10436,1,B%,1,100,55
1734243524.290987,483170.000,11257,1,B%,1,100,55
1734243529.291044,488170.000,12075,1,B%,1,100,55
1734243534.290102,493169.000,12904,1,B%,1,100,56
1734243539.290160,498169.000,13719,1,B%,1,100,55
1734243544.289218,503168.000,14548,1,B%,1,100,56
1734243549.289276,508168.000,15370,1,B%,1,100,56
1734243554.288333,513167.000,16173,1,B%,1,100,56
1734243559.288391,518167.000,17016,1,B%,1,100,55
1734243564.287449,523166.000,17824,1,B%,1,100,55
1734243569.287507,528166.000,18644,1,B%,1,100,55
1734243574.286565,533165.000,19469,1,B%,1,100,55
1734243579.286622,538165.000,20274,1,B%,1,100,55
1734243584.285680,543164.000,21083,1,B%,1,100,55
1734243589.285738,548164.000,21912,1,B%,1,100,56
1734243594.284796,553163.000,22722,1,B%,1,100,55
1734243599.284853,558163.000,23517,1,B%,1,100,55
1734243604.283911,563162.000,24327,1,B%,1,100,55
1734243609.283969,568162.000,25132,1,B%,1,100,55
1734243614.283027,573161.000,25958,1,B%,1,100,54
1734243619.283085,578161.000,26767,1,B%,1,100,55
1734243624.282142,583160.000,27609,1,B%,1,100,55
1734243629.282200,588160.000,28434,1,B%,1,100,55
1734243634.281258,593159.000,29260,1,B%,1,100,55
1734243639.281316,598159.000,30085,1,B%,1,100,54
1734243644.280374,603158.000,30908,1,B%,1,100,55
1734243649.280431,608158.000,31723,1,B%,1,100,55
1734243654.279489,613157.000,32549,1,B%,1,100,54
1734243659.279547,618157.000,33357,1,B%,1,100,54
1734243664.278605,623156.000,34183,1,B%,1,100,54
1734243669.278662,628156.000,35011,1,B%,1,100,55
1734243674.277720,633155.000,35840,1,B%,1,100,54
1734243679.277778,638155.000,36647,1,B%,1,100,54
1734243684.276836,643154.000,37474,1,B%,1,100,54
1734243689.276894,648154.000,38280,1,B%,1,100,54
1734243694.275951,653153.000,39100,1,B%,1,100,54
1734243699.276009,658153.000,39915,1,B%,1,100,55
1734243704.275067,663152.000,40748,1,B%,1,100,55
1734243709.275125,668152.000,41569,1,B%,1,100,56
1734243714.274183,673151.000,42390,1,B%,1,100,56
1734243719.274240,678151.000,43223,1,B%,1,100,56
1734243724.273298,683150.000,44045,1,B%,1,100,56
1734243729.273356,688150.000,44862,1,B%,1,100,56
1734243734.272414,693149.000,45682,1,B%,1,100,56
1734243739.272472,698149.000,46498,1,B%,1,100,56
1734243744.271529,703148.000,47335,1,B%,1,100,55
1734243749.271587,708148.000,48147,1,B%,1,100,56
1734243754.270645,713147.000,48963,1,B%,1,100,56
1734243759.270703,718147.000,49783,1,B%,1,100,56
1734243764.269761,723146.000,50618,1,B%,1,100,55
1734243769.269818,728146.000,51438,1,B%,1,100,56
1734243774.268876,733145.000,52254,1,B%,1,100,55
1734243779.268934,738145.000,53089,1,B%,1,100,54
1734243784.267992,743144.000,53907,1,B%,1,100,55
1734243789.268049,748144.000,54719,1,B%,1,100,54
1734243794.267107,753143.000,55539,1,B%,1,100,54
1734243799.267165,758143.000,56374,1,B%,1,100,54
1734243804.266223,763142.000,57193,1,B%,1,100,55
1734243809.266281,768142.000,58008,1,B%,1,100,55
1734243814.265338,773141.000,58843,1,B%,1,100,54
1734243819.265396,778141.000,59662,1,B%,1,100,54
1734243824.264454,783140.000,60488,1,B%,1,100,55
1734243829.264512,788140.000,61310,1,B%,1,100,54
1734243834.263570,793139.000,62131,1,B%,1,100,55
1734243839.263627,798139.000,62949,1,B%,1,100,56
1734243844.262685,803138.000,63739,1,B%,1,100,54
1734243849.262743,808138.000,64558,1,B%,1,100,54
1734243854.261801,813137.000,65375,1,B%,1,100,55
1734243859.261858,818137.000,674,1,B%,1,100,54
1734243864.260916,823136.000,1502,1,B%,1,100,54
