LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1734243242.044724,200927,30653,1,BI,1,100,640
1734243242.644731,201527,30742,1,BI,1,100,600
1734243243.364739,202247,30857,1,BI,1,100,720
1734243243.964746,202847,30958,1,BI,1,100,600
1734243244.617754,203500,31076,1,BI,1,100,640
1734243245.217761,204100,31177,1,BI,1,100,600
1734243245.817768,204700,31276,1,BI,1,100,600
1734243246.457775,205340,31377,1,BI,1,100,640
1734243247.137783,206020,31492,1,BI,1,100,680
1734243247.870791,206753,31598,1,BI,1,100,720
1734243248.590800,207473,31730,1,BI,1,100,720
1734243249.270808,208153,31831,1,BI,1,100,680
1734243250.230819,209113,31997,1,BI,1,100,960
1734243250.950827,209833,32115,1,BI,1,100,720
1734243251.763836,210646,32248,1,BI,1,100,800
1734243252.723847,211606,32396,1,BI,1,100,960
1734243253.083852,211966,32450,1,BI,1,100,360
1734243253.723859,212606,32569,1,BI,1,100,640
1734243254.443867,213326,32686,1,BI,1,100,720
1734243255.296877,214179,32818,1,BI,1,100,840
1734243256.096886,214979,32953,1,BI,1,100,800
1734243256.816895,215699,33071,1,BI,1,100,720
1734243257.536903,216419,33186,1,BI,1,100,720
1734243258.216911,217099,33291,1,BI,1,100,680
1734243258.909919,217792,33406,1,BI,1,100,680
1734243259.549926,218432,33509,1,BI,1,100,640
1734243260.269935,219152,33625,1,BI,1,100,720
1734243260.989943,219872,33742,1,BI,1,100,720
1734243261.669951,220552,33858,1,BI,1,100,680
1734243262.402959,221285,33973,1,BI,1,100,720
1734243263.122968,222005,34093,1,BI,1,100,720
1734243263.882977,222765,34225,1,BI,1,100,760
1734243264.642985,223525,34342,1,BI,1,100,760
1734243265.282993,224165,34443,1,BI,1,100,640
1734243265.976001,224858,34559,1,BI,1,100,680
1734243266.696009,225578,34675,1,BI,1,100,720
1734243267.376017,226258,34792,1,BI,1,100,680
1734243268.016024,226898,34891,1,BI,1,100,640
1734243268.695032,227577,35013,1,BI,1,100,680
1734243269.349040,228231,35116,1,BI,1,100,640
1734243269.949047,228831,35201,1,BI,1,100,600
1734243270.669055,229551,35333,1,BI,1,100,720
1734243271.589066,230471,35482,1,BI,1,100,920
1734243272.468076,231350,35615,1,BI,1,100,880
1734243273.202084,232084,35753,1,BI,1,100,720
1734243274.002094,232884,35870,1,BI,1,100,800
1734243274.722102,233604,35989,1,BI,1,100,720
1734243275.362109,234244,36089,1,BI,1,100,640
1734243276.081117,234963,36205,1,BI,1,100,720
1734243276.735125,235617,36305,1,BI,1,100,640
1734243277.375132,236257,36422,1,BI,1,100,640
1734243278.015140,236897,36522,1,BI,1,100,640
1734243278.735148,237617,36645,1,BI,1,100,720
1734243279.534157,238416,36765,1,BI,1,100,800
1734243280.348167,239230,36912,1,BI,1,100,800
1734243281.108176,239990,37030,1,BI,1,100,760
1734243281.748183,240630,37128,1,BI,1,100,640
1734243282.427191,241309,37246,1,BI,1,100,680
1734243283.107199,241989,37362,1,BI,1,100,680
1734243283.881208,242763,37484,1,BI,1,100,760
1734243284.601216,243483,37602,1,BI,1,100,720
1734243285.241223,244123,37703,1,BI,1,100,640
1734243285.920231,244802,37818,1,BI,1,100,680
1734243286.641240,245523,37934,1,BI,1,100,720
1734243287.374248,246256,38051,1,BI,1,100,720
1734243288.134257,247016,38184,1,BI,1,100,760
1734243288.814265,247696,38288,1,BI,1,100,680
1734243289.574273,248456,38423,1,BI,1,100,760
1734243290.213281,249095,38522,1,BI,1,100,640
1734243290.867288,249749,38623,1,BI,1,100,640
1734243291.547296,250429,38739,1,BI,1,100,680
1734243292.227304,251109,38854,1,BI,1,100,680
1734243292.947312,251829,38972,1,BI,1,100,720
1734243293.707321,252589,39087,1,BI,1,100,760
