LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1734243244.315750,203198.000,31042,1,BV,1,100,3.80
1734243249.315808,208198.000,31865,1,BV,1,100,3.79
1734243254.314866,213197.000,32666,1,BV,1,100,3.79
1734243259.314924,218197.000,33490,1,BV,1,100,3.79
1734243264.313982,223196.000,34309,1,BV,1,100,3.78
1734243269.314039,228196.000,35114,1,BV,1,100,3.79
1734243274.313097,233195.000,35938,1,BV,1,100,3.79
1734243279.313155,238195.000,36745,1,BV,1,100,3.79
1734243284.312213,243194.000,37566,1,BV,1,100,3.79
1734243289.312270,248194.000,38388,1,BV,1,100,3.79
1734243294.311328,253193.000,39210,1,BV,1,100,3.79
1734243299.311386,258193.000,40033,1,BV,1,100,3.79
1734243304.310444,263192.000,40839,1,BV,1,100,3.78
1734243309.310502,268192.000,41644,1,BV,1,100,3.79
1734243314.309559,273191.000,42469,1,BV,1,100,3.79
1734243319.309617,278191.000,43287,1,BV,1,100,3.78
1734243324.308675,283190.000,44110,1,BV,1,100,3.78
1734243329.308733,288190.000,44937,1,BV,1,100,3.78
1734243334.307791,293189.000,45762,1,BV,1,100,3.78
1734243339.307848,298189.000,46568,1,BV,1,100,3.78
1734243344.306906,303188.000,47379,1,BV,1,100,3.78
1734243349.306964,308188.000,48186,1,BV,1,100,3.78
1734243354.306022,313187.000,48945,1,BV,1,100,3.78
1734243359.306079,318187.000,49752,1,BV,1,100,3.78
1734243364.305137,323186.000,50577,1,BV,1,100,3.78
1734243369.305195,328186.000,51380,1,BV,1,100,3.78
1734243374.304253,333185.000,52204,1,BV,1,100,3.78
1734243379.304311,338185.000,53011,1,BV,1,100,3.78
1734243384.303368,343184.000,53845,1,BV,1,100,3.78
1734243389.303426,348184.000,54669,1,BV,1,100,3.77
1734243394.302484,353183.000,55491,1,BV,1,100,3.77
1734243399.302542,358183.000,56300,1,BV,1,100,3.78
1734243404.301600,363182.000,57128,1,BV,1,100,3.78
1734243409.301657,368182.000,57949,1,BV,1,100,3.78
1734243414.300715,373181.000,58757,1,BV,1,100,3.78
1734243419.300773,378181.000,59580,1,BV,1,100,3.78
1734243424.299831,383180.000,60384,1,BV,1,100,3.77
1734243429.299889,388180.000,61201,1,BV,1,100,3.78
1734243434.298946,393179.000,62020,1,BV,1,100,3.78
1734243439.299004,398179.000,62844,1,BV,1,100,3.77
1734243444.298062,403178.000,63654,1,BV,1,100,3.77
1734243449.298120,408178.000,64476,1,BV,1,100,3.78
1734243454.297178,413177.000,65282,1,BV,1,100,3.77
1734243459.297235,418177.000,584,1,BV,1,100,3.77
1734243464.296293,423176.000,1409,1,BV,1,100,3.77
1734243469.296351,428176.000,2233,1,BV,1,100,3.77
1734243474.295409,433175.000,3038,1,BV,1,100,3.77
1734243479.295466,438175.000,3861,1,BV,1,100,3.77
1734243484.294524,443174.000,4669,1,BV,1,100,3.77
1734243489.294582,448174.000,5491,1,BV,1,100,3.77
1734243494.293640,453173.000,6316,1,BV,1,100,3.77
1734243499.293698,458173.000,7143,1,BV,1,100,3.77
1734243504.292755,463172.000,7967,1,BV,1,100,3.77
1734243509.292813,468172.000,8790,1,BV,1,100,3.77
1734243514.291871,473171.000,9613,1,BV,1,100,3.77
1734243519.291929,478171.000,10435,1,BV,1,100,3.76
1734243524.290987,483170.000,11256,1,BV,1,100,3.76
1734243529.291044,488170.000,12074,1,BV,1,100,3.76
1734243534.290102,493169.000,12903,1,BV,1,100,3.77
1734243539.290160,498169.000,13718,1,BV,1,100,3.77
1734243544.289218,503168.000,14547,1,BV,1,100,3.77
1734243549.289276,508168.000,15369,1,BV,1,100,3.77
1734243554.288333,513167.000,16172,1,BV,1,100,3.77
1734243559.288391,518167.000,17015,1,BV,1,100,3.76
1734243564.287449,523166.000,17823,1,BV,1,100,3.76
1734243569.287507,528166.000,18643,1,BV,1,100,3.76
1734243574.286565,533165.000,19468,1,BV,1,100,3.76
1734243579.286622,538165.000,20273,1,BV,1,100,3.76
1734243584.285680,543164.000,21082,1,BV,1,100,3.76
1734243589.285738,548164.000,21911,1,BV,1,100,3.77
1734243594.284796,553163.000,22721,1,BV,1,100,3.76
1734243599.284853,558163.000,23516,1,BV,1,100,3.76
1734243604.283911,563162.000,24326,1,BV,1,100,3.76
1734243609.283969,568162.000,25131,1,BV,1,100,3.76
1734243614.283027,573161.000,25957,1,BV,1,100,3.76
1734243619.283085,578161.000,26766,1,BV,1,100,3.76
1734243624.282142,583160.000,27608,1,BV,1,100,3.76
1734243629.282200,588160.000,28433,1,BV,1,100,3.76
1734243634.281258,593159.000,29259,1,BV,1,100,3.76
1734243639.281316,598159.000,30084,1,BV,1,100,3.76
1734243644.280374,603158.000,30907,1,BV,1,100,3.76
1734243649.280431,608158.000,31722,1,BV,1,100,3.76
1734243654.279489,613157.000,32548,1,BV,1,100,3.76
1734243659.279547,618157.000,33356,1,BV,1,100,3.76
1734243664.278605,623156.000,34182,1,BV,1,100,3.76
1734243669.278662,628156.000,35010,1,BV,1,100,3.76
1734243674.277720,633155.000,35839,1,BV,1,100,3.75
1734243679.277778,638155.000,36646,1,BV,1,100,3.75
1734243684.276836,643154.000,37473,1,BV,1,100,3.76
1734243689.276894,648154.000,38279,1,BV,1,100,3.76
1734243694.275951,653153.000,39099,1,BV,1,100,3.76
1734243699.276009,658153.000,39914,1,BV,1,100,3.76
1734243704.275067,663152.000,40747,1,BV,1,100,3.76
1734243709.275125,668152.000,41568,1,BV,1,100,3.77
1734243714.274183,673151.000,42389,1,BV,1,100,3.77
1734243719.274240,678151.000,43222,1,BV,1,100,3.77
1734243724.273298,683150.000,44044,1,BV,1,100,3.77
1734243729.273356,688150.000,44861,1,BV,1,100,3.77
1734243734.272414,693149.000,45681,1,BV,1,100,3.77
1734243739.272472,698149.000,46497,1,BV,1,100,3.77
1734243744.271529,703148.000,47334,1,BV,1,100,3.76
1734243749.271587,708148.000,48146,1,BV,1,100,3.76
1734243754.270645,713147.000,48962,1,BV,1,100,3.77
1734243759.270703,718147.000,49782,1,BV,1,100,3.77
1734243764.269761,723146.000,50617,1,BV,1,100,3.76
1734243769.269818,728146.000,51437,1,BV,1,100,3.77
1734243774.268876,733145.000,52253,1,BV,1,100,3.76
1734243779.268934,738145.000,53088,1,BV,1,100,3.75
1734243784.267992,743144.000,53906,1,BV,1,100,3.76
1734243789.268049,748144.000,54718,1,BV,1,100,3.76
1734243794.267107,753143.000,55538,1,BV,1,100,3.76
1734243799.267165,758143.000,56373,1,BV,1,100,3.76
1734243804.266223,763142.000,57192,1,BV,1,100,3.76
1734243809.266281,768142.000,58007,1,BV,1,100,3.76
1734243814.265338,773141.000,58842,1,BV,1,100,3.75
1734243819.265396,778141.000,59661,1,BV,1,100,3.76
1734243824.264454,783140.000,60487,1,BV,1,100,3.76
1734243829.264512,788140.000,61309,1,BV,1,100,3.75
1734243834.263570,793139.000,62130,1,BV,1,100,3.76
1734243839.263627,798139.000,62948,1,BV,1,100,3.77
1734243844.262685,803138.000,63738,1,BV,1,100,3.76
1734243849.262743,808138.000,64557,1,BV,1,100,3.75
1734243854.261801,813137.000,65374,1,BV,1,100,3.76
1734243859.261858,818137.000,673,1,BV,1,100,3.75
1734243864.260916,823136.000,1501,1,BV,1,100,3.76
1734243869.260974,828136.000,2320,1,BV,1,100,3.76
1734243874.260032,833135.000,3144,1,BV,1,100,3.76
1734243879.260090,838135.000,3960,1,BV,1,100,3.75
1734243884.259147,843134.000,4795,1,BV,1,100,3.76
1734243889.259205,848134.000,5615,1,BV,1,100,3.76
1734243894.258263,853133.000,6435,1,BV,1,100,3.75
1734243899.258321,858133.000,7275,1,BV,1,100,3.75
1734243904.257379,863132.000,8100,1,BV,1,100,3.76
1734243909.257437,868132.000,8921,1,BV,1,100,3.75
1734243914.256494,873131.000,9736,1,BV,1,100,3.76
1734243919.256552,878131.000,10573,1,BV,1,100,3.76
1734243924.255610,883130.000,11394,1,BV,1,100,3.75
1734243929.255668,888130.000,12214,1,BV,1,100,3.75
1734243934.254725,893129.000,13032,1,BV,1,100,3.75
1734243939.254783,898129.000,13851,1,BV,1,100,3.76
1734243944.253841,903128.000,14720,1,BV,1,100,3.75
1734243949.253899,908128.000,15571,1,BV,1,100,3.76
1734243954.252957,913127.000,16420,1,BV,1,100,3.75
1734243959.253014,918127.000,17290,1,BV,1,100,3.75
1734243964.252072,923126.000,18142,1,BV,1,100,3.75
1734243969.252130,928126.000,18992,1,BV,1,100,3.75
1734243974.251188,933125.000,19842,1,BV,1,100,3.75
1734243979.251245,938125.000,20713,1,BV,1,100,3.75
1734243984.250303,943124.000,21565,1,BV,1,100,3.75
1734243989.250361,948124.000,22415,1,BV,1,100,3.75
1734243994.249419,953123.000,23284,1,BV,1,100,3.74
1734243999.249477,958123.000,24134,1,BV,1,100,3.75
1734244004.248534,963122.000,24968,1,BV,1,100,3.75
1734244009.248592,968122.000,25820,1,BV,1,100,3.75
1734244014.247650,973121.000,26671,1,BV,1,100,3.74
1734244019.247708,978121.000,27508,1,BV,1,100,3.74
1734244024.246766,983120.000,28367,1,BV,1,100,3.75
